,2021-12-31,长沙实现数字人民币税款缴纳全流程,中国金融新闻网
666,2021-09-16,A股融资融券日报：两融余额增加18.27亿元（9月15日）,Wind
667,2021-09-16,交银理财：探索差异化路线 力求高质量发展,中证网
668,2021-09-15,数字人民币试点推进加速,Wind
669,2021-09-15,银行行业周报：理财产品净值波动分化,新浪
670,2021-09-15,因严重违反审慎经营规则等行为 交通银行遭监管50万元罚单 金融监管处罚,和讯
671,2021-09-15,交通银行金研中心：“类滞胀”风险上升 宏观政策需更积极有为,证券时报
672,2021-09-15,交通银行某分行违法被罚 信贷资金未按约定用途使用 金融监管处罚,中国经济网
673,2021-09-15,交通银行股权投资助力人工智能龙头企业做大做强,中国网
674,2021-09-15,A股融资融券日报：两融余额减少10.55亿元（9月14日）,Wind
675,2021-09-15,交通银行8000亿元信贷支持成渝地区双城经济圈建设,中国金融新闻网
676,2021-09-14,涉未有效监督贷款资金用途等 交通银行新疆维吾尔自治区分行被罚款50万 金融监管处罚,中华网
677,2021-09-14,交通银行广西区分行：共享西部陆海新通道新机遇,中国金融新闻网
678,2021-09-14,交通银行首笔全国碳排放权质押融资业务落地青岛,中国网
679,2021-09-14,交行重庆市分行：“多点多面”推进金融知识普及工作,上游新闻
680,2021-09-13,交通银行：9月17日下午参加“上市公司集体接待日暨中报业绩说明会”活动,Wind
681,2021-09-13,交通银行跨境理财通业务整装待发,新浪
682,2021-09-13,交通银行独立董事张向东一行到陕煤集团交流座谈,中国煤炭工业协会
683,2021-09-13,A股融资融券日报：两融余额增加34.89亿元（9月10日）,Wind
684,2021-09-12,交通银行开展反诈拒赌专项活动 上半年拦截电信诈骗转账逾5000万元,金融界
685,2021-09-11,8月金融数据基本触底，货币政策仍有发力空间,Wind
686,2021-09-10,交行广东：“跨境理财通”落地， 聚焦跨境金融及财富管理,奥一网
687,2021-09-10,上半年成功拦截电信诈骗转账逾5000万元 交通银行开展反诈拒赌安全支付专项活动,中国网
688,2021-09-10,交通银行邵阳分行：聚焦“主战场” 跑出“加速度”,搜狐
689,2021-09-10,交通银行成功上线快易付秒放业务,深圳新闻网
690,2021-09-10,二季度银行业消费投诉大增25%，主要来自两项业务,Wind
691,2021-09-10,交通银行服贸会成果发布“CIPS+交行跨境金融综合服务方案”助力跨境业务多方共赢,北京青年报
692,2021-09-09,交通银行今日大宗交易成交280万股，成交价4.11元折价9.87%,Wind
693,2021-09-09,交通银行信用卡携手天猫，双重优惠震撼来袭,中国网
694,2021-09-09,银行财眼丨二季度银行业消费投诉榜：交通银行两项投诉居国有大行第一,凤凰网
695,2021-09-09,8000亿元信贷支持成渝地区双城经济圈建设 交通银行与四川省人民政府签署战略合作协议,和讯
696,2021-09-09,交通银行二季度每千营业网点投诉量位列国有大型商业银行第一,中国经济网
697,2021-09-09,银保监会：二季度共接收并转送银行业消费投诉84424件，同比增长25.5%,Wind
698,2021-09-09,A股融资融券日报：两融余额增加95.45亿元（9月8日）,Wind
699,2021-09-09,30万亿银行理财面临大洗牌：大行忙整改，小行转代销,Wind
700,2021-09-08,交通银行今日大宗交易成交270万股，成交价4.08元折价10.53%,Wind
701,2021-09-08,天风证券：维持交通银行(601328.SH)“增持”评级 目标价5.85元,智通财经
702,2021-09-08,“营改非”前禁招生！“双减”下的新学期，教培迎更强监管,Wind
703,2021-09-08,交通银行携创新产品亮相服贸会,中国金融新闻网
704,2021-09-07,服贸观止｜北京市金融局与交通银行共同成立北京市“两区”金融创新联合实验室,北京商报
705,2021-09-07,天风证券维持交通银行增持评级：业绩增速大幅回升，财富管理成效渐显，目标价5.85元,每日经济新闻
706,2021-09-07,助力金融创新 市金融监管局与交通银行共同成立北京市“两区”金融创新联合实验室,金融界
707,2021-09-07,交通银行与长沙市政府签订“十四五”合作框架协议：以数字人民币为切入点,财联社
708,2021-09-07,打造四大业务特色 持续推进数字化转型——交通银行上半年业绩稳中向好,中国网
709,2021-09-07,数万亿元信贷资金投向哪里？透视六大行资金流向之变,Wind
710,2021-09-07,11家上市银行按揭贷款“踩红线”，涉房贷款继续“瘦身”,Wind
711,2021-09-06,交通银行与四川省政府签全面战略合作协议,证券时报网
712,2021-09-06,第十届金交会将于9月17日开幕，广期所将首次亮相,Wind
713,2021-09-06,中国支付通(08325.HK)与交通银行上海分行签署战略合作协议,格隆汇
714,2021-09-06,中国支付通：间接全资附属公司和交通银行上海市分行签署战略合作框架协议,Wind
715,2021-09-06,多家银行涉房贷款仍踩红线,Wind
716,2021-09-06,长沙市在沪举办推介会，43个项目签约、总投资582.7亿,Wind
717,2021-09-06,数字化赋能高质量发展 交通银行打造四大业务特色,中国经营报
718,2021-09-06,金融定点扶贫 | ?脚下即前方——交行定点扶贫实录,央行
719,2021-09-06,六大国有银行不良贷款率均下降，前瞻性指标稳中向好,Wind
720,2021-09-06,交行重庆市分行： 走“实”又走“心” 高效为民解忧,上游新闻
721,2021-09-04,金融科技校招火热 农行、交行、度小满等加大对金融科技人才招聘力度,凤凰网
722,2021-09-04,【银期指南】交通银行,徽商期货
723,2021-09-04,海内外企业同台竞技，数字贸易成服贸会最强风口,Wind
724,2021-09-03,【异动股】交通银行(03328.HK)涨3.15%,财华社
725,2021-09-03,上半年实现净利420亿劲增15.1% 交行高质量发展打造“十四五”良好开局,华夏时报
726,2021-09-03,交通银行数字人民币服务模块亮相2021服贸会,上证报
727,2021-09-03,利润增厚转型提速，银行中报理财业绩抢眼,Wind
728,2021-09-03,六大行上半年“揽储地图”：农行交行偏爱长三角 邮储行倚重中西部,证券日报
729,2021-09-03,推进高质量发展 实现“十四五”良好开局,经济日报
730,2021-09-03,国有六大银行上半年“揽储地图”： 农行交行偏爱长三角 邮储行倚重中西部,证券日报
731,2021-09-03,“数字交行 服务北京”交通银行亮相2021服贸会,北京青年报
732,2021-09-02,债券重大事件2021年9月2日星期四,Wind
733,2021-09-02,交通银行(03328)调整境内优先股票面股息率为4.07%,智通财经
734,2021-09-02,交通银行：自9月7日起，境内优先股第二个股息率调整期的基准利率为2.70%,Wind
735,2021-09-02,交通银行(03328)拟10月4日全部赎回于2026年到期的二级资本债券下未偿付债券,智通财经
736,2021-09-02,交通银行：将赎回5亿欧元于2026年到期二级资本债券所有未偿付部分,Wind
737,2021-09-02,人民币活期同业存款占比提升2.1个百分点 交通银行上半年净息差逆势上涨,华夏时报
738,2021-09-02,高净值财富大爆发，招行突破3万亿，平安半年增长19%领先,Wind
739,2021-09-02,海南交行落地首单“第三国采购货物”业务,证券导报
740,2021-09-02,16天内，国常会两议“跨周期调节”，深意是什么？,Wind
741,2021-09-02,交通银行(03328.HK)获董事任德奇增持10万股,格隆汇
742,2021-09-02,银行涉房类贷款半年考：超六成占比下降，招行兴业等7家双指标越线,Wind
743,2021-09-01,交通银行(601328)首次覆盖：资产质量改善明显 净息差环比小幅提升,新浪
744,2021-09-01,上半年银行调整房地产贷款集中度进展如何：5家银行仍踩红线,Wind
745,2021-09-01,每日理财观察：8月制造业PMI保持扩张，稳增长力度将加大,Wind
746,2021-09-01,招行人均月收入5.8万！超半数银行薪酬总盘子两位数增长,Wind
747,2021-09-01,逐鹿百万亿元财富管理市场，商业银行角力私行业务,Wind
748,2021-09-01,信用债日报：地产债多数下跌，宝马16.33亿购下华晨汽车制造,Wind
749,2021-08-31,同比大增15.1%！ 交行上半年净利润超420亿,每日经济新闻
750,2021-08-31,逾700家上市公司上半年炒493只A股：哪些亏损，哪些赚钱？,第一财经
751,2021-08-31,新希望：招商证券、交通银行等25家机构于8月31日调研我司,证券之星
752,2021-08-31,交通银行与浦东新区签署《支持浦东新区打造社会主义现代化建设引领区全面战略合作协议》,中证网
753,2021-08-31,国有银行半年考：工行稳坐头椅，交行人均薪酬 16 万，还有两大行房贷“踩红线”,ZAKER
754,2021-08-31,建行、交行、中信银行回应15号文影响：业务影响有限,Wind
755,2021-08-31,建行、交行、中信银行回应15号文影响：业务影响有限,21世纪经济报道
756,2021-08-31,帮助老年人跨越数字化鸿沟 交通银行陕西省榆林分行适老金融服务渐入佳境,中国金融新闻网
757,2021-08-31,交通银行大连分行违法被罚 贷后管理不尽职 金融监管处罚,中国经济网
758,2021-08-31,打造四大业务特色 加力服务实体经济 交行2021年中期业绩发布会综述,新浪
759,2021-08-31,交通银行2021上半年净利润420.19亿元 业绩表现稳中向好,证券日报
760,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
761,2021-08-31,交通银行山西省分行力促普惠金融再提速,证券日报
762,2021-08-31,上半年近九成银行不良率下降，房地产行业不良率骤增,Wind
763,2021-08-30,大连银保监局：对交通银行大连分行作出行政处罚，罚款30万元,Wind
764,2021-08-30,国有六大行上半年日赚35亿元，净息差普遍收窄,Wind
765,2021-08-30,交通银行(601328.SH)将于9月7日派发优先股股息每股3.9元,智通财经
766,2021-08-30,交通银行：拟于9月7日派发境内优先股股息,Wind
767,2021-08-30,【券商聚焦】高盛维持工行、建行买入评级 惟予交行沽售评级,凤凰网
768,2021-08-30,额度告急！部分一线城市二手房房贷排队到明年,Wind
769,2021-08-30,大行评级 | 瑞信：交通银行(3328.HK)中期业绩符预期 维持中性评级,格隆汇
770,2021-08-30,大行评级 | 瑞银：维持对交通银行(3328.HK)中性评级 目标价为5.2港元,格隆汇
771,2021-08-30,瑞银：维持交通银行(03328)“中性”评级 目标价5.2港元,智通财经
772,2021-08-30,瑞信：维持交通银行(03328)“中性”评级 目标价4.9港元,智通财经
773,2021-08-30,交通银行：计划于10月24日赎回260亿元“11交行01”,Wind
774,2021-08-30,交通银行上半年营收增5.6% 支付员工薪酬福利总额增11%,中国经济网
775,2021-08-30,交通银行不断增厚发展安全垫 四大业务特色打造显成效,和讯
776,2021-08-30,美银证券：重申交行(3328.HK)跑输大市评级 目标价上调至5.5港元,格隆汇
777,2021-08-30,美银证券：重申交通银行(03328)“跑输大市”评级 目标价上调4.7%至5.5港元,智通财经
778,2021-08-30,交行：加强息差管理，利息净收增6.28%,金融界
779,2021-08-30,交通银行推出“交薪通”数字化薪酬代发综合金融服务,中国网
780,2021-08-30,交通银行(601328)：不良下降拨备提升 盈利能力稳步改善,新浪
781,2021-08-30,偏爱金融股，“长线资金”布局路线图浮现,Wind
782,2021-08-30,交通银行：上半年理财产品平均余额4840.76亿元，环比下降38.14%,Wind
783,2021-08-29,详解交通银行21年中报： 息差平稳，代销和理财收入高增，净利润同比增15%【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
784,2021-08-29,下周行情稳了！免税龙头半年大赚53亿，长城汽车业绩暴增200%，银行业赚翻,Wind
785,2021-08-28,8年来业绩最佳！交行高管详解未来数字人民币业务布局,中国证券网
786,2021-08-28,交通银行山东省分行党委委员、副行长赵秀军一行走访时风集团,中国机经网
787,2021-08-28,上市公司正负面新闻2021年8月28日星期六,Wind
788,2021-08-28,大行上半年“成绩单”出炉，多重因素助推利润增速显著回升,Wind
789,2021-08-28,昌吉银保监局：对中国人民财险昌吉州分公司下属机构昌吉市支公司作出行政处罚，罚款12万元,Wind
790,2021-08-27,直击业绩会|交行将海航集团全部贷款下迁为不良 致交通运输业不良余额上升,财联社
791,2021-08-27,交行副行长郭莽：6月末结构性存款余额较上年末减少8.12%，全年计划压降1～2千亿,每日经济新闻
792,2021-08-27,交通银行净利润增速创近9年新高 财富管理五大优势凸显,和讯
793,2021-08-27,晚间要闻2021年8月27日星期五,Wind
794,2021-08-27,半年报亮相，交行高管发声！谈了理财业务整改进度、房地产贷款不良率上升原因、数字人民币试点进展,中证报
795,2021-08-27,持续优化业务结构 深度服务实体经济 交通银行发布2021年半年度经营业绩,中国金融新闻网
796,2021-08-27,交通银行上半年落地13万个数字人民币应用场景 累计交易约25亿元,证券时报网
797,2021-08-27,交行上半年归母净利润同比增长15.10%至420.19亿元 财富管理中收同比增长24%,中证网
798,2021-08-27,晚间重要公告2021年8月27日星期五,Wind
799,2021-08-27,13家银行签署绿色金融《负责任银行原则》，大银行半数缺席,Wind
800,2021-08-27,交行：加快高收益非房个人贷款投放，净息差预计保持总体稳定,澎湃新闻
801,2021-08-27,交通银行信用卡上半年累计消费额14515.56亿元 同比增长2.62%,中国网
802,2021-08-27,交行刘珺：银行应关注如何在双循环格局下提升服务实体经济的能力,新浪
803,2021-08-27,如何做好财富管理业务？周万阜谈交行具有五个优势,新浪
804,2021-08-27,交行郭莽：交银理财行外代销规模在理财子公司中排名第一,新浪
805,2021-08-27,交通银行郭莽：业绩延续了“稳中有进、稳中提质”的向好态势,新浪
806,2021-08-27,交通银行：建议委任股东监事,Wind
807,2021-08-27,交通银行：将对人口净流出地区和高杠杆高负债的房地产企业加快减退,财联社
808,2021-08-27,交通银行：上半年净利润同比增长15.1%,Wind
809,2021-08-27,交通银行上半年归母净利润同比增长15.10%至420.19亿元,智通财经
810,2021-08-27,交通银行：将适度加大收益率相对较高的债券等非信贷品种投资,财联社
811,2021-08-27,交行上半年净利420亿增15.1%，不良贷款一升一降,澎湃新闻
812,2021-08-27,上汽集团、中国宝武、交通银行、立邦中国等企业上榜,中经导报
813,2021-08-27,交通银行发布2021年半年报 实现净利润同比增长15.10%。,经济日报
814,2021-08-27,交通银行上半年净利润增长15.1%，不良贷款率下降0.07个百分点,中华网
815,2021-08-27,交通银行上半年实现净利润420.19亿元 同比增长15.1%,证券时报网
816,2021-08-27,交通银行(601328.SH)上半年归母净利润升15.10%至420.19亿元,格隆汇
817,2021-08-27,交行上半年实现净利420.19亿元 不良率、逾期贷款率双降,北京商报
818,2021-08-27,交通银行上半年度净利润同比增15% 创八年来最佳,上证报
819,2021-08-27,坚持推进高质量发展 实现“十四五”良好开局 交通银行发布2021年半年度经营业绩,中国网
820,2021-08-27,交通银行(03328.HK)中期归母净利润增长15.1%至人民币420.19亿元,财华社
821,2021-08-27,交通银行(03328.HK)：上半年手续费及佣金净收入249.7亿元人民币,新浪
822,2021-08-27,交通银行(03328.HK)：上半年不良贷款率1.60％。,新浪
823,2021-08-27,交通银行：中期盈利420.19亿人民币，同比增长15.1%,Wind
824,2021-08-27,交通银行半年报：上半年净利润420.19亿元，同比增长15.1%,Wind
825,2021-08-27,上海百强企业榜出炉：21家企业营收超千亿元 上汽宝武交行绿地太保领跑,新浪
826,2021-08-27,港股投资日历：中芯国际、比亚迪股份、中兴通讯、交通银行等公布财报,Wind
827,2021-08-26,【3328】交行上半年多赚15%至420亿元人民币 | 头条金融网,头条日报
828,2021-08-26,交行山东省分行发行系统内首单革命老区振兴发展债务融资工具,中国金融新闻网
829,2021-08-26,交通银行“蒜黄贷”数字化赋能乡村振兴,和讯
830,2021-08-26,交行海口海府路支行 多举措开展金融知识宣传,证券导报
831,2021-08-26,交行助力海南地方政府债券多渠道发售,证券导报
832,2021-08-26,A股融资融券日报：两融余额增加45.62亿元（8月25日）,Wind
833,2021-08-25,交通银行深圳分行特事特办快办为客户排忧,深圳新闻网
834,2021-08-25,交通银行主承销全国首批革命老区振兴发展债务融资工具,证券时报网
835,2021-08-25,监管出手！大行理财产品9月1日后所配资产不得采用成本法估值,Wind
836,2021-08-24,银行机构微博影响力哪家强？浦发银行跌出前十,新浪
837,2021-08-24,监管出手整治 “大数据杀熟” 建行、交行等六银行被罚超1700万,财富动力网
838,2021-08-24,东方臻善纯债债券型证券投资基金基金份额发售公告,证券时报
839,2021-08-23,【银华基金】交易日报2021-08-23,新浪
840,2021-08-23,财华洞察|加码消费业，恒指最新检讨结果对投资有何启示？,财华社
841,2021-08-23,妻子不同意丈夫把房产抵押反告交行贵港分行 一审驳回,中国经济网
842,2021-08-23,环球股市全日总结：8月23日,农银国际
843,2021-08-23,女子买理财却认为银行私吞其资产 交行吉林一支行反驳没这个事,运营商财经网
844,2021-08-23,ATFX港股：交通银行业务调整，股价跌破重要支撑,金融界
845,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
846,2021-08-23,银行本周聚焦：8家银行中报业绩如何？承销规则修订有何影响？,新浪
847,2021-08-23,金融监管政策周报（8.16-8.22）：规范信用债市场,Wind
848,2021-08-23,中金：腾讯及美团在恒指权重将增加，料福莱特等17股或纳港股通,格隆汇
849,2021-08-23,银行业投资观察：中报乐观 经营稳定,新浪
850,2021-08-23,【港股通】交通银行(03328)遭剔除蓝筹 股价应声跌超3% 剔除指数,和讯
851,2021-08-23,交通银行违法被罚 违反信用信息采集等相关管理规定 金融监管处罚,中国经济网
852,2021-08-23,港股异动 | 交通银行(3328.HK)跌幅扩大至近3% 遭踢出蓝筹,格隆汇
853,2021-08-23,央行再出重拳，5大行被罚1541万，所为何因？,Wind
854,2021-08-23,交通银行：上调个人客户贵金属业务保证金比例,中华网
855,2021-08-23,A股融资融券日报：两融余额减少45.91亿元（8月20日）,Wind
856,2021-08-23,浦发银行获批参与设立国家绿色发展基金，出资70亿,资本邦
857,2021-08-23,央行再度重拳出击 5家大行被罚1541万所为何因？,券商中国
858,2021-08-23,期市投资参考：8月23日24时成品油价格下调，8月24日生猪场外交易开启,Wind
859,2021-08-23,港股盘前必读：港交所将于10月18日推出MSCI中国A50互联互通指数期货,Wind
860,2021-08-23,陆家嘴财经早餐2021年8月23日星期一,Wind
861,2021-08-23,强美元情绪重燃，人民币回落，交易员静候全球央行年会,Wind
862,2021-08-22,央行重罚5家银行：建设银行被罚388万 华夏银行被罚486万 金融监管处罚,新浪
863,2021-08-22,显著加仓港股！全球TOP20基金这样布局中国,Wind
864,2021-08-22,剑指信用信息管理不善等 建设银行等5家银行领罚单,新浪
865,2021-08-22,市场波动风险提升 两家银行上调“炒金炒银”保证金比例,北京商报
866,2021-08-22,迪丽热巴、王一博等入场代言信用卡,GPLP犀牛财经
867,2021-08-22,交行建行华夏银行兴业银行邮政银行被处罚！涉违规信息采集等 金融监管处罚,奥一网
868,2021-08-22,罚款合计1541万 央行出手，邮储、建行、交行、华夏、兴业银行被罚,中华网
869,2021-08-22,违反信用信息采集等规定 交通银行被央行罚款62万 金融监管处罚,中华网
870,2021-08-22,违反账户管理相关规定 邮储银行被央行罚款600万 5人同时被罚,中华网
871,2021-08-21,罚款超1700万！央行、银保监出手，建行、交行、光大等六银行“栽了”！ 金融监管处罚,中国基金报
872,2021-08-21,因信用信息采集等违规，4家银行合计被央行罚款1153万元 金融监管处罚,澎湃新闻
873,2021-08-21,罚款总额1588万元！央行开出11张罚单，涉及5家银行 金融监管处罚,中国银行保险报
874,2021-08-21,深圳劲嘉集团股份有限公司 2021年前三季度业绩预告,证券日报
875,2021-08-20,【银华基金】交易日报 2021-08-20,新浪
876,2021-08-20,2020年大型商业银行大比拼：工行资产破33万亿 交行不良率明显上升,清华金融评论
877,2021-08-20,违反账户管理相关规定！建行等5家银行被央行罚没1541万！ 金融监管处罚,新浪
878,2021-08-20,未来五年A股预期回报率高于美股！贝莱德这样看中国市场投资机会,Wind
879,2021-08-20,注意！5家银行违反信用信息采集、查询或账户管理相关规定 央行出手处罚 金融监管处罚,每日经济新闻
880,2021-08-20,恒生指数公司：将李宁、招行、信义玻璃纳入恒指，剔除交行,Wind
881,2021-08-20,交通银行调整上海黄金交易所代理个人交易业务相关合约保证金比例,Wind
882,2021-08-20,交通银行发布关于调整上海黄金交易所代理个人交易业务相关合约保证金比例的通知,金十数据
883,2021-08-20,交通银行绿色低碳主题信用卡“绿动”来袭，助力实现碳中和、碳达峰,投资家
884,2021-08-20,贝莱德两大境内主体将发股票产品，看看投资布局思路有何不同？,Wind
885,2021-08-20,大卖90亿！这类公募产品又炸了，再创首发新纪录,Wind
886,2021-08-20,公募FOF再出爆款产品，90亿再创首发新纪录！,中国基金报
887,2021-08-20,大卖90亿！这类公募产品又炸了，再创首发新纪录！今年销售大爆发,中国基金报
888,2021-08-20,资本超110亿，国民养老保险诞生！10银行组团入股,Wind
889,2021-08-19,北向资金年内第三次单日净卖出超百亿，中国平安遭大幅抛售超18亿,Wind
890,2021-08-19,ATFX港股：交通银行近期持续震荡，上行周期或接近尾声,金融界
891,2021-08-19,海南交行营业部将服务客户落到实处,证券导报
892,2021-08-19,社保基金去年大赚3800亿，上半年加仓名单出炉,Wind
893,2021-08-18,【银华基金】交易日报 2021-08-18,新浪
894,2021-08-18,六大行人均效能全比拼！人均净利润最高的银行，人均薪酬也最高,丁丁创e
895,2021-08-18,6家银行新增百亿授信，苏宁易购新战略再获资金支持,Wind
896,2021-08-18,个人贷款变相购房！交行、工行等吃罚单,中新经纬
897,2021-08-18,交行推出“惠民就医”！揭秘“码”上就医的金融普惠产品,第一财经
898,2021-08-18,提速数字化转型、发展绿色金融：交行谋高质量发展,中新网
899,2021-08-18,交通银行2021半年度业绩：净利超420亿元 同比增15.10%,中新网
900,2021-08-17,六大行人均效能全比拼:人均营收交行最高、建行排其次,新浪
901,2021-08-17,标普上调交行、中信等五家银行评级展望 银行评级质量有望提升,新浪
902,2021-08-17,经营贷炒房？广佛银行收13张巨额罚单，机构和个人一起罚 金融监管处罚,南都报
903,2021-08-17,2021年7月房地产数据点评：房价涨幅全面放缓,新浪
904,2021-08-17,每日理财观察：中国7月份宏观经济数据出炉,Wind
905,2021-08-16,【银华基金】交易日报 2021-08-16,新浪
906,2021-08-16,交通银行(03328.HK)：董事会将于二零二一年八月二十七日（星期五）举,新浪
907,2021-08-16,交通银行(03328.HK)8月27日举行董事会会议审批中期业绩,格隆汇
908,2021-08-16,交通银行：董事会将于8月27日举行董事会会议,Wind
909,2021-08-16,《中国金融》｜银行数字化转型与软件测试价值,中国金融杂志
910,2021-08-16,交通银行测试中心叶旻：银行数字化转型与软件测试价值,中国金融杂志
911,2021-08-16,2020上市银行信用卡：发卡量两极分化、投诉占比过半、不良普升,新浪
912,2021-08-16,交通银行助力企业跨境资金一键触发,和讯
913,2021-08-16,王一博代言交通银行信用卡 监管曾警示明星代言风险,GPLP犀牛财经
914,2021-08-16,商业银行如何支持碳中和,中保网
915,2021-08-15,38岁天才科学家掌舵，三年半累亏30亿，第四范式冲刺港股IPO 亏损,钛媒体
916,2021-08-14,交通银行山西省分行以投资银行模式开启实体经济融资新模式,证券时报网
917,2021-08-13,交通银行(03328.HK)拟召开2021年中期业绩发布会,格隆汇
918,2021-08-13,交通银行：8月27日召开2021年半年度业绩发布会,中证网
919,2021-08-13,华西证券上半年净利9.3亿增长不到1% 人均薪酬24万,中国经济网
920,2021-08-13,科技赋能助力交行小微金融服务扩面降本,金融界
921,2021-08-13,选基不累，更要有靠谱的FOF,包子君
922,2021-08-13,从“一折购基”到“C份额0元购” 交通银行发力基金代销,中国基金报
923,2021-08-13,恒泰财经早餐8月13日（音频版）,恒泰睿财
924,2021-08-13,华西证券股份有限公司2021半年度报告摘要,证券时报
925,2021-08-12,指数的暗示：银行理财人气意外跑赢股票，“转型牛”还有哪些机会？,上证报
926,2021-08-12,7月金融数据点评：未来信贷投放可能相对积极，不排除年内仍有全面或定向降准的可能,金融界
927,2021-08-12,"交通银行现1笔大宗交易 共成交4,558.00万元",新浪
928,2021-08-12,交通银行主动出击打出金融“战疫”组合拳,和讯
929,2021-08-12,交行再发王一博信用卡广告 明星信用卡曾被银保监会警示,AI财经社
930,2021-08-12,卖保险出问题！监管出手重罚，北京银行、交通银行榜上有名 金融监管处罚,证券之星
931,2021-08-12,上半年交行高管变动频繁，传递什么信号？,新浪
932,2021-08-12,贷款违规用于购房 交通银行、工商银行被罚80万元 金融监管处罚,中金在线
933,2021-08-12,每日理财观察：中国7月M2同比增长8.3%，新增人民币贷款1.08万亿,Wind
934,2021-08-12,逐渐趋向互联网化，传统基金销售渠道谋变突围,Wind
935,2021-08-12,逐渐趋向互联网化 传统基金销售渠道谋变突围,上证报
936,2021-08-11,交行年内已补充四位高管，能否一解经营之困？|银行观察,新浪
937,2021-08-11,交行加入0元购战局！基金保有量透明化倒逼，行业代销生态剧变,搜狐
938,2021-08-11,交通银行今日大宗交易成交670万股，成交价4.3元折价1.83%,Wind
939,2021-08-11,"交通银行现1笔大宗交易 共成交2,881.00万元",新浪
940,2021-08-11,【首席视野】交通银行唐建伟：PPI难以形成持续上涨趋势,和讯
941,2021-08-11,债券承销又现“地板价”：广发银行600亿金融债，申万宏源仅收6万元,第一财经
942,2021-08-11,Airwallex空中云汇与交通银行上海市分行签署战略合作协议,中国金融新闻网
943,2021-08-11,上海银保监局：对交通银行上海市松江支行作出行政处罚，罚款30万元,Wind
944,2021-08-11,部分个人贷款变相用于购房等 交行上海松江支行被处罚30万 金融监管处罚,中华网
945,2021-08-11,交通银行为华岳集团成功接入CIPS标准收发器,大众日报
946,2021-08-11,这家国有大行放大招！超1300只基金0元购，啥情况？,Wind
947,2021-08-11,这家国有大行放大招！超1300只基金0元购，啥情况？,中国基金报
948,2021-08-10,交通银行零售与私人业务总监王锋任职资格获批,北京商报网
949,2021-08-10,“只有银行不知道”，上海网签受阻客户依然无法适用旧房贷利率,Wind
950,2021-08-10,银行机构微博影响力哪家强？中信银行跌出前十,新浪
951,2021-08-10,交通银行上海市松江支行被罚30万：部分个人贷款变相用于购房等,新浪
952,2021-08-10,1传35！扬州出现3代传播，累计确诊394例！南京4个月大女婴确诊！全国疫苗接种近18亿剂次,券商中国
953,2021-08-10,快讯｜交通银行：业务总监王锋任职资格已获核准,财经网
954,2021-08-10,交通银行(601328.SH)：高管王锋任职资格获银保监会核准,格隆汇
955,2021-08-10,交通银行(601328.SH)业务总监王锋任职资格已获中国银保监会核准,智通财经
956,2021-08-09,海外信用评级汇总2021年8月9日星期一,Wind
957,2021-08-09,银行行业周报：结构性存款余额创新低 关注中报超预期个股,新浪
958,2021-08-09,郑商所：增加银行承兑汇票作为厂库仓单担保方式,Wind
959,2021-08-09,标普：上调交通银行等五家中国银行评级展望,财联社
960,2021-08-09,迪普科技(300768)：中报符合预期 运营商安全建设有望加速,新浪
961,2021-08-09,7月CPI今公布，洪涝灾害影响几何？,Wind
962,2021-08-08,不限次数、个人免手续费，多家银行扎堆大额存单线上转让功能意欲何为,北京商报
963,2021-08-08,一财首席调研：8月信心指数52.28 贸易顺差超经济学家预期,第一财经
964,2021-08-08,农发行新疆分行与交通银行新疆分行全面合作服务乡村振兴,中国县域经济报
965,2021-08-08,破解个人资产配置难题，公募FOF成“香饽饽”,21世纪经济报道
966,2021-08-07,围堵经营贷流入房地产，各地监管溯源严查开罚单,Wind
967,2021-08-07,食品价格回落，7月CPI有望重回“0”时代,Wind
968,2021-08-06,交通银行(03328)：钱斌已出任副行长,智通财经
969,2021-08-06,老“工行”钱斌获批任职交通银行副行长,金融界
970,2021-08-06,交通银行：交通银行副行长钱斌任职资格获批,中国网
971,2021-08-06,快讯 | 交通银行：钱斌副行长的任职资格获核准,财经网
972,2021-08-06,交通银行(601328.SZ)钱斌任副行长的任职资格已获中国银保监会核准,智通财经
973,2021-08-06,数字人民币有哪些应用场景？这个论坛说会有支付手套和徽章,澎湃新闻
974,2021-08-06,8月流动性月报：MLF利率对NCD的引导还有效吗？,新浪
975,2021-08-05,继平安银行之后，招商证券“试水”基金申购费打一折,Wind
976,2021-08-05,"交通银行现1笔大宗交易 共成交3,017.00万元",新浪
977,2021-08-05,2021年头部银行这样引爆对公业务增长,中国电子银行网
978,2021-08-04,中签率有望超10%！上海、苏州市民周五行动起来！,Wind
979,2021-08-04,最新！银行App月活排行榜 工行农行建行位列前三,新浪
980,2021-08-04,固定收益点评：如何看待降息的可能性,新浪
981,2021-08-04,信用卡业务成投诉“重灾区” 一季度哪些银行被投诉最多？,奥一网
982,2021-08-04,“交行速度”助力民企按下“快进键”,上游新闻
983,2021-08-04,交通银行手机银行、电话银行适老化升级，破解老年人“数字鸿沟”,和讯
984,2021-08-04,天隆“死磕”科华！先期涉及10个亿！冻结资金，查封股权3年！ 资产查封,medworld器械世界
985,2021-08-04,重大项目密集开工，基建投资将迎温和增长,Wind
