,2021-12-31,海螺水泥：持续节能降耗管控 保持竞争比较优势,新浪
1645,2021-01-12,北向资金连续4日净买入A股，增持银行股，出逃白酒股（名单）,21世纪经济报道
1646,2021-01-12,早知道：钛白粉价格连涨7个月；智能网联汽车迎来路测规范文件,e公司
1647,2021-01-12,【中证盘前】这些公司预计2020年净利翻倍！两公司上调钛白粉售价；蔚来涨逾6%再创新高,中证报
1648,2021-01-12,关注超跌核心标的,华龙掘金
1649,2021-01-11,【招商策略】公募基金发行扩张，美债收益率大幅上行——金融市场流动性与监管动态周报,招商策略研究
1650,2021-01-11,机构抱团首现松动，龙头股跌倒一片！卖沪买深，外资逆势抄底释放什么信号？,证券时报网
1651,2021-01-11,北向资金合计净流入8.94亿元，招商银行、比亚迪、东方财富净买入居前,上游新闻
1652,2021-01-11,一文看清北上、南下资金调仓动向,Wind
1653,2021-01-11,龙头效应不降温个股或强者恒强,搜狐
1654,2021-01-11,刚刚下班、即将下班或是又要加班的你需要知道这些大事,第一财经
1655,2021-01-11,北上资金净流入8.94亿 招商银行净买入9.21亿,e公司
1656,2021-01-11,格隆汇个股放量排行榜|1月11日,格隆汇
1657,2021-01-11,建材行业周报：布局顺周期建材核心资产,新浪
1658,2021-01-11,建筑材料行业周报：玻纤“十四五”规划严控产能 关注石膏板行业基本面变化,新浪
1659,2021-01-11,建材行业周报：玻纤行业“十四五”期间格局将持续优化,华安证券
1660,2021-01-11,建筑材料行业跟踪周报：玻纤强者恒强 周期建材预期修复,新浪
1661,2021-01-11,建筑材料：春季行情有望来临，继续推荐顺周期和消费建材品种，维持“强于大市”评级,天风证券
1662,2021-01-11,建筑材料行业：历史上“春季躁动”的启示,广发证券
1663,2021-01-11,华龙内参2021年第6期 总第837期,新浪
1664,2021-01-11,13股获北向资金增持额超3亿元,证券时报网
1665,2021-01-11,恒指高开0.45% 环保工程板块领涨,中新经纬
1666,2021-01-11,西南水泥、海螺水泥强强联手！或合力推进新材料产业园建设,中国水泥网
1667,2021-01-11,视点 | 中邮智赢俱乐部视点,中邮证券
1668,2021-01-11,北向资金一周动向盘点：放大量，战略性调仓,Wind
1669,2021-01-11,北上资金扫货周：农林牧渔重点加仓 32股成交活跃,证券时报
1670,2021-01-11,核心资产还能不能追？北上资金给出答案！,证券时报网
1671,2021-01-11,脉冲行情之后将迎来震荡,华龙掘金
1672,2021-01-11,安信基金2股基上月跌超3% 安信盈利驱动份额缩水66%,中国经济网
1673,2021-01-11,两融透析：融资加速流入 热点逐步扩散,财富动力网
1674,2021-01-11,北上资金净流入近200亿 32股登上成交活跃榜,证券时报
1675,2021-01-10,郑眼看盘：“抱团”有松动 冷门或低位股普涨,每日经济新闻
1676,2021-01-10,周末重磅：全面注册制将至，固态电池站上风口，军工再现高景气信号,腾讯网
1677,2021-01-10,格隆汇个股放量排行榜 | 1月10日,格隆汇
1678,2021-01-10,北上资金重点加仓股名单来了！“吊牌大王” 股价跌跌不休，聪明资金悄悄抄底，杀入资金超4亿！看好A股？,金融界
1679,2021-01-10,北上资金重点加仓股名单来了！看好A股？北上资金单日买入创纪录,证券时报网
1680,2021-01-09,“躁动”的北向资金新年首周净买入逾191亿元，重点布局白马股（附股）,21世纪经济报道
1681,2021-01-09,中国建筑材料行业上市企业市值排行榜揭晓，22家企业超百亿,奥一网
1682,2021-01-09,格隆汇个股放量排行榜 | 1月9日,格隆汇
1683,2021-01-09,两百亿外资昨天新进场，他们买了什么？,上证报
1684,2021-01-09,核心资产还能不能追？追哪个？北上资金给出了答案,新浪
1685,2021-01-09,白酒股暴跌1700亿，却现四大向好信号！外资趁机扫货,券商中国
1686,2021-01-09,大批股民“踩雷”这只科技股，39亿资金撤离光伏龙头！,证券时报
1687,2021-01-09,北向资金紧急上车净买入206亿元 深股通、机构席位疯狂博弈海康威视,大众证券报
1688,2021-01-09,中证报头版：新年首周A股三大股指飘红藏玄机,Wind
1689,2021-01-08,疯狂扫货：不惧指数回调，北向资金净流入206亿创历史次高,澎湃新闻
1690,2021-01-08,沪港通十大成交活跃股排名（1月8日）,Wind
1691,2021-01-08,大批股民“踩雷”天迈科技，39亿资金撤离光伏龙头！“抄底”200亿？北上资金罕见秀大操作，万亿巨头被抢筹,证券时报网
1692,2021-01-08,北水爆买中移动111亿，卖小米14亿；南水加仓茅台，抛五粮液,富途证券
1693,2021-01-08,北向资金今日扫货超200亿 创历史次高纪录,券商中国
1694,2021-01-08,“聪明资金”大举扫货：北向资金今日净流入超200亿元,第一财经
1695,2021-01-08,1月8日主力资金净流出498亿元,证券时报网
1696,2021-01-08,北向资金狂买A股206亿元，贵州茅台获净买入超12亿元！,21世纪经济报道
1697,2021-01-08,贵州茅台今日获北向资金净买入12.53亿元,e公司
1698,2021-01-08,格隆汇个股放量排行榜|1月8日,格隆汇
1699,2021-01-08,北向资金今日净买入206.15亿元，海螺水泥、上汽集团净买入额创历史新高,Wind
1700,2021-01-08,撕裂的牛市！狂欢的机构、落寞的散户，武超则断言龙头泡沫化不会变！陈李提醒不要在“泥沙”里找“金子”！,金融界
1701,2021-01-08,巨丰资金流向：市场高位调整加速资金撤离 424亿主力资金再出逃！,巨丰财经
1702,2021-01-08,水运+进口！海螺又一战略布局！年进口熟料300万吨！,数字水泥
1703,2021-01-08,建筑材料行业点评：水泥“碳交易”时代或临近 利好供给总量把控和优质龙头,新浪
1704,2021-01-08,【异动股】海螺水泥(00914-HK)涨3.14%,财华社
1705,2021-01-08,晨会聚焦210201重点关注种业深度报告、中国中免、钢铁、轻工、中芯国际-U、远大医药、中国中药、快手科技、宇通客车、华测检测,国信研究
1706,2021-01-08,多只低估值绩优股获机构抱团,证券时报网
1707,2021-01-08,来了！机构抱团这些低估值绩优股,第一财经
1708,2021-01-08,7000亿“油茅”力压海天，机构抱团的低估值股来了（名单）,新浪
1709,2021-01-07,迪迈科技为海螺水泥智能矿山建设再出征！,中国水泥网
1710,2021-01-07,海螺水泥大宗交易成交307.23万元,证券时报网
1711,2021-01-07,沪深300突破上轮牛市高点！A股核心资产受追捧（附股）,搜狐
1712,2021-01-07,进口水泥熟料规模300万吨！海螺水泥南通将建新码头 吞吐量1230万吨！,中国水泥网
1713,2021-01-07,三大股指悉数翻绿 主力盘中撤离这些个股,第一财经
1714,2021-01-07,国信证券：水泥板块低估值优势凸显 建议把握区域结构性机会,证券时报网
1715,2021-01-07,天山股份、海螺水泥等因何集体大涨？专家称因限电措施影响产能,中国水泥网
1716,2021-01-07,晨会聚焦210107重点关注十部委《关于加强和改进住宅物业管理工作的通知》快评、中矿资源、水泥板块大涨快评,国信研究
1717,2021-01-07,【信达看盘】2021.1.7,信达证券上海
1718,2021-01-07,融资客青睐5股，福星股份买入占比高达40.73%,Wind
1719,2021-01-07,A股早报2021年1月7日星期四,Wind
1720,2021-01-06,券商披露1月金股组合：可选消费与顺周期公司成首选,大众证券报
1721,2021-01-06,【6日资金路线图】主力资金净流出426亿元 龙虎榜机构抢筹华峰化学等15股,证券时报网
1722,2021-01-06,21股特大单净流入资金超2亿元 中国中车居首,第一财经
1723,2021-01-06,中字头突然爆发！A股连续三日破万亿后分歧来了，资金下注新周期春季躁动谁最“躁”？,金融界
1724,2021-01-06,主力资金：主力跑路新能源车龙头 出逃资金超16亿元,新浪
1725,2021-01-06,特斯拉又出大事？72亿资金紧急撤离，龙头股大跳水！一笔大单带火了它，股东5天户均躺赚超16万,证券时报网
1726,2021-01-06,今日这些个股异动 主力资金青睐银行股,第一财经
1727,2021-01-06,海螺水泥今日大宗交易成交5.93万股，成交价51.81元折价7.28%,Wind
1728,2021-01-06,重磅！12部门联手放大招，这类股要飞,证券之星
1729,2021-01-06,秦洪看盘｜热点演绎出现新特征，均衡配置让A股市场更稳健,澎湃新闻
1730,2021-01-06,港股收评：恒指走出V型行情，15只物业股暴涨超15%,格隆汇
1731,2021-01-06,巨丰投顾：3000个股下跌股市仍然红盘 行情有多火热？,新浪
1732,2021-01-06,1月6日复盘：五连阳后将迎空中加油 主力资金出击8股,新浪
1733,2021-01-06,热点淘金丨指数午后震荡回升 油服板块全天领涨,巨丰财经
1734,2021-01-06,涨停秘钥：“低碳生活”才是未来的主旋律,中金在线
1735,2021-01-06,1441亿资金争夺20股：主力资金重点出击8股(名单),新浪
1736,2021-01-06,收评：沪指五连阳 收涨0.63% 两市成交再破万亿,网易
1737,2021-01-06,沪指五连阳：前期两大热点哑火 银行股获24亿主力买入,新浪
1738,2021-01-06,【股市收盘】沪指与创业板指五连阳 油服板块领涨,上海有色
1739,2021-01-06,巨丰资金流向：高位调整引发市场分化 银行板块获18亿主力增持！,巨丰财经
1740,2021-01-06,巨丰微策略：3000个股下跌 股市仍然红盘 行情有多火热？,巨丰财经
1741,2021-01-06,机构资金今日流入61亿元 领买雅化集团逾37亿元,第一财经
1742,2021-01-06,海螺水泥涨近8%，建材板块继续走升,Wind
1743,2021-01-06,水泥错峰生产常态化，相关板块有望迎来估值回归丨牛熊眼,第一财经
1744,2021-01-06,主力资金丨雅化集团半日获买入21亿元 抛售半导体、券商,第一财经
1745,2021-01-06,水泥板块盘中异动拉升 天山股份涨逾8%,中国经济网
1746,2021-01-06,解盘：成交量放大，军工、基建、乳业、高端装备领涨,Wind
1747,2021-01-06,港股异动 | 建材水泥股普涨 中国建材(3323.HK)涨超4%,格隆汇
1748,2021-01-06,【异动股】海螺水泥(00914-HK)涨3.29%,财华社
1749,2021-01-06,快讯：水泥板块走高 天山股份涨6%,新浪
1750,2021-01-06,恒指低开0.13% 医疗保健设备板块领跌,中新经纬
1751,2021-01-06,水泥板块大涨快评：水泥板块低估值优势凸显，接力顺周期行情,国信研究
1752,2021-01-05,【国信建材|月度策略】非金属建材行业1月投资策略：淡季行业运行平稳，开春旺季可期,微信
1753,2021-01-05,建材行业周报：水泥错峰常态化 电石渣错峰产能置换或深化,华安证券
1754,2021-01-05,最新中国市值500强重磅出炉 腾讯位居中国市值500强第一 阿里第二,站长之家
1755,2021-01-05,建筑材料行业周报：玻璃超预期涨价 玻璃玻纤消费建材有望“春季躁动”,广发证券
1756,2021-01-05,【水泥行业专题】从边际到总量逻辑，好上加好到区域外溢,鲍大侠之建材
1757,2021-01-05,国君建材 | 水泥行业专题：从边际到总量逻辑，好上加好到区域外溢,国泰君安证券研究
1758,2021-01-04,水泥行业周报：12月4条熟料产线集中点火 错峰新政出台助格局优化,新浪
1759,2021-01-04,建材行业周报：逐步进入淡季 布局顺周期,新浪
1760,2021-01-04,兴业证券：12月金股组合盈利12.85% 1月荐股名单出炉,新浪
1761,2021-01-04,建材Ⅲ周观点：年末估值切换 关注低估值绩优股,新浪
1762,2021-01-04,海螺水泥：正在试点推进装配式建筑产业,e公司
1763,2021-01-04,建筑材料行业：玻璃玻纤库存探底 21年供给新增有限,新浪
1764,2021-01-04,海螺水泥：白马山水泥厂与商合杭高铁的故事,海螺水泥
1765,2021-01-03,【华创建筑建材】建材行业周观点：水泥错峰生产将常态化，行业供给仍保持收紧态势,华创建筑建材研究
1766,2021-01-01,海螺水泥：融资余额36.36亿元，创近一年新高,中国水泥网
1767,2021-01-01,回望来时路，砥砺更前行 2020水泥行业十大事件发布,中国水泥网
1768,2021-01-01,前十生变！新投产暴增200%！“2020中国水泥熟料产能百强榜”震撼发布！,中国水泥网
1769,2020-12-31,创金合信权益总监一日连发俩混基 管理公募经验8个月,中国经济网
1770,2020-12-31,长信价值蓝筹年内业绩不佳仅赚5% 买招商银行没咋赚钱 盈利能力下降,中国经济网
1771,2020-12-30,中国水泥协会发布：2020年中国水泥行业十大新闻事件,数字水泥
1772,2020-12-30,建材行业：错峰生产进一步加强 水泥供给格局持续向好,新浪
1773,2020-12-30,建筑材料：水泥错峰生产常态化 利好行业格局和中长期效益,新浪
1774,2020-12-30,恒指高开0.48%，互联网服务板块领涨,中新经纬
1775,2020-12-30,数据科技｜顺周期板块整体向好，科技与消费略有分化,中信证券研究
1776,2020-12-29,非金属建材周报(20年第52周)：玻璃价格加速上行 水泥供给有望边际收紧,新浪
1777,2020-12-29,外资也可加杠杆！多家券商完成首单QFII融资融券业务,环球老虎财经
1778,2020-12-28,第一上海丨【行业评论】水泥行业：疫情下凸显需求韧性，中南地区价格领跑全国，明年需求有不确定性,第一上海金融
1779,2020-12-28,建筑材料行业周报：重点提示竣工链的投资机会,新浪
1780,2020-12-28,42股主力资金净流入超亿元,证券时报网
1781,2020-12-28,840亿主力资金近三日撤出全A(等权)概念股,证券时报网
1782,2020-12-28,本周观点：与个股集萃,华安证券
1783,2020-12-27,【方正制造α研究团队】核心资产周观察（第四十一期）,方正证券
1784,2020-12-27,【华创建筑建材】建材行业周观点：限电对于水泥价格影响有限，玻璃玻纤景气度仍高,华创建筑建材研究
1785,2020-12-27,【太平洋策略-流动性周报】内外资在电气设备、电子、医药共振,周雨策略观察
1786,2020-12-27,超千亿投资！中国建材、华新水泥、华润水泥... “十四五”这些大企业这么干！,中国水泥网
1787,2020-12-25,股市分析：圣诞节北向休息，市场缩量探底回升,搜狐
1788,2020-12-24,国盛策略：A股大部分周期行业PB估值合理或偏低、ROE中等或更优,尧望后势
1789,2020-12-24,【国盛策略】30大周期行业：全球龙头估值比较,尧望后势
1790,2020-12-24,建材行业周报：限电不改水泥淡旺季交接趋势,新浪
1791,2020-12-24,建筑材料行业月度报告（2020年11月）：地产竣工端复苏延续，商品价格走升,财信证券研究
1792,2020-12-23,12月23日晚间重要行业研究汇总,天然橡胶网
1793,2020-12-23,[原创]全省逐步全面停产 江西水泥价格即将推涨 经营问题,中国水泥网
1794,2020-12-23,高登榜董事长会见中国建材总院党委书记、董事长王益民,中国水泥网
1795,2020-12-23,海螺水泥子公司被拟评为2020年度湖南省绿色工厂！,中国水泥网
1796,2020-12-23,恒指低开0.14% 禽畜饲料板块领跌,中新经纬
1797,2020-12-23,水泥行业经济效益降幅收窄 市场价格离散程度高,中国报告大厅
1798,2020-12-23,银河证券：下游需求超预期为建材行业带来较好配置机会（附股）,证券时报网
1799,2020-12-22,1-11月建材行业数据点评：行业产量维持高增长,新浪
1800,2020-12-22,解密主力资金出逃股连续5日净流出693股,证券时报网
1801,2020-12-22,24股特大单净流入资金超1亿元,证券时报网
1802,2020-12-22,股票越买越集中 未来还能闭眼入么（少数派投资）,金融界
1803,2020-12-22,建材行业：为什么股价、价格与需求背离,新浪
1804,2020-12-22,高瓴资本重仓A股八大将 持仓股有何优势基因？,巨丰财经
1805,2020-12-22,海螺水泥被拟定为2020年陕西省节水型企业！,中国水泥网
1806,2020-12-22,中国水泥行业周报：全国平均水泥价格大致平稳；海螺水泥开拓海南市场,新浪
1807,2020-12-22,恒指低开0.17% 家庭电器板块领跌,中新经纬
1808,2020-12-22,建材Ⅲ周观点：玻璃产能置换边际放松 玻纤整合失败不改趋势向上,新浪
1809,2020-12-22,隆基股份股价年内涨2.44倍 高瓴资本158亿入股一日浮盈35亿,长江商报
1810,2020-12-22,隆基股份股价年内涨2.44倍 高瓴资本一日浮盈35亿,证券时报网
1811,2020-12-22,炒股抄高瓴作业？跟买爱尔眼科3年收益率482% 有只股却赔26%,腾讯网
1812,2020-12-21,数智化如何驱动企业的商业创新？,36氪
1813,2020-12-21,水泥行业周报：基建地产恢复助水泥产量增速继续回升 水泥置换新政料促格局改善,新浪
1814,2020-12-21,海螺水泥现1笔大宗交易 共成交944.62万元,新浪
1815,2020-12-21,海螺水泥(600585.SH)按期收回委托理财本金及收益,格隆汇
1816,2020-12-21,海螺水泥(00914)收回20亿元理财产品本金 获益8233.44万元,智通财经
1817,2020-12-21,2020水泥行业采购与供应链创新推进大会在厦门召开,数字水泥
1818,2020-12-21,【华创建筑建材】建材行业周观点：光伏压延玻璃产能限制拟有条件放开，长期供需压力有望缓解，短期价格或维持高位,华创建筑建材研究
1819,2020-12-21,高瓴资本大笔买入隆基股份 光伏碳中和等产业或有看点,巨丰财经
1820,2020-12-21,恒指低开0.29% 电脑器材板块领跌,中新经纬
1821,2020-12-20,牛股挖掘之000651格力电器,新浪
1822,2020-12-20,400亿拿下格力电器后，高瓴资本再出手扫货A股，158亿买隆基股权,搜狐
1823,2020-12-19,安徽海螺水泥股份有限公司,证券时报
1824,2020-12-18,海螺水泥：独立非执行董事杨棉之辞职 董监高成员变化,Wind
1825,2020-12-18,海螺水泥：英德海螺熟料年产能720万吨、水泥年产能640万吨,格隆汇
1826,2020-12-18,海螺集团董事长高登榜会见中国电信安徽公司总经理刘颖,数字水泥
1827,2020-12-18,海螺水泥正式接手叉河水泥厂！,数字水泥
1828,2020-12-18,海螺水泥董事长 高登榜,中证报
1829,2020-12-18,建筑材料行业研究：水泥置换比例如期趋严 光伏玻璃产能有限放宽,新浪
1830,2020-12-18,【兴业证券晨会聚焦1218】宏观-12月美联储会议点评&11月财政数据点评；建材-水泥置换趋严，玻璃产能放宽；医药-药石科技深度,兴证研究
1831,2020-12-17,股市分析：十二月资金地量，是否孕育明年春节行情？,搜狐
1832,2020-12-17,水泥需求处于旺季 价格不断上涨,中国报告大厅
1833,2020-12-16,周期、科技、消费……热门板块明年怎么买？银河证券分析师：这些机会值得关注！,中证报
1834,2020-12-16,中国银河证券2021年投资策略会：守正出新,新浪
1835,2020-12-16,水泥行业《水泥玻璃行业产能置换实施办法(修订稿)》点评：置换比例如期收紧 要求趋严料促格局改善,新浪
1836,2020-12-16,非金属建材行业12月投资策略：淡季运行无忧 玻璃高景气有望延续,新浪
1837,2020-12-16,恒指高开0.82% 新能源物料板块领涨,中新经纬
1838,2020-12-15,除了蓝月亮，亚洲最大私募高瓴在二级市场还买过啥？,第一财经
1839,2020-12-15,建材行业2021年度策略报告：新材料、新模式铸就新价值,新浪
1840,2020-12-15,2021年建材行业年度策略：新结构 新机遇,新浪
1841,2020-12-15,【行情】水泥板块拉涨，天山股份涨4%，祁连山、青松建化、华新水泥、海螺水泥等跟涨,金十数据
1842,2020-12-15,恒指高开0.11% 乳制品板块领涨,中新经纬
1843,2020-12-15,建筑材料行业周报：玻璃持续涨价 南方旺季延续,新浪
1844,2020-12-15,【银河建材】2021年度策略：新材料、新模式铸就新价值,中国银河证券研究
1845,2020-12-14,建筑材料行业跟踪周报：制造业链条修复趋势明显 玻璃持续走强,新浪
1846,2020-12-14,建筑材料行业周报：关注顺周期玻纤板块和出口链条相关品类,新浪
1847,2020-12-14,非金属建材周报(20年第50周)：南北运行有所分化 玻璃库存再创新低,新浪
1848,2020-12-14,晨会聚焦201214重点关注视源股份、电子2020年12月投资策略、半导体行业、港股12月策略,国信研究
1849,2020-12-14,港股12月策略：蓄势待发,国信研究
1850,2020-12-14,【银河新年之声】周期股的成长之美,中国银河证券研究
1851,2020-12-14,丁鲁明：建材行业基本面量化择时策略—行业基本面量化体系,中信建投证券研究
1852,2020-12-13,【华创建筑建材】建材行业周观点：玻璃期货和现货价格创历史新高，玻璃价格2021年有望维持高位,华创建筑建材研究
1853,2020-12-13,[原创]独立粉磨站关停！ 海螺、南方沿海布局！ 16个粉磨项目即将入市 经营问题,中国水泥网
1854,2020-12-13,北向资金调仓：加仓5只金融股 狂卖这只1700亿市值科技股,中证报
1855,2020-12-12,江浙第一猛庄：牛股挖掘之600585海螺水泥,新浪
1856,2020-12-11,碳管控形势下CCUS技术的应用建议,北极星节能
1857,2020-12-10,零的突破！枞阳海螺已连续运行365天！,中国水泥网
1858,2020-12-09,分歧加剧！北上资金连续六周加仓，公募仓位降至年内低位,Wind
1859,2020-12-09,海螺水泥一熟料生产线实现连续运转365天,数字水泥
1860,2020-12-09,海螺水泥：投资百亿签约建设水泥、骨料、商砼等绿色建材产业园,中国混凝土网
1861,2020-12-08,解密主力资金出逃股连续5日净流出635股,证券时报网
1862,2020-12-08,1500只个股今日尾盘资金净流入,证券时报网
1863,2020-12-08,870亿主力资金近三日撤出全A(等权)概念股,证券时报网
1864,2020-12-08,27股遭北向资金减持超亿元，3股业绩预增 减持股份,证券时报
1865,2020-12-08,12股获融资客大手笔净买入,证券时报网
1866,2020-12-08,恒指低开0.18% 其他服饰配件板块领跌,中新经纬
1867,2020-12-08,港股异动 | 建材水泥股高开 多地错峰生产 水泥价格继续上调,格隆汇
1868,2020-12-08,2021年核心资产牛市能否延续？,中国经济时报
1869,2020-12-07,1399只个股今日尾盘资金净流入,证券时报网
1870,2020-12-07,建筑材料行业跟踪周报：制造业趋势良好 继续看好玻纤玻璃,新浪
1871,2020-12-07,中泰周期·大宗指南第26期：周期品周度运行变化,新浪
1872,2020-12-07,10股特大单净流入资金超2亿元,证券时报网
1873,2020-12-07,12月7日主力资金净流出356亿元,证券时报网
1874,2020-12-07,国网台州市椒江区供电公司：首个分钟级负荷需求响应建设完成,浙江在线
1875,2020-12-07,水泥&建筑钢材市场监测周报-2020年第29期,水泥大数据研究院
1876,2020-12-07,建筑材料北方多地错峰生产，顺周期下估值有望修复维持“强大于市”行业评级,格隆汇
1877,2020-12-07,建筑材料行业周报：继续推荐关注消费建材优质成长细分龙头,新浪
1878,2020-12-07,【华创建筑建材】建材行业周观点：工信部将市场化管控光伏玻璃产能，关注后续办法出台,华创建筑建材研究
1879,2020-12-07,恒指高开0.13% 新能源物料板块领涨,中新经纬
1880,2020-12-07,海螺集团与福建港口集团签署战略合作协议,数字水泥
1881,2020-12-07,海螺水泥：到三季度末，公司汇兑损失影响已大幅降低,Wind
1882,2020-12-07,建材行业2021年投资策略：经济复苏期的顺周期弹性,广发证券
1883,2020-12-06,回应市场对大周期行情的五点分歧,太平桥策略随笔
1884,2020-12-05,布局水运通道 海螺水泥签约福建港口集团,中国水泥网
1885,2020-12-05,全省最高标准！海门海螺水泥创建江苏5星级绿色港口,中国水泥网
1886,2020-12-04,别看不起传统行业,证券时报网
1887,2020-12-04,2020年12月3日港口煤炭价格统计表,水泥大数据研究院
1888,2020-12-04,公用事业-电力电气设备行业：碳中和 离我们还有多远,新浪
1889,2020-12-04,海螺水泥与安徽萧县举行项目签约,数字水泥
1890,2020-12-04,【机会挖掘】四季度全国水泥行情持续上扬 板块修复有望延续（附股）,证券时报网
1891,2020-12-03,智能汽车迎发展黄金期，水泥价格持续攀升丨明日主题前瞻,第一财经
1892,2020-12-03,A股明日风口：发改委预计2025年中国联网汽车将达2800万辆,新浪
1893,2020-12-03,供需紧张水泥价格持续攀升，板块修复行情有望延续丨牛熊眼,第一财经
1894,2020-12-03,海螺水泥日均净赚1亿，基建行业的好日子还能持续10年,时代在线
1895,2020-12-03,海螺水泥、万年青水泥获评江西省绿色工厂！,中国水泥网
1896,2020-12-03,刚刚通航！超亿吨水泥受益！广西水泥进入珠三角市场将“轻而易举”,中国水泥网
1897,2020-12-03,水泥市场需求旺盛 多地价格上涨,中国报告大厅
1898,2020-12-02,恒指高开0.39% 禽畜肉类板块领涨,中新经纬
1899,2020-12-02,【信达看盘】2020.12.2,信达证券上海
1900,2020-12-02,集体签大单！共90亿元项目！涉及海螺水泥、华润水泥.,中国水泥网
1901,2020-12-02,水泥产能利用率较高 行业形势快速回稳,中国报告大厅
1902,2020-12-01,A股共发生175宗大宗交易成交35.71亿元（12月1日）,Wind
1903,2020-12-01,11月金股组合盈利1.33% 12月荐股名单出炉,新浪
1904,2020-12-01,兴业证券：11月金股组合盈利2.69% 12月荐股名单出炉,新浪
1905,2020-12-01,建材行业2021年投资策略——不拘于过往，不惧未来,鲍大侠之建材
1906,2020-12-01,北向资金丨11月重点扫货曝光 格力电器获净买入近46亿元,第一财经
1907,2020-12-01,建材行业2021年展望：新开工承压下 把握竣工向上、多元品类、外需复苏,新浪
1908,2020-12-01,建筑材料行业周报：建材出口关注人造草坪与PVC地板行业,新浪
1909,2020-12-01,2020年11月27日港口煤炭价格统计表,水泥大数据研究院
1910,2020-12-01,投资15亿！海螺水泥又一条5000t/d熟料生产线项目签约,中国水泥网
1911,2020-12-01,中信证券：看好互联网、消费电和金融板块的核心标的,第一财经
1912,2020-12-01,晨会1201｜PMI再创年内新高,中信证券研究
1913,2020-12-01,【兴业证券晨会聚焦1201】宏观-11月PMI数据点评；策略-12月A股金股组合；海外-12月港股金股组合,兴证研究
1914,2020-11-30,中泰周期·大宗指南第25期：周期品周度运行变化,新浪
1915,2020-11-30,【券商聚焦】料12月水泥价格仍有上行动力 招商证券看好海螺水泥、中国建材,凤凰网
1916,2020-11-30,建筑材料行业周报：消费建材龙头集中趋势未变 建议关注优质成长细分龙头,新浪
1917,2020-11-30,水泥行业周报：降雨短期扰动发货 2021新增供给预计仍整体可控,新浪
1918,2020-11-30,建材行业2021年年度投资策略：新结构 新机遇,新浪
1919,2020-11-30,行业景气退步、蓝筹成长倒数 融通权益类基金连遇烦心事,金融界
1920,2020-11-30,建筑材料行业报告：华东华南水泥价格持续升温 拥抱产业链生态圈,新浪
1921,2020-11-30,建材行业：经济复苏预期 价格与盈利弹性优先,新浪
1922,2020-11-30,恒指低开0.15% 家庭电器板块领跌,中新经纬
1923,2020-11-29,【华创建筑建材】建材行业周观点：2021年玻璃玻纤供需紧平衡，消费建材咬紧龙头不放松,华创建筑建材研究
1924,2020-11-28,4000t/d生产线公示！边陲小县经济发展迎来绿色新纪元,中国水泥网
1925,2020-11-27,12.65亿！华润水泥又出手了！中国建材、海螺水泥、华新水泥正快速扩张中,中国水泥网
1926,2020-11-27,恒指低开0.23% 家庭电器板块领跌,中新经纬
1927,2020-11-27,水泥市场需求旺盛 价格再度上涨,中国报告大厅
1928,2020-11-26,河南信阳两家水泥粉磨站停产1个月 经营问题,中国水泥网
1929,2020-11-26,恒指高开0.1%，新能源物料板块领涨,中新经纬
1930,2020-11-25,2020年10月底水泥厂数量统计,水泥大数据研究院
1931,2020-11-25,2021建材行业年度投资策略：穿越周期 找寻成长,华安证券
1932,2020-11-25,海螺水泥被评定为A级企业！山东发布2020年度重污染天气重点行业绩效评级结果,中国水泥网
1933,2020-11-25,[评论] 2012年后首次再融资，冀东水泥剑指何方？,中国水泥网
1934,2020-11-25,恒指高开0.87% 服饰配件板块领涨,中新经纬
1935,2020-11-24,海螺水泥无人驾驶矿车明年年底将实现编组运行,数字水泥
1936,2020-11-24,恒指高开0.54% 新能源物料板块领涨,中新经纬
1937,2020-11-23,顺周期，为何如此疯狂？,Wind
1938,2020-11-23,中泰周期大宗指南：周期品周度运行变化,新浪
1939,2020-11-23,方大集团北方重工：助力海螺集团完成创新项目,中国经济网
1940,2020-11-23,建筑材料行业周报：继续推荐低估值水泥板块和顺周期玻纤板块,新浪
1941,2020-11-23,水泥行业周报：发货库存区域分化 10月单月水泥产量创同期新高,新浪
1942,2020-11-23,泛东北地区错峰生产专项督办协调会在辽宁沈阳召开,中国混凝土网
1943,2020-11-23,建筑材料行业月度报告（2020年10月）：玻璃板块高景气，竣工端修复显现,财信证券研究
1944,2020-11-23,【玻璃行业重磅深度】从紧平衡到供给缺口,鲍大侠之建材
1945,2020-11-22,估值修复叠加景气度上行 水泥股或开启跨年行情,红周刊
1946,2020-11-22,【华创建筑建材】建材行业周观点：地产竣工单月同比回正+5.88%，看好竣工逻辑继续演绎,华创建筑建材研究
1947,2020-11-22,这20只优质龙头值得关注，或将涨成“千倍股”,网易
1948,2020-11-21,水泥行业节能环保途径探寻——节煤到底有多重要,中国水泥网
1949,2020-11-21,指数结束调整集体收涨，周期股持续活跃，低吸机会是否一触即发?,财富动力网
1950,2020-11-20,北上资金本周净买入55.10亿元连续3周净买入,证券时报网
1951,2020-11-20,陆股通50概念股近三日受39亿主力资金追捧,证券时报网
1952,2020-11-20,关于召开“2020水泥行业采购与供应链创新推进大会”的通知,数字水泥
1953,2020-11-20,天下秀获评金牛最具投资价值奖,凤凰网
1954,2020-11-20,2020年中国水泥行业企业竞争格局分析 “中国建材”、“海螺水泥”各有千秋,前瞻研究院
1955,2020-11-20,价值型投资选择神华海螺鞍钢,财富动力网
