,2021-12-31,【银华基金】交易日报 2021-12-31,新浪
1094,2021-10-12,A股融资融券日报：两融余额增加40.2亿元（10月11日）,Wind
1095,2021-10-12,A股早报2021年10月12日星期二,Wind
1096,2021-10-12,净卖出五粮液居首！北向资金持续出货白酒股，增持这些板块（名单）,21世纪经济报道
1097,2021-10-12,北向资金动向盘点：反手净卖食品饮料,Wind
1098,2021-10-11,一财首席调研：年度GDP预测均值8.15%，10月信心指数低于荣枯线,第一财经
1099,2021-10-11,又有银行整合手机App，“减法”背后藏有哪些门道,北京商报
1100,2021-10-11,【银华基金】交易日报2021-10-11,新浪
1101,2021-10-11,兴业银行债权投资减值损失大增，个人住房及商用房贷款不良率微增 投资失误,和讯
1102,2021-10-11,兴业银行上海分行“电子亮证”服务为民解忧,中国金融新闻网
1103,2021-10-11,兴业银行获准发行不超1000亿元二级资本债券,智通财经
1104,2021-10-11,兴业银行(601166.SH)：发行二级资本债券获行政许可,格隆汇
1105,2021-10-11,兴业银行：发行二级资本债券获中国人民银行行政许可,Wind
1106,2021-10-11,银行股连日走强！三季报或存在超预期，机构：估值历史低位，关注修复机会,证券之星
1107,2021-10-11,银行股连日走强！三季报或存在超预期，机构：估值历史低位，关注修复机会,财联社
1108,2021-10-11,A股资金流向（10月11日）：资金延续避高就低态势，大金融板块获青睐,Wind
1109,2021-10-11,百亿牛股闪崩近50%！张坤出手，引爆十万亿板块,Wind
1110,2021-10-11,兴业银行：“19迪马实业MTN001”持有人会议审议通过相关议案,Wind
1111,2021-10-11,行业观 | 基金加仓银行股翻红 机构指银行加配正当时,财经网
1112,2021-10-11,银行股集体爆发！带动上证50大涨，政策呵护之下后市可期？,新浪
1113,2021-10-11,零售银行的「新猎场」：谁是中国财富管理之王？,搜狐
1114,2021-10-11,20股突然闪崩跌停，强势板块重挫！军工银行股大爆发,Wind
1115,2021-10-11,助力“双碳” 兴银理财推出首款混合类ESG理财产品,金融界
1116,2021-10-11,A股10月开门红！中国平安、招商银行轮番领涨，张坤增持吹响反攻集结号？,时代周报
1117,2021-10-11,银行板块拉升，招商银行大涨6%，公募一哥新买1680万股浮盈5000万,AI财经社
1118,2021-10-11,前三季度新基金托管规模成绩单出炉，招商银行蝉联榜首,资本邦
1119,2021-10-11,板块异动 | 资产质量显著改善 银行板块异动拉升,智通财经
1120,2021-10-11,张坤加仓！招商银行大涨6% 银行股又香了？,证券之星
1121,2021-10-11,【异动股】银行板块拉升，瑞丰银行(601528.CN)涨7.98%,财华社
1122,2021-10-11,【行情】银行股开盘走强，平安银行拉升涨超5%，杭州银行、招商银行、兴业银行、宁波银行等集体涨超3%,金十数据
1123,2021-10-11,招商银行、平安银行、兴业银行快速拉升，张坤出手节前两天买入招行,Wind
1124,2021-10-11,A股融资融券日报：两融余额增加127.02亿元（10月8日）,Wind
1125,2021-10-11,前三季度11家机构新基金托管规模超千亿,Wind
1126,2021-10-11,前三季度11家机构新基金托管规模超千亿,证券时报
1127,2021-10-10,“公募一哥”张坤出手了，节前两天买入招商银行A股超8亿元,澎湃新闻网
1128,2021-10-10,厦门兴业银行争做服务台企“主力军”,和讯
1129,2021-10-10,兴业银行厦门分行积极助力探索厦门特色高质量数字化道路,和讯
1130,2021-10-10,擦亮三张名片 金融助力高质量发展,和讯
1131,2021-10-10,深度前瞻｜恒大集团债务风险对金融、地产及经济的传导：风险可控，经济增长压力【中泰银行地产·戴志锋/陈立/邓美君/贾靖】,传统借贷vs新型金融
1132,2021-10-10,赢在深秋：Q4是今年最佳投资窗口（浙商策略王杨）,王杨一东吴策略
1133,2021-10-10,【棉系期货投教材料】3 棉花期货合约七问,兴业期货
1134,2021-10-10,【棉系期货投教材料】2 棉花下游分析,兴业期货
1135,2021-10-10,“绿电”助力碳达峰与碳中和——光伏、风电发展引导能源转型,经济观察报
1136,2021-10-09,兴业银行厦门分行勇担社会责任，积极贡献兴业力量全力支持复工复产,金融界
1137,2021-10-09,上市股份行效能哪家强？华夏银行人均创造营收和利润均垫底,和讯
1138,2021-10-08,未来5年提供千亿意向性融资支持 兴业银行与福建省商务厅签署战略合作协议,中金在线
1139,2021-10-08,房地产行业：定量测算房贷压降进度 按揭投放加快留有空间,新浪
1140,2021-10-08,【银华基金】交易日报2021-10-08,新浪
1141,2021-10-08,宏川智慧(002930.SZ)：下属公司拟申请银行授信并接受公司及关联方提供担保 大额借贷担保,格隆汇
1142,2021-10-08,兴业银行RPA项目入选“2021年度金融科技与数字化转型创新成果”,中国经济网
1143,2021-10-08,兴业银行“快易贷”——服务中小微企业的好帮手,搜狐
1144,2021-10-08,银行业投资观察：政策向好 信用风险稳定,新浪
1145,2021-10-08,兴业银行莆田分行落地福建省首笔金服云线上抵押登记业务,中金在线
1146,2021-10-08,“南向通”开通首日 兴业银行达成首批交易,搜狐
1147,2021-10-08,A股融资融券日报：两融余额减少211.44亿元（9月30日）,Wind
1148,2021-10-08,广发证券：继续看好银行股既有绝对又有相对收益,新浪
1149,2021-10-07,中国人民银行深圳市中心支行与深圳市生态环境局联合举办战略合作框架协议签约仪式暨绿色融资银企对接会,中国金融新闻网
1150,2021-10-07,兴业银行海口分行落地海南省首单整县屋顶分布式光伏发电项目贷款,中国金融新闻网
1151,2021-10-05,兴业银行太原分行：开展绿色运营 打造绿色银行,中国金融新闻网
1152,2021-10-03,“同梦·同兴”三十周年 | 杨东：实践价值投资的人，越到后面会越真实,兴业证券订阅号
1153,2021-10-01,兴业银行捐款800万元助力厦门疫情防控,金融界
1154,2021-10-01,法国兴业银行子公司在 MakerDAO 治理论坛提交担保债券代币再融资提案,链闻
1155,2021-09-30,青岛啤酒股份：最近十二个月分别与平安银行等8家银行订立了结构性存款协议,Wind
1156,2021-09-30,共同战“疫” 兴业银行捐赠超2000万支持福建疫情防控,中金在线
1157,2021-09-30,金融百家丨邢毓静：对应不同生命周期企业，金融机构如何提供绿色金融产品和服务,21世纪经济报道
1158,2021-09-30,深圳人行与生态环境局联合举办战略合作签约仪式暨绿色融资银企对接会成功举办,深圳新闻网
1159,2021-09-30,简易开户服务让企业开户触手可及,中国金融新闻网
1160,2021-09-30,寓义于利——兴业银行海口分行落地海南省首单整县屋顶分布式光伏发电项目贷款,和讯
1161,2021-09-30,兴业银行重庆分行精准滴灌乡村振兴 让“攻坚花”结出“共富果”,上游新闻
1162,2021-09-30,兴业银行落地全国首单 保险项下“建筑减碳贷”,新浪
1163,2021-09-30,兴业银行落地35亿元 银团贷款首笔资金,新浪
1164,2021-09-30,鲁政委：能耗双控由来已久，为何2021年尤其缺电,新浪
1165,2021-09-30,兴业银行陈亚芹：新能源、可再生能源等重点行业机遇凸显 银行机构正密切对接,财联社
1166,2021-09-30,A股融资融券日报：两融余额减少147.36亿元（9月29日）,Wind
1167,2021-09-30,银行信用卡业绩十强榜：国有行领衔招行赶超 不良率总体下降,投资者网
1168,2021-09-30,昇兴集团股份有限公司 2021年前三季度业绩预告,证券日报
1169,2021-09-30,乐鑫信息科技（上海）股份有限公司 2021年第三季度报告（下转D146版）,证券日报
1170,2021-09-29,@那谁谁，银行喊你去领“减费让利”大礼包！,金融时报
1171,2021-09-29,大型银行优化人才结构：左手紧握科技，右手推向基层,Wind
1172,2021-09-29,21独家｜大型银行优化人才结构：左手紧握科技，右手推向基层,21世纪经济报道
1173,2021-09-29,科技赋能 兴业银行理财业务加速数字化转型,中金在线
1174,2021-09-29,【绿色金融】碳中和目标下银行业绿色金融发展的六大趋势,兴业研究宏观
1175,2021-09-29,手续费再减免 多银行发“减费让利”礼包,山西晚报
1176,2021-09-29,A股融资融券日报：两融余额减少32.66亿元（9月28日）,Wind
1177,2021-09-29,洒下甘霖育果蔬 来自“中国蔬菜之乡”的金融故事,中国金融新闻网
1178,2021-09-29,【银期合集】最全面的银期签约操作指引来啦！,徽商期货
1179,2021-09-28,农户自家光伏发电也能贷款 兴业银行厦门分行落地分布式光伏发电贷,和讯
1180,2021-09-28,银行上演花样“补血”热潮 可转债、二级资本债齐上阵，动作频频为哪般,北京商报
1181,2021-09-28,【银华基金】交易日报2021-09-28,新浪
1182,2021-09-28,行业深度！2021年中国股份制上市银行竞争格局及市场份额分析 招商银行综合实力领先发展,前瞻研究院
1183,2021-09-28,兴业银行私人银行荣获2020“十佳财富管理创新奖”,中国经济网
1184,2021-09-28,RMBS发行“井喷”、央行罕见提及房地产 信贷政策有望调整？,21世纪经济报道
1185,2021-09-28,“区块链+安心充”防范商家卷款跑路，预付保破解消费痛点,猎云网
1186,2021-09-28,加速供应链融资数字化 兴业银行推出“兴享数融”新服务,和讯
1187,2021-09-28,兴业银行落地武商集团并购贷款12.67亿元,证券时报网
1188,2021-09-28,稳生产保民生 金融助力“战疫” 兴业银行厦门分行当好金融主力军，齐心协力服务疫情防控,和讯
1189,2021-09-28,2021年“绿色金融助力双碳目标的政策与实务工作坊”在京举行,中证网
1190,2021-09-28,商业银行行业：商业银行业日报,新浪
1191,2021-09-28,A股融资融券日报：两融余额减少146.44亿元（9月27日）,Wind
1192,2021-09-28,【债券快讯】9月27日中资美元债一级市场发行1只债券；另有2家公司潜在发行,国元国际
1193,2021-09-28,养老理财来了，你我如何选择,经济日报
1194,2021-09-28,兴业银行、华福证券首席经济学家鲁政委： 资产配置面临着40年未有之大变局,ZAKER
1195,2021-09-27,区域金融要参｜辽宁拟对农业保险加大支持；多家银行9月30日起推出小微企业服务收费减免措施,21世纪经济报道
1196,2021-09-27,【银华基金】交易日报2021-09-27,新浪
1197,2021-09-27,代销版图持续扩容 银行理财子公司破圈“路线图”怎么走,北京商报
1198,2021-09-27,“南向通”开通首日兴业银行达成首批交易,大众证券报
1199,2021-09-27,BesTV+流媒体战略落地周年，SMG、东方明珠新媒体内容生态高质量发展,经济日报
1200,2021-09-27,兴业银行莆田分行1000万元贷款驰援仙游方舱建设,中金在线
1201,2021-09-27,银行行业研究周报：上市银行房地产贷款梳理,新浪
1202,2021-09-27,北向资金今日净买入14.77亿元，白酒股连续第二日遭疯抢,Wind
1203,2021-09-27,兴业银行并购融资助力武商集团首次“走出湖北”,财经网
1204,2021-09-27,兴业银行获批公开发行不超过500亿元A股可转换公司债券,北京商报
1205,2021-09-27,兴业银行鲁政委：建议推出碳资产质押融资配套政策,21世纪经济报道
1206,2021-09-27,许仲翔：我们为何持续看好招商银行和兴业银行的投资价值,红周刊
1207,2021-09-27,松动！昆明新房贷款最快1周放款！不过银行拒贷退房占比又提高了,新浪
1208,2021-09-27,中信VS兴业：谁才是财富管理王者？,零壹财经
1209,2021-09-27,中国首批 绿色金融标准正式发布 兴业银行参与编制,新浪
1210,2021-09-27,恒大地产负债“瘦身”＋多家银行力挺能否满血复活？,乡村小萌宝
1211,2021-09-27,贸易收支便利化 为业务提速——兴业银行福州分行落地全行首笔贸易收支便利化试点业务,和讯
1212,2021-09-27,兴业银行福州分行助力福州新区集团成功发行6亿元中票,和讯
1213,2021-09-27,A股融资融券日报：两融余额减少102.73亿元（9月24日）,Wind
1214,2021-09-26,我为群众做实事丨兴业银行上海分行将反假货币宣传送入嘉定新城,陆家嘴金融网
1215,2021-09-26,电信诈骗一顿操作猛如虎 兴业银行成都分行成功堵截为客户挽回损失,中国网
1216,2021-09-26,兴业银行漳州分行全力以赴 同心抗“疫”,和讯
1217,2021-09-26,莆田：并肩战疫情，金融服务“不打烊”,和讯
1218,2021-09-24,银行行业点评报告：新增“S”级 银行监管评级体系空前细化,新浪
1219,2021-09-24,北向资金疯狂抢筹大消费板块，五粮液创历史最大净买入,Wind
1220,2021-09-24,兴业银行落地全国首单建筑节能改造保险项下“建筑减碳贷”,财经网
1221,2021-09-24,兴业银行密集调整贵金属业务 频发债券补充资本,新浪
1222,2021-09-24,A股融资融券日报：两融余额增加70.33亿元（9月23日）,Wind
1223,2021-09-24,“超级大包”来了！个贷不良批量转让市场供需活跃,Wind
1224,2021-09-23,银行行业简评报告：《商业银行监管评级办法》怎么看？,新浪
1225,2021-09-23,纾困解难　兴业银行暖心服务助力福建疫情防控,中国金融新闻网
1226,2021-09-23,13家银行为何排队表态？称恒大贷款有足额抵押物、风险可控,凤凰网
1227,2021-09-23,防疫、对台金融服务两不误 兴业银行落地国亨化学35亿元银团贷款首笔资金,中金在线
1228,2021-09-23,兴业银行首席经济学家鲁政委：关注“碳中和”目标对大宗商品结构性变化的两点影响,期货日报网
1229,2021-09-23,个别房企事件影响点评：个别大房企流动性危机对银行影响大么？,新浪
1230,2021-09-23,兴业银行服务“专精特新”又有大动作,陆家嘴金融网
1231,2021-09-23,房地产贷款风险来袭，多家银行撇清与恒大关联,Wind
1232,2021-09-23,A股融资融券日报：两融余额增加66.65亿元（9月22日）,Wind
1233,2021-09-23,福建宁德兴业银行职员诈骗多名女企业家 涉案资金逾3亿 其他违规处罚,新浪
1234,2021-09-23,史无前例！一大批公司限产，牛股核心工厂全面停产,Wind
1235,2021-09-23,港股盘前必读：中策集团拟清仓出售所持全部恒大汽车股票,Wind
1236,2021-09-23,银行股是否反应过度了？多家撇清与恒大关联,Wind
1237,2021-09-23,“双碳”目标提出一周年：千家碳公司放眼万亿市场,Wind
1238,2021-09-23,"""顶流""谢治宇大动作，兴全合润、兴全合宜同时打开大额申购",Wind
1239,2021-09-23,突发！中国恒大ADR疯涨47%,Wind
1240,2021-09-22,银行股集体重挫，到底有多大风险？机构紧急发声,Wind
1241,2021-09-22,兴业银行等多家上市银行回应与恒大业务往来：风险可控,Wind
1242,2021-09-22,兴业银行等多家上市银行回应与恒大业务往来：风险可控,e公司
1243,2021-09-22,“数据牛”“牛权贷”，兴业银行为养殖户“贷”出致富新路子,陆家嘴金融网
1244,2021-09-22,兴业银行推出美国运通品牌人民币借记卡,陆家嘴金融网
1245,2021-09-22,金融知识普及月 金融知识进万家 ——兴业银行广州管理部开展金融知识普及月宣传活动,奥一网
1246,2021-09-22,兴业银行：今年以来已逐步压降恒大房地产项目授信敞口 没有涉及非房地产板块,财联社
1247,2021-09-22,兴业银行：公司一直严格监控对恒大集团的授信业务，只介入少量一二线城市且资质较好的房地产开发项目融资,每日经济新闻
1248,2021-09-22,兴业银行：升级打造绿色银行、财富银行、投资银行“金色名片”,中证网
1249,2021-09-22,A股融资融券日报：两融余额减少203.49亿（9月17日）,Wind
1250,2021-09-22,兴业银行：加强ESG量化指标应用与披露 提升信披精准度,中证网
1251,2021-09-21,恒大漩涡里的20家银行,Wind
1252,2021-09-19,14家银行披露境外贷款余额数据，哪几家有可能超标？,Wind
1253,2021-09-18,兴业银行网点设计项目斩获BCX“最佳银行网点体验”奖,东方网
1254,2021-09-18,兴业银行福州分行助力福州新区集团成功发行6亿元中票,中金在线
1255,2021-09-18,《关于银行业金融机构境外贷款业务有关事宜的规定（征求意见稿）》对外征求意见,Wind
1256,2021-09-18,兴业银行陈亚芹：新能源、可再生能源等重点行业机遇凸显 银行机构正密切对接,财联社
1257,2021-09-17,海信家电：非全资附属公司拟认购3亿元兴业银行理财产品,Wind
1258,2021-09-17,兴业银行欢迎您,财经网
1259,2021-09-17,兴业银行服务“专精特新”又有大动作,金融界
1260,2021-09-17,携手共进 服务实体——兴业期货与陕钢集团、兴业银行西安分行签署战略合作协议,期货日报网
1261,2021-09-17,“数据牛”“牛权贷” 兴业银行为养殖户“贷”出致富新路子,中金在线
1262,2021-09-17,A股融资融券日报：两融余额减少144.97亿元（9月16日）,Wind
1263,2021-09-17,银行网点进退两难，大幅收缩趋势尚不明显,Wind
1264,2021-09-16,区域金融要参｜四川荣县落地双碳监测平台；西藏2020年人均非现金支付135.81笔,21世纪经济报道
1265,2021-09-16,兴业银行大连分行携手东软信息学院成立大连首家高校消费者教育示范基地,中国金融新闻网
1266,2021-09-16,兴业银行推出美国运通品牌人民币借记卡,金融界
1267,2021-09-16,谁抵押了我的房产？沈阳一业主与兴业银行对簿公堂 诉讼纠纷,房地产报
1268,2021-09-16,兴业银行首笔农村集体经营性建设用地使用权抵押贷款落地青岛,金融界
1269,2021-09-16,A股融资融券日报：两融余额增加18.27亿元（9月15日）,Wind
1270,2021-09-16,多家银行收紧外汇、贵金属业务,Wind
1271,2021-09-15,兴业银行发布《兴业银行股份有限公司数据合规白皮书》,Wind
1272,2021-09-15,兴业银行业内首发数据合规白皮书,上证报
1273,2021-09-15,北向资金今日净买入逾21亿元，批量扫货光伏股,Wind
1274,2021-09-15,兴业银行太原分行：加快数字化转型 助力业务高质量发展,中国金融新闻网
1275,2021-09-15,兴业银行持续加大对小微企业等市场主体减费让利力度,财经网
1276,2021-09-15,为优质科创客群注入“金融活水” 兴业银行苏州分行“商行+投行”战略并举,大众证券报
1277,2021-09-15,A股融资融券日报：两融余额减少10.55亿元（9月14日）,Wind
1278,2021-09-15,北向资金继续流出！出逃银行、酿酒行业，却持续买入宁德时代,21世纪经济报道
1279,2021-09-15,盘前情报丨苹果发布iPhone 13系列，券商建议关注三季度“果链”公司业绩,21世纪经济报道
1280,2021-09-15,北向资金动向盘点：周期股下跌，净卖第一却是食品饮料,Wind
1281,2021-09-15,北向资金动向曝光：9月14日这30只个股遭大甩卖（附名单）,每日经济新闻
1282,2021-09-14,"迎接中概股回归！扮靓投资银行名片，兴业银行""商投旗舰""加速起航",券商中国
1283,2021-09-14,中国平安A股再度跌破50元关口，中国人寿跌近4%,Wind
1284,2021-09-14,A股午盘综述：宁德时代崛起推升创业板，锂电池、鸿蒙、磷化工爆发,Wind
1285,2021-09-14,兴业银行香港 2.375% N20210921：最后交易日期为9月16日,Wind
1286,2021-09-14,A股融资融券日报：两融余额增加105.99亿元（9月13日）,Wind
1287,2021-09-14,银行行业研究周报：8月金融数据点评：贷款需求减弱+财政发力,新浪
1288,2021-09-13,【专栏】银行业「军备竞赛」升级,零壹财经
1289,2021-09-13,西部建设(002302.SZ)为子公司申请银行授信提供1亿元担保 大额借贷担保,智通财经
1290,2021-09-13,A股融资融券日报：两融余额增加34.89亿元（9月10日）,Wind
1291,2021-09-13,商业银行行业：商业银行业日报,新浪
1292,2021-09-13,银行四大打法浮出水面,Wind
1293,2021-09-11,银行角度看8月社融：监管+有效需求不足驱使资产荒 票据冲量托底,新浪
1294,2021-09-11,银行业1H2021报告综述：信用风险预期改善 净利润释放加速,新浪
1295,2021-09-10,同业存单周报：同业存单发行规模上升,新浪
1296,2021-09-10,8月金融数据点评：8月金融数据怎么看？,新浪
1297,2021-09-10,助力创新型省份建设 兴业银行为福建科创企业提供贷款超273亿元,中金在线
1298,2021-09-10,ST同洲：全资子公司主要银行账户被司法冻结 关联方问题,Wind
1299,2021-09-10,兴业银行拉萨分行扎实做好金融宣传文章 提升群众金融获得感,中国金融新闻网
1300,2021-09-10,基本面修复 + 高管增持，银行股的估值修复之旅正在开启吗？,ZAKER
1301,2021-09-10,兴业银行太原分行发放山西首笔碳排放配额质押贷款,经济日报
1302,2021-09-10,投资组合报告：2021年九月策略金股报告,新浪
1303,2021-09-10,兴业银行关于上海黄金交易所“易金通”交易软件关闭签约功能的公告,金十数据
1304,2021-09-10,兴业银行：根据上海黄金交易所要求，上海黄金交易所手机交易软件“易金通”将于2021年9月24日停止签约功能,金十数据
1305,2021-09-10,A股融资融券日报：两融余额增加91.1亿元（9月9日）,Wind
1306,2021-09-09,全国首批！兴业银行为青岛金王成功接入CIPS标准收发器,中国金融新闻网
1307,2021-09-09,兴业银行太原分行加速构建普惠金融生态圈,中国金融新闻网
1308,2021-09-09,兴业银行宁波分行以实践擦亮绿色银行名片,新华网
1309,2021-09-09,银保监会：二季度共接收并转送银行业消费投诉84424件，同比增长25.5%,Wind
1310,2021-09-09,A股融资融券日报：两融余额增加95.45亿元（9月8日）,Wind
1311,2021-09-09,房地产贷款增速创8年新低，经营贷违规流入楼市排查基本完成,Wind
1312,2021-09-08,兴业银行柳州分行成功实现 线上政府采购订单贷款业务突破,中投网
1313,2021-09-08,厦门兴业银行争做服务台企的“主力军”,凤凰网
1314,2021-09-08,A股融资融券日报：两融余额增加100.34亿元（9月7日）,Wind
1315,2021-09-08,理财子公司交上半年答卷：18家全部盈利，更有净利润增长超30倍,Wind
1316,2021-09-07,森远股份(300210.SZ)：拟向兴业银行鞍山分行申请2亿元综合授信额度,格隆汇
1317,2021-09-07,兴业银行：绿色金融产品创新“领跑者”,财联社
1318,2021-09-07,汉钟精机：中信建投、兴业银行理财等2家机构于9月7日调研我司,证券之星
1319,2021-09-07,兴业银行大连分行为大连公交客运集团提供信贷支持,中国金融新闻网
1320,2021-09-07,北向资金追平年内最长净买入纪录累计加仓超550亿，美的集团净买入超11亿元,Wind
1321,2021-09-07,“融资+融智” 兴业银行助力北京城市副中心建设绿色金融示范区,金融界
1322,2021-09-07,艾德证券：知名公募抄底招行，平银高管集体增持，机构：银行股行情在年底,新浪
1323,2021-09-07,兴业银行大连分行推广普惠贷产品为小微企业解决资金难题,中国金融新闻网
1324,2021-09-07,板块异动 | 银行半年报业绩靓丽资产质量改善 银行板块尾盘走强,智通财经
1325,2021-09-07,银行股尾盘锦上添花，杭州银行涨近5%,Wind
1326,2021-09-07,A股融资融券日报：两融余额增加117.03亿元（9月6日）,Wind
1327,2021-09-07,11家上市银行按揭贷款“踩红线”，涉房贷款继续“瘦身”,Wind
1328,2021-09-06,第十届金交会将于9月17日开幕，广期所将首次亮相,Wind
1329,2021-09-06,多家银行涉房贷款仍踩红线,Wind
1330,2021-09-06,A股融资融券日报：两融余额减少64.16亿元（9月3日）,Wind
1331,2021-09-06,每日理财观察：公募酝酿创新普通混合型产品,Wind
1332,2021-09-06,六大国有银行不良贷款率均下降，前瞻性指标稳中向好,Wind
1333,2021-09-05,沸腾了！240万银行人涨工资了，加薪最猛竟是TA,Wind
1334,2021-09-04,无法网签，购房款被打入非监管账户！珠海宝龙城广场遭投诉 其他违规处罚,南都报
1335,2021-09-04,兴业银行上半年盈利大增23% 商投旗舰加速起航,红周刊
1336,2021-09-03,细剖兴业“绿色银行”名片：“领先同业半个身位”的优势是如何炼成的？,搜狐
1337,2021-09-03,兴业银行今日大宗交易成交340.80万股，成交价19.57元溢价0.67%,Wind
1338,2021-09-03,山西省首笔“碳排放配额质押贷款”业务落地兴业银行太原分行,和讯
1339,2021-09-03,银行涉房贷款半年考：11家个人住房贷款仍超标,Wind
1340,2021-09-03,26家银行涉房类贷款占比下降 谁还在踩红线,北京商报
1341,2021-09-03,A股融资融券日报：两融余额增加43.73亿元（9月2日）,Wind
1342,2021-09-02,晚间重要公告2021年9月2日星期四,Wind
1343,2021-09-02,兴业银行：战略转型提速 轻型化内生增长凸显,环球老虎财经
1344,2021-09-02,丰富绿色财富产品货架 兴业银行、兴业基金共推能源革新主题基金,新浪
1345,2021-09-02,晚间公告｜9月2日这些公告有看头,第一财经
1346,2021-09-02,助推惠企政策落地 兴业银行落地福建省第四期纾困贷款3610万元,中金在线
1347,2021-09-02,兴业银行：发行1000亿元二级资本债券获银保监会批复,e公司
1348,2021-09-02,焕“兴”出发 兴业银行重庆观音桥支行重装开业,上游新闻
1349,2021-09-02,最猛暴赚近20亿！银行理财子公司最新排名来了！,Wind
1350,2021-09-02,全线上办理、全模式服务 兴业银行“兴享”供应链金融平台再升级,财经网
1351,2021-09-02,高净值财富大爆发，招行突破3万亿，平安半年增长19%领先,Wind
1352,2021-09-02,A股融资融券日报：两融余额增加19.57亿元（9月1日）,Wind
1353,2021-09-02,每日理财观察：券商分仓佣金创历史新高,Wind
1354,2021-09-02,银行票据贴现缩量，信贷投放聚焦制造业和小微,Wind
1355,2021-09-02,银行涉房类贷款半年考：超六成占比下降，招行兴业等7家双指标越线,Wind
1356,2021-09-01,北向资金、腾讯系、国家队基金纷纷加仓！这个板块终于发威，谁是机构心头好？,Wind
1357,2021-09-01,晚间要闻2021年9月1日星期三,Wind
1358,2021-09-01,上半年银行调整房地产贷款集中度进展如何：5家银行仍踩红线,Wind
1359,2021-09-01,兴业银行：因业务调整暂停信用卡自动分期业务,新浪
1360,2021-09-01,银行行业快评：银行视角看宽信用的难点 关注中小行,新浪
1361,2021-09-01,兴业银行信用卡上半年实现交易金额12710.65亿元 同比增长17.20%,中国网
1362,2021-09-01,银行股午前再度发力，杭州银行大涨6%,Wind
1363,2021-09-01,应对息差收窄压力 银行激战财富管理市场,上证报
1364,2021-09-01,A股融资融券日报：两融余额减少15.02亿元（8月31日）,Wind
1365,2021-09-01,招行人均月收入5.8万！超半数银行薪酬总盘子两位数增长,Wind
1366,2021-08-31,逾700家上市公司上半年炒493只A股：哪些亏损，哪些赚钱？,第一财经
1367,2021-08-31,银行机构微博影响力哪家强？兴业银行下降两名,新浪
1368,2021-08-31,兴业银行教育云,第一财经
1369,2021-08-31,平台赋能 产融“共”赢 兴业银行福州分行落地首笔供应链票据业务,中金在线
1370,2021-08-31,兴业银行南京分行：全力保障疫情期间的金融服务不断档,中国金融新闻网
1371,2021-08-31,支持住房租赁助力安居事业：兴业银行北京分行参与投资全国首单公共租赁住房类REITs,财经网
1372,2021-08-31,万科拟发行20亿元中期票据，用于偿还两笔到期债券,乐居财经
1373,2021-08-31,万科拟发行10亿中期票据 用于偿还2笔债券部分金额,观点地产网
1374,2021-08-31,A股融资融券日报：两融余额增加60.16亿元（8月30日）,Wind
1375,2021-08-31,绝味食品股份有限公司,中证报
1376,2021-08-30,兴业银行(601166)：中间业务收入大幅提升 资产质量继续改善,新浪
1377,2021-08-30,由子变孙，保利发展退出锦雍置业100%股权,乐居财经
1378,2021-08-30,福耀玻璃(03606)完成发行2021年度第五期超短期融资券,智通财经
1379,2021-08-30,铜陵建投集团拟发行7亿元270天超短期融资券,观点地产网
1380,2021-08-30,为满足公司经营发展需要，华联电子拟向银行申请6000万元综合授信,资本邦
1381,2021-08-30,兴业银行：净利增23.08%，凸显转型效果,金融界
1382,2021-08-30,A股融资融券日报：两融余额减少35.45亿元（8月27日）,Wind
1383,2021-08-30,兴业银行计提拨备379亿降8%回归常态 转型加速财富银行收入116亿增逾22%,新浪
1384,2021-08-30,偏爱金融股，“长线资金”布局路线图浮现,Wind
1385,2021-08-28,兴业新任董事长吕家进携管理层最全阵容亮相，透露哪些信号？,21世纪经济报道
1386,2021-08-28,【银河银行张一纬】公司点评丨兴业银行 (601166)：中收贡献度提升，资产质量持续优化,中国银河证券研究
1387,2021-08-28,8月27日242只个股获券商关注，包钢股份目标涨幅达131.33%,每日经济新闻
1388,2021-08-28,延伸链上服务 兴业银行首批推出供应链票据业务,中国金融新闻网
1389,2021-08-28,平安证券维持兴业银行强烈推荐评级：利润强劲增长，财富管理转型加速,每日经济新闻
1390,2021-08-28,天风证券维持兴业银行买入评级：绿色金融大有可为，目标价25.69元,每日经济新闻
1391,2021-08-28,擦亮“三张名片”拥抱数字化转型 兴业银行苏州分行党建引领生态经营新模式,大众证券报
1392,2021-08-28,昌吉银保监局：对中国人民财险昌吉州分公司下属机构昌吉市支公司作出行政处罚，罚款12万元,Wind
1393,2021-08-27,服务国家战略 兴业银行深圳分行为数字经济发展注入金融动能,奥一网
1394,2021-08-27,中国银河维持兴业银行推荐评级：中收贡献度提升，资产质量持续优化,每日经济新闻
1395,2021-08-27,晚间要闻2021年8月27日星期五,Wind
1396,2021-08-27,迈进8万亿元大关，兴业银行未来怎么干？董事长吕家进直言：保持战略定力，一张蓝图绘到底,中国证券网
1397,2021-08-27,法国兴业银行：英镑兑美元升破1.3800后料强劲反弹,理财18
1398,2021-08-27,兴业银行宽窄巷子信用卡在蓉首发,金融投资报
1399,2021-08-27,13家银行签署绿色金融《负责任银行原则》，大银行半数缺席,Wind
1400,2021-08-27,安信证券维持兴业银行买入评级，兴业银行2021年中报点评：利润高增长，不良持续“双降”,每日经济新闻
1401,2021-08-27,英镑/美元：若升破1.3800，将出现更大反弹行情-法国兴业银行,理财18
