,2021-12-31,大悦城对佛山淦盈提供1.75亿元担保 大额借贷担保,乐居财经
934,2021-06-09,光大银行零售转型成效凸显 零售客户金融资产突破2万亿,中投网
935,2021-06-09,康弘药业：子公司济生堂药业使用自有资金7000万元购买理财产品,发布易
936,2021-06-08,华为鸿蒙跨界搅动金融业多家银行保险机构纷纷入场想象空间竟然这么大！,财联社
937,2021-06-08,西藏首家电子营业执照开户业务落地,中国金融新闻网
938,2021-06-08,银行日报：温州银行新领导班子的挑战,中投网
939,2021-06-08,助力地方特色产业发展 光大银行南昌分行服务实体经济质效显着,中国网
940,2021-06-08,网友质疑光大银行网银令牌乱收费：想钱想疯了？,新浪
941,2021-06-08,商业银行业日报,新浪
942,2021-06-08,惠誉：授予光大银行香港分行拟发行长期高级无抵押票据“BBB(EXP)”预期评级,Wind
943,2021-06-08,新冠疫苗紧急使用年龄扩到3岁以上；雄安新区首批财险机构获准开业；三星财险拟增资5.52亿元；信托资产规模连续13个季度下降,中国银行保险报
944,2021-06-08,银行理财子公司权益类产品发行升温,Wind
945,2021-06-07,付万军光大银行行长任职资格获批,中国网
946,2021-06-07,A股融资融券日报：两融余额减少27.87亿元（6月4日）,Wind
947,2021-06-06,这家股份行行长任职资格获批！,和讯
948,2021-06-05,光大银行(06818.HK)收到银保监核准付万军任行长,财华社
949,2021-06-04,光大银行(601818.SH)：付万军行长任职资格获中国银保监会核准,格隆汇
950,2021-06-04,北向资金今日净买入30.67亿元，贵州茅台净买入近5亿元,Wind
951,2021-06-04,4900亿银行股现金分红来了：大部分股息率高于4%，3家分红比率下降,21世纪经济报道
952,2021-06-03,新疆银保监局：对合众人寿阿克苏中心支公司作出行政处罚，罚款15万元 金融监管处罚,Wind
953,2021-06-02,华为明有重磅会议，将与多家上市公司发布新合作计划,Wind
954,2021-06-02,光大理财闪到“腰” 频换权益投资经理、业绩表现不佳 盈利能力下降,新浪
955,2021-06-02,去年亏损6.71亿元 高伟达能靠信贷系统项目翻身么？ 亏损,腾讯网
956,2021-06-02,16+1，全国性银行企业手机银行扩军！对公业务新增哪些数字化可能？,和讯
957,2021-06-01,银行权益理财太难了！业绩表现不佳公司两度换将 盈利能力下降,Wind
958,2021-06-01,谁在打骚扰电话、发垃圾短信？光大、京东、学而思等被点名,澎湃新闻
959,2021-06-01,光大银行副行长杨兵兵：银行4.0时代，光大企业手机银行1.0为何恰逢其时,21世纪经济报道
960,2021-06-01,买假基金损失5658万元 建设银行、光大银行等承担补充赔偿责任,GPLP犀牛财经
961,2021-06-01,朗科科技：使用部分闲置募资8000万元购买光大银行资产管理类理财产品。,新浪
962,2021-06-01,午间公告2021年6月1日星期二,Wind
963,2021-06-01,银行理财产品移行提速 资管新规进入过渡期,北京商报
964,2021-06-01,光大银行升级企业手机银行服务,中国金融新闻网
965,2021-05-31,资管新规过渡期开启倒数 又有两家银行启动新一轮理财产品移行，部分产品暂时停止申赎,北京商报
966,2021-05-31,光大银行企业版手机银行APP发布,新浪
967,2021-05-29,"光大银行成都分行组织开展""打击治理电信网络诈骗犯罪""常态化宣传活动",金融投资报
968,2021-05-29,震惊！国有大行竟卖假基金，涉资5000万！法院出手了,中国基金报
969,2021-05-29,光大银行支持民企和特色产业发展,中证报
970,2021-05-28,光大银行：独立董事韩复龄任职资格获银保监会核准,北京商报
971,2021-05-28,韩复龄出任光大银行独立非执行董事获中国银保监会批准,新浪
972,2021-05-28,多家银行信用卡分期收入超过百亿 揭开信用卡“暴利”真相,新浪
973,2021-05-28,快讯｜光大银行：韩复龄获准担任本行独立董事,财经网
974,2021-05-28,光大银行成都分行落地首笔“电子营业执照”小程序预约开户业务,金融投资报
975,2021-05-28,光大银行(601818.SH)：韩复龄董事任职资格获中国银保监会核准,格隆汇
976,2021-05-28,光大银行推出全新企业手机银行服务,中国网
977,2021-05-28,VIP 客户买了 5000 万假基金 建行等三家银行卷入虚假基金诈骗案 欺诈造假,ZAKER
978,2021-05-28,卷入虚假基金诈骗案 建行中信光大等被判承担连带责任 欺诈造假,证券日报
979,2021-05-28,卷入虚假基金诈骗案，三家银行被判承担连带责任,Wind
980,2021-05-28,卷入虚假基金诈骗案 三家银行被判承担连带责任 欺诈造假,全景网
981,2021-05-27,严防反弹压力，多家银行为不良贷款债权挂牌“寻嫁”,北京商报
982,2021-05-27,“DCE产业行—走进嘉兴” 光大产业高峰论坛成功举办,期货日报网
983,2021-05-27,利用虚假基金产品非法集资!三家涉案银行合计被执行超4700万 欺诈造假,资本邦
984,2021-05-27,光大银行企业手机银行1.0即将发布 这些“功能彩蛋”不容错过,深圳新闻网
985,2021-05-27,哪些行业不良贷款率高？,岳读债市
986,2021-05-27,A股融资融券日报：两融余额增加50.37亿元（5月26日）,Wind
987,2021-05-27,光大银行推出企业手机银行1.0，打造“B+C”新生态，以综合金融服务赋能企业发展,每日经济新闻
988,2021-05-26,农发行成功发行首单支持冷链物流建设主题金融债券,Wind
989,2021-05-25,人民币汇率再创近三年新高，如何影响股债市场？,Wind
990,2021-05-25,A股融资融券日报：两融余额增加58.06亿元（5月24日）,Wind
991,2021-05-24,光大银行江西信贷投放样本：依托金控“航母”千亿级资金支持实体产业,中国经营报
992,2021-05-23,中基协公募基金销售保有量点评：谁在争夺银行的基金代销蛋糕,招商银行
993,2021-05-22,【晨观方正】宏观/银行/海外·互联网/科技&电子/医药/交运/机械 20210522,新浪
994,2021-05-21,银证期携手成功举办光大产业高峰论坛,光大期货
995,2021-05-21,一线调研｜光大银行南昌分行：积极为村镇银行改革重组开辟新路,21世纪经济报道
996,2021-05-21,光大集团：开启服务乡村振兴新篇章,中国金融新闻网
997,2021-05-21,抓重点、加力度 银行加码助力乡村振兴,新浪
998,2021-05-20,21解读丨招行欧洲分行之外又设子行 中资银行如何布局全球？,21世纪经济报道
999,2021-05-20,安永报告：上市银行空前重视金融科技 风险防控将是未来数年关键词,21世纪经济报道
1000,2021-05-20,专访光大银行副行长齐晔： 供给、需求两侧同频共振为大资管创造时代机遇,21世纪经济报道
1001,2021-05-20,存钱要留意！继5家银行“违规”点名后，又一银行被官方“批评” 金融监管处罚,腾讯网
1002,2021-05-19,部分险资已兑现前期银行股浮盈 科技和消费或为下阶段发力重点,财联社
1003,2021-05-19,记者观察：银行网点走向何方？,中国银行保险报
1004,2021-05-19,制造业保卫战已打响 股份行支持制造业谁最卖力？,和讯
1005,2021-05-19,股份行支持制造业大比拼：谁在冲刺？谁在赶超？,新浪
1006,2021-05-19,东北证券--固收转债专题报告：转债深度报告，银行转债怎么看？【债券研究】,金融界股吧
1007,2021-05-19,2020银行年报拍案惊奇：小行科技投入占比不输大行,中国电子银行网
1008,2021-05-19,中银证券--银行业周报：行业基本面改善，社融增速下行【行业研究】,金融界股吧
1009,2021-05-19,民生银行15位高管斥资千万买自家股票，所为何因？,Wind
1010,2021-05-18,深度*行业*银行业周报：行业基本面改善 社融增速下行,新浪
1011,2021-05-18,光大银行推出奖励措施 大力发展云缴费业务,证券时报网
1012,2021-05-17,A股融资融券日报：两融余额增加42.69亿元（5月14日）,Wind
1013,2021-05-15,“踢爆”金融消费套路 2021光大银行深圳分行阳光消保健康跑圆满落幕,深圳新闻网
1014,2021-05-14,炸锅！公募基金销售保有规模首次公开 工行竟然不是老大？,新浪
1015,2021-05-14,招行、蚂蚁、工行拿下基金销售前三强， “大财富”下代销如何转型？,21世纪经济报道
1016,2021-05-14,A股融资融券日报：两融余额减少1.64亿元（5月13日）,Wind
1017,2021-05-13,A股上市股份行首季净利增速排名：平安招行兴业领先,中国经济网
1018,2021-05-13,银行业能否扛起金融科技创新大旗？看几个关键指标就清楚了,和讯
1019,2021-05-13,多家中小行一季度营收出现负增长，投资收益成拖累，3家大降95%,Wind
1020,2021-05-13,银行理财子权益产品一季度维持高仓位运作,Wind
1021,2021-05-13,一季度投资收益挺不住，多家中小银行营收露“负”,Wind
1022,2021-05-12,一季度银行业监管指标释放暖意银行股现普涨，估值改善机会来了吗,北京商报
1023,2021-05-12,上海三毛：使用1.1亿元闲置自有资金购买短期理财产品,发布易
1024,2021-05-12,银行股回暖？张坤谢治宇都在买，国家队、险资却撤离,Wind
1025,2021-05-12,青岛房贷利率暂无上调迹象国内多地房贷利率上调,搜狐
1026,2021-05-12,银行业一季报综述暨银行业中报展望,资本邦
1027,2021-05-12,保险搭售为何屡禁不绝,中国金融新闻网
1028,2021-05-12,热搜刷屏！财政部突传重磅，房地产税大消息来了！,Wind
1029,2021-05-12,一季度业绩增长较快，银行股承蒙明星基金经理抬爱,Wind
1030,2021-05-11,城商行三强：13年沧海桑田,新浪
1031,2021-05-11,对话资管30人丨光大理财董事长张旭阳： 在多资产、多策略配置方面建立护城河,21世纪经济报道
1032,2021-05-10,光大银行(601818.SH)非执行董事于春玲辞任 董监高成员变化,智通财经
1033,2021-05-10,光大银行：非执行董事于春玲女士辞职 董监高成员变化,Wind
1034,2021-05-10,主承销商：“17宜华企业MTN001”和“17宜华企业MTN002”违约后续进展 未按时兑付本息,Wind
1035,2021-05-10,【中信建投银行杨荣】理财子产品发行指数周报第8期：《4月发行数量明显回落，跨境理财通将开启》,eResearch杨荣团队
1036,2021-05-09,陆续清退！又见银行理财提前终止 过渡期所剩无几,券商中国
1037,2021-05-09,陆家嘴财经早餐2021年5月9日星期日,Wind
1038,2021-05-09,又见银行理财产品提前终止，净值化转型压力有多大？,Wind
1039,2021-05-08,2021光大年度投资论坛举办,经济日报
1040,2021-05-08,光大银行发布2020年资管市场报告：超7成理财子公司暂未建仓股票池，未来权益类投资可分三步走,每日经济新闻
1041,2021-05-08,光大理财举办2021光大年度投资论坛并发布《中国资产管理市场2020》,金融投资报
1042,2021-05-08,光大理财举办2021光大年度投资论坛 并发布《中国资产管理市场2020》,中国网
1043,2021-05-08,光大集团付万军：我国资管行业迎来新机遇 金融资产配置拐点已到来,新浪
1044,2021-05-08,2021光大年度投资论坛：我国资管行业迎来更多新机遇,新浪
1045,2021-05-08,光大集团付万军：“十四五”规划实施，资产管理和财富管理行业迎来历史性机遇（附演讲全文）,21世纪经济报道
1046,2021-05-08,“封堵”比特币！一经发现，注销账户,Wind
1047,2021-05-08,银行手续费及佣金净收入获益大增 25万亿理财转型提速,新浪
1048,2021-05-07,光大银行大宗交易成交55.00万股成交额207.35万元,证券时报网
1049,2021-05-07,光大银行现1笔大宗交易 共成交207.35万元,新浪
1050,2021-05-07,光大银行今日大宗交易成交55万股，成交价3.77元折价0.53%,Wind
1051,2021-05-07,一年创收2亿 小黄鸭也要上市了,新浪
1052,2021-05-07,光大银行2021年一季报点评：核心一级资本充足率同比去年一季度下降5bp,新浪
1053,2021-05-06,2078亿！银行大手笔“下注”，六大行占比过半！,丁丁创e
1054,2021-05-06,呼和浩特春华水务集团债务逾期7.46亿元，涉11家金融机构 违约失信,Wind
1055,2021-05-06,北向资金午后加速离场，中国平安遭大幅抛售超15亿元,Wind
1056,2021-05-06,呼和浩特市再现城投违约 春华水务集团债务逾期7.46亿元 涉11家金融机构 违约失信,经济观察网
1057,2021-05-06,光大银行一季度实现净利润115.6亿元,中国金融新闻网
1058,2021-05-05,全部54家上市银行2020年指标排名大全,搜狐
1059,2021-05-04,光大银行21年1季报详细解读：中收增速走阔，资产质量优化夯实【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
1060,2021-05-04,2020年股份制银行科技转型再提速：招行投入首破百亿光大科研资金增速超50%,华夏时报
1061,2021-05-03,银行业2000亿投入都花哪儿了？年报关键词揭晓答案！,和讯
1062,2021-05-01,上市股份行十年业绩分化：谁在沉沦，谁在突进 盈利能力下降,Wind
1063,2021-05-01,8家股份行2020年科技投入曝光：花400亿撬动了哪些业绩增长？,和讯
1064,2021-05-01,光大银行(601818)2021年一季报点评：拨备计提力度下降 净息差收窄,新浪
1065,2021-04-30,银行“跑马圈地”新零售，AI大数据成“加速器”,36氪
1066,2021-04-30,【券商聚焦】瑞信认为百度估值诱人维持跑赢大市评级；线下服务全面恢复不利美团大和下调其目标价至450港元 机构下调估值,和讯
1067,2021-04-30,9家上市股份制银行日赚超15亿！“零售之王”招商银行稳居宝座，光大银行资产增速最快,金融界
1068,2021-04-30,光大银行跌1.56%报3.78元 创近6个多月新低 连续下跌,中新经纬
1069,2021-04-30,晨光文具(603899)：21Q1销售超出疫情前表现 科力普收入同比增长161%,新浪
1070,2021-04-30,大行评级|瑞信：下调光大银行(6818.HK)目标价至3.85港元评级“跑赢大市” 机构下调估值,格隆汇
1071,2021-04-29,光大银行(601818)：中收增速走阔 资产质量优化夯实,新浪
1072,2021-04-29,光大银行(601818)：财富管理业务继续发力 息差有望走强,新浪
1073,2021-04-29,全国首支数字货币理财产品花落光大银行，业绩比较基准为3.4%,环球老虎财经
1074,2021-04-29,光大云缴费移动端客户突破6000万 持续深化便民服务掌上办,和讯
1075,2021-04-29,上市银行一季报来袭，光大银行营收同比增长3.72%,资本邦
1076,2021-04-29,上市银行一季报来袭，郑州银行营收下滑14.35% 盈利能力下降,资本邦
1077,2021-04-29,A股融资融券日报：两融余额增加19.61亿元（4月28日）,Wind
1078,2021-04-29,一年创收2亿的小黄鸭,36氪
1079,2021-04-29,光大银行：第一季度实现净利润115.6亿元，同比增加6.32%,每日经济新闻
1080,2021-04-28,光大银行一季度净利115亿增6.32%，新设立零售信贷部,澎湃新闻
1081,2021-04-28,光大银行2021一季度实现净利115.6亿元 同比增长6.3%,中国网
1082,2021-04-28,光大银行：盈利能力改善，一季度经营实现开门红,财经网
1083,2021-04-28,光大银行(601818.SH)一季度归母净利润升6.32%至115.15亿元,格隆汇
1084,2021-04-28,光大银行：一季度实现净利润115.6亿元,中证网
1085,2021-04-28,光大银行(601818.SH)一季度归母净利同比增长6.32%至115.15亿元,智通财经
1086,2021-04-28,2020年股份制银行科技转型再提速：招行投入首破百亿 光大科研资金增速超50%,华夏时报
1087,2021-04-28,光大银行：一季度净利润同比增长6.32%,Wind
1088,2021-04-28,光大深圳分行“阳光惠企政策通”正式上线微信公众号,深圳新闻网
1089,2021-04-28,14家手机银行APP仅8家开发适老化版本 语音输入“如何转账”这些APP傻傻分不清,南都报
1090,2021-04-28,深圳市建艺装饰集团股份有限,中证报
1091,2021-04-27,北向资金连续三日净买入，持续加仓新能源股,Wind
1092,2021-04-27,光大银行信息科技部史晨阳：数据资产管理与运营新模式,银行家杂志
1093,2021-04-27,光大银行增速下滑 存六项侵害消费者权益行为被通报 其他违规处罚,GPLP犀牛财经
1094,2021-04-27,A股融资融券日报：两融余额增加17.69亿元（4月26日）,Wind
1095,2021-04-27,奥飞娱乐股份有限公司董事会关于募集 资金2020年度存放与使用情况的专项说明,证券日报
1096,2021-04-26,北向资金今日净买入32亿，隆基股份净买入额创逾一个月新高,Wind
1097,2021-04-26,光大银行行长三年三换 付万军任命获“官宣”,新浪
1098,2021-04-25,《中国银行业产品和服务标准化发展报告2020》发布会圆满举办,光明网
1099,2021-04-25,光大银行“物流通”助力物流行业驶向数字化转型“快车道”,金融投资报
1100,2021-04-25,三年三任行长 光大银行迎新行长,Bank资管
1101,2021-04-25,光大银行新行长落定 集团副总经理付万军担任,中国网
1102,2021-04-25,密集轮换 年内13家上市银行迎高管变动 董监高成员变化,北京商报
1103,2021-04-25,陆家嘴财经早餐2021年4月25日星期日,Wind
1104,2021-04-24,重磅！光大银行新行长落定,丁丁创e
1105,2021-04-24,2000亿市值银行新行长即将到位,Wind
1106,2021-04-24,2000亿市值银行新行长即将到位，曾建言研究推广央行数字货币系统、提高人民币的资本属性,中证报
1107,2021-04-24,度小满“有钱花”产品踩线高利贷，部分券商理财底层资产为度小满ABS,红周刊
1108,2021-04-24,云南恩捷新材料股份有限公司关于“恩捷转债”恢复转股的公告,中证报
1109,2021-04-23,天桥起重：为控股子公司提供担保 大额借贷担保,Wind
1110,2021-04-23,53岁付万军将接任光大银行行长，曾在交行工作超25年,澎湃新闻
1111,2021-04-23,光大集团：付万军任光大银行党委副书记，将出任行长,Wind
1112,2021-04-23,任泽平：全球比较中国一线城市房价高不高,Wind
1113,2021-04-23,拉卡拉频被银行列入黑名单：业绩开始走下坡路，高利贷纠纷不断 诉讼纠纷,中访网
1114,2021-04-23,社区支行成“过气网红”：门庭寥落 95家退出,北京商报
1115,2021-04-23,从脱贫到振兴：银行接续深耕“三农”沃土,中国金融新闻网
1116,2021-04-22,银行也有“过气网红”？ 年内95家社区支行收到退出许可证,新浪
1117,2021-04-22,退出95家 社区支行成“过气网红”,北京商报
1118,2021-04-22,重磅！光大银行行长或尘埃落定：53岁集团副总经理付万军回归银行业，曾深耕交行26年,和讯
1119,2021-04-22,光大银行打造新一代云管平台,经济日报
1120,2021-04-22,践行适老服务，光大用心守护,金融投资报
1121,2021-04-22,A股融资融券日报：两融余额增加11.59亿元（4月21日）,Wind
1122,2021-04-21,光大银行：数字货币相关合作有取得一些阶段性的成果,Wind
1123,2021-04-20,22家上市银行“不良”报告：4家双降 1家银行不良超2%,21世纪经济报道
1124,2021-04-20,不良率抬头 银行消费金融出路何在,中国金融新闻网
1125,2021-04-20,积分规则调整：银行信用卡“羊毛党”老路难走,中国金融新闻网
1126,2021-04-19,透视光大信用卡业务：科技数字驱动成效显着，用户规模不断扩大,金融投资报
1127,2021-04-19,22家上市银行“不良”报告：4家双降 ，1家银行不良超2%,21世纪经济报道
1128,2021-04-19,北向资金爆买逾160亿元，新能源汽车概念股获大幅加仓,Wind
1129,2021-04-19,科技数字驱动成效显着 光大银行信用卡业务用户规模不断扩大,证券日报网
1130,2021-04-19,央行媒体：个别银行信用卡不良率超6%，不要轻易归因为疫情冲击,澎湃新闻
1131,2021-04-19,信用卡不良率上升 商业银行需加强重点领域风险排查,中国金融新闻网
1132,2021-04-17,"""抢占""富豪！银行私行硝烟又起：平安增速第一，招行户均AUM超2700万",证券之星
1133,2021-04-17,又一批基金最新持仓曝光！谁在逆风翻盘？,中金在线
1134,2021-04-17,卖基金比买基金更赚钱？银行与基金不止于“销售”,Wind
1135,2021-04-17,山东新北洋信息技术股份有限公司 关于2020年度募集资金存放与 实际使用情况的专项报告,证券日报
1136,2021-04-16,又一批最新持仓曝光！谁在逆风翻盘？,中金在线
1137,2021-04-16,西部矿业集团：调整“21西部矿业CP001”申购区间,Wind
1138,2021-04-16,光大代销信托收入增111.92%,发现网
1139,2021-04-16,A股融资融券日报：两融余额增加6.78亿元（4月15日）,Wind
1140,2021-04-16,光大银行理财子公司获批筹建 是首家获批的股份制商业银行,上证报
1141,2021-04-16,“白马杀”背后的资金图谱：不可忽视的融资盘,Wind
1142,2021-04-15,丘栋荣旗下基金一季报出炉：高仓位运作，前十大重仓股有变化,澎湃新闻
1143,2021-04-15,骆驼股份(601311)：为进一步拓展产品销售市场 拟为经销商贷款提供合计不超1亿元担保 大额借贷担保,发布易
1144,2021-04-15,丘栋荣一季度持仓变动：新进六家公司加仓两只银行股,证券之星
1145,2021-04-15,光大银行成都分行积极参与“护航青春 阳光校园”高校防电信网络诈骗暨“断卡”主题宣传活动,金融投资报
1146,2021-04-15,光大银行：“18渝保税MTN001”持有人会议审议通过提前兑付议案,Wind
1147,2021-04-15,2020年四季度股份行哪家投诉多？招行投诉量居首,新浪
1148,2021-04-15,“薄利”时代，银行下沉竞争谋“多销”,财经网
1149,2021-04-15,上市后首秀成绩单：百融云创收入3年3倍，净利润增长92%,经济网
1150,2021-04-15,银保监会：2020年第四季度银行业消费投诉环比减少10.4%,Wind
1151,2021-04-15,A股融资融券日报：两融余额增加21.59亿元（4月14日）,Wind
1152,2021-04-15,光大银行打造新一代云管理平台,中国金融新闻网
1153,2021-04-14,代销信托规模大增四成，招行这一业务净进账70亿！光大银行代销收入增长更惊人,信托百佬汇
1154,2021-04-14,中国高科：使用部分闲置自有资金购买2.335亿元理财产品,北京商报
1155,2021-04-14,光大银行云管平台入选多云管理平台优秀案例,上证报
1156,2021-04-14,银行发力绿色金融、数字人民币，谁是排头兵？,新京报
1157,2021-04-13,光大银行正式入驻华为服务号 首家提供综合性金融服务,金融投资报
1158,2021-04-13,21家A股上市银行“大阅兵”：4家实现不良“双降”,Wind
1159,2021-04-13,银行信用卡积分规则生变：扩线上限线下 打击积分套利,第一财经
1160,2021-04-13,A股21家银行不良贷款起底 民生银行不良率抬头显着,证券时报
1161,2021-04-13,中国光大银行股份有限公司2020年度光大优3股息发放实施公告,中证网
1162,2021-04-13,A股21家银行不良贷款大起底 疫情冲击留重痕,证券时报
1163,2021-04-12,光大银行(601818.SH)派发光大优3股息 股权登记日为4月16日,智通财经
1164,2021-04-12,光大银行正式入驻华为服务号 首家提供综合性金融服务,财经网
1165,2021-04-12,8家上市银行房贷业务“踩红线”，建行、邮储银行均有一项指标踩线,Wind
1166,2021-04-12,银行本周聚焦：22家银行年报总结 宁波银行表现亮眼,新浪
1167,2021-04-12,8家上市银行房贷业务“踩红线”,Wind
1168,2021-04-11,上市国股银行2020年财报深度解读：国有行股份行表现如何,澎湃新闻
1169,2021-04-10,私人银行排位赛：平安跻身万亿俱乐部招行户均金融资产第一,证券之星
1170,2021-04-09,光大理财：以终为始，科技为舟,财经网
1171,2021-04-09,理财不保本，买基又被套！别慌，这种投资明天上新，速看攻略！,腾讯网
1172,2021-04-09,从银行最新年报看银行IT市场的高增长【安信诸海滨团队】,诸海滨科新先声
1173,2021-04-09,股份行零售转型经受疫情大考：招行稳坐零售之王 平安增速最猛,华夏时报
1174,2021-04-09,A股融资融券日报：两融余额增加19.55亿元（4月8日）,Wind
1175,2021-04-09,多只周期股业绩暴增，一季度盈利超去年全年,Wind
1176,2021-04-09,年度报告说了啥？上市银行掌门人“擎画”未来,证券时报
1177,2021-04-08,银行App进入月活亿级时代，金融科技谁更舍得掏钱？,21世纪经济报道
1178,2021-04-08,年报解读丨银行业绩增速放缓，多家房贷占比超标 盈利能力下降,搜狐
1179,2021-04-08,兴业银行信用卡“拉黑”汇付天下等5家支付机构：取消受理交易累计积分,经济观察网
1180,2021-04-08,经营质效稳健提升 光大银行零售金融转型激活发展新动能,深圳新闻网
1181,2021-04-08,A股融资融券日报：两融余额增加55.88亿元（4月7日）,Wind
1182,2021-04-07,一季度被公募加仓的银行股业绩超预期，净息差下降是行业“大考”,第一财经
1183,2021-04-07,浙商银行涉重大违规遭调查2020年营收净利增长疲乏、资本充足率承压 金融监管处罚,经济观察报
1184,2021-04-07,全市场科技产业策略报告第104期：从银行最新年报看银行IT市场的高增长,新浪
1185,2021-04-07,东北证券--银行周报：货币政策稳健，预期贷款利率向上【行业研究】,金融界股吧
1186,2021-04-07,美银证券：维持光大银行(06818)“买入”评级 目标价微升至3.8港元,智通财经
1187,2021-04-07,美银证券：上调光大银行目标价至3.8港元，评级买入,Wind
1188,2021-04-07,广发基金王明旭：精心耕耘16年布局丰富产品线强调组合平衡感,中国基金报
1189,2021-04-07,光大银行：财富管理业务再上新台阶 代销品牌“鼎”系列应运而生,中国基金报
1190,2021-04-07,银行全力抢占财富管理高地 从代销转向资产配置,新浪
1191,2021-04-06,管清友：财富管理大爆发，买方投顾正当时,新浪
1192,2021-04-06,光大银行发布2020年度社会责任报告：响应国家战略，支持实体经济高质量发展,证券日报网
1193,2021-04-06,晨光文具(603899)2020年年报点评：多业态齐头并进 业绩保持亮眼增长,西南证券
1194,2021-04-06,疫情大考后，银行业整体实现净利润正增长，有大行不良率悄然走高,Wind
1195,2021-04-06,光大银行发布2020年度社会责任报告： 财富管理不忘初心 服务民生牢记使命,财经网
1196,2021-04-06,重磅！银行“打工人”薪资大曝光,中投网
1197,2021-04-06,险资频繁减持银行股透露信号 保险机构业绩承压或意在获利了结释放利润 减持股份,财联社
1198,2021-04-06,广发基金王明旭：均衡配置 保持组合的平衡感,中国网
1199,2021-04-06,光大银行信用卡2020年交易金额27241.37亿元 同比增长2.46%,中国网
1200,2021-04-06,盛京银行高管被退薪1900万之后，又有厅官领走数百万薪酬,新浪
1201,2021-04-06,25万亿市场谁领风骚？14家银行理财子业绩大比拼,Wind
1202,2021-04-06,中金 | 银行年报的三个关键词：营收增长、报表出清、布局新机遇,中金点睛
1203,2021-04-06,【银行】深度研究：33页深度剖析：摩根大通如何打造资管业务护城河？,天风研究
1204,2021-04-05,银行“打工人”薪资曝光 4家银行人均薪酬超50万,中国基金报
1205,2021-04-05,近230万银行人的薪酬“曝光”，创收能力也显露出来！,中国基金报
1206,2021-04-05,"银行""打工人""薪资大曝光：平安57万，招行53万，中信、兴业大幅加薪了！",中国基金报
1207,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,Wind
1208,2021-04-04,银行薪酬大曝光！3家银行人均年薪超50万元，这家人均降薪15%,中证报
1209,2021-04-02,十年上市银行排位赛 宁波银行净利润增幅超362%,上证报
1210,2021-04-02,晨光文具(603899)：20Q4营收同比高增44% 科力普、晨光科技成绩靓丽,新浪
1211,2021-04-02,中国光大银行成都分行优化提升企业账户服务质效,金融投资报
1212,2021-04-02,数字化共识下 银行科技比拼日渐白热化,中国金融新闻网
1213,2021-04-02,远超宇宙行！农行一年工资发出568亿 平安银行人均年薪44.5万,搜狐
1214,2021-04-02,银行零售竞争白热化 第一梯队AUM增长强劲,第一财经日报
1215,2021-04-01,监管加码 龙头股遭主力抛售近10亿元 机构却仍然推荐这些银行股 股票卖空,第一财经
1216,2021-04-01,银行零售竞争白热化，招行私行继续领跑,第一财经
1217,2021-04-01,“银行系”基金公司年报亮眼光大银行单日大卖141亿,证券之星
1218,2021-04-01,最猛大赚近25亿！银行理财子公司盈利排名来了，更有这些大动作！,中国基金报
1219,2021-04-01,北京市长对中关村金融科技产业发展联盟成果给予肯定，融360|简普科技等成员获利好,中国网
1220,2021-04-01,光大永明保险资金助力长三角区域经济建设,搜狐
1221,2021-04-01,光大银行年报发布 普惠便民“名品”云缴费表现亮眼,金融投资报
1222,2021-04-01,董事长亲自代言 这家股份行的“明星”产品何以成功坐拥5亿用户,新浪
1223,2021-04-01,金融“打工人”必看：银行薪酬哪家强？这家人均52万！,21世纪经济报道
1224,2021-04-01,数字化转型不断深入 银行科技投入持续增长,新浪
1225,2021-04-01,息差收窄盈利承压，银行竞逐财富管理新赛道,Wind
1226,2021-03-31,9大股份行业绩PK：招行净利赶超国有行，民生下滑近四成 盈利能力下降,21世纪经济报道
1227,2021-03-31,金融“打工人”必读！银行薪酬哪家强？最新数据出炉,21世纪经济报道
1228,2021-03-31,晨光文具(603899)：20年业绩靓丽超预期 传统业务稳健 科力普高速增长,新浪
1229,2021-03-31,财富管理突围，五大“新跨越”蓄能 这家银行下了一手妙棋,投资时报
1230,2021-03-31,光大银行业绩增速大幅下降 行长辞任后职位空缺 盈利能力下降,GPLP犀牛财经
1231,2021-03-31,21财报丨12家主要银行净息差下降 存款利率如何再优化？,21世纪经济报道
1232,2021-03-31,金融研究丨12家主要银行净息差下降 存款利率如何再优化？,21世纪经济报道
1233,2021-03-31,注意!6家银行2020年基金代销合计近2万亿元,资本邦
1234,2021-03-31,基金代销竞争白热化工行招行争夺冠军宝座,中证报
1235,2021-03-31,部分银行净值化理财产品占比已超七成，投资者教育应更接地气,Wind
1236,2021-03-30,不愧为银行系基金！净利最高增幅超1倍，更有代销凶猛，光大银行单日大卖141亿创纪录,金融界
1237,2021-03-30,光大：乘势而上实现新跨越 去年向实体经济让利近200亿,中国金融新闻网
1238,2021-03-30,光大银行财富管理特色进一步突出2020年理财服务手续费同比大增近300%,华夏时报
1239,2021-03-30,上市银行成绩单出炉：行业净利润有所下降 整体运行平稳 盈利能力下降,金融时报
1240,2021-03-30,A股融资融券日报：两融余额增加33.36亿元（3月29日）,Wind
1241,2021-03-30,科技创新赋能 银行业务线上化明显加速,新浪
1242,2021-03-30,破浪前行 上市银行运行整体平稳,新浪
