,2021-12-31,海大集团：公司部分核心添加剂系自主研发生产,每日经济新闻
297,2021-07-23,海大集团今日大宗交易成交10.33万股，成交价72.04元溢价1.74%,Wind
298,2021-07-23,农林牧渔行业：板块继续低配 关注饲料行业集中度提升,广发证券
299,2021-07-23,农林牧渔2021Q2基金持仓分析：农业周期如期下行 成长标的更为坚守,新浪
300,2021-07-23,18家千亿顶流基金公司调仓释放重要信息,Wind
301,2021-07-22,基金二季报重仓股调查：仓位稳中有升，增配三大行业,Wind
302,2021-07-22,海大集团7月21日现2笔大宗交易,证券时报网
303,2021-07-22,基金顶流压轴出场！仓位新低、重仓换血，未来咋走？,Wind
304,2021-07-21,海大集团现2笔大宗交易合计成交53.50万股,证券时报网
305,2021-07-21,"海大集团现2笔大宗交易 共成交3,941.95万元",新浪
306,2021-07-21,海大集团今日大宗交易成交41.50万股，成交价73.3元溢价0.0%,Wind
307,2021-07-20,农林牧渔行业周观点：猪价震荡调整 半年报关注绩优板块,新浪
308,2021-07-20,农林牧渔2021年7月第4周周报：深度调整后的农业板块能否迎来布局机会？,新浪
309,2021-07-19,海大集团、世昌农牧集团合资成立新公司，注册资本5000万,新京报
310,2021-07-19,"海大集团现1笔大宗交易 共成交1,149.60万元",新浪
311,2021-07-19,海大集团今日大宗交易成交16万股，成交价71.85元溢价0.69%,Wind
312,2021-07-19,“数据会说话”之2021年6月数据解读：6月社零数据略好于预期 必需品消费改善但通胀高增仍持续抑制可选商品消费,新浪
313,2021-07-19,农林牧渔行业周观点：政策加持 景气回升 继续关注种业板块,新浪
314,2021-07-19,2021年农林牧渔行业中报前瞻：周期博弈进行时 聚焦绩优成长股,新浪
315,2021-07-18,农林牧渔行业周报：养殖周期下行 业绩表现分化,新浪
316,2021-07-16,农林牧渔行业：关注短期猪价超跌反弹 猪周期逐渐步入正常化,广发证券
317,2021-07-16,温氏股份：公司生产的饲料主要为自用，暂不对外销售,Wind
318,2021-07-13,农林牧渔行业2021年中报前瞻：生猪板块业绩承压 种植链景气向上,新浪
319,2021-07-13,东兴大消费：寻找中报确定性 关注线上新品消费趋势,新浪
320,2021-07-12,招商农林牧渔行业周报：种业政策催化 猪肉收储启动,新浪
321,2021-07-12,海大集团成立新公司，经营范围含生物饲料研发等,企查查
322,2021-07-09,南骏汽车董事长赴海大集团调研,轮胎世界网
323,2021-07-07,农业周报：养殖板块业绩下滑较多 动保企业业绩有望保持高增长,新浪
324,2021-07-06,7月大消费组电话会议行业观点,新浪
325,2021-07-05,农林牧渔行业：猪价大幅反弹 持续关注龙头企业降本增效成果,新浪
326,2021-07-05,草鲫鲤鲢价格持续上涨 上游积极扩产下游态度谨慎生恐重蹈生猪覆辙,证券日报网
327,2021-07-01,海大集团：2020年度权益分派10派3.2元股权登记日为7月8日,财联社
328,2021-06-30,海大集团大涨,新浪
329,2021-06-29,申万农林牧渔周观点：猪价触底快速反弹 看好生猪养殖及服务业,新浪
330,2021-06-28,海大集团投资8亿建设广东汕尾鱼虾贝藻水产种业园,证券时报网
331,2021-06-27,【东兴大消费】周观点：关注消费者迭代带来的新赛道和新品牌,微信
332,2021-06-27,如何看待周末猪价强劲反弹？,微信
333,2021-06-25,"海大集团现1笔大宗交易 共成交1,162.50万元",新浪
334,2021-06-25,海大集团今日大宗交易成交15万股，成交价77.5元溢价0.28%,Wind
335,2021-06-22,海大集团：饲料业务仍为营收核心 受猪价下跌冲击影响不大丨公司问答 盈利能力下降,第一财经
336,2021-06-21,海大集团(002311.SZ)：回购账户的119.4582万股已过户至核心团队员工持股计划之四期计划账户,格隆汇
337,2021-06-21,海大集团：核心团队员工持股计划之四期计划非交易过户完成,每日经济新闻
338,2021-06-21,【东兴大消费】周观点：5月社零总额同比增长12.4%，消费复苏确定性延续,微信
339,2021-06-21,农行放大招，比特币闪崩！华为出手，股价一年飙10倍,Wind
340,2021-06-21,【行情】猪肉股午后再度跳水，大北农、正邦科技均跌超6%，海大集团、牧原股份、龙大肉食等个股持续走弱,金十数据
341,2021-06-21,农林牧渔行业周观点：猪价继续探底 “后周期”景气兑现,新浪
342,2021-06-18,“数据会说话”之2021年5月数据解读：5月社零数据低于预期 消费延续恢复态势,新浪
343,2021-06-16,农林牧渔行业2021年中期策略：养殖盈利进入正常周期 重点关注饲料行业集中度提升,广发证券
344,2021-06-16,东兴大消费：端午出游基本恢复至疫情前 关注大众消费复苏,新浪
345,2021-06-15,申万农林牧渔周观点：猪肉储备调节机制优化 关注景气复苏“后周期”,新浪
346,2021-06-15,海大集团(002311.SZ)首次授予激励对象4795.32万份股票期权,智通财经
347,2021-06-15,农林牧渔行业周报：政府猪肉储备调节机制预案解读,新浪
348,2021-06-14,生猪养殖进入亏损区，猪价能否迎来反弹？ 亏损,微信
349,2021-06-13,海大集团(002311)专题系列报告之二：如何看待公司估值水平？,新浪
350,2021-06-11,抗疫一线：琶洲企业各尽其能 400多万元物资紧急驰援,21世纪经济报道
351,2021-06-10,多家饲料上调价格 业内人士：成本高企、短期或高位运行,财联社
352,2021-06-10,涨价潮来袭 料企业绩亮眼,财联社
353,2021-06-10,【银河农业】2021年中期策略丨背靠周期，把握优质成长标的,新浪
354,2021-06-09,海大集团(002311.SZ)控股股东海灏投资拟参与转融通证券出借业务,智通财经
355,2021-06-09,农林牧渔行业热点聚焦：猪价或现政策底 年内反弹仍可期,新浪
356,2021-06-09,险资一个月调研235家A股上市公司,Wind
357,2021-06-08,农林牧渔行业：背靠周期 把握优质成长标的,新浪
358,2021-06-08,海大集团：公司谨慎参与生猪期货套期保值业务,每日经济新闻
359,2021-06-07,全球缺芯潮愈演愈烈，蔡嵩松、赵诣又赶上风口？,Wind
360,2021-06-07,农林牧渔行业：猪价6-8月有望上扬 继续看好畜禽链反弹行情,新浪
361,2021-06-07,农林牧渔行业：本周猪价继续下行 关注饲料行业集中度提升,广发证券
362,2021-06-07,【东兴大消费】周观点：618大促预售火爆，关注国产品牌和新锐品类,微信
363,2021-06-07,申万农林牧渔周观点：猪价跌势不止 推荐生猪养殖“后周期”,新浪
364,2021-06-07,农林牧渔行业周报：圣农发展的竞争战略与发展战略,新浪
365,2021-06-07,农林牧渔行业：种业持续推进政策监管 持续推荐后周期景气上行,新浪
366,2021-06-06,基金布局方向曝光！这些上市公司被机构踏破门槛,Wind
367,2021-06-03,晚间要闻2021年6月3日星期四,Wind
368,2021-06-03,“奶酪界网红”“医药茅”被扎堆调研！险资称股市仍处反弹窗口期,Wind
369,2021-06-03,海大集团大宗交易成交346.05万元,证券时报网
370,2021-06-03,海大集团今日大宗交易成交4.33万股，成交价79.92元溢价0.0%,Wind
371,2021-06-03,24股遭北向资金减持超亿元,证券时报网
372,2021-06-03,市场转暖险资仓位总体或已提升 5月扎堆调研“热搜股”妙可蓝多,财联社
373,2021-06-01,农林牧渔行业：5月板块跑输8.3个百分点+后周期饲料、动保景气上行,广发证券
374,2021-06-01,海大集团5月31日现2笔大宗交易,证券时报网
375,2021-05-31,"海大集团现2笔大宗交易 共成交4,652.84万元",新浪
376,2021-05-31,海大集团今日大宗交易成交58.60万股，成交价79.4元溢价0.37%,Wind
377,2021-05-31,东兴大消费：京东“618”预售情况折射出五大消费趋势,新浪
378,2021-05-31,5月31日晚间重要行业研究汇总(附股),中金在线
379,2021-05-31,农业行业周报：猪价趋稳 反弹不远,新浪
380,2021-05-31,消费产业2021年下半年投资策略：新品类、新品牌、新渠道,新浪
381,2021-05-31,海大集团：玉米、小麦为公司饲料生产的主要原材料，公司均备有适量的库存,每日经济新闻
382,2021-05-31,中信证券：下半年消费配置方面，建议基于长期视角优选短期景气较高的行业和公司,证券时报网
383,2021-05-31,申万农林牧渔周观点：猪价急跌景气回落 关注龙头成长性,新浪
384,2021-05-31,5月基金密集调研电子、生物医药、化工等行业,Wind
385,2021-05-31,5月基金密集调研电子、生物医药、化工等行业,证券时报
386,2021-05-30,谢治宇、刘彦春等明星基金经理最新调研股曝光,Wind
387,2021-05-30,农林牧渔行业周报：本币升值降低进口粮成本,新浪
388,2021-05-29,长寿药卖得太火爆？这家公司不顾环境审批猛扩产，结果被抓现行 其他违规处罚,每日经济新闻
389,2021-05-29,A股绿色周报｜金达威“长寿药”子公司不顾环评批复扩产 东北制药“绿色工厂”收多笔罚单,每日经济新闻
390,2021-05-29,农林牧渔2021年6月投资策略：6月或迎绝地反击 推荐畜禽产业链,新浪
391,2021-05-28,权益类基金仓位降至年内最低位，公募调仓瞄准五行业,Wind
392,2021-05-28,海大集团(002311.SZ)：控股股东质押180万股,格隆汇
393,2021-05-28,5家上市公司获券商密集调研，机构建议把握7月做多窗口,Wind
394,2021-05-28,水产品价格涨势汹汹 多只概念股业绩向好,证券时报
395,2021-05-27,市场“十年十倍”基金经理？火遍朋友圈的东方红启恒三年持有到底该不该买？,21世纪经济报道
396,2021-05-24,【调研纪要】海大集团：在内外两方面都存在单吨盈利的提升空间（20210524）,微信
397,2021-05-24,东兴大消费：4月社零数据回落 线上消费保持快速增长,新浪
398,2021-05-24,农林牧渔行业：猪价跌幅收窄 后市有望迎来反弹,新浪
399,2021-05-24,农林牧渔行业：本周猪价环比下跌6.35% 关注饲料行业高景气持续,广发证券
400,2021-05-24,申万农林牧渔周观点：水产价格上涨驱动水产饲料景气 关注水产料销售旺季,新浪
401,2021-05-23,【华安农业王莺|周报】主流猪企着力降成本，大宗农产品价格中期看涨,王莺看农业
402,2021-05-22,智慧养殖引市场关注，业绩说明会为投资者答疑解惑,Wind
403,2021-05-21,引领高质量发展·聚焦深市业绩说明会丨智慧养殖引市场关注 业绩说明会为投资者高效答疑解惑,证券时报
404,2021-05-21,直击股东会|5年内销量目标剑指4000万吨 海大集团：原料紧缺会放大头部公司优势,财联社
405,2021-05-20,生猪价格跌破成本线，监管火速行动，调控呼之欲出？,Wind
406,2021-05-18,农林牧渔-20年年报及21年一季报总结：成长股表现亮眼，动保与种植景气上行,国信研究
407,2021-05-18,国信证券--农林牧渔行业周报：农产品研究跟踪系列报告（12）-5月USDA供需报告利好种植重点布局海大与牧原【行业研究】,金融界股吧
408,2021-05-17,海大集团：控股股东海灏投资解除质押520万股,每日经济新闻
409,2021-05-17,海大集团现1笔大宗交易 共成交516.12万元,新浪
410,2021-05-17,海大集团今日大宗交易成交6万股，成交价86.02元溢价0.0%,Wind
411,2021-05-17,大消费行业周观点：人口普查数据 洞见消费大机遇,新浪
412,2021-05-16,农业周观点：生猪生产恢复势头良好 猪价或迎来季节性反弹,新浪
413,2021-05-14,海大集团(002311.SZ)：核心团队员工持股计划之二期计划出售完毕暨提前终止,格隆汇
414,2021-05-14,海大集团：二期持股计划已全部出售完毕,Wind
415,2021-05-13,海大集团(002311.SZ)：控股股东质押148.2万股,格隆汇
416,2021-05-13,海大集团：股东海灏投资质押148万股,每日经济新闻
417,2021-05-12,农林牧渔行业2020年年报及2021年一季报业绩综述：猪周期下行 继续关注后周期,新浪
418,2021-05-11,晨会聚焦210511重点关注有色、美妆&医美、农林牧渔、传媒、机械、非银、汉钟精机、牧原股份,国信研究
419,2021-05-10,【东兴大消费】周观点：关注线下复苏带来的增长及结构变化机会,微信
420,2021-05-10,农林牧渔行业周报：主要上市猪企前4月出栏同比大增 后周期龙头业绩持续发力,华安证券
421,2021-05-10,农业行业周报：猪价弱势调整 关注水产和农产品景气度,新浪
422,2021-05-10,海大集团：控股股东海灏投资解除质押520万股,每日经济新闻
423,2021-05-10,农林牧渔行业：板块业绩分化 持续看好优质龙头企业,新浪
424,2021-05-10,广东海大集团股份有限公司 关于2021年半年度募集资金存放 与使用情况的专项报告,证券日报
425,2021-05-05,【方正农业|新消费】五一假期后，如何看农业板块的投资价值？,微信
426,2021-05-05,【华安农业王莺|周报】正邦、温氏完全成本有望回落，后周期龙头业绩持续发力,王莺看农业
427,2021-05-03,外资一季度持仓路径解析：32公司被重仓超3年，4月重启加仓,Wind
428,2021-05-01,一周研读｜基金持仓分析显示抱团仍在延续,中信证券研究
429,2021-04-30,下周317亿市值限售股解禁，节后首个交易日迎解禁高峰 解禁,Wind
430,2021-04-30,海大集团(002311.SZ)控股股东海灏投资质押192.3万股,智通财经
431,2021-04-30,海大集团：海灏投资质押约192万股,每日经济新闻
432,2021-04-29,海大集团：1213.94万股限售股5月7日解禁，占比0.7308% 解禁,每日经济新闻
433,2021-04-29,A股早报2021年4月29日星期四,Wind
434,2021-04-28,[路演]海大集团：将稳步提升生猪出栏数量 进一步控制生猪养殖成本,全景网
435,2021-04-28,[路演]海大集团：现有饲料产能2000多万吨,全景网
436,2021-04-28,海大集团(002311)：内延外伸 农牧白马步入新征程,新浪
437,2021-04-28,农业1Q21公募基金持仓分析：配置情绪待修复 聚焦个股成长,新浪
438,2021-04-28,80%个股上涨，4月最强行业揭晓！一季度北上资金和QFII联手增持31股,Wind
439,2021-04-27,农林牧渔行业：猪价震荡上扬 关注假期提振效应,新浪
440,2021-04-27,外资逆势抄底！一季度北上资金和QFII联手增持31股,Wind
441,2021-04-27,2021年基金一季报专题研究之二：四类基金画像 短跑、长跑、降仓、管大钱,新浪
442,2021-04-27,农林牧渔行业2021Q1基金持仓分析：生猪养殖获明显增配 龙头占比更集中,新浪
443,2021-04-27,潜心科技兴农基业 海大集团“善下成海”,上证报
444,2021-04-26,华西证券首予海大集团买入评级：内延外伸，农牧白马步入新征程,每日经济新闻
445,2021-04-26,QFII一季度凶猛补货，最高持仓市值超百亿（附股）,Wind
446,2021-04-24,A股分化再起！基金高仓位不改，核心资产仍是风向？,Wind
447,2021-04-23,A股分化再起：茅指数涨逾2%，近3000只个股却下跌,Wind
448,2021-04-22,又一个千亿顶流，指数跌200点，他如何赚367%？,Wind
449,2021-04-22,又有1000亿顶流基金经理：指数跌200点，他却大赚367%，最新持仓曝光（名单）,证券之星
450,2021-04-22,6个月暴增50%，融券余额首破1500亿大关,Wind
451,2021-04-22,又有1000亿顶流基金经理：指数跌200点 刘彦春却大赚367%,中国基金报
452,2021-04-22,张坤之后，第2位千亿顶流来了！基金股票仓位超9成,Wind
453,2021-04-22,全球最牛主权基金一季度赚3000亿，减持多只A股,Wind
454,2021-04-22,融券余额首破1500亿，券商火速布局抢占市场,Wind
455,2021-04-22,已披露的A股上市公司年报数据表明，挪威政府全球养老基金持有20只A股,Wind
456,2021-04-21,华金证券--海大集团：2020年报和2021年1季报业绩点评【公司研究】,金融界股吧
457,2021-04-21,华安证券--海大集团：年报、一季报高增长，饲料养殖共同发力【公司研究】,金融界股吧
458,2021-04-21,主权投资机构调仓动向浮现，全球最大主权基金一季度减持万华化学 减持股份,Wind
459,2021-04-20,两度“熔断”！汽车白酒狂飚、4000亿龙头大涨5%,Wind
460,2021-04-20,3巨头联手大动作，概念龙头瞬间涨停（附股）,Wind
461,2021-04-20,安信证券：海大集团(002311.SZ)饲料销量高速增长，给予“买入-A”评级,智通财经
462,2021-04-19,海大集团去年净利增逾5成 畜禽产业链正在构建中,e公司
463,2021-04-19,海大集团(002311.SZ)拟推核心团队员工持股计划之四期计划,智通财经
464,2021-04-19,海大集团(002311.SZ)年度归母净利增53%至25.23亿元 每10股派发3.2元,智通财经
465,2021-04-19,海大集团：2020年净利润同比增长53.01%,Wind
466,2021-04-19,海大集团：一季度净利润同比增长132.9%,Wind
467,2021-04-15,轮胎核心技术重大突破,天然橡胶网
468,2021-04-14,国信证券--海大集团重大事件快评：Q1业绩预告大幅超预期，熵减进化造就突破式成长【公司研究】,金融界股吧
469,2021-04-13,海大集团率先宣布水产饲料降价，4家子公司降100-300元/吨,格隆汇
470,2021-04-13,华安证券--海大集团：Q1业绩同比大增124%-137%，饲料养殖同发力【公司研究】,金融界股吧
471,2021-04-13,【华安农业王莺】海大集团点评：Q1业绩同比大增124%-137%，饲料养殖同发力,王莺看农业
472,2021-04-13,A股早报2021年4月13日星期二,Wind
473,2021-04-12,晚间重要公告2021年4月12日星期一,Wind
474,2021-04-12,海大集团一季度净利润预增124%-137%,上证报
475,2021-04-12,海大集团：预计一季度净利润同比增长123.91%-137.09%,Wind
476,2021-04-12,回调即买入机会！种植产业链景气度高 “春耕”时候到了？,中金在线
477,2021-04-12,农林牧渔行业周报：后周期景气 关注饲料、疫苗板块龙头,新浪
478,2021-04-12,华安研究行业周观点集萃,华安证券
479,2021-04-12,农业周观点：一季报发布在即 关注基本面稳健个股,新浪
480,2021-04-12,103股获券商买入评级 龙马环卫目标涨幅达92.31%,Wind
481,2021-04-09,海大雄心再暴露：2025年饲料销量超4000万吨！,农产品期货网
482,2021-04-09,海大集团(002311)：激励匠人精神 布局能见度最清晰的公司,新浪
483,2021-04-08,A股共发生135宗大宗交易成交16.51亿元（4月8日）,Wind
484,2021-04-08,海大集团现1笔大宗交易 共成交200.72万元,新浪
485,2021-04-08,海大集团今日大宗交易成交2.49万股，成交价80.61元折价0.6%,Wind
486,2021-04-08,国信证券：海大集团(002311.SZ)股权激励再落地，维持“买入”评级,智通财经
487,2021-04-08,中泰证券--农林牧渔行业周报：畜禽需求低迷，关注大企业扩产能兑现节奏【行业研究】,金融界股吧
488,2021-04-08,晨会聚焦210408重点关注腾讯控股、中国中药、极米科技、威高股份、海大集团,国信研究
489,2021-04-08,开源晨会0408丨没有高PE的买，就不要低PE的卖；海大集团、极米科技、当升科技等,开源证券研究所
490,2021-04-07,国信证券给予海大集团买入评级：股权激励再落地，提振发展强信心,每日经济新闻
491,2021-04-07,开源证券给予海大集团买入评级：股权激励计划新老衔接，确保中长期战略落地,每日经济新闻
492,2021-04-07,海大集团(002311)重大事件快评：股权激励再落地 提振发展强信心,新浪
493,2021-04-07,海大集团(002311)股权激励方案点评：激励机制更趋完善 助力全球领先远景实现,广发证券
494,2021-04-07,华安证券--海大集团：股权激励考核目标严格，凸显稳健高增长战略【公司研究】,金融界股吧
495,2021-04-07,【华安农业王莺】海大集团点评：股权激励考核目标严格，凸显稳健高增长战略,王莺看农业
496,2021-04-07,农林牧渔行业周观点：短期供需错配压制猪价 聚焦优质成长龙,新浪
497,2021-04-06,农林牧渔行业投资策略月报：3月猪价同比下跌23% 关注水产投苗旺季来临,广发证券
498,2021-04-06,海大集团(002311.SZ)：拟向激励对象授予股票期权5500万份,格隆汇
499,2021-04-06,海大集团(002311.SZ)：终止回购公司股份方案 终止回购,格隆汇
500,2021-04-06,海大集团(002311.SZ)耗资7.91亿元累计回购股份1146.67万股,智通财经
501,2021-04-06,海大集团(002311.SZ)拟推5500万份股票期权激励计划 行权价为59.68元/股,智通财经
502,2021-04-06,海大集团：终止回购公司股份方案 终止回购,Wind
503,2021-04-06,海大集团(002311.SZ)斥资7.91亿元回购1146.67万股,智通财经
504,2021-04-06,海大集团(002311.SZ)截至3月底已累计回购1146.669万股,格隆汇
505,2021-04-06,农林牧渔行业：行业景气高增 继续关注养殖后周期,新浪
506,2021-04-06,东兴大消费：清明假期消费市场人气旺 关注旅游消费,新浪
507,2021-04-06,农林牧渔2021年第14周周报：如何看待4月农业板块投资机会？,新浪
508,2021-04-06,农林牧渔行业：养猪分化 养鸡盈利下滑 后周期持续高增,新浪
509,2021-04-06,【国君农业】周报：4月猪价弱势难改，拥抱种养龙头,农业凯歌
510,2021-04-06,农林牧渔行业：节日消费提振有限 财报季关注绩优板块,新浪
511,2021-04-05,华安农业周报：3月主流猪企出栏有望高增长 主粮价格中线看涨,华安证券
512,2021-04-02,东莞海大饲料环境违法被责令改正 为海大集团子公司 其他违规处罚,中国网
513,2021-04-01,海大集团(002311.SZ)耗资2384.39万元回购42.63万股,智通财经
514,2021-04-01,兴证策略&多行业：2021年4月金股组合,新浪
515,2021-04-01,农林牧渔2021年4月投资策略：大农业成长逻辑强化 把握核心优质标的,新浪
516,2021-03-30,洪流管理的嘉实价值成长“隐形”持有海大集团、中国平安等个股,中证网
517,2021-03-29,农业行业周报：4月猪价弱势难改 继续推荐板块龙头,新浪
518,2021-03-29,农林牧渔行业周报：肉类供给缺口仍存 国内外供需变数加大,新浪
519,2021-03-29,农林牧渔行业农产品研究跟踪系列报告(7)：维持成长股推荐 重点布局海大、牧原、科前与湘佳,新浪
520,2021-03-28,【东兴大消费】周观点：关注新型消费政策，及当下年报密集披露,微信
521,2021-03-26,两融余额三连降，14股遭杠杆资金大比例减仓,证券时报
522,2021-03-25,农业种植板块走高，机构认为种植产业链龙头受益丨牛熊眼,第一财经
523,2021-03-24,硬核研报：迎来景气行情？业绩扭亏为盈 预增108%！,中金在线
524,2021-03-24,海大集团成立生物科技公司，经营范围含生物技术推广服务,企查查
525,2021-03-24,海大集团、北辰饲料共同成立新公司，经营范围含畜禽疾病预防领域内的技术服务等,企查查
526,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
527,2021-03-23,农林牧渔行业深度分析：反刍动物饲料 有待开发的一片蓝海,新浪
528,2021-03-22,农林牧渔行业：关注畜禽龙头及低估值、景气向上的疫苗板块,新浪
529,2021-03-21,【东兴大消费】周观点：消费复苏实现良好开局，关注年报及季报行情,Ddu滴度
530,2021-03-21,农林牧渔行业周报：草地贪夜蛾见虫面积或大增 科前生物批签发超预期,华安证券
531,2021-03-18,海大集团成立生物科技新公司，注册资本1000万,企查查
532,2021-03-17,养殖业龙头股票有哪些？种植业龙头股票有哪些？,至诚财经
533,2021-03-17,10大中国卡客车轮胎品牌,轮胎商业网
534,2021-03-16,海大集团：2020年度主要原材料价格上涨，公司猪饲料价格也作出了相应的提价安排,每日经济新闻
535,2021-03-15,农产品研究跟踪系列报告(5)：继续推荐农业成长股 看好海大集团与牧原股份,新浪
536,2021-03-15,农业周报：种、养植“春播”行情犹在,新浪
537,2021-03-12,冷板凳也有春天，碳中和渐入佳境公用事业领涨A股,Wind
538,2021-03-12,融资客青睐7股，国新能源买入占比高达38.97%,Wind
539,2021-03-09,海大集团成立生物科技新公司，持股100%,企查查
540,2021-03-08,农林牧渔：维持行业超配评级 继续推荐海大、牧原和科前,新浪
541,2021-03-08,消费产业周报：市场进入平静期 短期机会仍聚焦疫情修复,新浪
542,2021-03-08,农林牧渔行业：21年政府工作报告关注种业和生猪产业发展,新浪
543,2021-03-08,大消费组周观点：政府工作报告关注未来新型消费的壮大,新浪
544,2021-03-08,海大集团(002311)：公司调整回购股份方案点评,广发证券
545,2021-03-08,开源证券--农林牧渔行业周报：低体重猪抛售进入尾声，后续观察5月南方雨季【行业研究】,金融界股吧
546,2021-03-05,国泰养殖ETF投资价值分析：“畜”锐“养”精,新浪
547,2021-03-05,抱团瓦解小盘股逆袭，本周超1000股涨逾5%,Wind
548,2021-03-05,海大集团：上调回购价格区间与回购金额,e公司
549,2021-03-05,海大集团(002311.SZ)调整回购方案：回购额调整为4亿-8亿元回购价调整为不超90元/股,格隆汇
550,2021-03-05,海大集团(002311.SZ)已累计回购423.26万股 回购价格区间调整为“不超过90元/股”,智通财经
551,2021-03-05,海大集团：提高回购金额及回购价格区间上限,Wind
552,2021-03-04,东兴证券--农林牧渔行业周观点：一号文靴子落地，持续关注种业和生猪产业【行业研究】,金融界股吧
553,2021-03-03,海大集团成立生物科技新公司，注册资本500万,企查查
554,2021-03-02,海大集团(002311.SZ)斥资2.63亿元回购423.26万股,智通财经
555,2021-03-02,海大集团(002311.SZ)：截至2月底累计耗资2.63亿元回购423.26万股,格隆汇
556,2021-03-02,机构大举扫货格林美 游资抄底海大集团|板块龙虎榜,第一财经
557,2021-03-02,A股早报2021年3月2日星期二,Wind
558,2021-03-02,全国人大代表、广东海大集团揭阳海大饲料有限公司仓储班长杨明芳：努力讲好新时代“三农”故事,南方日报
559,2021-03-01,龙虎榜机构新动向：净买入11股净卖出12股,证券时报网
560,2021-03-01,海大集团跌近5% 股价高点开源证券喊买,中国经济网
561,2021-03-01,海大集团龙虎榜数据（3月1日）,Wind
562,2021-03-01,农林牧渔行业周报：猪病影响仍在持续 2021年猪价有望超预期,新浪
563,2021-03-01,坤坤还好吗？遇涨“封神”遇跌“脱粉”,Wind
564,2021-03-01,大消费组周观点：关注复苏中的酒店餐饮及地产后周期板块,新浪
565,2021-02-28,【国君农业】周报：养殖，种植“春播”行情仍在继续,农业凯歌
566,2021-02-28,农林牧渔行业-农产品研究跟踪系列报告(3)：非瘟利好牧原与科前 种业或迎政策红利,新浪
567,2021-02-27,海大集团十年复合增长率达20% 用研发实力打造竞争壁垒,证券日报
568,2021-02-26,海大集团：公司有参与生猪期货业务,Wind
569,2021-02-26,海大集团间接控股子公司环境违法被罚2万元 环保处罚,每日经济新闻
570,2021-02-26,有人喊减仓，有人暗加仓，明星基金经理操作分歧大,第一财经
571,2021-02-26,张坤等明星基金一周回撤超10%，机构边跌边调寻求同盟,21世纪经济报道
572,2021-02-26,中国着名轮胎企业母公司造车啦,轮胎商业网
573,2021-02-25,格力、美的大规模回购股票 其他白马股也在跟进中（附图）,新浪
574,2021-02-22,农业行业：疫情变化 政策出台 继续关注种、养殖业,新浪
575,2021-02-22,国信证券--农林牧渔行业2021年1号文点评：乡村振兴利好海大与牧原种业或迎新一轮政策红利【行业研究】,金融界股吧
576,2021-02-22,农林牧渔行业2021年中央1号文件点评：保障粮食安全 打好种业翻身仗,新浪
577,2021-02-22,国信证券--农产品研究跟踪系列报告（2）：禽链推荐海大与牧原，种业周期与成长共振【行业研究】,金融界股吧
578,2021-02-22,龙虎榜揭秘 近五日机构最青睐59股,证券之星
579,2021-02-22,201家公司业绩快报亮相 72%营收利润双双增长,证券之星
580,2021-02-21,中小市值的现象与本质；电影春节档的变与不变丨一周重点研究报告,开源证券研究所
581,2021-02-21,农业周观点：农产品涨价预期增强 建议提升对农业板块关注度,新浪
582,2021-02-20,管理800亿基金经理刘彦春离职传闻弥漫超24小时 当事人被迫“揭开真相” 基金经理离任,财联社
583,2021-02-19,一号文件迎“窗口期”，农业板块闻风起舞,Wind
584,2021-02-19,机构最近都在买哪些股？,证券之星
585,2021-02-19,海大集团(002311)公司深度报告：打造极致产品与服务的农牧龙头,新浪
586,2021-02-18,开源证券维持海大集团买入评级：打造极致产品与服务的农牧龙头,每日经济新闻
587,2021-02-18,开源证券--锂电池行业周报：春节后农业走势回顾：板块整体表现偏强，关注养殖、饲料、动保及种植链【行业研究】,金融界股吧
588,2021-02-18,海大集团今日大宗交易成交80万股，成交价84.4元溢价0.0%,Wind
589,2021-02-11,海大集团：水产饲料第一股能否延续扩张？,新浪
590,2021-02-09,大消费组周观点：就地过年关注本地服务消费 及白酒等消费品,新浪
591,2021-02-09,农业2020年报前瞻：畜禽养殖盈利分化 养殖后周期景气度回升,新浪
592,2021-02-09,农林牧渔行业上市公司2020年年报前瞻：行业景气分化 生猪养殖业绩兑现,新浪
593,2021-02-09,农林牧渔2021年2月投资策略暨2020年报前瞻：维持农业超配评级，成长股高弹性确定,国信研究
594,2021-02-09,农林牧渔农产品研究跟踪系列报告(1)：饲料粮继续强势 畜禽持有成长股,新浪
595,2021-02-08,海大集团(002311.SZ)股价异动 不存在未披露事项,智通财经
596,2021-02-08,海大集团股价高歌猛进，三日累计涨逾20%，机构博弈激烈,第一财经
597,2021-02-08,农林牧渔行业周报：疫情再起波澜 关注养猪龙头阿尔法,新浪
598,2021-02-08,海大集团龙虎榜数据（2月8日）,Wind
599,2021-02-08,太平洋--农林牧渔行业周报（第6周）：生猪养殖冬季疫情抬头，2021年猪价预期或有所上调【行业研究】,金融界股吧
600,2021-02-08,农林牧渔2021年第6周周报：能繁母猪存栏连续2个月下降 猪价或超预期 继续关注养殖板块投资机会!,新浪
601,2021-02-07,【国君农业】周报：疫情调整预期，龙头紧抱不松,农业凯歌
602,2021-02-07,农林牧渔周报：非瘟疫情反复 主产区粮食累计收购量降3%,华安证券
603,2021-02-07,农业周观点：非瘟病毒出现自然变异株 行业产能恢复或有波折,新浪
604,2021-02-06,这些公司业绩大增 百亿基金和北向资金齐加仓！,上证报
