,2021-12-31,实体企业怎么实现数字化转型升级？广联达刁志中解答,新浪
738,2021-05-30,谢治宇、刘彦春等明星基金经理最新调研股曝光,Wind
739,2021-05-30,谢治宇、刘彦春、李元博、冯明远等明星基金经理最新调研股曝光,中国基金报
740,2021-05-29,封面文章 | A股市值结构性裂变，资金加速流向核心资产,红周刊
741,2021-05-29,5家上市公司被券商密集调研,中国网
742,2021-05-29,5月券商调研路线曝光：软件行业明显升温 医美龙头被扎堆关注,第一财经
743,2021-05-28,A股头条之上市公司5.29,金融界
744,2021-05-28,东土科技：拟与广联达设合资公司 推广无人化智慧工地解决方案,e公司
745,2021-05-28,东土科技：拟与广联达共同投资设立合资公司北京海狸智能建筑科技有限公司，在各,新浪
746,2021-05-28,计算机行业2020年报和2021年一季报总结暨6月投资策略：鸿蒙激发板块热情 计算机从低配到标配,新浪
747,2021-05-28,权益类基金仓位降至年内最低位，公募调仓瞄准五行业,Wind
748,2021-05-28,“跨省域企业主体数据协同治理行动——暨企业数字空间跨域互认计划”正式发布,砍柴网
749,2021-05-28,长春高新(000661)股票行情 机构建议把握7月做多窗口！,至诚财经
750,2021-05-28,计算机行业深度研究报告：建筑信息化前景广阔 装配式建筑、5G等有望带来新变化,新浪
751,2021-05-28,5家上市公司获券商密集调研，机构建议把握7月做多窗口,Wind
752,2021-05-28,5家上市公司获券商密集调研 机构建议把握7月做多窗口,中证报
753,2021-05-27,2021世界半导体大会南京新闻发布会召开,工业电器网
754,2021-05-27,海外机构近日调研这些个股,第一财经
755,2021-05-27,5月机构调研热情不减：千亿医药白马最获机构青睐,财联社
756,2021-05-27,【机会挖掘】湖南今年将建22个省级工业互联网平台 关注三大投资方向,证券时报网
757,2021-05-26,产业互联网专题-建筑地产篇：研究框架,新浪
758,2021-05-26,56家公司获海外机构调研,第一财经
759,2021-05-26,解码广联达“营收降速”与“现金流增速”：项企一体化带动下的财务涤荡,证券时报网
760,2021-05-25,59家公司获海外机构调研舒泰神股价表现最好,第一财经
761,2021-05-25,银行理财子公司铺路权益资产投资 调研上市公司数量已超去年,财联社
762,2021-05-25,广联达(002410.SZ)：控股股东刁志中质押的300万股延期购回,格隆汇
763,2021-05-25,北京区域股市周报：新增1家上市公司 217家机构调研广联达,每日经济新闻
764,2021-05-25,广联达：刁志中延期购回300万股,每日经济新闻
765,2021-05-25,市场要闻 | 富时罗素公布6月全球股票指数季度评审结果，将重新纳入小米,36氪
766,2021-05-25,这些方向，吸引了大量的机构调研,格隆汇
767,2021-05-25,高瓴资本概念股普遍走强，广联达、健帆生物、泰格医药、甘李药业等领涨,Wind
768,2021-05-25,恒指、罗素公布指数权重调整结果，哪些板块将迎来机遇？,36氪
769,2021-05-25,开源证券--计算机周观点：关注第三代社保卡产业链投资机会【行业研究】,金融界股吧
770,2021-05-25,计算机行业周报：5G将拉动8万亿元相关信息消费,新浪
771,2021-05-25,广联达盘中快速上涨,新浪
772,2021-05-25,30股获20家以上机构调研 长春高新最受关注,证券时报网
773,2021-05-25,操盘必读｜五部门约谈大宗商品重点企业！科技股走高推动纳指上涨，中概教育股集体大跌,上游新闻
774,2021-05-25,万联证券--计算机行业深度报告：2020年Q4及2021年Q1基金持仓分析【行业研究】,金融界股吧
775,2021-05-25,计算机行业周报：市场涨跌互现 关注云计算和金融IT板块,渤海证券
776,2021-05-24,【万联计算机 | 综述】2020年Q4及2021年Q1基金持仓分析,万联证券研究所
777,2021-05-24,华为鸿蒙点燃国产软件板块：多股涨停涨,财联社
778,2021-05-24,11股今日获机构买入评级,证券时报网
779,2021-05-24,65股获海外机构调研 九阳股份最受关注,证券时报网
780,2021-05-24,65家公司获海外机构调研,证券时报网
781,2021-05-24,调研记录|广联达（002410.SZ）：年内会升级广联达建筑设计产品集,智通财经
782,2021-05-24,一周机构调研：135家上市公司被调研，217家机构调研了这家北京公司,每日经济新闻
783,2021-05-24,计算机应用行业：华为与飞腾齐飞 鲲鹏共PKS一色,新浪
784,2021-05-24,华为鸿蒙点燃国产软件板块：正版化与云转型加持下 这一细分赛道“坡长雪厚”,财联社
785,2021-05-24,云计算板块集体走强 中国软件涨停,e公司
786,2021-05-24,云计算板块涨势强劲，中国长城、浪潮、用友、广联达、宝信软件全线上扬,Wind
787,2021-05-24,国元证券：广联达（002410.SZ）深耕建筑信息化领域，目标价91.03元，维持“买入”评级,智通财经
788,2021-05-24,计算机行业：华为“2+4+1”生态背后的投资机会,新浪
789,2021-05-24,软件行业强势上涨,Wind
790,2021-05-24,国元证券--广联达事件点评：八三开局良好，数字设计打开新空间【公司研究】,金融界股吧
791,2021-05-24,上周明星基金经理扎堆调研上市公司名单出炉 更有101家机构调研了长春高新,财联社
792,2021-05-24,28股获20家以上机构调研 广联达最受关注,证券时报网
793,2021-05-24,“利空”袭来股价跌停 300余家机构调研长春高新,证券时报
794,2021-05-24,民生计算机周报：鸿蒙改变汽车OS格局 生态升级下看好领军企业受益,新浪
795,2021-05-24,股价跌停牵动市场 300余家机构调研长春高新,全景网
796,2021-05-23,大宗商品价格波动 上市公司经营影响几何？机构紧急调研！（附调研名单）,证券时报
797,2021-05-23,这家公司被271家机构扎堆调研 高毅资产千合资本等18家百亿私募出手（名单）,21世纪经济报道
798,2021-05-23,2000亿医药巨头罕见跌停引关注，300家机构盘后紧急调研，重点关注的问题是这些,e公司
799,2021-05-23,2000亿医药巨头长春高新罕见跌停引关注 300家机构盘后紧急调研,e公司
800,2021-05-23,机构扎堆调研股曝光 多只季报高增长低估值股被盯上,新浪
801,2021-05-23,计算机行业跟踪周报235期：坚持大公司+景气的投资策略,新浪
802,2021-05-22,【东吴周视点】指数平淡运行，热点快速轮动（第111期）,东吴财经通
803,2021-05-21,60家公司获海外机构调研,第一财经
804,2021-05-21,安信证券--计算机：超越手机，鸿蒙2.0风云再起【行业研究】,金融界股吧
805,2021-05-21,广联达技术开放日上海场昨日圆满落幕,和讯
806,2021-05-21,27股获20家以上机构调研 广联达最受关注,证券时报网
807,2021-05-21,调研马不停蹄，头部机构偏爱“下蹲起跳”,Wind
808,2021-05-21,调研马不停蹄 头部机构偏爱“下蹲起跳”,中证网
809,2021-05-20,计算机行业周报：3月底部重推的云计算基本面近况如何,新浪
810,2021-05-20,建筑信息化提速 广联达以精益建造共建数字生态新未来,证券日报网
811,2021-05-20,AI赋能SaaS，寻找中国的Snowflake,投中网
812,2021-05-20,高瓴资本概念股整体活跃，凯莱英、国瓷材料、健帆生物、广联达纷纷上扬,Wind
813,2021-05-20,打造系统化方案解决企业痛点 数字建筑平台广联达谋求指数级增长,每日经济新闻
814,2021-05-20,财信证券计算机行业2021年4月月度报告：板块进入较低估值区间，行业机会逐渐临近,财信证券研究
815,2021-05-19,5月19日晚间重要行业研究汇总(附股),中金在线
816,2021-05-19,蓝湖资本胡磊：企业数字化浪潮箭已离弦，百万亿市场如何挖矿,和讯
817,2021-05-19,广联达(002410)投资者大会纪要：打造设计造价施工一体化方案,新浪
818,2021-05-19,跌懵了！这个板块连跌9个月，基民夺路而逃！今天又有基金来抄底了 连续下跌,每日经济新闻
819,2021-05-19,广联达应邀出席华为中国生态伙伴大会 共筑数字建筑新生态,电鳗快报
820,2021-05-19,刁志中：看九年，想三年，做一年,新浪
821,2021-05-19,广联达(002410)调研快报：数字建筑平台为基 协同战略定义未来,新浪
822,2021-05-18,复盘2020年大数据，计算机行业逆境坚挺！2021年Q1表现显示大趋势正成型,全景网
823,2021-05-18,国盛策略：外资流入放缓 食饮再获增增持,新浪
824,2021-05-18,广联达：分红与收购之问,证券市场周刊
825,2021-05-18,北向资金减持榜单：20股减持市值超亿元 减持股份,证券时报网
826,2021-05-18,计算机应用行业：央行数字货币“十问”,新浪
827,2021-05-18,【计算机】市场大幅上涨，关注云计算板块―― 计算机行业周报――看好,渤海证券研究
828,2021-05-18,医疗产业逐渐往线上转移 共推工业互联网发展,财富动力网
829,2021-05-18,长信创新驱动股票净值上涨3.69%,新浪
830,2021-05-17,"高瓴资本最新A股持仓标的,从行业来看，依然看好新能源、医药以及消费等领域",新浪
831,2021-05-17,太平洋--信息行业周报：云计算公司最新财报简析【行业研究】,金融界股吧
832,2021-05-17,渤海证券--计算机行业周报：市场大幅上涨，关注云计算板块【行业研究】,金融界股吧
833,2021-05-17,高瓴资本概念股普遍上扬，恩捷股份、广联达、凯莱英、泰格医药领涨,Wind
834,2021-05-17,计算机行业周观点：底部寻找高景气赛道 关注云计算板块,新浪
835,2021-05-16,家电周度估值观察21W20：“外资”北上动态 & 业内估值比较,新浪
836,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
837,2021-05-16,【兴证计算机】如何看鸿蒙2.0的产业链投资机会？,兴业计算机团队
838,2021-05-16,和时间做了6个月的朋友，二级市场已赚200亿！高瓴还是原来那个“高瓴”？,财联社
839,2021-05-14,袁芳的产品缩水有点冤，业绩力压张坤、谢治宇，人气竟不如蔡嵩松 盈利能力下降,新浪
840,2021-05-14,唤醒数据，重筑智我-广联达第三届技术开放日开幕在即,和讯
841,2021-05-14,计算机行业点评报告：从阿里云财报中解读出的2个信号！,新浪
842,2021-05-14,高瓴资本概念股普遍反弹，健康元、金域医学大涨,Wind
843,2021-05-14,手把手教你，“中国版FAANG”科技指数如何挑选？,养基司令
844,2021-05-13,广联达(002410.SZ)：与广济惠达、仁恒易共设合伙企业 拓展建筑科技领域投资渠道,格隆汇
845,2021-05-13,实体服务与虚拟服务迎来数字化发展新契机 中关村助力首都全球数字经济标杆城市建设,北国网
846,2021-05-12,信达证券--计算机行业2021年中期策略：信创为基，AI云腾飞【行业研究】,金融界股吧
847,2021-05-12,万和证券--2020年年报及2021年一季报综述：业绩持续修复，把握高景气赛道【行业研究】,金融界股吧
848,2021-05-12,计算机年报及一季报总结：业绩逐步修复 相关主线景气度有望延续,新浪
849,2021-05-11,晚间资讯｜华民股份实控人被执行逮捕；上海医药拟定增引入云南白药为战投,证券时报网
850,2021-05-11,明源云（00909）上市的9个月：业绩向好，股价腰斩 盈利能力下降,智通财经
851,2021-05-11,【机会挖掘】全国工业互联网平台赋能深度行首发式举行 关注三大投资方向,证券时报网
852,2021-05-11,广联达现1笔大宗交易 共成交274.79万元,新浪
853,2021-05-11,广联达今日大宗交易成交4.08万股，成交价67.35元溢价0.0%,Wind
854,2021-05-11,【机会挖掘】工业互联网建设提档加速 行业迎来市场机遇,证券时报网
855,2021-05-11,东亚前海计算机：一季度业绩强势反弹,新浪
856,2021-05-11,【民生研究】策略+行业：2020年年报及2021年一季报综述,新浪
857,2021-05-10,广联达今日大宗交易成交16.93万股，成交价66.87元溢价0.0%,Wind
858,2021-05-10,计算机周观点：工业互联网持续受重视 抓住产业趋势,新浪
859,2021-05-10,4DBIM服务商北京云建信获数千万级A轮融资,36氪
860,2021-05-10,开源晨会0510丨周期仍是最佳布局窗口；制造业核心三问；消费的弹性,开源证券研究所
861,2021-05-10,成长潜力50强：未来三年净利增速中位数40%,证券时报
862,2021-05-10,36氪首发 | 打造施工与运维打通的 4DBIM 云平台，云建信完成数千万级 A 轮融资,36氪
863,2021-05-09,【东吴计算机周报】：计算机行业2020年报和2021一季报总结,吴声计事
864,2021-05-09,【兴证计算机】3月底部重推的云计算基本面近况如何?,兴业计算机团队
865,2021-05-09,【华创计算机王文龙团队】增长稳健，厚积薄发,新浪
866,2021-05-08,科技股越来越多，我们和基金经理聊了聊投资秘籍,虎嗅APP
867,2021-05-08,超预期！高瓴资本新募资1100亿元，或继续加码四大赛道,21世纪经济报道
868,2021-05-08,工业互联网进入快速发展期,大众证券报
869,2021-05-07,5月7日晚间重要行业研究汇总(附股),中金在线
870,2021-05-07,鹏华基金王宗合：合理调仓应对波动增强组合“防守性”追求长期价值忽略短期震荡,中国基金网
871,2021-05-07,“四大白酒天王”操作大分化 布局有何玄机？,上证报
872,2021-05-07,高瓴资本概念股纷纷调整，良品铺子、凯莱英、广联达、公牛、泰格跌幅居前,Wind
873,2021-05-07,广联达(002410)公司信息更新报告：造价业务超预期 施工业务呈现恢复趋势,新浪
874,2021-05-07,13只股即将实施分红（名单）,证券时报网
875,2021-05-07,“固收+”基金：合理控制回撤风险 追求长期绝对收益,招商定量任瞳团队
876,2021-05-07,平安证券--计算机行业周报：大安全、工业互联网等领域将进入发展快车道【行业研究】,金融界股吧
877,2021-05-07,计算机行业深度报告：板块已回归正常增长轨道,新浪
878,2021-05-07,"点亮""住建云"" 广联达助力""云上贵州""加速起航",中华工商时报
879,2021-05-07,每日理财观察：大宗商品狂欢，多种商品刷新历史,Wind
880,2021-05-07,A股风格又切换！创业板一度跌逾4%，顺周期扛鼎市场,Wind
881,2021-05-06,诺德基金郝旭东新混基发售 名下2只基金业绩大幅跑输同类平均,中金在线
882,2021-05-06,北上资金逆势回流A股，外资调研青睐三大行业,Wind
883,2021-05-06,300多家机构413人在线参与广联达电话会议 明星基金经理归凯在其中,金融界
884,2021-05-06,【干货】智慧城市产业链全景梳理及区域热力地图,前瞻研究院
885,2021-05-06,【干货】智慧城市产业链代表企业全景生态图,前瞻研究院
886,2021-05-06,每日理财观察：10年大数据看节后A股走势,Wind
887,2021-05-06,苹果业绩大超预期，产业链公司被扎堆调研（附名单）,Wind
888,2021-05-06,【申港计算机】周观点：计算机行业年报&一季报总结-210506,猫猫王看计算机
889,2021-05-06,又是重仓干！归凯8只产品押宝1股，公募冠军也看上了,Wind
890,2021-05-06,财信证券基金深度报告：基金组合29只主动权益及固收+品种2021Q1调仓情况跟踪,财信证券研究
891,2021-05-06,抢筹创新高，外资最新重仓配置来了,新浪
892,2021-05-06,公私募大佬扎堆现身，五一节前机构调研不停歇,Wind
893,2021-05-06,公私募大佬扎堆现身 五一节前机构调研不停歇,全景网
894,2021-05-05,又是重仓干！这个基金经理旗下8只产品都押宝这只股，公募冠军也看上了！牛在哪里？,e公司
895,2021-05-05,广联达(002410.SZ)截至4月底已累计回购294.7014万股,格隆汇
896,2021-05-05,广联达(002410.SZ)斥资2亿元累计回购294.7万股,智通财经
897,2021-05-05,广联达：累计回购约295万股，占公司股份总数的0.25%,每日经济新闻
898,2021-05-05,日均调研个股超15只！市场震荡行情险资调研热情不改！迈为股份稳居“C位”,金融界
899,2021-05-04,白马股大跌2000亿！“顶流”基金经理密集调研,Wind
900,2021-05-04,"傅鹏博、邓晓峰、刘彦春、归凯、林鹏…，白马股大跌2000亿！""顶流""基金经理来了",中国基金报
901,2021-05-03,一周机构调研：126家上市公司被调研，243家机构集中调研了这家北京公司,每日经济新闻
902,2021-05-03,知名外资一季度调仓路径全解析：32家公司被QFII连续重仓时间超过3年,红周刊
903,2021-05-03,外资一季度持仓路径解析：32公司被重仓超3年，4月重启加仓,Wind
904,2021-05-03,高瓴、高盛、美林、大小摩、阿布扎比等知名外资一季度调仓路径全解析,红周刊
905,2021-05-02,机构热情爆发，这家公司获超300家公司集体调研！,21世纪经济报道
906,2021-05-02,A股成长50强来了！张磊重仓股集中营，最高增速超90%！,中国基金报
907,2021-05-02,A股成长50强：朝阳行业细分龙头，张磊重仓股集中营，最高增速超91%,搜狐
908,2021-04-30,开源证券维持广联达买入评级，公司信息更新报告：造价业务超预期，施工业务呈现恢复趋势,每日经济新闻
909,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
910,2021-04-30,浙江省建筑企业数字化转型闭门研讨会在杭州召开,砍柴网
911,2021-04-30,广联达袁正刚畅谈建筑企业数字化转型思路,砍柴网
912,2021-04-30,【情绪监控】金融股大涨50期指升水，北向资金连续5天净流入,量化藏经阁
913,2021-04-30,东吴证券维持广联达买入评级，2021年一季报点评：业绩高增长，造价业务 云转型覆盖全国,每日经济新闻
914,2021-04-29,4月最新机构调研动向出炉：1股被调研500余次 谢治宇、邓晓峰等“大佬”也有新动向,财联社
915,2021-04-29,工程签证9大技巧，做完扭亏为盈！,搜狐
916,2021-04-29,“有福之州·对话未来”，广联达携手青年建筑师协会举办建筑业高峰论坛,砍柴网
917,2021-04-29,广联达(002410)：业绩高增长 转型效果显现,新浪
918,2021-04-28,69公司获得增持评级-更新中,中财网
919,2021-04-28,35公司获得推荐评级-更新中,中财网
920,2021-04-28,浙商证券给予广联达买入评级，广联达2021一季报点评：业绩增速超预期，Q1新签云合同额同比翻倍,每日经济新闻
921,2021-04-28,4月最强行业揭晓！Q1北上资金和QFII联手增持31股,Wind
922,2021-04-28,汇纳科技：2020年年度净利润-0.08亿元，同比下降111.88% 亏损,全景网
923,2021-04-28,4月27日机构推荐207只个股,e公司
924,2021-04-28,95股今日获机构买入评级,证券时报网
925,2021-04-28,同为股份：2020年年度净利润0.71亿元，同比增长126.21%,全景网
926,2021-04-28,卫宁健康(300253)2021年一季报点评：业绩稳步提升 互联网医疗保持快速发展,新浪
927,2021-04-28,80%个股上涨，4月最强行业揭晓！一季度北上资金和QFII联手增持31股,Wind
928,2021-04-28,神思电子：2020年年度净利润0.07亿元，同比下降65.14% 盈利能力下降,全景网
929,2021-04-28,荣联科技：2020年年度净利润-10.83亿元，同比下降3141.44% 亏损,全景网
930,2021-04-28,天利科技：2020年年度净利润0.27亿元，同比增长43.33%,全景网
931,2021-04-28,【华创计算机王文龙团队】点评|广联达：造价业务持续超预期，21年成长可期,蚊子搞科研
932,2021-04-27,天风证券维持广联达买入评级，一季度收入超预期，全年业绩大有可期,每日经济新闻
933,2021-04-27,外资逆势抄底！一季度北上资金和QFII联手增持31股,Wind
934,2021-04-27,天风证券：广联达（002410.SZ）2021Q1收入超预期，维持“买入”评级,智通财经
935,2021-04-27,机构强烈推荐25只个股-更新中,中财网
936,2021-04-27,广联达(002410)：云转型持续推进 21年施工业务有望加速,新浪
937,2021-04-27,A股异动 | 广联达(002410.SZ)持续拉升涨5.6% 绩后获券商看好,格隆汇
938,2021-04-27,广联达(002410)：Q1业绩超预期 造价业务盈利弹性凸显,新浪
939,2021-04-27,广联达(002410)：疫情影响逐步消退 各业务恢复明显,广发证券
940,2021-04-27,【民生计算机】广联达2021年一季度报告点评：近两年收入复合增速超30%，云合同保持高增,MS计算机
941,2021-04-27,熙菱信息：2020年年度净利润-1.36亿元，同比下降1614.69% 亏损,全景网
942,2021-04-27,广联达(002410)点评：还原后收入高增,新浪
943,2021-04-27,【计算机-徐文杰】广联达：收入利润增速超预期，造价云转型推向全国,安信证券研究
944,2021-04-27,和仁科技：2020年年度净利润0.43亿元，同比增长4.63%,全景网
945,2021-04-27,汇金科技：2020年年度净利润0.17亿元，同比下降14.08% 盈利能力下降,全景网
946,2021-04-27,方直科技：2020年年度净利润0.31亿元，同比下降3.09% 盈利能力下降,全景网
947,2021-04-26,实控人老东家就职不忘创业，实朴检测关联交易频繁,中金在线
948,2021-04-26,广联达：一季度净利润同比增长44.71%,Wind
949,2021-04-26,广联达(002410.SZ)一季度归母净利同比增44.71%至7665.63万元,智通财经
950,2021-04-26,广联达：2021年第一季度净利润约7666万元，同比增加44.71%,每日经济新闻
951,2021-04-26,标信智链完成近亿元A+轮融资，红杉资本中国基金和晨山资本领投,猎云网
952,2021-04-26,标信智链完成近亿元A+轮融资，义柏资本担任独家FA,资本邦
953,2021-04-26,东吴证券--计算机应用行业：实体清单到底是什么？【行业研究】,金融界股吧
954,2021-04-26,软件及服务行业：一季度计算机行业基金持仓：配比深蹲 估值磨底,新浪
955,2021-04-25,最新！顶流基金重仓股大洗牌，40张图表全披露,Wind
956,2021-04-23,平安“一哥”李化松一季报公布：“甩卖”新能源龙头，补入“防水茅”或“软件茅”,证券之星
957,2021-04-23,品览智造获数千万元A轮融资，顺为资本领投,投资界
958,2021-04-22,泓德远见回报发布一季报 邬传雁大幅减持立讯精密 减持股份,中证网
959,2021-04-22,泓德邬传雁一季度减持隆基股份、海天味业、汇川技术 减持股份,每日经济新闻
960,2021-04-22,唐吉诃德完成数千万A+轮融资，专注数字整装一站式服务平台,猎云网
961,2021-04-22,唐吉诃德完成数千万A+轮融资，蓝驰创投独家投资,投资界
962,2021-04-22,唐吉诃德完成数千万A+轮融资，想要打造装修全产业链数字化协同平台,Wind
963,2021-04-22,36氪首发 | 「唐吉诃德」完成数千万A+轮融资，想要打造装修全产业链数字化协同平台,36氪
964,2021-04-21,基金名将最新持仓：傅鹏博撂下酒坛子扑向中国移动 蔡向阳爱酒,财联社
965,2021-04-21,北京软协第十届理事会二次会议顺利召开 居理买房网荣膺“理事单位”身份,北国网
966,2021-04-21,民生证券：卫宁健康（300253.SZ）互联网医疗高速增长，维持“推荐”评级,智通财经
967,2021-04-20,平安高端制造混合基金一季度持仓出炉 宁德时代已不在前十大重仓行列,中证网
968,2021-04-20,东吴证券--计算机应用行业：美股云计算公司重回高位，A股对标仍有空间【行业研究】,金融界股吧
969,2021-04-20,平安证券--计算机行业周报：工业软件突破提升行动将启动，行业迎来发展春天【行业研究】,金融界股吧
970,2021-04-20,财富早知道 | 医生揭肿瘤治疗黑幕，卫健委将展开调查；特斯拉回应车展维权事件：没办法妥协；年内9只基金募集失败，过半为偏股基金,中国财富网
971,2021-04-20,【硬核早报】浇一盆冷水？北上资金大动作，券商称深跌反弹是减仓良机！7大风口来袭，5只票遭股东减持,新浪
972,2021-04-19,晚间要闻2021年4月19日星期一,Wind
973,2021-04-19,今年以来57家公司被百家机构调研 爱美客、传音控股受青睐,大众证券报
974,2021-04-19,什么动向？上百家中外机构涌入这20家公司调研,Wind
975,2021-04-19,4月19日晚间重要行业研究汇总(附股),中金在线
976,2021-04-19,高瓴资本概念股普遍强势，国瓷材料、恩捷股份大涨,Wind
977,2021-04-19,广联达参加智慧建造应用发展论坛 助力装饰行业数字化转型发展,砍柴网
978,2021-04-19,科技、医药板块调研热度高 百亿级基金经理密集出动,中国经济网
979,2021-04-19,科技、医药板块调研热度高 百亿级基金经理密集出动,中国证券网
980,2021-04-17,冯柳和张坤出击 公私募顶流都看上了这家安防巨头,上证报
981,2021-04-17,广联达发布2020年度社会责任报告 全面展示行业先锋时代新风采,砍柴网
982,2021-04-16,涨价仍是一条重要线索！“煤超疯”再现 部分标的存在明显低估,中金在线
983,2021-04-16,eNet&Ciweek/纵横,硅谷动力
984,2021-04-16,高瓴资本概念股多数逆市下滑，恩捷、国瓷、泰格、健帆、广联达等跌幅居前,Wind
985,2021-04-15,免费研报精选：数字经济仍是主赛道！优质且估值相对便宜的公司曝光,中金在线
986,2021-04-15,智能制造十四五规划落地，工业软件成为最大赢家，2大赛道即将诞生新龙头（名单）,云掌财经
987,2021-04-15,财信证券--计算机行业月度报告：个股分化情况改善，重视业绩兑现情况【行业研究】,金融界股吧
988,2021-04-15,十四五智能制造发展规划征求意见,财富动力网
989,2021-04-14,银华基金唐能：不挣市场博弈钱坚持长期价值投资,投资时报
990,2021-04-14,4月14日晚间重要行业研究汇总(附股),中金在线
991,2021-04-14,哪些行业是A股投资新赛道？“长期成长猎手”的答案令人深思,投资时报
992,2021-04-14,高瓴资本概念股整体强势，健康元、恩捷、健帆、广联达、泰格纷纷上扬,Wind
993,2021-04-13,[路演]广联达：设计一直是公司战略方向,全景网
994,2021-04-13,高瓴资本概念股普遍强势，金域、健帆、甘李、凯莱英、广联达纷纷走升,Wind
995,2021-04-13,继续看好周期股之外 对医药生物板块兴趣大增,上证报
996,2021-04-13,医药生物板块成险企调研新宠,上证报
997,2021-04-13,平安证券--计算机行业周报：工信部发布《征求意见稿》，高度自动驾驶落地将加快【行业研究】,金融界股吧
998,2021-04-12,【华创计算机王文龙团队】维持医疗IT景气度有望抬升观点，继续推荐道通科技,蚊子搞科研
999,2021-04-12,新时代证券--计算机行业投资周报：CITE2021隆重开幕，智能网联汽车时代加速到来【行业研究】,金融界股吧
1000,2021-04-12,葛兰12亿加仓“牙茅”，张坤却减仓！什么信号？,和讯
1001,2021-04-12,QFII投资图谱徐徐揭开面纱，四季度新进93股,Wind
1002,2021-04-12,QFII投资图谱徐徐揭开面纱 四季度新进93股,证券时报
1003,2021-04-11,【民生计算机|周观点】软件定义汽车下车企巨头齐发力，看好领军企业前景,MS计算机
1004,2021-04-11,“医药女神”葛兰罕见出手，12亿押注它，张坤却减仓！QFII第一重仓股来了,搜狐
1005,2021-04-11,【兴证计算机】电子车牌会像ETC一样掀起“抢装潮”吗？,兴业计算机团队
1006,2021-04-11,“医药女神”葛兰罕见出手：12亿押注通策医疗 张坤却减仓,新浪
1007,2021-04-11,八大外资重仓股逼近“禁买线” 新晋东方雨虹让600多只基金赚疯,华夏时报
1008,2021-04-11,八大外资重仓股逼近“禁买线”：新晋一只股让600多只基金赚疯了,华夏时报
1009,2021-04-11,股基竟被买成“债基”？股票仓位仅10%，还收取1.2%管理费,券商中国
1010,2021-04-11,不走套路！科创主题基金竟买成“债基”，股票仓位仅10%,Wind
1011,2021-04-11,科创主题基金竟成债基：股票仓位10%、5位基金经理走4位 啥情况？,券商中国
1012,2021-04-10,2021中国软件产业年会：广联达诠释建筑产业数字化转型新范式,证券之星
1013,2021-04-10,【情绪监控】打板族的梦魇—封板率不足5成创年内新低,量化藏经阁
1014,2021-04-10,SaaS的谬论：之前人见人爱，现在人人喊打,云掌财经
1015,2021-04-09,计算机行业2021Q1业绩前瞻：医疗IT、汽车IT、信息安全等多域低基数高景气,新浪
1016,2021-04-09,高毛利低净利 高瓴重磅加持的广联达为何风光不再？,新浪
1017,2021-04-09,广联达与蓝本科技签署战略合作协议 共探建筑产业数字化转型之路,砍柴网
1018,2021-04-09,北上资金全透视月报(21年3月)：上月外资继续流入 增持金融与周期,广发证券
1019,2021-04-08,广联达股吸引了超300机构调研 高瓴高毅睿远红杉们都在关注啥,新浪
1020,2021-04-08,外资买爆傅鹏博第一重仓股，还有两只个股被联手重仓， 迫近禁买线标的亦被睿远调研！,红周刊
1021,2021-04-08,北京区域股市周报：总市值涨2805亿 4亿融资买入中国中免,每日经济新闻
1022,2021-04-08,广联达荣刘谦：“平台+生态”是产业组织的显着特征,证券之星
1023,2021-04-08,金融圈1天2起爆炸性大瓜：中金总监600万年薪没了，500万基金经理也卷入绯闻！ 安全事故,21金融圈
1024,2021-04-08,川财证券--科技与高端制造行业：科技及智能设备产业链日报，高端制造和科技板块整体表现一般【行业研究】,金融界股吧
1025,2021-04-08,广联达(002410)：业绩符合预期 经营性净现金流表现亮眼,新浪
1026,2021-04-08,公募“C位”持有人曝光有私募还有超级“牛散”,中证报
1027,2021-04-07,500亿嘉实基金经理归凯卷入桃色风波 旗下9只产品全亏损,新浪
1028,2021-04-07,高瓴资本概念股普遍调整，良品铺子、甘李、金域、广联达、公牛跌幅居前,Wind
1029,2021-04-07,广联达(002410)：营收增长五连阳 云转型落地开花,新浪
1030,2021-04-07,13股获买入评级 最新:药明康德,中财网
1031,2021-04-06,【情绪监控】近百股涨停，三大期指年化贴水率均超20%,量化藏经阁
1032,2021-04-06,计算机行业周报：海康威视近期智能方案亮点一览,新浪
1033,2021-04-06,诡异的广联达：发行10亿公司债券诡异融资 研发支出资本化,腾讯网
1034,2021-04-06,计算机行业投资周报：深圳拟出台智能网联汽车管理条例 智能驾驶落地有望加速,新浪
1035,2021-04-06,A股共发生61宗大宗交易成交17.76亿元（4月6日）,Wind
1036,2021-04-06,计算机行业跟踪周报232期：云化软件SAAS公司2020年报分析,新浪
1037,2021-04-06,108股今日获机构买入评级15股上涨空间超20%,证券时报网
1038,2021-04-06,开源证券--计算机行业周报：国产CAD逐步突破中高端制造业市场【行业研究】,金融界股吧
1039,2021-04-06,广联达今日大宗交易成交15万股，成交价71.53元溢价0.0%,Wind
1040,2021-04-06,计算机行业周报：华为云崛起、小米百亿造车 产业链受到撼动,新浪
1041,2021-04-06,机构调研丨上周100家公司获调研，电子行业最受青睐,第一财经
