,2021-12-31,山西汾酒现1笔大宗交易 共成交884.25万元,新浪
1357,2021-07-14,比茅台还贵，山西汾酒3199元超高端白酒来了！白酒成了硬通货？客服称具有收藏价值,中证网
1358,2021-07-14,北向资金抛售医药白酒，大幅卖出比亚迪（附股）,21世纪经济报道
1359,2021-07-14,招商证券：山西汾酒业绩持续高增，维持“强烈推荐-A”评级,金融界
1360,2021-07-14,高端白酒需求坚挺，次高端高景气延续，酱酒出现分化,国泰君安
1361,2021-07-14,次高端白酒捷报频传：舍得、汾酒业绩双双超预期,Wind
1362,2021-07-13,舍得酒业(600702)：次高端行业红利+困境反转 业绩增速超预期,广发证券
1363,2021-07-13,东方证券：给予山西汾酒买入评级，目标价位359.45元,证券之星
1364,2021-07-13,【华西食品】山西汾酒2021年中报业绩预告点评：高端化+全国化发力，业绩超预期增长,国金食品饮料寇星
1365,2021-07-13,中国银河：给予山西汾酒买入评级,证券之星
1366,2021-07-13,山西汾酒(600809)：高端化与全国化并进 汾酒强势复兴立潮头,西南证券
1367,2021-07-13,山西汾酒中报预喜：2021年上半年净利润超去年全年,21世纪经济报道
1368,2021-07-13,汾酒发布半年度业绩预增公告，继续保持高速发展态势,红周刊
1369,2021-07-13,次高端白酒捷报频传：舍得、汾酒业绩双双超预期，高端化、全国化扛起增长大旗,21世纪经济报道
1370,2021-07-13,山西汾酒(600809)：青花引领结构升级 Q2盈利大幅增长,新浪
1371,2021-07-13,二线白酒龙头，凭啥再度买醉,格隆汇
1372,2021-07-13,白酒涨疯了！发布业绩预增公告后，山西汾酒、舍得酒业双双大涨,ZAKER
1373,2021-07-13,白酒中报前瞻：增长强劲 景气延续,新浪
1374,2021-07-13,山西汾酒(600809)：高举清香大旗 “青花”引领前行,新浪
1375,2021-07-13,北向资金净卖出比亚迪近6亿元，这些股获加仓,第一财经
1376,2021-07-13,北向资金 | 合计净流入25.80亿元，中兴通讯、山西汾酒、美的集团、万华化学净买入居前,上游新闻
1377,2021-07-13,汾酒与舍得半年净利至少翻倍，股价大涨，资金获利尚未了结？,南都报
1378,2021-07-13,北向资金今日净买入25.8亿元，中兴通讯、山西汾酒净买入额均创新高,Wind
1379,2021-07-13,山西汾酒半年营收破百亿 欲重拾“汾老大”辉煌,中国网
1380,2021-07-13,半年报业绩预增，舍得酒业涨停，山西汾酒涨超9%,新京报
1381,2021-07-13,山西汾酒(600809)：外延+升级挖掘强品牌潜力 21Q2利润表现超预期,新浪
1382,2021-07-13,老艾侃股：白酒是炒作？中报来自证！,新浪
1383,2021-07-13,果然涨停！二线白酒股太牛了，业绩预增至少3.3倍,中国基金报
1384,2021-07-13,终于等到这一天！结果却胆战心惊！千亿芯片龙头暴跌13%！“死亡交叉”一出现，股市就跳水回撤，这次能打破魔咒吗？,雪球
1385,2021-07-13,山西汾酒(600809)：青花延续高增 业绩超市场预期,新浪
1386,2021-07-13,国家无条件批准，腾讯200亿重磅收购！发生了什么？,Wind
1387,2021-07-13,半年营收首破百亿、净利超去年全年总额 “汾酒速度”强势延续,佳酿网
1388,2021-07-13,国海证券维持山西汾酒买入评级，重大事件点评：业绩超预期，品牌持续向上,每日经济新闻
1389,2021-07-13,中银证券维持山西汾酒买入评级：继续快速奔跑，2季度业绩再超预期,每日经济新闻
1390,2021-07-13,【招商食品】山西汾酒：业绩持续高增，区域拓展正反馈形成,招商食品饮料
1391,2021-07-13,创业板指盘中首超上证，为何随后跳水？机构这样看,Wind
1392,2021-07-13,刚见证历史就闪崩！千亿锂电巨头跌停，芯片龙头跌12%,Wind
1393,2021-07-13,【中泰食品】山西汾酒：业绩再超预期，品牌复苏加速验证,食品饮料俱乐部
1394,2021-07-13,白酒股业绩逆天！山西汾酒半年营收破百亿，高端化仍在途中,时代财经
1395,2021-07-13,解盘：资金持续流入，网络游戏、光伏、白酒、煤炭领涨,Wind
1396,2021-07-13,华安证券：给予山西汾酒增持评级,证券之星
1397,2021-07-13,安信证券维持山西汾酒买入评级：青花强势引领增长，“汾酒速度”再超预期，目标价406.50元,每日经济新闻
1398,2021-07-13,山西汾酒(600809)：青花首功 Q2利润超预期,新浪
1399,2021-07-13,深度*公司*山西汾酒(600809)：继续快速奔跑 2季度业绩再超预期,新浪
1400,2021-07-13,单价三千超茅台，上半年利润超去年全年，山西汾酒底气何在？,南都报
1401,2021-07-13,华泰证券：维持山西汾酒(600809.SH)”买入“评级，21Q2业绩大超预期，增长势头强劲,智通财经
1402,2021-07-13,利好消息公布!白酒股全线走强酒ETF(512690)今日上涨2.55%,资本邦
1403,2021-07-13,吃喝板块崛起白酒强势拉升！山西汾酒涨7%,资本邦
1404,2021-07-13,安信证券：山西汾酒(600809.SH)2021Q2收入超预期高增，目标价406.5元，给予“买入-A”评级,智通财经
1405,2021-07-13,华安证券维持山西汾酒增持评级：利润端延续超预期增长，青花引领核心增量,每日经济新闻
1406,2021-07-13,东莞证券给予山西汾酒推荐评级，2021年半年度业绩预告点评：Q2延续高增长，奠定全年业绩基础,每日经济新闻
1407,2021-07-13,舍得酒业领涨白酒股 此前预计上半年盈利增逾三倍,新浪
1408,2021-07-13,酒类股强势反弹，舍得酒业涨停，山西汾酒等大涨,证券时报网
1409,2021-07-13,快讯：上半年业绩预增，舍得酒业涨停，山西汾酒涨超7%,中华网
1410,2021-07-13,舍得酒业、山西汾酒大涨 带动白酒板块全线走强,格隆汇
1411,2021-07-13,【行情】A股白酒概念早盘强势拉升，舍得酒业涨停，金徽酒、伊兰特、山西汾酒、水井坊、皇台酒业等多股跟涨,金十数据
1412,2021-07-13,A股异动丨山西汾酒(600809.SH)高开近8% 上半年净利预增70%-80%,格隆汇
1413,2021-07-13,山西汾酒高开逾7%，上半年净利同比预增110%-130%,Wind
1414,2021-07-13,山西汾酒（600809）快评：21Q2业绩继续超预期，青花系列引领收入高增,国信研究
1415,2021-07-13,食品行业周报：6月酒类居民消费价格同比上涨2.7%,新浪
1416,2021-07-13,食品饮料行业周报：基数干扰逐步退去 看好细分龙头持续成长,新浪
1417,2021-07-13,国君：白酒板块中报趋势向好，其中高端延续稳健，茅五泸高质量稳增,智通财经
1418,2021-07-13,民生证券维持山西汾酒推荐评级：主业保持高速增长，核心产品供需两旺,每日经济新闻
1419,2021-07-13,【山西汾酒（600809.SH）】青花系列放量，品牌势能向上——2021年半年度业绩预增公告点评（叶倩瑜）,光大证券
1420,2021-07-13,上市公司正负面新闻2021年7月13日星期二,Wind
1421,2021-07-13,白酒市场批价走高 中报业绩进入验证期,中证网
1422,2021-07-13,明星基金调仓路径浮现，高景气细分赛道受关注,Wind
1423,2021-07-12,山西汾酒二季度创淡季营收新纪录省外市场增长助力业绩超预期,财联社
1424,2021-07-12,对标茅台！“清香型”白酒走出“酱香型”业绩，山西汾酒上半年营收首破百亿，增速为近10年最好！,e公司
1425,2021-07-12,【开源食饮每日资讯0712】山西汾酒2021H1净利润预计同比增加110%-130%,宇光食饮日讯
1426,2021-07-12,白酒股业绩逆天！山西汾酒半年营收破百亿，新品3199元/瓶上攻第一阵营,时代财经
1427,2021-07-12,晚间重要公告2021年7月12日星期一,Wind
1428,2021-07-12,白酒周报：次高端强势贯穿全年 高端下半年看点多,新浪
1429,2021-07-12,山西汾酒预计上半年净利约33亿元，超2020年全年,搜狐
1430,2021-07-12,晚间公告｜7月12日这些公告有看头,第一财经
1431,2021-07-12,山西汾酒今日大宗交易成交16.52万股，成交价295.45元折价5.0%,Wind
1432,2021-07-12,白酒企业市值TOP10！A股“醒酒”，口子窖落榜，行业将洗盘,金投网
1433,2021-07-12,山西汾酒上半年业绩预增超过110%，“汾酒效应”持续升温,糖酒快讯
1434,2021-07-12,"山西汾酒现1笔大宗交易 共成交4,880.83万元",新浪
1435,2021-07-12,“酱酒热”下汾酒净利预翻番，3199元新品谁来买账？,中新经纬
1436,2021-07-12,山西汾酒；上半年预计净利翻番，营收破百亿,酒业新闻网
1437,2021-07-12,山西汾酒：上半年预计净利润同比增长110.0%~130.0%,Wind
1438,2021-07-12,快讯｜山西汾酒上半年营收首次破百亿，归属净利翻倍超去年全年总额,财经网
1439,2021-07-12,山西汾酒半年度业绩预告：净利润增超110% 终端网点已突破百万家,中华网
1440,2021-07-12,山西汾酒预计上半年净利最高增130%，营收最高增80%,乐居财经
1441,2021-07-12,山西汾酒(600809.SH)：上半年净利预增70%-80%(重述后),格隆汇
1442,2021-07-12,山西汾酒：预计上半年净利润同比增长110%-130%,Wind
1443,2021-07-12,大调仓！百亿基金经理调仓路径浮出水面……,Wind
1444,2021-07-12,一周酒讯丨酒鬼酒、华致酒行上半年预增；*ST天成股票再次停牌,新京报
1445,2021-07-12,汾酒复兴再添新活力 青花汾酒40版上市定价3199元,证券日报之声
1446,2021-07-12,招商：行业淡季保持稳定，飞天持续上涨，调整后加配高端白酒,智通财经
1447,2021-07-12,酒类股持续回落，舍得酒业上周跌逾10%，关注调整中的布局机会,证券时报网
1448,2021-07-12,【异动股】酿酒行业板块下挫，山西汾酒(600809.CN)跌6.26%,财华社
1449,2021-07-12,快讯：白酒板块早盘走低汾酒领跌,财联社
1450,2021-07-12,酒业进入高频变化期 以定价权重塑品牌价值？,佳酿网
1451,2021-07-12,【行情】A股白酒概念开盘走弱，酒鬼酒跌近5%，山西汾酒、水井坊、舍得酒业跟跌,金十数据
1452,2021-07-12,"【方正食饮210711】中报前瞻：同比基数影响大,白酒延续弹性，大众品增速回落",虎哥的研究
1453,2021-07-12,招商证券：调整后加配高端白酒，关注中报超预期品种,Wind
1454,2021-07-12,二三线清香品牌全国化的机会在哪里？,佳酿网
1455,2021-07-09,北向资金今日小幅净卖出2.11亿元，外资高位出逃新能源股,Wind
1456,2021-07-09,澎湃酒业｜酒类直播热潮翻涌，明星带货频频翻车现难点,澎湃新闻
1457,2021-07-09,“龙头躺赢”策略失效，下半年有哪些投资机会？高云程、林鹏等这样看,Wind
1458,2021-07-09,基金大跌又上热搜，2000亿基金遭赎回？紧急回应,中国基金报
1459,2021-07-09,基金跌上热搜，芯片白酒重挫，10倍大牛股闪崩,Wind
1460,2021-07-09,太突然！基金大跌上热搜，芯片白酒重挫，10倍大牛股闪崩！大白马暴跌，稀土有色大爆发，千亿巨头狂飙！2000亿基金遭赎回？紧急回应,中国基金报
1461,2021-07-09,白酒信仰破灭？超预期业绩披露后酒鬼酒迎来跌停 同样100倍市盈率的汾酒也在暴跌 盈利能力下降,新浪
1462,2021-07-09,白酒重挫！主力抛售逾22亿元，“聪明钱”却在悄悄加仓,第一财经
1463,2021-07-09,【行情】白酒股开盘走弱，酒鬼酒跌超7%，广誉远、众兴菌业、山西汾酒、今世缘、洋河股份等跟跌,金十数据
1464,2021-07-09,酒类股再度下挫，酒鬼酒一度跌停，山西汾酒等大跌,证券时报网
1465,2021-07-09,财信证券食品饮料行业2021年6月月度报告：白酒淡季不淡，大众品关注边际改善-20210706,财信证券研究
1466,2021-07-08,【招商食品 | 二季度前瞻】白酒业绩高增，食品分化明显——食品饮料二季度前瞻暨板块最新观点,招商食品饮料
1467,2021-07-08,【华创食饮|中报前瞻】白酒高增，大众探底——食品饮料行业2021年中报业绩前瞻,华创食饮
1468,2021-07-08,北向资金今日净卖出17.01亿元，4000亿海运巨头中远海控遭净卖出5亿元,Wind
1469,2021-07-08,汾酒强人李秋喜12年功过：与茅台差距扩大，重回前三无望，何时退休成最大变数,时代在线
1470,2021-07-08,山西汾酒冲击第一阵营之路：与茅台差距扩大，重回前三无望,时代在线
1471,2021-07-08,超高端落子 青花汾酒40?中国龙上市发布,界面
1472,2021-07-08,财信证券晨会20210708,财信证券研究
1473,2021-07-08,全国首家青花汾酒文化体验店在沪开业,中国白酒网
1474,2021-07-07,480年老字号药企半月内股价翻番 广誉远将成为“药中汾酒”？,每日经济新闻
1475,2021-07-07,酒业观察 | 定价3199元，山西汾酒为何推超高端新品,新京报
1476,2021-07-07,北向资金今日净买入43.72亿元，新能源产业链获外资疯狂抢筹,Wind
1477,2021-07-07,青花汾酒40?中国龙承新时代经济文化之美闪耀东方之冠,财经网
1478,2021-07-07,华致酒行上半年营收净利预增超六成定制酒或将是酒类流通发展重要方向,财联社
1479,2021-07-07,近三个交易日，北向资金盯上了有色金属等四个行业,21世纪经济报道
1480,2021-07-07,北向资金动向盘点：医药大跌，未曾“砸盘”,Wind
1481,2021-07-07,全国首家青花汾酒文化体验店在上海正式开业,搜狐
1482,2021-07-07,川财研究大消费产业链核心数据跟踪日报,新浪
1483,2021-07-07,东亚前海晨会 | 7月7日,新浪
1484,2021-07-07,重启超高端战略 山西汾酒推3000元级新品,第一财经
1485,2021-07-06,7月大消费组电话会议行业观点,新浪
1486,2021-07-06,医药股集体崩了！这指数跌近9%，5000亿白马闪崩近14%,Wind
1487,2021-07-06,食品饮料行业周报：白酒次高端高增延续 调味品下半年迎来拐点,新浪
1488,2021-07-06,食品饮料行业白酒周报：次高端投资机会看全年 关注中报后仍有高增标的,新浪
1489,2021-07-06,白酒股全线走弱山西汾酒、舍得酒业跌超4%,格隆汇
1490,2021-07-06,2020年上市白酒企业分红了，瞧瞧谁是铁公鸡？,中国食品网
1491,2021-07-06,山西汾酒推3000元级新品，白酒企业为何重启超高端战略,第一财经
1492,2021-07-06,白酒行情过山车幕后，基金经理持仓何来“默契”？,Wind
1493,2021-07-06,产品结构升级 汾酒推出超高端新品,北京商报
1494,2021-07-06,青花汾酒40·中国龙新品发布 建议零售价3199为青花30价格3倍,中华网
1495,2021-07-05,【开源食饮每日资讯0705】盐津铺子181万股限制性股票于7月8日上市流通,宇光食饮日讯
1496,2021-07-05,国海证券维持山西汾酒买入评级，动态点评：品牌势能向上，青花中流砥柱,每日经济新闻
1497,2021-07-05,日常消费行业零研月报：5月多数品类商超销售较4月改善,新浪
1498,2021-07-05,北向资金今日净买入59.19亿元，万华化学净买入额创历史新高,Wind
1499,2021-07-05,白酒行业2021年中期投资策略：紧握一线白酒 寻找高弹性二三线,新浪
1500,2021-07-05,食品饮料行业周报：长期基本面持续优秀 短期关注中报超预期,新浪
1501,2021-07-05,解盘：超百亿资金回流，锂矿、稀有金属、半导体设备领涨,Wind
1502,2021-07-05,酒类股反弹走高，水井坊涨停，关注成长性较好的次高端酒企,证券时报网
1503,2021-07-05,hi选基：白酒、军工该怎么看？,金融界
1504,2021-07-05,快讯：山西汾酒早盘大涨7% 成交额逾10亿元,新浪
1505,2021-07-05,国海证券：山西汾酒（600809.SH）品牌势能向上，青花中流砥柱，维持“买入”评级,智通财经
1506,2021-07-05,10只个股在五年半时间内涨幅超10倍，酒类股数量较多,Wind
1507,2021-07-05,五年市场数据挖掘牛股基因机构关注高景气度板块,证券时报
1508,2021-07-04,养生酒成白酒市场新蓝海，名酒纷纷占位以赢主动权,搜狐
1509,2021-07-04,食品饮料行业点评：食饮板块2021中报前瞻,新浪
1510,2021-07-04,泸州老窖(000568)股东大会调研点评：顺利换届 顺势发力,新浪
1511,2021-07-03,重磅利好，六部门放大招，这类概念股要嗨了！五年市场大数据揭秘牛股基因，10倍潜力股名单请及时收藏,e公司
1512,2021-07-03,食品饮料行业周报：板块波动加剧 坚守一线龙头,新浪
1513,2021-07-02,下一个片仔癀诞生？山西国资入主广誉远，10 天大涨 75%,ZAKER
1514,2021-07-02,郎酒股份：存货周转与销售回款藏忧,证券之星
1515,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
1516,2021-07-02,白酒股下挫，“喝酒行情”熄火？机构解读回调原因丨牛熊眼,第一财经
1517,2021-07-02,酒类股大幅下挫，山西汾酒跌幅超5%，贵州茅台跌逾3% 连续下跌,证券时报网
1518,2021-07-02,【行情】白酒概念开盘走弱，山西汾酒跌近4%，贵州茅台跌超2%，古井贡酒、皇台酒业、大豪科技跟跌,金十数据
1519,2021-07-02,【国信食饮】白酒行业中期策略暨7月投资策略：坚守高端龙头，重视边际改善机会,青力出品
1520,2021-07-02,销售费用居高背后或藏玄机古井贡酒“躺平”安徽不再舒适,投资者网
1521,2021-07-01,“申万宏源十大金股组合”：2021年第7期：7月1日-7月31日,新浪
1522,2021-07-01,白酒股这半年丨白酒概念股从30只到40只，沾“酒”就能涨？,新京报
1523,2021-07-01,白酒股盘中崛起，贵州茅台拉升翻红，机构建议密切关注中报表现丨牛熊眼,第一财经
1524,2021-06-30,食品饮料周观点：货币政策渐紧 下半年建议关注必选消费,新浪
1525,2021-06-30,长城证券：山西汾酒（600809.SH）清香龙头，全国化进程推进，维持“增持”评级,智通财经
1526,2021-06-30,周谈 | Weekly Talk：可选势头强劲至中报，H2必选数据有望回暖,食品饮料光头阳线
1527,2021-06-29,泸州老窖高管股东大会再谈“重回前三”：是理想，但有希望,每日经济新闻
1528,2021-06-29,白酒风云录|白酒双雄相爱相杀：五粮液的霸主宝座如何得而复失？,财华社
1529,2021-06-29,白酒两轮周期对比专题：慢就是快,新浪
1530,2021-06-29,食品饮料行业：除了Q2业绩 还应该分析景气度,新浪
1531,2021-06-29,食品饮料行业周报：21H1次高端仍将高增 逐步重视高端配置,新浪
1532,2021-06-29,消费行业周报：基本面维持景气 建议关注业绩确定性较高的高端酒,新浪
1533,2021-06-29,【行情】白酒概念短线拉升，中恒集团一字涨停，大豪科技、古井贡酒、山西汾酒跟涨,金十数据
1534,2021-06-29,机构看中这些股 近五日大手笔净买入,证券之星
1535,2021-06-28,山西汾酒市值老三的位子能坐多久？,深水财经社
1536,2021-06-28,山西汾酒(600809.SH)于7月5日每股派发现金红利0.2元送红股0.4股,智通财经
1537,2021-06-28,山西汾酒(600809.SH)：2020年度权益分派10送4派2元 股权登记日7月2日,格隆汇
1538,2021-06-28,山西区域股市周报：板块总市值涨45亿 广誉远涨21.01%涨幅第一,每日经济新闻
1539,2021-06-28,券商晨会观点速递,第一财经
1540,2021-06-28,中信建投2021下半年食品饮料投资策略：高端消费持续高景气，关注大众消费恢复趋势,中信建投证券研究
1541,2021-06-27,板块拾金丨万亿元大题材“BIPV概念”横空出世，七月的翻身行情会在哪？,第一财经
1542,2021-06-27,【安信食品】周专题—板块Q2业绩前瞻，白酒基本面支撑强劲,安信食饮
1543,2021-06-27,【开源食饮】白酒基本面无碍，坚守一线品种——行业周报,宇光看食饮
1544,2021-06-27,注意！这只产业链龙头股连续五周被北向资金扫货！,Wind
1545,2021-06-27,北向资金大举减仓白酒股，明星基金经理刘彦春罕见发声,Wind
1546,2021-06-26,新集能源股价本周上涨近17%,证券之星
1547,2021-06-25,郎酒股份：存货与资产负债率双双“畸高” 运营能力下降,证券之星
1548,2021-06-25,白酒风云录|山西汾酒：“汾老大”退居二线，前景依然光明？,财华社
1549,2021-06-25,主力资金“拥抱”大金融板块,大众证券报
1550,2021-06-25,白酒行业事件点评：国家加快推进消费税立法 白酒消费税有望完善,新浪
1551,2021-06-25,东莞证券：消费税改革有利于优化白酒行业税收结构，推动行业健康发展,证券时报网
1552,2021-06-25,【中泰食品】白酒消费税点评： 实施不易、影响有限，短期扰动不改长期趋势,食品饮料俱乐部
1553,2021-06-25,东亚早八点：CIS龙头再起航｜6月25日,新浪
1554,2021-06-25,中信建投医药&消费团队最新研究,中信建投证券研究
1555,2021-06-24,震动万亿市场！白酒消费税改按度征收？,Wind
1556,2021-06-24,连续5日成交万亿！鸿蒙熄火，光伏接棒，下一步轮到谁,Wind
1557,2021-06-24,一瓶38万！“葵花”茅台火了，有人900万买一箱,Wind
1558,2021-06-24,山西汾酒新增3项酒类商标,中华网
1559,2021-06-24,大势已成 汾酒复兴在望,经济观察报
1560,2021-06-24,A股收盘综述：科技股集体回调，市场连续5日成交破万亿,Wind
1561,2021-06-24,一、二线白酒股午后集体反弹，洋河股份涨超5%,Wind
1562,2021-06-24,食品饮料行业周报：白酒景气度延续大众品首选啤酒,渤海证券
1563,2021-06-24,游资机构均青睐锂电股 机构狂卖山西汾酒｜龙虎榜,第一财经
1564,2021-06-24,解盘：光伏屋顶强势拉升，医药、芯片股回调,Wind
1565,2021-06-24,A股午盘综述：光伏板块掀涨停潮，芯片股集体回调,Wind
1566,2021-06-24,食品饮料行业2021年度中期投资策略：中流击水 浪遏飞舟,新浪
1567,2021-06-24,A股早报2021年6月24日星期四,Wind
1568,2021-06-24,创业板指五连阳重上3300点，成长主线持续强化,Wind
1569,2021-06-24,机构集体拥抱恩捷股份 游资大手笔布局强势股,财富动力网
1570,2021-06-23,白酒再现大跌“喝酒”行情结束？,第一财经
1571,2021-06-23,“中考”要交卷了！百亿基金业绩大曝光,Wind
1572,2021-06-23,醉了！正宗白酒股普跌，概念白酒股大涨，啥情况？,e公司
1573,2021-06-23,山西汾酒龙虎榜数据（6月23日）,Wind
1574,2021-06-23,山西汾酒高位大跌，机构狂卖11亿！6.3万股民欲哭无泪 连续下跌,证券之星
1575,2021-06-23,2021下半年食品饮料行业投资策略：坚守龙头白酒布局食品改善,新浪
1576,2021-06-23,快跑！机构开始看空这个板块了！,证券之星
1577,2021-06-23,最新龙虎榜动向：4.63亿资金抢筹天齐锂业，机构狂买恩捷股份（名单）,21世纪经济报道
1578,2021-06-23,机构今日卖出这13股，买入恩捷股份6.79亿元丨龙虎榜,第一财经
1579,2021-06-23,4000亿“不死鸟”崩盘，这份数据引发空袭？四大信号指明方向,Wind
1580,2021-06-23,最强新股一天涨14倍！李佳琦、薇娅公司也要上市？回应来了,Wind
1581,2021-06-23,酿酒板块大面积回调，“涉酒概念”股*ST天成19连板,新京报
1582,2021-06-23,A股资金流向（6月23日）：新能源车龙头获青睐，白酒股集体遭抛售,Wind
1583,2021-06-23,收评：宁德时代创新高，众兴菌业再次涨停，山西汾酒跌幅超8%,中华网
1584,2021-06-23,A股收盘综述：创业板指连升5日，泛科技持续“吸金”,Wind
1585,2021-06-23,快讯：白酒概念集体回调 山西汾酒大跌逾8% 连续下跌,新浪
1586,2021-06-23,酒类股大幅下挫，山西汾酒跌逾8%，机构建议拿定一线龙头 连续下跌,证券时报网
1587,2021-06-23,白酒股持续走弱山西汾酒跌超8%,格隆汇
1588,2021-06-23,【异动股】白酒板块下挫，山西汾酒(600809.CN)跌7.59%,财华社
1589,2021-06-23,酿酒板块午后大跌 山西汾酒跌超8% 连续下跌,e公司
1590,2021-06-23,山西汾酒：因公司的产销量增速较快，与之配套的仓储规模也随之增加，在报表上体现为公司仓储费用的增加,每日经济新闻
1591,2021-06-23,【异动股】酿酒行业板块下挫，山西汾酒(600809.CN)跌6.5%,财华社
1592,2021-06-23,啥情况？千亿白马跌超10%！外资加仓，半导体又火了,Wind
1593,2021-06-23,白酒动态跟踪：整体回款动销及价盘保持良性,新浪
1594,2021-06-23,解盘：半导体板块强势拉升，新能源、有色全面上涨,Wind
1595,2021-06-23,A股午盘综述：创业板指涨超1.6%，芯片板块涨势强劲,Wind
1596,2021-06-23,山西汾酒：公司银行承兑汇票的增加，主要系公司销售收入大幅增长,Wind
1597,2021-06-23,白酒板块集体下跌 机构：重视调整中布局机会丨牛熊眼 连续下跌,第一财经
1598,2021-06-23,白酒股迅速下探，海南椰岛跌近7%,Wind
1599,2021-06-23,山西汾酒：持续拓展省外市场 长江以南近三年增速超50%,中华网
1600,2021-06-22,汾酒与华为、华润深度合作，开启数字化发展新篇章,酒业新闻网
1601,2021-06-22,企业观 | 山西汾酒将杏花村酒从系列酒中排除，头部品牌系列酒梳理潮再启幕,财经网
1602,2021-06-22,繁荣下的困境：曾领先茅台 古井贡酒20年跌出一线之困,证券时报网
1603,2021-06-22,快讯 | 山西汾酒：公司去年和今年一季度无积压库存,财经网
1604,2021-06-22,[路演]山西汾酒：力争实现营业收入30%左右增长,全景网
1605,2021-06-22,快讯 | 山西汾酒回应银行承兑汇票增加：系销售收入大幅增长所致,财经网
1606,2021-06-22,快讯 | 山西汾酒：目前没有养生酒合作,财经网
1607,2021-06-22,食品饮料行业周报：稳中求胜,新浪
1608,2021-06-22,消费行业周报：股东大会陆续召开 高端白酒业绩确定性较高,新浪
1609,2021-06-22,食品饮料行业周报：酒类持续升级 奶酪赛道火热,新浪
1610,2021-06-22,后疫情时代白酒行业景气上行，看好高端酒业绩持续稳健增长,中泰证券
1611,2021-06-22,“染酱酒”概念大涨，行业高景气度有望延续,Wind
1612,2021-06-21,酒水618：白酒“酱酒热”影响消费端，欧洲杯带旺啤酒,奥一网
1613,2021-06-21,川财研究大消费产业链核心数据跟踪日报,新浪
1614,2021-06-21,京东618酒业数据公布，哪家白酒更受消费者追捧？,和讯
1615,2021-06-21,山西汾酒大跌7.03% 换手率0.65% 连续下跌,中新经纬
1616,2021-06-21,酒类股盘中震荡走低 舍得酒业、山西汾酒等领跌,证券时报网
1617,2021-06-21,突发闪崩！6.3万股民不淡定了，4000亿白马股盘中暴跌近9%，市值蒸发350亿，网友：“我一买就跌，累” 连续下跌,每日经济新闻
1618,2021-06-21,白酒股东大会总结：高端重“质” 次高端看“量”,新浪
1619,2021-06-21,监管出手，2000亿巨头突然崩了！多只白酒股跳水,Wind
1620,2021-06-21,最牛飙20%！首批公募REITs上市，上午收盘全线收红,中国基金报
1621,2021-06-21,"最牛飙20%！刚刚，公募REITs首秀火了！监管出手，2000亿巨头突然崩了！多只白酒股大跳水！发生了什么？格力重挫，鸿蒙又疯了
连续下跌",中国基金报
1622,2021-06-21,解盘：光伏、半导体、华为HMS领涨,Wind
1623,2021-06-21,饮料板块周报：行情持续演绎 股东大会持续催化,国海证券
1624,2021-06-21,上证50跌幅扩大至1%,Wind
1625,2021-06-21,白酒股午前跌幅扩大，舍得酒业跌近8%,Wind
1626,2021-06-21,白酒股跳水山西汾酒跌超6%,格隆汇
1627,2021-06-21,山西汾酒大跌5.51%报462.09元 成交额13.25亿元 连续下跌,中新经纬
1628,2021-06-21,白酒股逆势走低，山西汾酒短线跳水跌近5%,Wind
1629,2021-06-20,一周酒讯 | ST岩石摘帽，五粮液、汾酒、酒鬼酒召开股东大会,新京报
1630,2021-06-20,食品饮料：基础建设年 稳中求进取,新浪
1631,2021-06-20,食品行业周报：截至2021年5月底 全国共生产食糖1066.05万吨,新浪
1632,2021-06-19,食品饮料行业酱酒系列深度报告(三)：六问六答 郎酒更新招股书下的酱酒冷思考,新浪
1633,2021-06-18,山西汾酒股东大会：今年营收目标同比再增30%,上证报
1634,2021-06-18,山西汾酒董事长李秋喜：力争2021年度实现营收同比增长30%,证券日报网
1635,2021-06-18,山西汾酒今年力争实现营收增长30%,证券时报网
1636,2021-06-18,06.18 | 全国糖酒商品交易会组织方更名通告；贵州省人民政府同意推荐吴浩军为茅台集团副总经理人选(挂职),糖酒快讯
1637,2021-06-18,李秋喜应邀振东管理大讲堂 为山西财经大学师生授课,财经网
1638,2021-06-18,食品饮料行业2021年中期投资策略报告会：关注需求恢复与消费升级下的投资机遇,新浪
1639,2021-06-18,山西汾酒2020年度股东大会如期举行参会股东人数创新高,搜狐
1640,2021-06-18,中银证券：食品饮料行业短期关注2季度高增品种，中长期把握风口上的优质公司,证券时报网
1641,2021-06-18,食品饮料行业周报：高端白酒基本面依然稳固 食品线上高基数期之后将重拾增长,新浪
1642,2021-06-18,医药行业5月社零数据点评：总额保持双位数增长 内需拉动经济发展,新浪
1643,2021-06-18,“数据会说话”之2021年5月数据解读：5月社零数据低于预期 消费延续恢复态势,新浪
1644,2021-06-18,聚焦华北 酒业多元性的多重发展之路,佳酿网
1645,2021-06-17,锂电池概念股龙头股票 锂电池概念反弹走高,至诚财经
1646,2021-06-17,兴业证券：不畏浮云 继续看好白酒板块,新浪
1647,2021-06-17,深度*行业*食品饮料类社零数据点评：5月限额以上餐饮、烟酒类维持高增速,新浪
1648,2021-06-17,啥信号？外资巨头连续加仓茅台，北上资金却卖不停,Wind
1649,2021-06-17,山西汾酒将参加2021年度山西辖区上市公司投资者网上接待日,中华网
