,2021-12-31,通策医疗股价半年腰斩 中泰证券国元证券8月份喊买入,中国经济网
419,2021-08-24,通策医疗接受6家机构调研！短期主力资金净流出，存在资金分歧,每日经济新闻
420,2021-08-24,机构资金抢筹股揭秘，16股获大手笔买入,Wind
421,2021-08-24,瑟瑟发抖？又要集采了，这些医药股涉相关业务（名单）,Wind
422,2021-08-23,政策开刀牙科：茅们快撑不住了,格隆汇
423,2021-08-23,生物医药行业周报：安徽省临床检验试剂集采公告发布 带量采购产品进一步扩面,新浪
424,2021-08-23,千亿顶流刘彦春业绩竟然垫底 公募底仓“白酒+医药”思路不再灵光 ？,新浪
425,2021-08-23,通策医疗现1笔大宗交易 共成交210.41万元,新浪
426,2021-08-23,通策医疗今日大宗交易成交0.80万股，成交价263.01元溢价0.0%,Wind
427,2021-08-23,连亏3年、对赌缠身、毛利率偏低，瑞尔集团上市能自救？ 亏损,凤凰网
428,2021-08-23,医药生物行业：药明康德、迈瑞医疗等市值底部已现 无需恐慌,新浪
429,2021-08-23,A股早报2021年8月23日星期一,Wind
430,2021-08-23,竟敢断供集采？这家医药巨头遭重罚 9个月不能参与集采！公司紧急回应 其他违规处罚,券商中国
431,2021-08-23,断供集采被列入“违规名单”！华北制药回应来了 其他违规处罚,券商中国
432,2021-08-23,华北制药断供集采遭重罚：9个月不得集采 公司紧急回应布洛芬供应问题 其他违规处罚,券商中国
433,2021-08-23,竟敢断供集采？华北制药遭重罚，9个月不能参与集采，公司紧急回应，股价已腰斩 其他违规处罚,券商中国
434,2021-08-22,机构“踩踏”，还有什么值得坚守？——道达对话牛博士,每日经济新闻
435,2021-08-22,"医疗板块遭""血洗""，60亿资金却悄悄抄底，好买点来了？",Wind
436,2021-08-22,A股首例！华北制药断供集采，后果很严重,Wind
437,2021-08-21,有机硅涨价逆风而行 医药回落聪明资金悄然埋伏,财富动力网
438,2021-08-20,医药配白酒，抱头哭一宿！“消费一哥”今天也栽了,Wind
439,2021-08-20,跌停的医疗股，遭机构疯卖，北向资金却选择抄底买入1.5亿,证券之星
440,2021-08-20,通策医疗龙虎榜数据（8月20日）,Wind
441,2021-08-20,通策医疗业绩高增长却常年不分红 “铁公鸡”还是重发展,新浪
442,2021-08-20,通策医疗现1笔大宗交易 共成交497.74万元,新浪
443,2021-08-20,1个月蒸发2.6万亿，顶流私募集体喊痛，何处可安心,Wind
444,2021-08-20,跌停板解密：大单出逃，两类个股封上跌停！（8月20日）,Wind
445,2021-08-20,机构跌哭了！2则大消息引发“惨案”,Wind
446,2021-08-20,通策医疗今日跌停，五机构卖出6.54亿元,Wind
447,2021-08-20,千亿大白马跌停，揭示下周中报业绩预期差,Wind
448,2021-08-20,A股收盘综述：白酒、医药杀跌拖累指数，外资连续两日净卖出超百亿,Wind
449,2021-08-20,快讯：通策医疗午后触及跌停 成交额18.57亿元,新浪
450,2021-08-20,【行情】医药医疗股午后持续下行，南微医学、惠泰医疗、恒瑞医药、安图生物、新产业、迈瑞医疗、信邦制药、药易购等多股跌停或跌超10%，万东医疗、翔宇医疗、鱼跃医疗、通策医疗等均大幅走低,金十数据
451,2021-08-20,什么情况？A股突发大跳水！医药大跌，茅台被砸4%,Wind
452,2021-08-20,A股午盘综述：医药、白酒大幅杀跌，外资再度净卖出65亿元,Wind
453,2021-08-19,通策医疗现1笔大宗交易 共成交500.79万元,新浪
454,2021-08-19,通策医疗今日大宗交易成交1.65万股，成交价303.51元溢价0.61%,Wind
455,2021-08-19,通策医疗：股东累计质押情况,每日经济新闻
456,2021-08-19,裘国根、邓晓峰、冯柳、林利军等私募大佬持仓动向,Wind
457,2021-08-18,浙江区域股市周报：通策医疗进入板块市值10强 217家机构调研华东医药,每日经济新闻
458,2021-08-18,海通证券研究所早报,新浪
459,2021-08-18,【方正医药】通策医疗：突破口腔行业连锁困局，扩张提速打开向上空间,新浪
460,2021-08-17,高毅资产二季度持仓出炉，冯柳加码博迁新材，邓晓峰资源股布局分化，孙庆瑞持仓通策医疗不变,财联社
461,2021-08-17,【晨观方正】传媒/食品/医药20210817,新浪
462,2021-08-16,通策医疗：目前公司重点发展口腔医疗服务，辅助生殖业务贡献较小,每日经济新闻
463,2021-08-16,海通证券：维持通策医疗(600763.SH)“优大于市”评级 价值区间277.47-312.15元,智通财经
464,2021-08-16,通策医疗(600763)：单Q2高基数下净利润比增13% 业绩增长稳健,新浪
465,2021-08-16,医药生物行业周报：医疗服务三问三答 何时会出现板块性机会？,新浪
466,2021-08-16,医药生物行业：关注CXO新秀 重点推荐皓元医药、诺泰生物等,新浪
467,2021-08-16,西部证券维持通策医疗买入评级，2021半年报点评：业绩维持高增长，蒲公英计划快速推进,每日经济新闻
468,2021-08-15,顶流”出手！私募大佬们最新持仓来了（名单）,Wind
469,2021-08-15,邓晓峰、赵军、葛卫东、冯柳、林园私募大佬最新持仓,Wind
470,2021-08-14,和讯SGI公司|“牙茅”通策医疗省内“挑大梁”，省外“很低调”？口腔行业未来路在何方？,和讯
471,2021-08-13,半年报：8成药企业绩增长,制药网
472,2021-08-13,通策医疗：宝群实业质押股份总数为4300万股,每日经济新闻
473,2021-08-13,通策医疗(600763.SH)控股股东宝群实业质押250万股及解质350万股,智通财经
474,2021-08-13,亏损72亿终止IPO，依图出售医疗业务；中国人成世界第一胖,创业邦
475,2021-08-13,8成药企业绩增长，这些企业净利润表现亮眼,制药网
476,2021-08-13,百亿私募重仓股曝光，二季度加仓周期板块,Wind
477,2021-08-12,基金隐形重仓股曝光！葛兰首次重仓医美类公司，四大知名基金经理“牙茅”上现分歧！,红周刊
478,2021-08-12,调研记录|通策医疗（600763.SH）：目前有38家蒲公英医院已经运营、建立、规划完成 蒲公英分院分红规则提升合伙人积极性,智通财经
479,2021-08-12,【窥业绩】通策医疗半年净利增141%，股价却遇大跌！口腔赛道还香吗？,财华社
480,2021-08-12,东方财富证券：维持通策医疗(600763.SH)“买入”评级 业务回归高速增长态势,智通财经
481,2021-08-12,想抄明星基金经理作业，结果竟然……,Wind
482,2021-08-12,通策医疗：公司通过口腔基金于省外建设大型区域总院，目前武汉已经开业，西安已开始试营业，两家运营情况良好，成都目前正在筹备试营业，预计8月底拿证开业,每日经济新闻
483,2021-08-12,东方财富证券维持通策医疗买入评级，2021年中报点评：延续高增长，彰显发展韧性和活力,每日经济新闻
484,2021-08-12,财信证券医药生物行业2021年8月月度报告：坚守高景气，关注高性价比个股,财信证券研究
485,2021-08-11,134股获买入评级 最新:东方雨虹,中财网
486,2021-08-11,抄明星基金经理作业能赚钱么？,Wind
487,2021-08-11,通策医疗跌6.2% 明星基金经理葛兰及高毅孙庆瑞等持股,中国经济网
488,2021-08-11,每日报告回放,新浪
489,2021-08-11,60股今日获机构买入评级 13股上涨空间超20%,中财网
490,2021-08-11,通策医疗(600763)：业绩超预期 口腔医疗服务航母彰显发展韧性与活力,新浪
491,2021-08-11,国泰君安：维持通策医疗(600763.SH)“增持”评级 目标价上调至404.3元,智通财经
492,2021-08-11,恒大系大消息，地产股嗨了！煤炭有色狂飚，多股涨停潮,Wind
493,2021-08-11,通策医疗(600763)2021年半年报点评：业绩符合前瞻 单二季度收入增速出彩,西南证券
494,2021-08-11,通策医疗50余家口腔医院撑起千亿市值 体外模式迅猛扩张半年盈利3.5亿增141%,长江商报
495,2021-08-11,顶流隐形重仓股曝光！谢治宇、葛兰、归凯买了啥？,Wind
496,2021-08-11,【东吴晨报0811】【策略】【固收】【个股】长安汽车、天正电气、神马电力、国茂股份、福莱特、华东医药、通策医疗、中国电信,东吴研究所
497,2021-08-11,【天风Morning Call】晨会集萃20210811,天风研究
498,2021-08-10,西南证券维持通策医疗买入评级：业绩符合前瞻，单二季度收入增速出彩,每日经济新闻
499,2021-08-10,通策医疗：千亿牙茅的骄傲与无奈,格隆汇
500,2021-08-10,通策医疗(600763)：扣非净利润增长149% 盈利能力持续提升,广发证券
501,2021-08-10,通策医疗(600763)：整体业绩符合我们预期 省内外扩张继续稳步推进,新浪
502,2021-08-10,【国元医药|点评】通策医疗（600763）2021年半年度报告点评：区域集群效应彰显，H1业绩超出预期,元气医药
503,2021-08-10,东吴证券维持通策医疗买入评级，2021H1中报点评：整体业绩符合我们预期，省内外扩张继续稳步推进,每日经济新闻
504,2021-08-10,太平洋维持通策医疗买入评级：业绩高速增长，盈利能力持续增强,每日经济新闻
505,2021-08-10,通策医疗(600763)：业绩略超预期 口腔龙头加速布局,新浪
506,2021-08-10,通策医疗(600763)半年报点评：公司扩张稳定 上半年业绩快速增长,新浪
507,2021-08-10,平安证券维持通策医疗推荐评级：公司扩张稳定，上半年业绩快速增长,每日经济新闻
508,2021-08-10,国盛证券维持通策医疗增持评级：业绩符合预期，扩张稳步推进,每日经济新闻
509,2021-08-10,安信证券：维持通策医疗(600763.SH)“买入”评级 目标价367.2元,智通财经
510,2021-08-10,通策医疗(600763)：优秀品牌赋能 盈利能力持续增强,国金证券股份有限公司
511,2021-08-10,通策医疗(600763)：净利润略超预期 二季度主营业务保持增长态势,新浪
512,2021-08-10,通策医疗(600763)：业绩稳健增长 扩张逐步发力,新浪
513,2021-08-10,通策医疗2021H1净利润3.51亿元同比激增141%，省内门诊量显着增长,新康界
514,2021-08-10,安信证券维持通策医疗买入评级：主营业务延续高增长趋势，省内外扩张稳步推进,每日经济新闻
515,2021-08-10,华金证券给予通策医疗买入评级，业绩符合预期，全年业绩将加速恢复,每日经济新闻
516,2021-08-10,国金证券：维持通策医疗(600763.SH)“增持”评级 主营业务延续高增长 省内外扩张稳步推进,智通财经
517,2021-08-10,医药生物行业：连锁专科医院发展趋势不变,新浪
518,2021-08-10,“牙茅”通策医疗半年成绩：省内贡献超9成 资产负债升至29.24% 偿债能力下降,新浪
519,2021-08-09,4.2万股东吵翻了！千亿“牙茅”半年净利3.5亿，网友：可以撑起千亿市值吗？,每日经济新闻
520,2021-08-09,和讯曝财报|上半年营收、净利双增 葛兰加仓通策医疗,和讯
521,2021-08-09,晚间重要公告2021年8月9日星期一,Wind
522,2021-08-09,通策医疗半年报：上半年净利3.51亿元 同比增141%,财联社
523,2021-08-09,通策医疗(600763.SH)：上半年净利增141.16%至3.51亿元,格隆汇
524,2021-08-09,通策医疗：上半年净利润同比增长141.16%,Wind
525,2021-08-09,医药行业周报：进入中报期 关注业绩超预期个股,新浪
526,2021-08-08,中泰医药行业周报：疫情、中报成为当前催化 把握医药行业投资窗口,新浪
527,2021-08-06,半年投近30亿 软银、淡马锡、新希望皆押注 口腔连锁迎来加速期,动脉网
528,2021-08-05,美亚光电(002690)投资价值分析报告：色选机业务压舱 口腔数字化重回高增通道,新浪
529,2021-08-05,医药生物行业医疗服务专题报告：重构与回溯,新浪
530,2021-08-05,机构游资逢高兑现 10股遭大单甩卖,投资快报
531,2021-08-04,小市场大公司，出道即巅峰,新浪
532,2021-08-04,通策医疗：将于2021年8月10日披露半年度报告,每日经济新闻
533,2021-08-03,通策医疗大跌 连续下跌,新浪
534,2021-08-03,千亿大白马市值跌超300亿 “铁公鸡”通策医疗何时走出浙江“魔咒”？,中金在线
535,2021-08-02,国泰君安医药行业2021年8月投资策略：聚焦成长性 寻找向上变化的个股,新浪
536,2021-08-02,策略专题：“重制造”大势所趋,新浪
537,2021-08-02,生物医药行业周报：医药板块短期波动不改长期发展趋势,新浪
538,2021-08-01,“牙科茅”通策医疗省外扩张遇窘,凤凰网
539,2021-07-31,医药行业周报：散点疫情偶发 寻找“脱敏”品种,西南证券
540,2021-07-30,什么信号？张坤管理基金要更名，有4大变化,Wind
541,2021-07-30,茅台跌800亿，医疗也惨了，一板块迎20cm涨停潮,Wind
542,2021-07-30,张坤管理的易方达中小盘基金拟更名，投资范围也要改,中新经纬
543,2021-07-29,市场思考随笔之六十五：“宁”与“茅”分化的背后,新浪
544,2021-07-29,在瑞尔的招股说明书中，“高端”一词出现的频率较高，被企业当成自身特色大力宣传。,--
545,2021-07-29,张坤、谢治宇、刘格菘们已行动，新能源基金开始调仓,Wind
546,2021-07-29,医药行业点评：医药板块下跌明显 回调不改基本面,新浪
547,2021-07-28,A股收盘综述：沪指四连跌，创业板指止跌反弹,Wind
548,2021-07-28,权重股午后稳步走高，Wind茅指数涨超1%,Wind
549,2021-07-28,医药行业：政策支持社会办医 产业趋势不变,新浪
550,2021-07-28,神话不再？顶流业绩垫底，但斌道歉微博冲上热搜,Wind
551,2021-07-27,成功避险？葛兰、赵诣等“顶流”基金经理或已调仓,Wind
552,2021-07-27,瑞尔集团冲刺港股，高端牙科定位，为何3年却亏了12亿？ 亏损,节点财经
553,2021-07-27,A股收盘综述：指数尾盘跳水沪指失年线，新能源产业链大幅下杀,Wind
554,2021-07-27,A股午盘综述：科创50大涨近4%，芯片股全线爆发,Wind
555,2021-07-27,医药龙头短线跳水通策医疗跌称7%,格隆汇
556,2021-07-27,医药龙头短线再度跳水，通策医疗跌近6%,Wind
557,2021-07-27,机构扎堆出逃 10股被过亿资金甩卖,财富动力网
558,2021-07-27,机构扎堆出逃 10股被过亿资金甩卖,投资快报
559,2021-07-27,医药周报：板块震荡 精选赛道良好、中长期估值消化确定性强的核心资产,新浪
560,2021-07-26,医疗服务：民营医疗在老龄化社会是重要补充 国家政策长期支持社会办医,新浪
561,2021-07-26,股指集体走弱 白酒和医疗大幅杀跌,至诚财经
562,2021-07-26,“宁组合”受追捧，如何搭建“宁FOF”？,养基司令
563,2021-07-26,A股收盘综述：消费、金融全线杀跌，芯片股尾盘暴拉,Wind
564,2021-07-26,千亿巨头闪崩跌停潮：茅台跌1000亿，腾讯跌7%,Wind
565,2021-07-26,三大股指早盘杀跌，“喝酒吃药”大调整！贵州茅台创年内新低，通策医疗跌停 连续下跌,上证报
566,2021-07-26,医美、医疗服务概念重挫，医疗ETF放量跌逾5.3%,Wind
567,2021-07-26,A股午盘综述：三大指数均跌逾2%，茅指数、宁组合集体大跌,Wind
568,2021-07-26,医药股全线杀跌，通策医疗跌停,Wind
569,2021-07-26,【开源医药】行业周报：建议积极关注估值合理、基本面有拐点的标的,微信
570,2021-07-26,“公募一姐”葛兰，3个月赚了171亿,36氪
571,2021-07-25,医药基金二季报解读,雪球
572,2021-07-24,大家聊聊医药基金二季报吧,雪球
573,2021-07-23,3大千亿白马重挫，锂电牛股跌13%！券商股却火了,Wind
574,2021-07-23,2021 年二季报公募基金十大重仓股持仓分析,华创金工
575,2021-07-23,医药行业2021Q2持仓分析：医药仓位持续回升 核心资产继续分化,西南证券
576,2021-07-23,18家千亿顶流基金公司调仓释放重要信息,Wind
577,2021-07-22,「记者调查」暑期“整牙热”引资本垂涎：一颗牙上万，毛利堪比茅台,金融投资报
578,2021-07-22,21年基金中报点评：从价值转向成长,新浪
579,2021-07-22,手握2.6万亿巨资！基金经理规模榜单来了,Wind
580,2021-07-22,医疗服务行业：时代性大趋势之民营连锁医疗机构比较(医美／眼科／口腔)得天独厚 事在人为,新浪
581,2021-07-22,医疗服务、医美概念深度调整，医疗ETF（512170）全天净申购超1亿元,Wind
582,2021-07-22,一口牙等于县城一套房，瑞尔集团却3年亏12亿，高端牙科的钱都被谁赚走了？ 亏损,读懂财经
583,2021-07-22,药明康德、爱尔眼科、通策医疗跌逾2%，2季度均获得公募大手笔增资,资本邦
584,2021-07-22,11家上市公司布局口腔医疗业务,证券导报
585,2021-07-22,基金顶流压轴出场！仓位新低、重仓换血，未来咋走？,Wind
586,2021-07-22,港股盘前必读：消息称爱美客计划于本月或下月向港交所递交上市申请,Wind
587,2021-07-22,基金重仓股变化折射时代变迁，宁德时代晋升为公募基金第二大重仓股,Wind
588,2021-07-21,1家医院撑起千亿市值背后：通策医疗走不出杭州城,新浪
589,2021-07-21,TOP30基金挖掘出天赐、天奈、中伟股份等仨月翻倍个股 周蔚文董承非袁芳均减仓,新浪
590,2021-07-21,医疗服务行业点评报告：中共中央国务院《关于优化生育政策促进人口长期均衡发展的决定》政策发布 医疗服务板块全面受益,新浪
591,2021-07-21,兴证全球基金陈宇最新持仓，重仓通策医疗（兴全合兴两年封闭运作混合型基金(LOF)）,证券之星
592,2021-07-21,“牙茅”通策医疗：一家医院贡献8成利润撑起千亿市值，混改公立医院模式扩张,搜狐
593,2021-07-21,医药行业2021年中报业绩前瞻：继续保持恢复性增长,新浪
594,2021-07-21,生物医药行业周报：即将进入中报季 推荐关注业绩确定性强的标的,新浪
595,2021-07-21,上半年最赚钱基金中报大换仓，哪些板块最受宠？,Wind
596,2021-07-21,A股走出独立行情，十大顶流基金经理最新调仓动向出炉,Wind
597,2021-07-20,10大顶流基金经理二季度调仓动向曝光,Wind
598,2021-07-20,财华洞察|冰与火之歌：“宁组合”异军突起，“茅指数”还有救吗？,财华社
599,2021-07-20,超级大牛股“通策医疗”股价8年翻了35倍，未来还有增长空间吗？,雪球
600,2021-07-20,结语：新旧之争，方向为何？,财华社
601,2021-07-20,傅鹏博、赵枫、冯明远等顶流基金经理最新重仓股曝光,Wind
602,2021-07-20,张坤最爱还是它，3只基金共同持有2大龙头股,Wind
603,2021-07-20,张坤最新发声，大幅减持五粮液、好未来等 减持股份,Wind
604,2021-07-20,张坤最新重仓股来了，傅友兴、冯波到底买了什么？,Wind
605,2021-07-20,重仓股“大换血”，二季报显露基金大咖“新宠”,Wind
606,2021-07-19,医药生物：人口结构演变背景下的医疗服务投资机会,新浪
607,2021-07-19,医药生物行业周报：海外疫情反复 行业超跌后迎来反弹,新浪
608,2021-07-19,瑞尔齿科IPO：三年累计经营亏损9300万，王思聪旗下普思资本投资获利2500万 亏损,搜狐
609,2021-07-19,基金二季报陆续发布，明星基金经理调仓换股,Wind
610,2021-07-19,IPO观察哨丨瑞尔齿科IPO：3年亏12亿利润飞了！毛利率暴增138%有蹊跷？ 亏损,凤凰网
611,2021-07-19,瑞尔港股IPO：高端牙科诊所连年巨亏利润去哪了？收入高增有蹊跷？ 重大损失,凤凰网
612,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
613,2021-07-17,医药与健康护理行业周报：中报预告相继披露 关注业绩高增长公司,新浪
614,2021-07-17,猪肉养殖公司业绩相继爆亏：养猪大户巨亏超23亿 市值蒸发逾千亿 重大损失,凤凰网
615,2021-07-17,突然爆雷，养猪大户巨亏超23亿！美颜经济重要分支诞生4只十倍股 重大损失,网易
616,2021-07-17,突然爆雷，养猪大户巨亏超23亿，市值蒸发逾千亿！牙套生意暴利高达70%，美颜经济重要分支诞生4只十倍股（附名单） 重大损失,证券时报网
617,2021-07-15,又一万亿风口？“整牙热”再次掀起 一颗牙2万元为啥这么贵？,央视财经
618,2021-07-15,生物医药行业周报：“十四五”医疗卫生服务实施方案出台 利好医疗器械与医疗服务,新浪
619,2021-07-15,医药生物行业：政策频出 建议关注相关细分行业,新浪
620,2021-07-15,机构游资逢高兑现 10股遭大单甩卖,投资快报
621,2021-07-15,机构游资逢高兑现 10股遭大单甩卖,财富动力网
622,2021-07-14,医药生物行业周报：医药板块估值已具备吸引力 建议长期配置优质赛道,新浪
623,2021-07-13,2021年医药生物中期策略报告：需求长期景气 布局创新、医疗服务和消费主线,新浪
624,2021-07-13,“茅指数”躺赢策略失效，“宁组合”市场表现抢眼,Wind
625,2021-07-12,医药生物行业：十四五开启血制品新成长周期 重点推荐天坛生物、博雅生物等,新浪
626,2021-07-09,1家医院撑起千亿市值背后：通策医疗走不出杭州城,读懂财经
627,2021-07-08,牙科诊所牛股赛道又添新成员！瑞尔集团拟登陆港股，高盛、高瓴、淡马锡已布局，第二个“通策医疗”？,每日经济新闻
628,2021-07-08,高端牙科竟然不赚钱,36氪
629,2021-07-07,瑞尔集团：高端口腔诊所，下一个通策医疗！,老虎证券
630,2021-07-07,解读融钰集团布局口腔医疗连锁服务赛道逻辑,电鳗快报
631,2021-07-07,医药股猛跌主题基金齐挫，行情结束了吗？,时代在线
632,2021-07-07,机构砸盘通策医疗 游资封板华银电力 |板块龙虎榜,第一财经
633,2021-07-07,通策医疗大涨,新浪
634,2021-07-07,A股早报2021年7月7日星期三,Wind
635,2021-07-07,种植牙行业深度报告：消费升级种植牙市场冲刺千亿 国产蛰伏期后夜尽天明,国海证券
636,2021-07-06,医药股暴跌，到底发生了什么？ 连续下跌,AI财经社
637,2021-07-06,医药股重挫，医美新贵与千亿白马双双跌停，背后机构与顶级游资合力“出货” 连续下跌,财联社
638,2021-07-06,医药股集体暴跌原因找到了！,Wind
639,2021-07-06,7月6日龙虎榜，机构青睐这9股,证券时报网
640,2021-07-06,通策医疗龙虎榜数据（7月6日）,Wind
641,2021-07-06,跌停板解密：高位卖出，多只前期强势股封跌停！（7月6日）,Wind
642,2021-07-06,逾10亿资金出逃士兰微，北向资金追涨苏宁易购（名单）,21世纪经济报道
643,2021-07-06,龙虎榜|通策医疗跌停机构净卖出超2亿元,财联社
644,2021-07-06,滴滴股价跌30%，蒸发1400亿！医药股集体崩跌，真相找到了,Wind
645,2021-07-06,医药股重挫“牙茅”跌停 赵蓓葛兰下半年开局迎波折 连续下跌,中国经济网
646,2021-07-06,国海证券：看好未来国产种植牙赛道的潜力提升 建议关注通策医疗(600763.SH)等,智通财经
647,2021-07-06,医药股集体崩了！这指数跌近9%，5000亿白马闪崩近14%,Wind
648,2021-07-06,医药医疗板块集体杀跌 通策医疗：二级市场情绪所致 连续下跌,每日经济新闻
649,2021-07-06,A股午盘综述：上证指数跌0.53%，医药板块大调整、CRO指数下挫近9%,Wind
650,2021-07-06,医药行业周报：医疗卫生服务体系建设方案出台 把握相关投资机会,新浪
651,2021-07-05,瑞尔集团“流血”上市：三年亏损超12亿，对赌大限将至 亏损,搜狐
652,2021-07-05,医药生物行业周报：全方位盘点上半年医药行业、细分领域、个股风云变幻,新浪
653,2021-07-04,CXO股价调整后是否再次上车机会？持续重点推荐药明康德、凯莱英等,国广有话说
654,2021-07-02,"复星医药氮氧化物和二氧化硫年排放百吨,通策医疗温室气体排放少",搜狐
655,2021-07-02,医疗板块行业研究：多部委共同出台十四五医疗卫生建设方案,国金证券股份有限公司
656,2021-07-01,医药与健康护理行业月报：国内疫苗接种量高速增长 关注新冠疫苗出海机会,新浪
657,2021-07-01,3年砸18亿营销，雍禾医疗的“头顶生意”不容易,凤凰网
658,2021-07-01,医药生物行业月报：关注中报预期的投资机会,新浪
659,2021-06-30,7月券商金股名单来了，这些领域被看好！,Wind
660,2021-06-30,银河证券每日晨报,新浪
661,2021-06-30,基于透支久期与盈利增速视角的择股策略：核心资产分化下的投资机会挖掘,新浪
662,2021-06-30,策略月报：7月十大金股推荐,新浪
663,2021-06-28,106家公司获机构调研（附名单）,证券之星
664,2021-06-27,【开源医药】行业周报：关注集采下原料药企业的业绩增量和医疗服务投资价值,微信
665,2021-06-27,兴业证券：医药板块业绩弹性逐步释放，关注半年报业绩高增长公司,智通财经
666,2021-06-27,证券时报-润灵环球2021生物医药行业ESG评级报告：较2020改善不明显,证券时报网
667,2021-06-25,千亿“牙茅”股价再创新低，5个月跌超53%，医药女神葛兰多次加仓,深水财经社
668,2021-06-25,通策医疗(600763.SH)创历史新高带动港股牙科股走强,格隆汇
669,2021-06-25,医疗板块逆势拉升，国际医学、通策医疗涨超5%,Wind
670,2021-06-22,中药龙头比茅台多涨16倍！看A股优质稀缺龙头30强,Wind
671,2021-06-22,300多家机构刚调研完，这只千亿市值龙头股就创历史新高！,Wind
672,2021-06-22,股价10年31倍、中药龙头片仔癀比茅台多涨16倍 A股优质稀缺龙头30强来了,新浪
673,2021-06-22,医药行业2021年半年报业绩前瞻：CXO、生物制品、创新器械、医疗服务有望持续高增长,西南证券
674,2021-06-22,医药行业周报：关注国产色谱填料领军企业纳微科技,新浪
675,2021-06-21,医药生物行业周报：医疗服务会是下半年医药最强音么？强调重视康复医疗赛道,新浪
676,2021-06-18,医药生物行业2021年下半年投资策略：短期有扰动 长期发展趋势向好,新浪
677,2021-06-18,通策医疗大涨,新浪
678,2021-06-18,牙套生意存暴利？口腔概念股还有更赚的,北京商报
679,2021-06-17,牙套生意70%毛利率就算高了？这些A股上市公司涉及口腔业务 正海生物毛利率高达91.59%,北京商报
680,2021-06-17,医药板块相对估值位于历史中等水平 关注两条主线,银河证券
681,2021-06-17,谁能成为下一个爱尔眼科？,阿尔法工场研究院
682,2021-06-17,上市首日大涨173%，高领大赚220亿，时代天使来了！,格隆汇
683,2021-06-16,宏观策略日报：中共中央、国务院支持浙江省建设共同富裕示范区,新浪
684,2021-06-16,两千倍超购王时代天使(6699.HK)16日上市：千亿市场领军者，涨幅扩大至140.23%,格隆汇
685,2021-06-16,融钰集团拟收购德伦口腔口腔医疗业务能否成为业绩突破口？,投资家
686,2021-06-16,时代天使(06699)：千亿蓝海市场风正劲，隐形正畸时代的冠军,智通财经
687,2021-06-16,医药行业基本面强劲，估值全面提升，关注五条投资主线,国泰君安
688,2021-06-15,生物医药行业周报：国家医保药品目录调整常态化 助力创新药快速放量,新浪
689,2021-06-15,医药行业2021年6月投资月报：6月仍然是较好的窗口期 两条思路配置医药,西南证券
690,2021-06-13,医药与健康护理行业周报：鼻喷雾式/吸入型新冠疫苗正在申请紧急使用,新浪
691,2021-06-11,上市银行分红火热进行中！银行股是否具备配置价值？,中金在线
692,2021-06-11,浙江7万亿板块出30只十倍股，看行业龙头全名单,Wind
693,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
694,2021-06-10,天风国际Equity Focus——通策医疗深度,天风国际
695,2021-06-10,通策医疗为什么不惧省外竞争对手？,雪球
696,2021-06-10,通策医疗：股东宝群实业质押股份总数为4400万股,每日经济新闻
697,2021-06-10,通策医疗(600763.SH)控股股东宝群实业质押230万股,智通财经
698,2021-06-10,通策医疗(600763.SH)：控股股东质押230万股,格隆汇
699,2021-06-10,120家公司获机构调研（附名单）,证券之星
700,2021-06-09,又一“股神”？业绩预增32倍获6连板，原因出人意料,Wind
701,2021-06-09,通策医疗大涨,新浪
702,2021-06-09,机构抱团股震荡攀升，Wind茅指数涨近1%,Wind
703,2021-06-09,一口牙 300 万元，真正的暴利生意！,ZAKER
704,2021-06-09,通策医疗盘中快速上涨,新浪
705,2021-06-08,股价涨5倍需要多久？现代牙科仅用了59个交易日,上证报
706,2021-06-08,[天风医药]通策医疗：民营口腔医疗集团领航者,金融界
707,2021-06-08,什么情况？顶流基金扎堆调研，最火赛道却遭暴击,Wind
708,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
709,2021-06-08,天风证券维持通策医疗买入评级：民营口腔医疗集团领航者，目标价468元,每日经济新闻
710,2021-06-08,什么信号？顶流基金扎堆调研这只医美龙头，最火赛道却遭暴击，艰难时刻来了？,券商中国
711,2021-06-08,【医药】通策医疗（600763）深度研究：民营口腔医疗集团领航者,新浪
712,2021-06-07,医药生物行业周报：如何从大品种价值理解前沿生物？,新浪
713,2021-06-07,医药与健康护理行业周报：广东地区疫情反复 核酸检测需求大增,新浪
714,2021-06-07,医药生物行业：新冠疫苗标的调整到位 重点推荐智飞生物、复星医药等,新浪
715,2021-06-06,生物医药行业周报：“三胎”政策发布 辅助生殖为直接受益行业,新浪
716,2021-06-04,调研记录|通策医疗（600763.SH）：宁波口腔医院余姚、象山、慈溪和宁海分院正处于建设中,智通财经
717,2021-06-04,一场口腔医生的抢夺战,财经网
718,2021-06-04,医药行业动态点评：“三孩”政策及配套措施出台 利好辅助生殖等相关领域,新浪
719,2021-06-04,2021年医药生物行业半年度策略报告：乘风破浪会有时 辅助生殖新机遇,新浪
720,2021-06-04,“医药基金女神”重仓股全名单，最具潜力医药龙头曝光,第一财经
721,2021-06-02,通策医疗大跌 连续下跌,新浪
722,2021-06-02,生育政策打开新风口 三孩概念股闻风而动,财富动力网
723,2021-06-02,四角度把握全面放开三孩政策,大众证券报
