,2021-12-29,新浪医药年度盘点丨合久必分？2021医药行业十大拆分剥离动态 有人为“升级” 有人为“保命”,新浪
310,2021-03-30,“隐形重仓股”曝光，知名基金经理掘金中小市值品种,Wind
311,2021-03-29,公募基金年报陆续发布，百亿基金经理的隐形重仓股浮出水面,第一财经
312,2021-03-29,睿远基金2020年报出炉，傅鹏博称关注中小盘股投资机会,澎湃新闻
313,2021-03-29,傅鹏博、赵诣、赵枫等基金经理隐形重仓股浮出水面,Wind
314,2021-03-26,2020年百亿销售额：缓控释片布局如何体现，集采带动下崛起的高端制剂,药通社
315,2021-03-25,人福医药(600079.SH)：米非司酮片通过仿制药一致性评价,格隆汇
316,2021-03-24,特斯拉突然宣布涨价8000！“概念股”却集体大跌,Wind
317,2021-03-24,高毅冯柳和景林资产坚守同一只股票，为什么？,Wind
318,2021-03-24,高毅冯柳和景林资产坚守同一只股票，为什么？,中国财富网
319,2021-03-24,高毅冯柳和景林资产均坚守大华股份 为什么？,上证报
320,2021-03-23,体外诊断概念股有哪些？体外诊断概念上市公司股票一览,云掌财经
321,2021-03-23,医药与健康护理行业周报：估值风险有效控制 关注业绩高增长公司,新浪
322,2021-03-22,人福医药：董事王学海减持约111万股，减持股份数量已过半 减持股份,每日经济新闻
323,2021-03-22,人福医药：董事王学海减持0.0681%公司股份 减持股份,Wind
324,2021-03-22,人福医药再涨超5%，三日内累升超两成,Wind
325,2021-03-22,晨会聚焦210322重点关注中国中免、银行、钢铁、医药、人福医药、宝信软件、招商银行、中国利郎、李宁、特步国际,国信研究
326,2021-03-22,国信证券给予人福医药买入评级，归核聚焦，麻醉药旗舰再起航,每日经济新闻
327,2021-03-20,人福医药(600079)深度报告：归核聚焦 麻醉药旗舰再起航,新浪
328,2021-03-19,人福医药(600079.SH)涨停子公司宜昌人福业绩超预期,格隆汇
329,2021-03-19,人福医药大涨7.98%，成交额22491万元,中新经纬
330,2021-03-19,人福医药封住涨停，提振创新药板块,Wind
331,2021-03-19,【行情】A股化学制药概念股走高，哈三联涨停，人福医药、景峰医药、普洛药业等跟涨,金十数据
332,2021-03-18,创新药板块热度不减，双鹭、海思科、丽珠、人福、贝达、康龙化成均大涨,Wind
333,2021-03-18,【行情】医药板块走强，多股涨停，贵州三力、景峰医药、葫芦娃纷纷涨停，北陆药业、药石科技、人福医药等冲高,金十数据
334,2021-03-18,人福医药：间接持股公司亿联科技辅导备案登记已获受理,Wind
335,2021-03-16,人福医药：已续聘大信会计师事务所为2020年度财务审计机构,每日经济新闻
336,2021-03-11,当代集团：归核聚焦取得显着经营成效 将加大投入医药、旅游等板块创新研发,发布易
337,2021-03-10,当代集团：持续研发创新奠定竞争优势 旗下各板块近期取得多项进展,发布易
338,2021-03-10,全国人大代表、人福医药董事长李杰：大力支持中西部地区医药企业创新发展,中证网
339,2021-03-09,聚焦两会|全国人大代表、人福医药董事长李杰： 开发原料药环保绿色工艺 响应国家“碳中和”政策,财联社
340,2021-03-09,人福医药(600079.SH)控股股东解除质押及再质押900万股,智通财经
341,2021-03-08,人福医药：控股股东当代科技解除质押3458万股及再质押4300万股,每日经济新闻
342,2021-03-07,全国人大代表、人福医药董事长李杰： 中国医药产业不断优化升级 药企唯一出路是创新,e公司
343,2021-03-07,医药与健康护理行业周报：业绩确定性高 继续看好医药龙头公司,新浪
344,2021-03-05,全国人大代表、人福医药董事长李杰：建议推进医疗器械注册检验服务市场化，打破行业制约瓶颈,时代在线
345,2021-03-04,人福医药现1笔大宗交易 共成交300.20万元,新浪
346,2021-03-04,人福医药今日大宗交易成交10.50万股，成交价28.59元溢价3.32%,Wind
347,2021-02-26,人福医药：控股股东当代科技质押100万股,每日经济新闻
348,2021-02-24,人福医药注册资本增加至16.33亿,企查查
349,2021-02-23,人福医药：控股股东股份质押732万股,每日经济新闻
350,2021-02-23,人福医药：控股股东当代科技质押732万股 占公司总股本0.45%,中国网
351,2021-02-23,人福医药：子公司宜昌人福用于高血压、心绞痛治疗药物获美国FDA批准文号,资本邦
352,2021-02-23,A股早报2021年2月23日星期二,Wind
353,2021-02-22,晚间重要公告2021年2月22日星期一,Wind
354,2021-02-22,人福医药(600079.SH)：琥珀酸美托洛尔缓释片获美国FDA批准文号,智通财经
355,2021-02-22,人福医药：琥珀酸美托洛尔缓释片获得美国FDA批准文号,Wind
356,2021-02-18,人福医药：控股股东当代科技质押5750万股,每日经济新闻
357,2021-02-18,医药与健康护理行业周报：国内疫情向好 仍需紧密关注防控政策,新浪
358,2021-02-10,全国重点人群接种疫苗4052万剂次，疫苗产业链公司迎利好,第一财经
359,2021-02-10,A股收盘综述：鼠年完美收官，三大股指均创出逾5年新高,Wind
360,2021-02-10,人福医药大涨7.04%，振幅7.37%,中新经纬
361,2021-02-09,上市公司正负面新闻2021年2月9日星期二,Wind
362,2021-02-08,晚间重要公告2021年2月8日星期一,Wind
363,2021-02-08,快讯 | 人福医药：副总裁徐华斌因个人原因辞职 董监高成员变化,财经网
364,2021-02-08,注意！人福医药：董事王学海拟减持公司不超过195万股股份 拟减持股份,每日经济新闻
365,2021-02-08,人福医药：董事拟减持不超过0.12%公司股份 拟减持股份,Wind
366,2021-02-08,人福医药：公司副总裁辞职 董监高成员变化,Wind
367,2021-02-08,人福医药大涨7.32%，成交2.52亿元,中新经纬
368,2021-02-07,医药生物行业2020业绩前瞻：2020板块分化明显 下半年医疗服务等有序复苏,新浪
369,2021-02-06,快讯｜人福医药：向控股股东定向增发融资近10亿元 用于小容量注射制剂生产基地建设,财经网
370,2021-02-05,人福医药：非公开发行股票成功募集配套资金10亿元,证券时报
371,2021-02-05,人福医药：为5家子公司提供2.15亿元担保 大额借贷担保,每日经济新闻
372,2021-02-04,人福医药：当代科技解除质押282万股,每日经济新闻
373,2021-02-02,医药生物行业：四季度常规诊疗继续恢复 板块业绩增速提升,广发证券
374,2021-02-01,别人家的公司！吉宏股份大股东自掏腰包送飞天茅台,时代在线
375,2021-01-28,人福医药：控股股东质押1150万股 占公司总股本0.74%,中国网
376,2021-01-28,创新成为传统药企们不能回避的话题 一批企业正在转型路上,制药网
377,2021-01-26,面对biotech后浪 人福等一众传统药企如何“求生”逆袭？,E药经理人
378,2021-01-24,今年超火爆新募基金会建仓哪些票？这里有迹可循,上证报
379,2021-01-23,这些药卖得最好：恒瑞、人福、扬子江,赛柏蓝
380,2021-01-21,神经系统化药TOP10出炉！扬子江、人福……8大注射剂“霸屏”，恒瑞独家产品亮眼,米内网
381,2021-01-21,十大明星经理重仓股曝光！刘格菘4基金顶格买入一股,中国基金报
382,2021-01-21,陈光明旗下基金调仓曝光！赵诣、傅鹏博加仓新能源,中证报
383,2021-01-21,人福医药负债200亿:三卖杰士邦 股东近八成持股已质押 偿债能力下降,投资者网
384,2021-01-21,"三卖杰士邦、股东近八成持股已质押 负债200亿人福医药""归核聚焦""路漫漫 偿债能力下降",投资者网
385,2021-01-19,仙居圃瑞药业环境违法遭台州处罚 为人福医药联营企业 环保处罚,中国经济网
386,2021-01-18,人福医药今日大宗交易成交26.90万股，成交价28.39元溢价0.0%,Wind
387,2021-01-15,警惕！一批明星基金经理大幅调仓了,中国基金报
388,2021-01-14,躁动中留一份清醒，明星基金调仓换股已露端倪,Wind
389,2021-01-13,注意！这些明星基金经理已经开始调仓,Wind
390,2021-01-10,84个ANDA！石药、复星、齐鲁等药企继续“出海”征战美国市场,E药经理人
391,2021-01-10,医周健闻：天士力生物再次撤回上市申请，新冠疫苗全民免费，爱尔眼科本周上涨1.39% IPO融资异常,时代财经
392,2021-01-09,A股首周开门红，基金、北向跑步入场，盘后重磅传闻被否,Wind
393,2021-01-08,人福医药两药品通过仿制药一致性评价,上证报
394,2021-01-08,2020年18位药企董事长离职背后，折射了怎样的现实与困境？,E药经理人
395,2021-01-08,晚间重要公告2021年1月8日星期五,Wind
396,2021-01-08,A股新年首周开门红，北上资金200亿紧急上车,Wind
397,2021-01-08,人福医药：枸橼酸芬太尼注射液和枸橼酸舒芬太尼注射液通过仿制药一致性评价,格隆汇
398,2021-01-07,融资客青睐5股，福星股份买入占比高达40.73%,Wind
399,2021-01-06,人福医药(600079.SH)：注射用盐酸瑞芬太尼通过仿制药一致性评价,格隆汇
400,2021-01-06,医药行业一周观察：国药新冠疫苗附条件获批上市 紧握创新龙头,新浪
401,2021-01-04,电鳗快报|人福医药“无福”相：资产负债率达71% 34亿元商誉面临减值 偿债能力下降,电鳗快报
402,2021-01-03,转型or消亡？面对biotech后浪“生猛”，人福、罗欣等一众传统药企如何“求生”逆袭？,E药经理人
403,2021-01-01,国联证券研究所1月金股组合,国联研究
404,2020-12-30,人福医药：收到政府补助3000万元,中证网
405,2020-12-30,人福医药(600079.SH)：控股子公司收到“2020年省大健康产业发展专项资金”3000万元,格隆汇
406,2020-12-28,人福医药集团股份公司子公司安立生坦片获得药品注册批准通知书,新浪
407,2020-12-28,人福医药：安立生坦片获得药品注册批件,格隆汇
408,2020-12-23,安图生物、美年健康、华海药业、人福医药、康弘药业等基金重仓股逆市大跌,Wind
409,2020-12-22,中国疫苗获突破性进展！聪明资金扫货4000亿白马,证券时报网
410,2020-12-18,人福医药：“20人福MTN002”簿记建档时间延长至12月21日,Wind
411,2020-12-18,12月18日重要公告集绵,Wind
412,2020-12-17,人福医药：盐酸多西环素片获得美国FDA批准文号,e公司
413,2020-12-17,人福医药(600079.SH)：琥珀酸索利那新片获得药品注册批件,格隆汇
414,2020-12-17,人福医药(600079.SH)：盐酸多西环素片获得美国FDA批准文号,格隆汇
415,2020-12-16,【从300个瞬间看2020】健康：疫苗突围 耗材集采 健康的舍与得,北京商报
416,2020-12-15,海思科(002653)：HSK3486正式获批 创新药扬帆起航,新浪
417,2020-12-14,各个细分赛道都有机会 三家PE联手投了杰士邦,投资界
418,2020-12-14,投资界24h|三家PE联手投了杰士邦；上交所成全球第三大证券交易所；《赛博朋克2077》首日大赚4.8亿美元,投资界
419,2020-12-12,乐福思引入战略股东 人福医药出售40%股权高瓴联合博裕入场 减持股份,经济观察网
420,2020-12-09,人福医药(600079.SH)完成出售所持乐福思集团40%股权 资产异常,智通财经
421,2020-12-09,人福医药(600079.SH)：米非司酮片通过仿制药一致性评价,格隆汇
422,2020-12-07,巨亏19亿后，又溢价4倍搞收购，人福医药卖的什么药？ 重大损失,中金在线
423,2020-12-02,人福医药今日大宗交易成交75.41万股，成交价33.86元溢价0.0%,Wind
424,2020-12-02,"人福医药现2笔大宗交易 共成交2,553.38万元",新浪
425,2020-11-27,上汽集团联手阿里打造高端智能纯电汽车项目 多股有望上扬,巨丰财经
426,2020-11-27,A股早报2020年11月27日星期五,Wind
427,2020-11-26,晚间重要公告2020年11月26日星期四,Wind
428,2020-11-26,人福医药(600079.SH):治疗ADHD的盐酸胍法辛缓释片获美国FDA批准文号,智通财经
429,2020-11-26,人福医药：盐酸胍法辛缓释片获得美国FDA批准文号,e公司
430,2020-11-26,人福医药(600079.SH)：盐酸胍法辛缓释片获得美国FDA批准文号,格隆汇
431,2020-11-26,人福医药边卖边买，负债、商誉双高拖累业绩 偿债能力下降,云掌财经
432,2020-11-22,信用观察周报(第37期),新浪
433,2020-11-12,联合资信：关注人福医药集团股份公司出售资产 资产异常,Wind
434,2020-11-12,29股获券商买入评级，值得买目标涨幅达61.88%,Wind
435,2020-11-12,新医改背景下药企不断做“减法”，重心逐渐向创新药转移,制药网
436,2020-11-11,上市在望？高瓴等买走杰士邦。人福医药脱手安全套为降负债？,奥一网
437,2020-11-11,三买三卖杰士邦，人福医药得高瓴“加持”，能否困境反转？,药智网
438,2020-11-11,2分钟读财报|人福医药2亿美元卖掉“杰士邦” 高瓴资本接盘,新浪
439,2020-11-11,人福医药抛售“过冬小棉袄”杰士邦：负债逾200亿元 或借力高瓴推动乐福思IPO 偿债能力下降,时代在线
440,2020-11-11,"杰士邦再遭人福医药脱手 高瓴、博裕等组团""买套""",网易
441,2020-11-11,高瓴、博裕资本联合入股，“杰士邦”或将冲刺IPO,搜狐
442,2020-11-10,高瓴接盘“杰士邦”，背后或是中信资本着急“套现”！,环球老虎财经
443,2020-11-10,500亿医药股拟卖安全套资产，或赚4亿！高瓴组团2亿美元接盘,搜狐
444,2020-11-10,高瓴入局人福“杰士邦”，其实赚的是另一种钱,格隆汇
445,2020-11-10,安全套生意不好做？杰士邦2006年被这家公司甩卖，2017年买回来，如今又要被“抛弃”,每日经济新闻
446,2020-11-10,张磊再出手！超10亿元，高瓴联合博裕等接盘安全套品牌“杰士邦”,投中网
447,2020-11-10,人福医药拟出售“杰士邦”母公司 高瓴组团2亿美元接盘,证券时报
448,2020-11-10,人福医药拟出售“杰士邦”母公司高瓴组团2亿美元接盘,证券时报
449,2020-11-10,人福医药三卖杰士邦,北京商报
450,2020-11-10,ffit8三个月获两次融资 资本圈为何看上蛋白棒,北京商报
451,2020-11-09,人福医药再度转手“杰士邦” 安全套生意不好做了吗？,北京商报
452,2020-11-09,公告精选：人福医药拟2亿美元转让乐福思集团40%股权 交易对方包括高瓴旗下基金,e公司
453,2020-11-09,晚间重要公告2020年11月9日星期一,Wind
454,2020-11-09,人福医药拟出售“杰士邦”母公司，高瓴资本斥2亿美元接手40%股权,环球老虎财经
455,2020-11-09,安全套“老二”杰士邦再被卖身！高瓴接手，母公司负债200亿 偿债能力下降,搜狐
456,2020-11-09,人福医药拟出售乐福思集团40%股权 转让价格2亿美元 资产异常,北京商报
457,2020-11-09,人福医药：拟出售乐福思集团40%股权 资产异常,Wind
458,2020-11-07,医药行业：细分板块高增长 持仓变化不改医药高景气,新浪
459,2020-11-05,医药行业2020Q3持仓分析：医药仓位有所回落 紧握核心资产,西南证券
460,2020-11-03,人福医药关于股份回购实施结果暨股份变动公告,亿邦动力
461,2020-11-03,人福医药(600079.SH)截至11月2日已累计回购1.74%的股份,格隆汇
462,2020-11-03,A股早报2020年11月3日星期二,Wind
463,2020-11-02,社保基金最新持仓动向：狂买周期股，减持医药科技,第一财经
464,2020-10-31,不到一年涨两倍！这家公司获公募“一哥”顶格重仓,中证报
465,2020-10-31,下周1533亿市值限售股解禁，环比增加184.99% 解禁,Wind
466,2020-10-29,晚间重要公告2020年10月29日星期四,Wind
467,2020-10-29,人福医药今日大宗交易成交301.76万股，成交价32.7元溢价0.0%,Wind
468,2020-10-29,"人福医药现1笔大宗交易 共成交9,867.55万元",新浪
469,2020-10-29,睿远三季度傅鹏博、赵枫动向曝光，积极配置调仓，新进多只个股,格隆汇
470,2020-10-29,三季报解码“股神”：私募大佬冯柳与“聪明钱”北上资金持股七成重合，三只股涨幅超50%,华夏时报
471,2020-10-29,社保基金长线坚守23只股（附股）,证券时报网
472,2020-10-29,明星基金经理青睐白酒、地产等板块，港股持仓明显增加,Wind
473,2020-10-28,晚间重要公告2020年10月28日星期三,Wind
474,2020-10-28,人福医药：硫酸苯丙胺片获得FDA批准文号,格隆汇
475,2020-10-28,明星基金经理最新持仓大曝光！,Wind
476,2020-10-28,社保基金连续持有62股最长已持有48个季度,证券时报网
477,2020-10-28,养老金三季度现身56只股前十大流通股东榜,证券时报网
478,2020-10-28,百亿私募重仓股曝光！高毅、林园、重阳……加仓减仓名单来了,券商中国
479,2020-10-27,人福医药非公开发行限售股上市流通公告 解禁,亿邦动力
480,2020-10-27,东兴证券、天风证券关于人福医药非公开发行限售股上市流通的专项核查意见 解禁,亿邦动力
481,2020-10-27,人福医药：占总股本5%公司股份将于11月3日上市流通,Wind
482,2020-10-27,社保基金连续持有42股最长已持有48个季度,证券时报网
483,2020-10-27,养老金三季度现身37只股前十大流通股东榜,证券时报网
484,2020-10-27,人福医药集团股份公司关于发行股份 购买资产并募集配套资金暨关联交易之标的资产过户完成情况的公告,证券时报
485,2020-10-26,社保基金连续4个季度以上持有53股，最长已持有30个季度,Wind
486,2020-10-26,社保基金三季度重仓股揭秘：8股社保基金持股比例超5%,证券时报网
487,2020-10-25,人福医药股价持续上涨超过回购价上限 将回购价格从14.29元提升至49.29元,e公司
488,2020-10-25,速读社丨日本医药代表将挂牌上岗 丽珠集团注射用丹曲林钠获批上市,新浪医药
489,2020-10-25,人福医药(600079.SH)：将回购股份价格上限调至49.29元/股,格隆汇
490,2020-10-25,人福医药上调回购价格至不超49.29元每股,中国证券网
491,2020-10-25,人福医药关于控股股东部分股份解除质押及再质押的公告,亿邦动力
492,2020-10-25,人福医药独立董事关于调整回购股份价格上限事项的独立意见,亿邦动力
493,2020-10-25,人福医药：公司董事会决定将回购股份的价格调整为不超过49.29元/股,Wind
494,2020-10-25,人福医药：前三季度净利润同比减少17.83% 盈利能力下降,Wind
495,2020-10-21,人福医药：盐酸多塞平胶囊获得美国FDA批准文号,e公司
496,2020-10-21,人福医药：盐酸多塞平胶囊获得美国FDA批准文号,Wind
497,2020-10-21,人福医药(600079.SH)：盐酸多塞平胶囊获得美国FDA批准文号,格隆汇
498,2020-10-16,人福医药重组申请获证监会核准批复,上证报
499,2020-10-13,前三季度A股回购力度十强榜出炉！多公司回购后涨势强劲,上证报
500,2020-10-09,人福医药：盐酸拉贝洛尔片获美国FDA批准文号,e公司
501,2020-10-09,人福医药(600079.SH)：盐酸拉贝洛尔片获得美国FDA批准文号,格隆汇
502,2020-10-09,150家上市药企高管离职，职位变动不断为哪般？ 董监高成员变化,制药网
503,2020-09-30,人福医药大涨5.31%，报32.90元,中新经纬
504,2020-09-29,"人福医药现1笔大宗交易 共成交4,278.11万元",新浪
505,2020-09-29,人福医药杜文涛：创新驱动业绩提速 树立药企国际化发展样板,21世纪经济报道
506,2020-09-28,提升发展天际线，服务国家经济发展,Wind
507,2020-09-24,"人福医药现2笔大宗交易 共成交5,504.60万元",新浪
508,2020-09-24,又一上市企业注销子公司 为求发展 药企纷纷走上“瘦身”路 减资破产,新浪
509,2020-09-21,"人福医药现1笔大宗交易 共成交11,368.00万元",新浪
510,2020-09-21,万亿巨头火速过会将登陆科创板 外资抢筹净买入近百亿,Wind
511,2020-09-18,富时罗素指数调整今生效，北上资金买买买，这些股票尾盘异动,Wind
512,2020-09-17,医药行业投资策略：寻找“隐形”冠军,新浪
513,2020-09-16,诺思兰德闯关精选层：净利连续亏损 主打产品前景待考 亏损,新浪
514,2020-09-15,得润电子|是冯柳的菜，但不一定是你的,港股那点事
515,2020-09-15,人福医药关于中国证监会上市公司并购重组审核委员会审核意见回复的公告,亿邦动力
516,2020-09-15,人气回升，并购案例突增，概念股持续走牛,Wind
517,2020-09-14,社保基金近10年赚了超万亿，连续8年持有24股,Wind
518,2020-09-11,业绩压力大，药企纷纷出售资产“瘦身” 资产异常,制药网
519,2020-09-11,A股早报2020年9月11日星期五,Wind
520,2020-09-10,证监会：人福医药发行股份购买资产事项获有条件通过,中证网
521,2020-09-10,3亿人民币转让4家药企无人问津，上市药企出售资产成风背后的逻辑是什么？ 资产异常,E药经理人
522,2020-09-10,人福医药：重组事项获通过，明日复牌,Wind
523,2020-09-10,人福医药：重组事项获通过 明日复牌,e公司
524,2020-09-10,上市公司正负面新闻2020年9月10日星期四,Wind
525,2020-09-09,龙头落幕，新秀登场！2020年中国医药上市公司竞争力20强重磅公布,E药经理人
526,2020-09-09,晚间重要公告2020年9月9日星期三,Wind
527,2020-09-09,人福医药：重组事项9月10日上会，股票停牌,Wind
528,2020-09-09,人福医药：并购重组9月10日上会，股票当日停牌 重大事项停牌,Wind
529,2020-09-09,人福医药跌5.12%报32.22元，成交额4.58亿元,中新经纬
530,2020-09-08,17家百亿级私募二季度新进55只个股，9只遭减持,Wind
531,2020-09-06,养老金二季度调仓 新进61股偏爱电子、长线策略捕获多只翻倍股,红周刊
532,2020-09-04,证监会：人福医药发行股份购买资产事项将于9月10日上会,中证网
533,2020-09-04,医药生物行业2020年中报业绩综述：上半年营收个位数下滑 Q2业绩好于Q1,新浪
534,2020-09-04,上市公司正负面新闻2020年9月4日星期五,Wind
535,2020-09-03,晚间重要公告2020年9月3日星期四,Wind
536,2020-09-03,人福医药：重组事项近日上会 股票将于当日停牌 重大事项停牌,e公司
537,2020-09-03,人福医药(600079.SH)：资产重组事项近日上会当天停牌,格隆汇
538,2020-09-03,人福医药(600079.SH)：发行股份购买资产的申请获中证监受理,格隆汇
539,2020-09-03,人福医药董事、监事亲属短线交易公司股票，违反《证券法》相关规定 其他违规处罚,资本邦
540,2020-09-02,『医药头条君』女性抵抗阿尔茨海默病的能力更强,新浪
541,2020-09-02,人福医药：控股股东当代科技质押股数150万股，用于生产经营,资本邦
542,2020-09-02,人福医药：总裁邓霞飞配偶等短线交易公司股票,Wind
543,2020-09-01,人福医药关于控股股东股份质押的公告,亿邦动力
544,2020-09-01,人福医药(600079.SH)：已累计回购约2亿元的股份后续根据市况继续实施回购计划,格隆汇
545,2020-09-01,人福医药(600079.SH)控股股东质押150万股,格隆汇
546,2020-09-01,上市公司创新药8月报告：第一梯队在研品种近百个，抗肿瘤药占半壁江山,Wind
547,2020-08-29,私募大佬持仓曝光！地产、科技、消费股各有所爱,Wind
548,2020-08-29,淡水泉赵军，重阳裘国根，高毅邓晓峰、冯柳，千合王亚伟……私募大佬持仓曝光，看看他们选了哪些股,中证报
549,2020-08-28,12张图纵览外资A股持仓，高盛、小摩、领航重仓名单全披露,Wind
550,2020-08-28,业绩亏损严重，多家知名药企卖产业“瘦身”！ 亏损,医药资讯地方台
551,2020-08-28,邓晓峰、王亚伟等私募大佬们最新A股持仓来了！,中国基金报
552,2020-08-27,人福医药关于控股股东部分股份解除质押及再质押的公告,亿邦动力
553,2020-08-27,人福医药(600079.SH)：坚定归核战略聚焦核心业务,格隆汇
554,2020-08-26,人福医药(600079.SH)：定增并购案通过股东大会审核,格隆汇
555,2020-08-26,[路演]人福医药：海外业务已覆盖欧美成熟市场以及南美等新兴市场,全景网
556,2020-08-25,800亿生意！中国人一年消费百亿只安全套，仅一家A股公司涉足,搜狐
557,2020-08-21,人福医药关于控股股东股份质押的公告,亿邦动力
558,2020-08-21,人福医药：控股股东当代科技质押约1265万股,每日经济新闻
559,2020-08-21,人福医药(600079.SH)半年度净利润升16.56%至3.92亿元,格隆汇
560,2020-08-21,人福医药：上半年净利润同比增长16.56%,Wind
561,2020-08-18,他达拉非片上市多元板块呈现 辗转杰士邦的国际化之路,经济观察网
562,2020-08-18,A股并购人气回暖，案例有增无减，名单新鲜出炉,Wind
563,2020-08-12,聚焦核心业务 人福医药拟24亿元购3高管持有的宜昌人福13%股权,GPLP犀牛财经
564,2020-08-10,A股早报2020年8月10日星期一,Wind
565,2020-08-10,推进“归核化”战略人福医药拟收购宜昌人福13%股权,经济观察报
566,2020-08-09,人福医药拟24亿购宜昌人福13%股权 交易对方承诺3年净利逾49亿,e公司
567,2020-08-09,晚间重要公告2020年8月9日星期日,Wind
568,2020-08-09,人福医药：拟24亿元收购控股子公司宜昌人福13%股权,Wind
569,2020-08-09,人福医药：拟24亿元收购控股子公司宜昌人福13%股权,e公司
570,2020-08-07,又一明星药企剥离非核心业务，重药控股“史上最大规模并购”后再布局！医药行业并购重组潮或已来临？,E药经理人
571,2020-08-07,人福医药3.62亿出售四川人福70%股权 将减少有息债务约10亿优化负债结构 资产异常,长江商报
572,2020-08-06,知名药企子公司宣告破产，多家药企被并！ 减资破产,医药观察家网
573,2020-08-06,人民金融·创新药指数来了！7月涨3.4%，人福医药、华北制药、百济神州等重磅创新药取得积极进展,证券时报网
574,2020-08-06,知名药企3.6亿被出售 资产异常,赛柏蓝
575,2020-08-05,“归核聚焦”：人福医药出售四川人福70%股权 资产异常,经济观察报
576,2020-08-05,晚间重要公告2020年8月5日星期三,Wind
577,2020-08-05,人福医药(600079.SH)拟3.62亿元向重药集团转让四川人福70%股权 资产异常,格隆汇
578,2020-08-05,人福医药：拟以3.62亿元将四川人福70%股权转让给重药集团 资产异常,Wind
579,2020-08-03,人福医药关于股份回购进展情况的公告,亿邦动力
580,2020-08-03,人福医药关于资产重组进展公告,亿邦动力
581,2020-08-03,Wind快讯 每日医药行业动态（2020-8-3）,Wind
582,2020-08-03,积极推进！人福医药：重组涉及的标的资产加期审计、评估工作已基本完成,每日经济新闻
583,2020-08-03,人福医药(600079.SH)：截至7月底累计耗资2亿元回购1.08%股份,格隆汇
584,2020-07-27,2020年药企高管密集变动，为哪般？恒瑞、甘李、平安好医生,新浪医药
585,2020-07-27,睿远明星基金“闭门谢客”背后，“规模至上”投资逻辑存局限,Wind
586,2020-07-24,人福医药：控股股东质押1000万限售流通股 占公司总股本0.74%,中国网
587,2020-07-24,股东福利！43股即将分红，抢权行情能否开启？,Wind
588,2020-07-24,人福医药(600079.SH)：控股股东质押1000万股,格隆汇
589,2020-07-24,快讯：人福医药跌停 报于31.6元,金融界
590,2020-07-24,什么信号？陈光明傅鹏博旗下睿远爆款基金叫停申购！,中证报
591,2020-07-24,睿远均衡价值三年首曝持仓，股票仓位超85%,Wind
592,2020-07-24,睿远成长价值混合基金暂停申购定投，均衡价值三年首曝持仓,澎湃新闻
593,2020-07-23,人福医药今日大宗交易成交300万股，成交价35.11元溢价0.0%,Wind
594,2020-07-23,陈光明掌舵的睿远基金Q2调仓解析:医药股仍被重仓 银行股首获青睐,红周刊
595,2020-07-21,新药瑞马唑仑获批，人福正面杠上恒瑞，谁才是“麻醉一哥”？,时代在线
596,2020-07-21,A股收盘综述：上证指数连升3日，蚂蚁金服概念股掀涨停潮,Wind
597,2020-07-21,快讯：人福医药涨停 报于32.95元,金融界
598,2020-07-21,生物疫苗板块走强 人福医药等涨停,上证报
599,2020-07-21,创新药板块午后再度拉升，人福医药、智飞生物双双涨停,Wind
600,2020-07-21,A股异动|人福医药(600079.SH)逼近涨停创新高注射用苯磺酸瑞马唑仑获注册证书,格隆汇
601,2020-07-21,A股午盘综述：上证指数微升，蚂蚁金服概念成最大热点,Wind
602,2020-07-21,创新药板块表现强势，药明康德、智飞生物涨超7%,Wind
603,2020-07-21,知名基金经理二季度普遍加仓，布局消费与科技,Wind
604,2020-07-21,加仓低估值板块，明星基金经理亮出调仓路径,Wind
605,2020-07-21,刘格菘3只基金“抱团”1只股,金融投资报
606,2020-07-21,刘格菘3只基金“抱团”隆基股份 傅鹏博、邬传雁重仓这些股,新浪
607,2020-07-20,量化周报：预测下周市场整体呈现反弹,新浪
608,2020-07-20,人福药业 1 类新药「注射用苯磺酸瑞马唑仑」获 NMPA 批准,汇聚南药
609,2020-07-20,人福医药(600079.SH)：年报推10派0.5元 股权登记日7月27日,格隆汇
610,2020-07-20,明星基金经理最新持仓揭晓 二季度医药获增持,金融投资报
611,2020-07-20,人气回升！定增渐成“香饽饽”,Wind
612,2020-07-20,人福医药：注射用苯磺酸瑞马唑仑获得药品注册证书,格隆汇
613,2020-07-20,明星基金经理调仓路线大曝光,上证报
614,2020-07-13,人福医药、国药股份受牵连：旗下扶贫基金会理事长被曝行贿46万、挪用百余万购买房产 其他违规处罚,和讯
615,2020-07-13,人福医药、国药股份受牵连：旗下公司女老总被曝行贿46万、挪用百余万购买房产 其他违规处罚,和讯
616,2020-07-09,药品研发专题分析报告：国内巨头竞争优势明确 海外巨头静待新品上市小高潮,新浪
617,2020-07-08,【专题】疫情对湖北信用债偿付冲击压力较小，关注防疫相关金融支持——产业债行业比较体系专题之十四,申万宏源固收研究
618,2020-07-08,人福医药(600079.SH)：控股子公司近日获2563.53万元政府补助,格隆汇
619,2020-07-05,券商并购已是大势所趋 哪家A股存大机会（股）,新浪
620,2020-07-03,翻身时刻到了，A股剑指3100点，全球市场一起嗨,Wind
621,2020-07-02,人福医药关于股份回购进展情况的公告,亿邦动力
622,2020-07-02,万亿成交再现，低估值金融房地产全面爆发,Wind
623,2020-07-02,重组进展！人福医药：资产重组涉及的审计工作已基本完成,每日经济新闻
624,2020-07-02,人福医药(600079.SH)截至6月末累计回购1.08%股份,格隆汇
