,2021-12-31,光伏风电储能：华创证券坚定看好新能源“三剑客”,智通财经
817,2020-11-09,41股受青睐，北向资金增持额超亿元,证券时报网
818,2020-11-09,电力设备及新能源行业周报：光伏全面放开容配比 特高压直流再获核准,新浪
819,2020-11-09,电力设备及新能源行业2020年三季度总结：“新新”向荣,新浪
820,2020-11-08,预告第六弹：上市公司与机构投资者见面会,申万宏源研究
821,2020-11-07,2020年中国特高压行业市场现状及竞争格局分析 利好政策推动行业有序快速发展,前瞻研究院
822,2020-11-06,国电南瑞(600406)2020年三季度报告点评：信通业务快速增长 Q4静待特高压启动招标,新浪
823,2020-11-05,国电南瑞(600406)：低碳转型推动电网加速升级 估值提升在即,新浪
824,2020-11-05,新能源车观察系列81：银色十月，中国电动车景气再向上【安信电新】,电新邓永康团队
825,2020-11-05,【申港电新|周观点】海内外10月新能源车市场持续回暖,新能源深度研究
826,2020-11-05,电新行业3Q20回顾：电动车、电力设备逐季回暖 工控业绩超预期,新浪
827,2020-11-05,晨会聚焦201105重点关注国电南瑞、证券行业、半导体、锐明技术,国信研究
828,2020-11-05,国电南瑞（600406）财报点评：信通业务快速增长，Q4静待特高压启动招标,国信研究
829,2020-11-04,陆股通周买入前二十概念股近三日受52亿主力资金追捧,证券时报网
830,2020-11-04,2020年中国工业软件行业市场竞争格局分析 国产替代正兴时,前瞻研究院
831,2020-11-04,【东吴晨报1104】【策略】【行业】汽车、传媒、电新【个股】山煤国际、中青旅,东吴研究所
832,2020-11-04,【电新*曾朵红】深度：工控&电力设备行业2020三季报总结——Q3加速增长，工控大超预期,东吴研究所
833,2020-11-03,171股今日获机构买入评级,证券时报网
834,2020-11-03,A股中长期走牛再次打下坚实基础两板块望回归强势,巨丰财经
835,2020-11-03,319股获券商买入评级，星期六目标涨幅达58.55%,Wind
836,2020-11-03,巨丰早评：A股中长期走牛再次打下坚实基础,巨丰财经
837,2020-11-03,中泰证券：电网产业链受疫情影响较小 逆周期属性凸显（附股）,证券时报网
838,2020-11-02,《新能源汽车产业发展规划（2021~2035年）》发布：5年后新能源车新车销量占比达20%左右,每日经济新闻
839,2020-11-02,《新能源汽车产业发展规划（2021—2035年）》发布：充换电再受鼓励，资本市场狂欢已久,每日经济新闻
840,2020-11-02,国电南瑞(600406)：业绩符合预期 持续受益数字新基建,新浪
841,2020-11-02,国电南瑞(600406)2020年三季报点评：业绩符合预期 投资加码+布局优化提振未来业绩,新浪
842,2020-11-02,重磅文件《新能源汽车产业发展规划》发布 一个新的时代来了,新浪
843,2020-11-02,203股今日获机构买入评级7股上涨空间超50%,证券时报网
844,2020-11-02,充电桩行业再遇利好 核心龙头企业有哪些？,巨丰财经
845,2020-11-02,国电南瑞(600406)：电网数字化转型 二次设备龙头业绩加速,广发证券
846,2020-11-02,巨·热点｜市场调整节奏不改 六大板块受青睐！,巨丰财经
847,2020-11-02,巨·个股｜新能源车之后下一个风口！充电桩行业再遇利好，核心龙头就这几家,巨丰财经
848,2020-11-02,充电桩概念大涨 新能源车概念迎多重利好,第一财经
849,2020-11-02,充电桩板块拉升 胜蓝股份等两股涨停,中国财富网
850,2020-11-02,充电桩板块强势冲高 多只个股涨停,上证报
851,2020-11-02,电力设备及新能源行业周报：光伏辅材涨价持续超预期 政策加码充换电建设运营,新浪
852,2020-11-02,【东吴晨报1102】【策略】【固收】【行业】银行【个股】农业银行、隆基股份、汇川技术、国电南瑞、中炬高新、中国软件,东吴研究所
853,2020-11-01,吐血整理！十大私募大佬最新持仓：冯柳400多亿买了这些！还有邓晓峰、赵军、裘国根、林利军、王亚伟等投资大曝光！,中国基金报
854,2020-11-01,【建投中小盘|上调至买入】亿嘉和：业绩增速回升，由巡检发展至主动作业,中信建投中小市值
855,2020-10-31,国电南瑞前三季度实现营收200.98亿元,上证报
856,2020-10-30,A股头条之上市公司（10.31）,金融界
857,2020-10-30,国电南瑞(600406.SH)前三季度净利润升18.74%至25.49亿元,格隆汇
858,2020-10-30,新能源车发展规划发布在即 一环节有望获财政支持,新浪
859,2020-10-30,【申港电新|周观点】2020三季报总结-风光景气上行 新能源车迎来拐点,新能源深度研究
860,2020-10-28,122股每笔成交量增超50%,证券时报网
861,2020-10-28,充电桩板块持续走强国内充电桩建设步入加速期,格隆汇
862,2020-10-28,云南电网“一带一路”城市智慧能源项目启动,中国电力报
863,2020-10-28,未来前景广阔 布局智能电网龙头,金融投资报
864,2020-10-27,广东汕头首个海上风电项目开建,金羊网
865,2020-10-27,电力设备及新能源行业周报：全生命周期小时数补贴出台 六部委再议剥离国网制造装备业务,新浪
866,2020-10-27,汕头濠江区12个项目集中开工 总投资超100亿元,我的钢铁
867,2020-10-27,2个海上风电相关项目在内！汕头12个重点建设项目集中开工,羊城晚报
868,2020-10-27,盘前情报丨蚂蚁集团IPO价格出炉，周四申购！这些概念股引发关注,21世纪经济报道
869,2020-10-26,电力设备新能源周观察：光伏玻璃价格持续上涨 电动车Q4延续高增长,新浪
870,2020-10-26,充电桩投资加速，产业链迎景气周期,Wind
871,2020-10-26,股票仓位为94.50% 重仓三一重工、中国中免等,中投网
872,2020-10-26,充电桩概念多股涨停，特斯拉今起调整部分超级充电站充电价格丨牛熊眼,第一财经
873,2020-10-26,充电桩概念走势活跃 和顺电气双杰电气等涨停,证券时报网
874,2020-10-22,特高压板块午后翻红，国电南瑞、国电南自领涨,Wind
875,2020-10-21,【申港电新|周观点】电动车销量超预期 高景气延续2021,新能源深度研究
876,2020-10-20,【申港电新|周观点】中欧新能源车市场全面向好,新能源深度研究
877,2020-10-19,电力设备与新能源行业周观点：新能源汽车进入旺季 各省陆续出台风电政策,新浪
878,2020-10-19,电力设备及新能源行业周报：看好受益“两新一重”标的 风电迎预期改善,新浪
879,2020-10-18,电气设备行业周报：如何看待9月国内产销超预期,新浪
880,2020-10-16,电力设备新能源行业2020年三季报业绩前瞻：新能源发电业绩高增，新能车反转趋势确立,格隆汇
881,2020-10-15,"国电南瑞现1笔大宗交易 共成交1,273.00万元",新浪
882,2020-10-15,国电南瑞今日大宗交易成交67万股，成交价19.0元折价9.31%,Wind
883,2020-10-15,12倍大牛股狂跌14%！这个龙头股却连续3天20%涨停,中国基金报
884,2020-10-14,4年12倍大牛股跌逾14% 芯片龙头两天跌超20%,新浪
885,2020-10-14,750/330千伏电磁环网解环点 快速切换装置在西北电网投运,国家电网
886,2020-10-12,新北洋 | 新能源行业成增长重要推手,一计之长
887,2020-10-12,国家电网董事长一句话，电力设备板块“嗨”了,上证报
888,2020-10-12,电气设备及新能源行业周报：中欧碳排标准上调推进新能源革命,新浪
889,2020-10-12,“大数据+科技创新” 让电网又“弹”又“稳”,北极星智电
890,2020-10-12,电力设备及新能源行业周报：国网展望“十四五”电网投资 塑造能源互联网产业链,新浪
891,2020-10-12,新能源汽车产业发展规划获批 充电桩新能源车概念表现活跃,证券时报网
892,2020-10-11,【兴证计算机】工业软件：政策与产业共振，国产厂商空间广阔,兴业计算机团队
893,2020-10-09,电力设备与新能源行业周观点：大力发展可再生能源 新能源汽车旺季来临,新浪
894,2020-09-30,电力设备及新能源行业9月行业洞察报告：特斯拉电池日不止于降本 引领新能源汽车加速渗透,新浪
895,2020-09-28,智能制造，“芯”向未来—— 英特尔携手客户和合作伙伴，以智能技术加速制造业升级,工业新闻网
896,2020-09-28,十四五能源规划前瞻：能源转型提速，万亿电力缺口还看风光,国信研究
897,2020-09-27,润和软件：携手华为发布四大鲲鹏解决方案 致力于成为中国基础软件领先者,发布易
898,2020-09-27,电力设备新能源行业周观点：光伏龙头强强联合 特斯拉电池日多层次创新降本增效,广发证券
899,2020-09-27,通信周报：运营商加速推进开放光网络,新浪
900,2020-09-27,电气设备新能源行业周报：中欧两国携手倡导绿色发展 光伏电动车双双利好,新浪
901,2020-09-27,联合发布四大解决方案 华为携手润和软件深耕鲲鹏生态,证券时报网
902,2020-09-27,电气设备行业研究：隆基通威加强硅料环节合作 特斯拉电池日召开,新浪
903,2020-09-25,国电南瑞(600406.SH)：拟使用不超18亿元闲置募集资金暂时补充流动资金,格隆汇
904,2020-09-23,一文了解2020年中国智能变电站企业市场竞争格局 特变电工或已被反超,前瞻研究院
905,2020-09-23,民族品牌指数跌0.27% 国电南瑞涨7.03%,中国证券网
906,2020-09-22,5只创新未来基金最高收益率近20%，转投信息技术生物医药等领域,中证报
907,2020-09-21,通信行业研究周报：新应用全面开花 5G与工业互联网大有可为,新浪
908,2020-09-21,电力设备与新能源行业周观点：8月新能源汽车超预期 静待四季度风光绽放,新浪
909,2020-09-21,【曾朵红团队】光伏、电动车、工控三大成长主线，深度跟踪，全面看好！,新兴产业汇
910,2020-09-21,国电南瑞上市17年总资产劲增157倍 五项世界第一技术破解难题助力冬奥,长江商报
911,2020-09-20,浙商早知道 | 9月21日,浙商证券研究所
912,2020-09-20,新时代、新生态、新机遇，GIMC 2020在南京盛大开幕,中国网
913,2020-09-20,GIMC 2020，打造南京新能源和智能网联汽车产业新地标,盖世汽车
914,2020-09-20,9月20日 GIMC 2020在南京正式开幕,卡车之家
915,2020-09-20,电新行业周报：8月光伏新增装机同比增长 充电桩维持快速增长趋势,新浪
916,2020-09-20,电气设备行业周报：时代使命、大国担当 新能源宏图加码,新浪
917,2020-09-18,惨案！这只股票科创板发行，险些流产！,Wind
918,2020-09-15,新能源行业周报：政策加码 “新能源发电+储能”箭在弦上,华安证券
919,2020-09-14,电气设备行业周报：“绿色发展”已成趋势 重视新能源车销售数据回暖,新浪
920,2020-09-14,新能源与电力设备行业研究周报：光伏储能电网新基建是十四五能源发展核心,国金证券股份有限公司
921,2020-09-14,电气设备行业投资策略周报：十四五非化石能源占比或将上调 8月新能源车弱复苏,广发证券
922,2020-09-13,北向资金高比例持有股票名单,证券时报
923,2020-09-13,电新行业20年中报总结：疫情影响减弱 板块韧性彰显,新浪
924,2020-09-11,“十四五”时期，充电桩建设有哪些重点？,新能源网
925,2020-09-10,国家电网公司旗下三大主力设备制造单位2020年上半年业绩情况,北极星电力
926,2020-09-10,一文了解2020年中国特高压行业市场现状与竞争格局 特高压工程快速增长,前瞻研究院
927,2020-09-10,20只股遭北向资金减仓超30%,证券时报网
928,2020-09-08,最高54057个！最新A股上市公司拥有专利数量前50排行,搜狐
929,2020-09-08,【电新】电新行业2020年中报综述：板块业绩平稳增长，新能源发电表现亮眼,中银证券研究
930,2020-09-08,硬件设备毛利下滑 充电桩盈利前景可期 盈利能力下降,中国报告大厅
931,2020-09-07,电力设备新能源行业20年中报业绩回顾：工控及新能源发电景气度高 新能源车迎来向上拐点,新浪
932,2020-09-07,国电南瑞2020年上半年净利润达12.72亿 增长14％,北极星智电
933,2020-09-07,国电南瑞2020年上半年净利润达12.72亿 增长14％,北极星电力
934,2020-09-07,【电新*曾朵红】深度：Q2明显恢复，工控高歌猛进,东吴研究所
935,2020-09-07,中泰证券：电网产业链受疫情影响较小 逆周期属性凸显（附股）,证券时报网
936,2020-09-07,【东吴电新】工控&电力设备行业2020中报总结：Q2明显恢复，工控高歌猛进,新兴产业汇
937,2020-09-06,电气设备行业周报：欧洲8月新能源车销量维持高增 国内核电实质性重启,新浪
938,2020-09-06,电气设备行业周报：欧洲新能源车销量高增 光伏玻璃需求持续向好,新浪
939,2020-09-05,电新行业周报：光伏市场前景良好 电解液环节盈利有望修复,新浪
940,2020-09-04,电力设备及新能源行业2020年中报业绩总结：增长韧性凸显 格局加速优化,新浪
941,2020-09-04,A股中报季900只超预期个股名单,锦缎
942,2020-09-04,【东吴电新】周策略：电动车Q3拐点明确，光伏Q3业绩继续高增,新兴产业汇
943,2020-09-03,国电南瑞(600406)：信通业务快速增长 估值提升在即,新浪
944,2020-09-03,【独家】2020年8月电力项目情况：涉及核准、开工、并网等,北极星电力
945,2020-09-02,【电新】电力设备与新能源行业8月第5周周报：光伏产业链价格企稳，小鹏汽车美股IPO,中银证券研究
946,2020-09-01,国电南瑞：变更注册资本暨修订《公司章程》,Wind
947,2020-09-01,389股获券商买入评级，中兴通讯目标涨幅达84.62%,Wind
948,2020-08-31,电力设备与新能源行业研究：光伏价格企稳维稳需求预期 低压工控持续转暖,国金证券股份有限公司
949,2020-08-31,国电南瑞(600406)2020年中报点评：龙头业绩向好 信通增长发力,新浪
950,2020-08-31,一图读财报：国电南瑞上半年营收净利双位数增长 市场拓展取得新突破,发布易
951,2020-08-31,储能产业资讯：2020H1宁德时代储能营收大幅增长136%；加利福尼亚州即将落地2GW储能项目,集邦新能源网
952,2020-08-31,【申港电子】新能源汽车回暖带动功率器件需求提升,涛声电子
953,2020-08-31,晨会0831｜9月将开启一轮中期上涨,中信证券研究
954,2020-08-31,私募重仓医药生物、食品饮料和电子,中国基金报
955,2020-08-29,今日465公司公布半年报46家业绩增幅翻倍,证券时报网
956,2020-08-29,国电南瑞(600406.SH)：拟向全资子公司南控公司增资10亿元,格隆汇
957,2020-08-28,上市后首份半年报出炉 云涌科技上半年净利增加202.8%,第一财经
958,2020-08-28,国电南瑞：上半年净利润同比增长14.59%,Wind
959,2020-08-28,国电南瑞(600406.SH)：上半年净利升14.59%至13.77亿元,格隆汇
960,2020-08-28,国电南瑞：上半年净利13.77亿元同比增15%,格隆汇
961,2020-08-28,国电南瑞：拟10亿元增资全资子公司南控公司,Wind
962,2020-08-28,特殊时期迎来75周年，浩亭近况如何？,中自网
963,2020-08-28,一周电力项目汇总(8.24-8.28)—核准、开工、并网等,北极星电力
964,2020-08-27,蔚来股价连创新高！多家车企布局换电模式,Wind
965,2020-08-27,汕头南瑞鲁能控制系统公司成立，国电南瑞和鲁能新能源控股,证券时报网
966,2020-08-27,【申港电新|周观点】中报总结：风光业绩突出 新能源车跨过低点,新能源深度研究
967,2020-08-27,北向资金偏爱医药生物股,证券导报
968,2020-08-27,即插即用型多能转换协调控制装置在天津投入使用,国家电网
969,2020-08-26,北向资金动向盘点：反手加仓茅台，但“食药”持仓占比已达31.3%,Wind
970,2020-08-26,公告版位提示,中证报
971,2020-08-25,【兴证张忆东团队】海外机构：关注充满增长机会的中国市场——A股美股行业动态跟踪,张忆东策略世界
972,2020-08-25,2.52MW/10MWh 中鑫配售电、国电南瑞合作的南高齿储能项目开工,北极星电力
973,2020-08-24,18只新股集体收涨 最牛涨1061%,搜狐
974,2020-08-24,电力设备及新能源行业周报：光伏涨价不改需求 电网投资回暖,新浪
975,2020-08-24,电气设备与新能源行业周报：新能源车换电模式风口来临,新浪
976,2020-08-24,电力设备新能源周观察：汽车执行器赛道优质 风电龙头中报高增,新浪
977,2020-08-23,运达科技高溢价收购关联公司 标的业绩异常突增 估值不合理 关联方问题,红周刊
978,2020-08-22,电力能源行业研究：工业互联网+5G+数字孪生视角下的电网自动化产业,新浪
979,2020-08-19,亿嘉和(603666)2020年中报点评：业绩延续增长趋势 带电作业机器人订单继续落地,新浪
980,2020-08-19,巨·个股|机构调研扎堆电力领域 政策加码 核心受益股梳理到位（附股）,巨丰财经
981,2020-08-19,特高压板块异动，国电南瑞、中国西电跳涨,Wind
982,2020-08-17,电气设备行业周报：涨价加速光伏新技术应用 关注新能源车销售改善,新浪
983,2020-08-17,组件价格上涨对电站收益影响分析,Ofweek
984,2020-08-17,11股获买入评级 最新:彤程新材,中财网
985,2020-08-17,【电新】国电南瑞（600406）:体系完备优势明显，电网投资增加业绩有望突破,天风研究
986,2020-08-16,【华西通信】周专题：边缘计算、智能集成赋能智能制造软硬件融合,香农圆桌沙龙
987,2020-08-15,神秘的国调基金：抢占“新经济”高地,Wind
988,2020-08-13,融资客看好9股买入占成交超三成,证券时报网
989,2020-08-13,融资客青睐9股，长源电力买入占比高达36.79%,Wind
990,2020-08-11,下一轮“热门资产”？裘国根冯柳卓利伟都在凶猛布局这个板块,新浪
991,2020-08-11,电气设备行业周报：光伏产业链价格加速上扬 新能源车需求有望回暖,新浪
992,2020-08-11,电力设备行业：光伏产业链涨价持续 V字之后欧洲电车持续向好,新浪
993,2020-08-10,电力设备行业周报(第三十二周),新浪
994,2020-08-09,【华创电新 | 周观点】涨价加速光伏新技术应用，关注新能源车销售改善,华创电新研究
995,2020-08-07,资金面研究系列报告三：近期北向资金出现明显净流出,新浪
996,2020-08-06,殷图网联（835508）：电网运行智能辅助系统提供商【精选层企业专题报告（十一）】,新三板智库
997,2020-08-05,国电南瑞(600406.SH)：拟向各商业银行申请综合授信额度,格隆汇
998,2020-08-05,中国工业软件十强排名：华为、西门子稳居前二名,电子产品世界
999,2020-08-05,国务院放大招！一板块迎重磅利好望井喷,巨丰财经
1000,2020-08-05,华创事件驱动早报8-5：国务院发文促进集成电路和软件产业高质量发展；联发科获华为追加巨额订单,华创证券研究
1001,2020-08-04,云涌科技IPO诡异：产品均价相差近3倍 关联交易真存在还是过账？,和讯
1002,2020-08-04,5家百亿元级私募二季度重仓股现身，布局15只个股持有市值逾20亿元,Wind
1003,2020-08-03,光伏组件价格反弹不改长期下降趋势,Ofweek
1004,2020-08-03,电力设备与新能源行业周观点：可再生能源补贴缺口有望解决 硅料价格持续上升,新浪
1005,2020-08-03,融资融券周报2020年第30周,新浪
1006,2020-08-03,电车七月产销同比首次上升，低压电器提价显景气需求【安信电新周观察20200817】,电新邓永康团队
1007,2020-07-31,未来智能变电站发展趋势预测 2020智能变电站行业发展现状及前景分析,中研网
1008,2020-07-30,充电桩产业链梳理与预测,新能源网
1009,2020-07-29,电气设备行业周报：量价齐升正当时 聚焦光伏景气周期开端,新浪
1010,2020-07-29,【每日晨报】0729丨石化丨20Q2公募基金持仓创新低，油价企稳+需求回升助力H2业绩改善,中国银河证券研究
1011,2020-07-29,【行业动态】电新 2020.7丨基金Q2加仓新能源，电动车、光伏为主要方向,中国银河证券研究
1012,2020-07-29,新能源汽车是2020年可以贯穿全年的投资机会 龙头公司值得坚守,证券时报网
1013,2020-07-28,电力设备及新能源行业7月行业洞察报告：基金Q2加仓新能源 电动车、光伏为主要方向,新浪
1014,2020-07-27,单周净流出近250亿元 北向资金抢筹电气设备和黄金股,大众证券报
1015,2020-07-27,电力设备与新能源行业周观点：“新势力”销量走强 硅片、电池片价格反弹,新浪
1016,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
1017,2020-07-27,【东吴电新】国电南瑞半年报点评：信通持续高景气，主业边际改善,新兴产业汇
1018,2020-07-27,中信建投稳利A基金最新净值跌幅达1.80％,金融界
1019,2020-07-27,北上资金净流出248亿重点加仓商业贸易行业,证券时报
1020,2020-07-26,量价齐升正当时，聚焦光伏景气周期开端丨兴业电新 · 每周观察（朱玥）,兴业电新
1021,2020-07-26,电气设备新能源行业周报：光伏全产业链涨价 电动车众多新车上市,新浪
1022,2020-07-26,电气设备行业周报：光伏行业进入高景气周期 特斯拉Q2业绩超预期,新浪
1023,2020-07-26,【东吴电新】基金Q4持仓：新能源汽车持仓持续提升，光伏、工控略有下滑,新兴产业汇
1024,2020-07-26,电气设备行业周报：光伏迎高景气周期 造车新势力进入收获期,广发证券
1025,2020-07-25,上证综指改革科创50发布 大事件密集A股将何去何从？,巨丰财经
1026,2020-07-24,京东方A：行业进入新一轮涨价周期,股市动态分析
1027,2020-07-24,二次探底？强势股领跌释放风险“蛮牛变慢牛”,Wind
1028,2020-07-24,“关注复苏和政策节奏 把握牛市下半场” —中国银河证券2020年中期投资策略报告会开展线上视频路演新能源专场,中国银河证券研究
1029,2020-07-22,国家电网调增千亿级投资额 关注特高压受益股（附股）,证券时报网
1030,2020-07-22,有色金属早班车.7.22,世铝网
1031,2020-07-22,揭秘北上资金：连续5日加仓这20只个股（附名单），华贸物流、浙商证券、国茂股份排前三,每日经济新闻
1032,2020-07-21,国网重申千亿级投资额 特高压工程或有新进展,e公司
1033,2020-07-21,【东吴电新】周策略：光伏全产业链涨价，电动车众多新车上市,新兴产业汇
1034,2020-07-21,融资客120亿元加仓四板块，16只中报预计翻番股被买买买,证券日报网
1035,2020-07-21,北向资金动向曝光：7月20日这30只个股被猛烈扫货（附名单）,每日经济新闻
1036,2020-07-21,揭秘北上资金：连续5日加仓这18只个股（附名单）,每日经济新闻
1037,2020-07-21,A股重上3300点！百股涨停、339家公司创本月新高,Wind
1038,2020-07-21,【电新*曾朵红】工控龙头乘风破浪，电力设备盈利改善——工控&电力设备行业2020年中期投资策略,东吴研究所
1039,2020-07-21,【山证两融】融资融券周报(20200713-20200717 )——2020年第28期,山西证券研究所
1040,2020-07-20,电力设备与新能源行业周报(第二十九周),新浪
1041,2020-07-20,工控&电力设备行业2020年中期投资策略：工控龙头乘风破浪 电力设备盈利改善,新浪
1042,2020-07-20,工业、材料批量涨停，经济复苏打造“强国牛”,Wind
1043,2020-07-20,电力设备及新能源行业周报：央企光伏密集招开标 电网投资稳步修复,新浪
1044,2020-07-20,北上资金净流出超190亿逆市加仓6个行业,证券时报
1045,2020-07-19,【国金电新周观点】光伏景气复苏持续验证，电网投资加速回暖，新车加速上市助推下半年国内市场超预期,新兴产业观察者
1046,2020-07-19,陆港通每周观察：北向资金大幅流出，腾讯等蓝筹股受追捧,富途证券
1047,2020-07-19,"外资扫货股名单来了!""北水""9亿加仓 8000亿巨头遭抛售",网易
1048,2020-07-19,外资扫货股名单来了！科技一哥突发利好，北上资金9亿猛烈加仓,证券时报网
1049,2020-07-19,电气设备行业周报：电动车热管理赛道清晰 光伏组件报价止跌回升,新浪
1050,2020-07-17,2020年中国泛在电力物联网行业竞争格局分析 国电南瑞各领域竞争优势明显为行业龙头,前瞻研究院
1051,2020-07-17,融资客看好5股买入占成交超三成,证券时报网
1052,2020-07-15,特斯拉利好来了，这项数据创新高！A股小伙伴狂欢，11只概念股业绩翻倍（名单）,证券时报网
1053,2020-07-15,华创事件驱动早报7-15：腾讯正式推出微信小商店；火星探测任务即将启动,华创证券研究
1054,2020-07-14,明日A股机会早知道,第一财经
1055,2020-07-14,多家电力设备企业预喜 国网投资或提供更多机遇,e公司
1056,2020-07-14,项目多订单足！今天顽强翻红的这一板块还有更多盼头,中国证券网
1057,2020-07-14,融资客看好12股买入占成交超三成,证券时报网
1058,2020-07-13,电力设备与新能源行业周观点：新能源汽车持续回暖 光伏电池价格反弹,新浪
1059,2020-07-13,中信建投智信物联网灵活配置混合C基金最新净值跌幅达3.02％,金融界
1060,2020-07-12,【国金电新周观点】光伏维持看双击，动力电池龙头逻辑持续加强，工控做多热情持续,新兴产业观察者
1061,2020-07-12,电气设备行业周报：6月国内新能源车销量环比加速 关注风电中报行情,新浪
1062,2020-07-11,新能源车观察系列78：金色九月，中国电动车水马龙【安信电新】,电新邓永康团队
1063,2020-07-10,全世界各行各业联合起来，internet一定要实现！,硅谷动力
1064,2020-07-10,云涌科技：笑傲“工业”江湖的网安卫士,上证报
1065,2020-07-08,万亿白马4天3涨停！机构扎堆推荐的滞涨白马股来了 最大上涨空间近60%,证券时报
1066,2020-07-08,炸裂，万亿白马4天3涨停！机构扎堆推荐的滞涨白马股来了，仅33只，最大上涨空间近60%,证券时报
1067,2020-07-07,【东吴电新】国电南瑞三季报点评：主业增长提速，信通持续高景气,新兴产业汇
1068,2020-07-07,国盛电新王磊：新能源车、光伏成长加速，迎接长周期景气拐点,新浪
1069,2020-07-06,电力设备及新能源行业周报：电网统采密集公示 光伏料迎盈利修复,新浪
1070,2020-07-05,【国金电新周观点】光伏优质龙头仍有上行空间，关注充电运营龙头,新兴产业观察者
1071,2020-07-05,物联网行业周报：华为加快TOF战略布局,新浪
1072,2020-07-05,电气设备行业周报：多晶硅料价格开始反弹 欧洲6月新能源车销量恢复高增,新浪
1073,2020-07-05,马斯克称中国充电桩表现出色 机构建议重点关注相关产业链,科创板日报
1074,2020-07-04,【安信中小盘】07.06-07.10新股申购一览,AX中小盘研究
1075,2020-07-03,新能源汽车是可以贯穿全年的投资机会 龙头公司值得坚守,证券时报网
1076,2020-07-03,【银河电新】中期策略：乘风破浪，守正出奇,中国银河证券研究
1077,2020-07-03,【行业动态】电新 2020.6丨光伏竞价项目超预期，新版双积分构筑长效机制,中国银河证券研究
1078,2020-07-02,带电作业机器人迎批量需求，公司打开全新成长空间-亿嘉和（603666）点评报告,机械盛宴
1079,2020-07-02,国电南瑞(600406.SH)年报推10派2.9元股权登记日7月8日,格隆汇
1080,2020-07-02,电力设备与新能源行业周观点：新能源汽车市场回暖 光伏竞价规模超预期,新浪
1081,2020-07-02,电力设备及新能源行业6月行业洞察报告：光伏竞价项目超预期 新版双积分构筑长效机制,新浪
1082,2020-07-02,江苏百强创新型企业榜单发布国电南瑞、天合光能、恒瑞医药位列前三,格隆汇
1083,2020-07-02,江苏发布2019百强创新型企业榜单,科技日报
1084,2020-07-01,【东吴电新】周策略：6月电动车销量超预期，多晶硅价格开涨,新兴产业汇
1085,2020-07-01,【每日晨报】0701丨经济稳步修复，需求可持续性待观察,中国银河证券研究
1086,2020-07-01,【北向资金持仓月报】234股增仓超50%,证券时报网
1087,2020-07-01,特斯拉股价创新高 10年暴涨60倍！概念股名单来了,证券时报
1088,2020-07-01,美股尾盘拉升！特斯拉大涨，股价创历史新高，10年暴涨60倍！A股概念龙头股名单来了，北上资金最青睐股重仓163亿,证券时报
1089,2020-06-30,【安信中小盘】云涌科技-次新股资讯0630,AX中小盘研究
1090,2020-06-30,新股排查丨云涌科技收入来源集中电力行业，应收账款逾期且比例较高 资产异常,21世纪经济报道
1091,2020-06-29,电气设备新能源行业周报：光伏竞价项目超预期 特斯拉Q2销量超预期,新浪
1092,2020-06-29,【华创电新|周观点】光伏竞价指标下发，“双积分”政策落地,华创电新研究
1093,2020-06-29,电力设备&工控行业2020中期策略：紧跟电网新基建增量 布局工控复苏渗透,广发证券
1094,2020-06-28,【国金电新周观点】光伏3个积极边际变化继续推升板块，工业互联网落地提速,新兴产业观察者
1095,2020-06-28,电气设备行业周报：光伏淡季不淡得印证,新浪
1096,2020-06-28,电气设备行业周报：光伏产业链价格映射需求景气 新能源车双积分修正案公布,新浪
1097,2020-06-28,15只新股来袭！首批精选层7只个股进入打新日程,上证报
1098,2020-06-28,15只新股节后来袭：首批精选层7只个股正式进入打新日程,上证报
1099,2020-06-27,【安信中小盘】06.29-07.03新股申购一览,AX中小盘研究
1100,2020-06-24,云涌科技(688060)：科创板询价策略,新浪
1101,2020-06-24,北向资金单日净流入7.53亿 加仓这些板块,证券时报
1102,2020-06-23,云涌科技将于近日登陆A股市场 科创板将迎工业信息安全第一股,中证网
1103,2020-06-23,中信建投智信物联网灵活配置混合C基金最新净值涨幅达2.05％,金融界
1104,2020-06-23,北向资金追踪：333股持续获增持 68亿资金抢筹三行业,中证报
1105,2020-06-22,电力设备及新能源行业周报：电网投资修复超预期 加氢站标准征求意见,新浪
1106,2020-06-22,电气设备行业周报：光伏竞价指标超预期 新能源车销售持续向好,新浪
1107,2020-06-21,【国金电新周观点】梅耶博格转型组件制造，国网数字新基建提速，电车销售望加速回暖,新兴产业观察者
1108,2020-06-19,国电南瑞：会计估计变更 预计减少2020年净利1986.58万 盈利能力下降,新浪
1109,2020-06-19,国电南瑞(600406.SH)：继保工程拟以其未分配利润转增注册资本7亿元,格隆汇
1110,2020-06-19,国电南瑞(600406.SH)：拟与鲁能新能源集团共设汕头南瑞鲁能控制系统有限公司,格隆汇
1111,2020-06-19,云涌科技：业绩持续增长，坐拥众多优质合作伙伴与客户,红周刊
1112,2020-06-19,特斯拉：携手松下再续电池供货合约，36只相关受益个股一览,腾讯网
1113,2020-06-18,运达科技收购关联资产的盘算,和讯
1114,2020-06-18,充电桩发展迎来“井喷期” 五股迎腾飞契机,证券时报
1115,2020-06-17,A股共发生180宗大宗交易成交39.15亿元（6月17日）,Wind
1116,2020-06-17,国电南瑞今日大宗交易成交49.77万股，成交价20.02元溢价0.1%,Wind
1117,2020-06-17,中信建投智信物联网灵活配置混合C基金最新净值涨幅达2.23％,金融界
