,2021-12-30,研发 | KRAS G12C抑制剂研发激烈，安进已拔得头筹，诺华、贝达药业、再鼎医药等陆续跟进,CPhI制药在线
280,2021-07-25,两款创新药上市申请拟纳入优先审评 来自贝达药业、信达生物,药明康德
281,2021-07-23,贝达药业：半年度报告计划于8月10日披露,每日经济新闻
282,2021-07-23,KRAS行业深度报告(上)：云深方知归处,新浪
283,2021-07-21,贝达药业：肺癌王者走向悲情,凤凰网
284,2021-07-21,药王之王：一款EGFR-TKI撑起2家上市公司，最高市值600亿,读懂财经
285,2021-07-20,贝达药业与思派健康科技达成战略合作,证券时报网
286,2021-07-20,九洲药业(603456)：业绩符合我们预期 CDMO有望维持全年高增长,新浪
287,2021-07-20,九洲药业(603456)：CDMO高速发展 API稳步攀升 业绩持续高增长,新浪
288,2021-07-19,医药生物行业周报：海外疫情反复 行业超跌后迎来反弹,新浪
289,2021-07-19,贝达药业：埃克替尼前期已开展了联合化疗用于敏感性EGFR突变晚期肺腺癌患者一线治疗的临床研究,每日经济新闻
290,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
291,2021-07-17,重磅！贝达药业埃克替尼EVIDENCE研究成果在《柳叶刀·呼吸医学》发表,贝达药业
292,2021-07-17,医药与健康护理行业周报：中报预告相继披露 关注业绩高增长公司,新浪
293,2021-07-16,深陷亏损泥潭 专利纠纷缠身！益方生物科创板IPO能否顺遂？ 亏损,投资时报
294,2021-07-15,贝达药业PD-1+CTLA-4联合治疗实体瘤临床试验获批,医药魔方Info
295,2021-07-15,贝达药业：目前，公司也在积极推进向美国食品药品监督管理局递交恩沙替尼一线适应症的上市申请准备工作。CM082肾癌适应症的新药注册申报准备工作正在有序推进中,每日经济新闻
296,2021-07-15,贝达药业(300558.SZ)：PD-1抗体和CTLA-4抗体联用治疗晚期实体瘤获批临床试验,格隆汇
297,2021-07-15,贝达药业：两项药品临床试验已获批开展,e公司
298,2021-07-15,贝达药业(300558.SZ)：两项联用治疗晚期实体瘤药品获临床试验批准通知书,智通财经
299,2021-07-15,贝达药业：公司两项药品获临床试验批准,财联社
300,2021-07-15,贝达药业：目前公司未持有北京加科思新药研发有限公司股份,Wind
301,2021-07-15,贝达药业：公司目前持有北京华昊中天生物医药股份有限公司3.17658%的股权,Wind
302,2021-07-15,贝达药业CTLA-4单抗用于晚期实体瘤获批临床,新浪
303,2021-07-14,医药生物行业周报：医药板块估值已具备吸引力 建议长期配置优质赛道,新浪
304,2021-07-13,贝达药业ALK抑制剂恩沙替尼新适应症上市申请获受理,医药魔方Info
305,2021-07-13,贝达药业(300558.SZ)：盐酸恩沙替尼一线治疗适应症药品注册申请获受理,智通财经
306,2021-07-13,2021年医药生物中期策略报告：需求长期景气 布局创新、医疗服务和消费主线,新浪
307,2021-07-10,同质化创新受打击，药明康德震荡，贝达药业跌跌不休「基因测序周评榜」,华夏时报
308,2021-07-10,深剖IPO | 11亿研发费用81%是股权激励，益方生物的“虚胖”研发,环球老虎财经
309,2021-07-09,贝达药业：股东所持229万股解除质押占公司总股本0.55%,发布易
310,2021-07-09,贝达药业：凯铭投资累计质押股数为2491万股,每日经济新闻
311,2021-07-09,贝达药业(300558.SZ)股东凯铭投资解质229万股,智通财经
312,2021-07-08,中银旗下部分基金率先发布二季报,Wind
313,2021-07-07,中国创新药往事,医学界智库
314,2021-07-07,科创板IPO终止 天广实转投港股尚未盈利 IPO融资异常,e公司
315,2021-07-07,中国创新药往事,药智网
316,2021-07-07,中国创新药往事,药渡
317,2021-07-06,医药行业：创新药和CXO行业加速结构化进程,西南证券
318,2021-07-06,医药生物行业双周报,新浪
319,2021-07-06,贝达药业(300558.SZ)股东贝成投资累计减持157.56万股 减持股份,智通财经
320,2021-07-06,贝达药业：股东股份减持的进展公告 减持股份,中新经纬
321,2021-07-06,贝达药业(300558.SZ)：贝成投资减持期届满 累计减持0.38%股份 减持股份,格隆汇
322,2021-07-06,贝达药业：股东贝成投资减持约158万股，减持计划已届满 拟减持股份,每日经济新闻
323,2021-07-06,贝达药业：贝成投资减持0.38%公司股份 减持股份,Wind
324,2021-07-05,医药生物行业周报：中报预增期来临 关注医药绩优股表现,光大证券
325,2021-07-05,益方生物答科创板首轮27问：专利纠纷和商业秘密纠纷、红筹架构等被关注,资本邦
326,2021-07-05,医药生物行业周报：全方位盘点上半年医药行业、细分领域、个股风云变幻,新浪
327,2021-07-02,贝达药业：BPI-3016是贝达自主研发的天然胰高血糖素样肽-1（GLP-1）类似物，拟用于糖尿病的治疗，目前该项目针对糖尿病适应症的I期临床研究正在进行中,每日经济新闻
328,2021-07-02,贝达药业：公司产品埃克替尼、恩沙替尼均属于尚在专利保护期内的1类新药,Wind
329,2021-07-01,医药与健康护理行业月报：国内疫苗接种量高速增长 关注新冠疫苗出海机会,新浪
330,2021-07-01,医药生物行业月报：关注中报预期的投资机会,新浪
331,2021-06-29,贝达药业(300558.SZ)股东凯铭投资质押500万股,智通财经
332,2021-06-29,贝达药业：凯铭投资累计质押2720万股，贝成投资累计质押150万股,每日经济新闻
333,2021-06-29,贝达药业：药品临床试验申请获国家药监局受理,中证网
334,2021-06-29,贝达药业(300558.SZ)：BPI-23314药品临床试验申请获得受理,智通财经
335,2021-06-29,贝达药业：治疗恶性血液系统肿瘤药品临床试验获NMPA受理,Wind
336,2021-06-24,贝达药业：目前王家炳博士处于正常工作状态,Wind
337,2021-06-23,医药股在香港集体爆发 行业多重利好催化审评审批效率提速,新浪
338,2021-06-23,中泰证券：药品审评审批“速”“质”提升，全面利好医药行业发展,证券时报网
339,2021-06-22,《2020年度药品审评报告》解读：药品审评审批“速”“质”提升 全面利好医药行业发展,新浪
340,2021-06-22,医药生物行业双周报,新浪
341,2021-06-22,医药行业2021年半年报业绩前瞻：CXO、生物制品、创新器械、医疗服务有望持续高增长,西南证券
342,2021-06-21,A股共发生153宗大宗交易成交32.26亿元（6月21日）,Wind
343,2021-06-21,贝达药业今日大宗交易成交10.12万股，成交价102.99元溢价0.0%,Wind
344,2021-06-21,"贝达药业现1笔大宗交易 共成交1,042.09万元",新浪
345,2021-06-21,医药生物行业周报：医疗服务会是下半年医药最强音么？强调重视康复医疗赛道,新浪
346,2021-06-20,【2864】周彩存教授：埃克替尼成为全球首个获批辅助治疗适应证的第一代EGFR TKI，EVIDENCE提供高级别循证医学证据,肿瘤资讯
347,2021-06-18,医药生物行业2021年下半年投资策略：短期有扰动 长期发展趋势向好,新浪
348,2021-06-18,贝达药业(300558.SZ)股东YINXIANG WANG等减持期满 合计减持94.32万股 减持股份,智通财经
349,2021-06-18,贝达药业(300558.SZ)：2名股东已合计减持94.32万股 减持股份,格隆汇
350,2021-06-18,贝达药业：股东YINXIANG WANG、FENLAI TAN共减持公司股份约94万股 减持股份,每日经济新闻
351,2021-06-18,贝达药业：BPI-16350胶囊获得药品联用临床试验批准,中证网
352,2021-06-17,贝达药业BPI-16350药品联用获批开展临床试验,贝达药业
353,2021-06-17,贝达药业CDK4/6抑制剂获批临床,新浪
354,2021-06-17,A股早报2021年6月17日星期四,Wind
355,2021-06-16,贝达药业(300558.SZ)：1013.8621万股限售股将解禁 解禁,格隆汇
356,2021-06-16,医药生物行业跨市场周报：2021年医保目录调整方案征求意见 多个国产创新药有望进入谈判,光大证券
357,2021-06-15,【国金医药】创新药周报20210615,医药研选
358,2021-06-15,贝达药业：1013.86万股6月17日上市流通，占公司总股本的2.44%,Wind
359,2021-06-15,贝达药业(300558.SZ)：1013.86万限售股将于6月17日上市流通 解禁,智通财经
360,2021-06-15,贝达药业：约1013.86万股限售股6月17日解禁，占比2.44% 解禁,每日经济新闻
361,2021-06-15,中泰金工定向增发跟踪周报（6/14）,ZTQuant
362,2021-06-15,太平洋--医药行业周报：重点推荐丽珠集团和我武生物【行业研究】,金融界股吧
363,2021-06-15,医药行业2021年6月投资月报：6月仍然是较好的窗口期 两条思路配置医药,西南证券
364,2021-06-13,医药与健康护理行业周报：鼻喷雾式/吸入型新冠疫苗正在申请紧急使用,新浪
365,2021-06-12,贝达药业PD-1制剂获批临床；复星医药新药获批临试；绿叶制药新药上市申请获受理,GBIHealth
366,2021-06-11,贝达药业大跌5.04%，近5日共流出7185.09万元 连续下跌,中新经纬
367,2021-06-11,港股打新 | 奈雪的茶，预计一手中签率低于5%，6只新股排队上市,智通财经
368,2021-06-11,贝达药业：肺癌王者踏向悲情,老虎证券
369,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
370,2021-06-10,贝达药业：巴替利单抗注射液治疗宫颈癌获批临床试验,财联社
371,2021-06-10,贝达药业 PD-1 巴替利单抗获批临床,Insight数据库
372,2021-06-10,贝达药业：埃克替尼一线治疗EGFR突变的晚期NSCLC患者的适应症在2014年已经获批,每日经济新闻
373,2021-06-10,贝达药业：目前，免疫学高级总监徐汶新博士负责大分子项目的开发工作,每日经济新闻
374,2021-06-08,今年药企研发投入将超696亿元！,制药网
375,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
376,2021-06-07,医药生物行业周报：如何从大品种价值理解前沿生物？,新浪
377,2021-06-07,医药与健康护理行业周报：广东地区疫情反复 核酸检测需求大增,新浪
378,2021-06-06,创新药周报：EGFR进入术后辅助时代,新浪
379,2021-06-05,医药生物行业周报：三胎政策利好多个细分板块 市场空间有待挖掘,新浪
380,2021-06-04,贝达药业：埃克替尼术后辅助治疗适应症获得药品注册证书 将对公司营收带来积极影响,发布易
381,2021-06-04,贝达药业：盐酸埃克替尼片获得药品注册证书,中证网
382,2021-06-04,贝达药业：盐酸埃克替尼片（商品名：凯美纳?）术后辅助治疗适应症获药品注册证,新浪
383,2021-06-04,重磅！贝达药业埃克替尼术后辅助治疗获批上市,贝达药业
384,2021-06-04,午间公告2021年6月4日星期五,Wind
385,2021-06-04,贝达药业(300558.SZ)：埃克替尼术后辅助治疗适应症获批,格隆汇
386,2021-06-04,2021年医药生物行业半年度策略报告：乘风破浪会有时 辅助生殖新机遇,新浪
387,2021-06-01,资本邦境外IPO周报|京东系上市公司再添一家，爱回收冲击“中概股ESG第一股”,资本邦
388,2021-06-01,医药与健康护理行业月报：国内疫情防控新阶段 跟进检测需求和疫苗接种情况,新浪
389,2021-05-31,贝达药业通过港交所聆讯，恩沙替尼有望成公司首个出海品种！,Ofweek
390,2021-05-31,贝达药业(300558.SZ)：刊发H股发行聆讯后资料集,格隆汇
391,2021-05-31,医药周报：骨修复材料市场增速近20% 人工材料为骨移植的新选择,新浪
392,2021-05-31,A股异动|贝达药业(300558.SZ)涨4.44%通过港交所上市聆讯,格隆汇
393,2021-05-31,快讯 | 贝达药业通过港交所上市聆讯，目前已有两款靶向创新药上市,财经网
394,2021-05-31,贝达药业通过港交所聆讯，国内肺癌靶向药市场排名第一,金融界
395,2021-05-31,港股IPO|贝达药业通过聆讯，收入主要来源抗癌药的销售,资本邦
396,2021-05-31,贝达药业：恩沙替尼一线治疗ALK突变NSCLC的国际多中心三期临床研究目前正常推进中,每日经济新闻
397,2021-05-31,【新股IPO】贝达药业已通过港交所上市聆讯,凤凰网
398,2021-05-31,港交所文件：制药企业贝达药业股份有限公司通过港交所上市聆讯,Wind
399,2021-05-31,【IPO追踪】贝达药业通过上市聆讯传集资达78亿元,财华社
400,2021-05-30,晚间重要公告2021年5月30日星期日,Wind
401,2021-05-30,新股消息丨贝达药业通过港交所聆讯 收入依赖靶向抗癌创新药埃克替尼,智通财经
402,2021-05-30,贝达药业(300558.SZ)：香港联交所审议公司发行境外上市外资股申请,智通财经
403,2021-05-30,贝达药业(300558.SZ)：港交所5月27日举行聆讯审议公司发行H股申请,格隆汇
404,2021-05-30,贝达药业：公司H股上市尚需取得香港联交所最终批准,Wind
405,2021-05-30,医药与健康护理行业周报：国内疫情防控新阶段 关注疫苗接种情况,新浪
406,2021-05-28,益方生物忙着上市似乎有点早：无产品、无盈利 研发成果尚存不确定性、募投项目用地也未落实,新浪
407,2021-05-28,聚焦IPO | 无产品、无盈利，研发成果尚存不确定性，募投项目用地也未落实，益方生物忙着上市似乎有点早！,红周刊
408,2021-05-28,肺癌靶向药物的“速度与激情”,药智网
409,2021-05-28,贝达药业埃克替尼新适应症申请进入「在审批」,药明康德
410,2021-05-28,贝达药业股份有限公司获批8亿美元在香港上市,Wind
411,2021-05-27,新药 | 劲方药业KRAS G12C抑制剂GFH925申报临床，安进、诺华、贝达药业等多家企业布局,CPhI制药在线
412,2021-05-26,汇宇制药科创板首发今上会：单一产品集中度超90%,Ofweek
413,2021-05-25,汇宇制药IPO：销售费用率远高同行 销售人员却在锐减,财联社
414,2021-05-25,医药生物行业双周报,新浪
415,2021-05-24,益方生物携10亿融资闯关科创板 三年零营收背后面临哪些障碍？,21世纪经济报道
416,2021-05-22,肺癌靶向药物的“速度与激情”,健识局
417,2021-05-22,医药与健康护理行业周报：新股上市浪潮 关注板块价值机会,新浪
418,2021-05-21,5月21日晚间重要行业研究汇总(附股),中金在线
419,2021-05-21,医药生物行业2020年及2021年一季度业绩综述：2020年营收增速有所下降 2021Q1业绩大幅回升,新浪
420,2021-05-21,贝达药业晚期宫颈癌药物获批临床,新浪
421,2021-05-20,贝达药业CTLA-4抗体联合PD-1抗体治疗晚期宫颈癌药品临床试验申请获受理,贝达药业
422,2021-05-20,21健谈｜“二次创业”的王印祥：挑战难成药靶点 带原创新药“出海”,21世纪经济报道
423,2021-05-20,晚间公告｜5月20日这些公告有看头,第一财经
424,2021-05-20,贝达药业(300558.SZ)：CTLA-4抗体联合PD-1抗体治疗晚期宫颈癌的药品临床试验申请已获得NMPA受理,格隆汇
425,2021-05-20,财联社5月20日讯，贝达药业公告，泽弗利单抗注射液联合巴替利单抗注射液治疗晚期宫颈癌的药品临床试验申请获得受理。,财联社
426,2021-05-20,风险众多，益方生物能够IPO成功？,Ofweek
427,2021-05-19,贝达药业(300558.SZ)：温州特瑞西创已通过大宗交易减持103.5万股 减持股份,格隆汇
428,2021-05-19,贝达药业：股东温州特瑞西创减持103.5万股 减持股份,Wind
429,2021-05-17,医药周报：业绩空窗期 建议重点关注高壁垒好赛道估值合理个股,新浪
430,2021-05-17,天风证券维持贝达药业增持评级：业绩增长符合预期，即将迎来研发收获期,每日经济新闻
431,2021-05-15,贝达药业(300558)年报点评报告：业绩增长符合预期 即将迎来研发收获期,新浪
432,2021-05-12,医药生物行业点评：完善国谈药品“双通道”管理 发挥定点零售药店优势,新浪
433,2021-05-11,贝达药业(300558.SZ)：凯铭投资解押82.5万股及质押的350万股延期购回,格隆汇
434,2021-05-11,贝达药业：股东凯铭投资解除质押82.5万股，延期购回350万股,每日经济新闻
435,2021-05-11,华鑫证券：医药生物板块建议关注基本面稳健、估值相对合理的优质标的,证券时报网
436,2021-05-11,医药生物行业双周报,新浪
437,2021-05-10,这些药企最具创新力：恒瑞、天士力、百济神州,赛柏蓝
438,2021-05-07,益方生物IPO尚无药品上市销售，管理层分摊巨额股份支付费至亏损突增？ 亏损,和讯
439,2021-05-07,机会来了！这些公司有望调入沪深300、上证50指数,Wind
440,2021-05-07,中金：医药、新能源多只股票或将纳入沪深300指数,Wind
441,2021-05-07,中金公司：医药、新能源行业多只股票或将纳入沪深300指数,Wind
442,2021-05-06,贝达药业(300558.SZ)首次公开发行境外上市外资股（H股） 获得中国证监会批复,智通财经
443,2021-05-06,医药行业2020年年报及2021年一季报总结：Q1业绩复苏回暖 看好CXO、疫苗、创新器械和服务等高景气板块,西南证券
444,2021-05-06,贝达药业大跌7.05%，成交额3.32亿元 连续下跌,中新经纬
445,2021-05-03,中国生物医药行业的研发竞争,同写意
446,2021-05-02,官方表扬，这些药企被点名（附名单）,赛柏蓝
447,2021-04-30,贝达药业(300558)：埃克替尼销售超预期 管线进展顺利,新浪
448,2021-04-29,国盛证券维持贝达药业买入评级：Q1在去年高基数的前提下，依然实现稳健增长，超出市场预期,每日经济新闻
449,2021-04-29,贝达药业：第一季度盈利1.48亿人民币，同比增长13.24%,Wind
450,2021-04-29,【华西医药崔文亮团队】?《贝达药业点评报告：产品线快速丰富，抗肿瘤领域全面拓展》,崔文亮研究团队
451,2021-04-29,贝达药业涨2.06%报109.84元 创近1个多月新高,中新经纬
452,2021-04-29,九洲药业(603456)2020年年报及2021年一季报点评：业绩略超我们预期 CDMO业务驱动公司业绩高增长,新浪
453,2021-04-29,贝达药业(300558)：业绩符合预期 恩沙替尼开始放量,新浪
454,2021-04-29,每日“药”闻| 百济神州泽布替尼疗效超伊布替尼；微创医疗去年营收同比下滑18%,读懂财经
455,2021-04-29,达伯舒Q1业绩公布；华东医药10天内又一交易，动作频频；恒瑞1类新药上市申请获受理,GBIHealth
456,2021-04-28,贝达药业(300558.SZ)一季度净利升13.24%至1.48亿元,格隆汇
457,2021-04-28,贝达药业：一季度净利润同比增长13.24%,Wind
458,2021-04-28,贝达药业PD-1抗体和CTLA-4抗体联用药品临床试验申请获受理,贝达药业
459,2021-04-28,贝达药业大涨7.09%，成交额超4亿元,中新经纬
460,2021-04-28,北大毕业美女基金经理10天亏10亿被“群嘲”，精准调仓后大逆袭,新浪
461,2021-04-28,美女基金经理扭亏“梦圆”：曾10天亏22%被“群嘲”,证券之星
462,2021-04-28,美女基金经理大逆袭！上任10天巨亏20%被“群嘲”，如今成功反击,Wind
463,2021-04-27,贝达药业(300558.SZ)：巴替利单抗注射液(PD-1抗体)和泽弗利单抗注射液(CTLA-4抗体)联用临床试验申请获受理,智通财经
464,2021-04-27,医药生物板块涨0.46% 未名医药和双鹭药业涨停,证券日报网
465,2021-04-26,2021Q1医药板块基金持仓报告：医药板块持仓环比提升,新浪
466,2021-04-25,关于核准贝达药业股份有限公司发行境外上市外资股的批复,证监会
467,2021-04-24,上市药企2020年报解码：谁大把花钱做销售推广？谁重金搞研发？,经济观察网
468,2021-04-24,上市药企2020年报解码，医疗器械公司净利增幅大,Wind
469,2021-04-21,贝达药业：MIL60相关适用的BLA申请正在审评当中,Wind
470,2021-04-16,持续亏损、依靠外部融资 益方生物商业化困局待解 亏损,同壁财经
471,2021-04-16,持续亏损、依靠外部融资商业化困局下IPO能否解益方生物“燃眉之急” 亏损,资本邦
472,2021-04-13,掘金医药股：这两家药企或是A股未来可期的公司,制药网
473,2021-04-12,医药与健康护理行业周报：年报一季报相继披露 看好业绩确定性高的医药白马,新浪
474,2021-04-10,贝达药业(300558.SZ)：贝成投资已通过集中竞价减持157.5564万股 减持股份,格隆汇
475,2021-04-09,贝达药业：股东贝成投资减持约157.56万股 减持股份,每日经济新闻
476,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
477,2021-04-08,贝达药业BPI-421286胶囊临床获批，“入坑”KRASG12C抑制剂领域,云掌财经
478,2021-04-08,贝达药业KRASG12C抑制剂BPI-421286获批临床,生物探索
479,2021-04-08,首批基金一季报来了！这些基金减仓,Wind
480,2021-04-07,中国生物医药行业的研发竞争,贝壳社
481,2021-04-07,贝达药业(300558.SZ)：“BPI-421286胶囊”获临床试验批准,智通财经
482,2021-04-07,贝达药业1类抗癌新药BPI-421286获批临床,新浪
483,2021-04-07,贝达药业BPI-421286获得临床试验批准通知书,上证报
484,2021-04-07,贝达药业：药品临床试验申请获批,中证网
485,2021-04-07,贝达药业(300558.SZ)：1类抗癌新药BPI-421286获批临床,格隆汇
486,2021-04-07,午间公告2021年4月7日星期三,Wind
487,2021-04-07,贝达药业拟H股上市 新药能否接棒化解大单品增长隐忧？,新浪
488,2021-04-07,【贝达药业*朱国广】深度：以运营战略巩固城池，用创新实力开疆拓土,东吴研究所
489,2021-04-07,【东吴晨报0407】【策略】【宏观】【行业】机械、电子【个股】通威股份、爱婴室、华菱钢铁、贝达药业,东吴研究所
490,2021-04-06,医药生物行业：为什么说智飞生物二季度有望迎来亮眼表现？,新浪
491,2021-04-06,医药行业2021年4月投资月报：把握一季报最佳反弹窗口期 加配低估值且高增长标的,西南证券
492,2021-04-06,医药行业周报：当前是反弹最佳窗口期 加配低估值高增长标的,西南证券
493,2021-04-06,Wind医药：每日行业动态（2021-04-06）,Wind
494,2021-04-06,贝达药业BPI-16350药品联用临床试验申请获受理,上证报
495,2021-04-06,贝达药业(300558.SZ)：BPI-16350药品联用临床试验申请获得受理,格隆汇
496,2021-04-05,一文看懂为何近期医疗服务、医美标的股价反弹涨幅较大,21世纪经济报道
497,2021-04-03,基因测序双周榜：药明康德触底反弹“王者归来”？国际医学迎明星基金经理调研,华夏时报
498,2021-04-03,贝达药业：业绩符合预期 多个产品上市在即,财富动力网
499,2021-04-02,医药行业周报：一季报行情开启 建议关注高增长的医药板块,新浪
500,2021-04-02,医药与健康护理行业月报：年报相继披露 关注高增长公司及A+H股医药投资机会,新浪
501,2021-04-01,人民金融·创新药指数涨0.92% | 基石药业再传喜讯，近10家创新药企业将迎里程碑事件,证券时报网
502,2021-04-01,重磅 | 粤开策略4月十大金股及市场展望,粤开崇利论市
503,2021-04-01,市场震荡加剧券商挖掘金股忙,Wind
504,2021-03-31,2021年4月十大金股及市场展望,新浪
505,2021-03-30,凯美纳销售继续放量——贝达药业调研纪要20210330,微信
506,2021-03-30,贝达药业：埃克替尼术后辅助治疗适应症上市申请有望上半年获批,Wind
507,2021-03-30,贝达药业：埃克替尼术后辅助治疗适应症上市申请有望上半年获批,e公司
508,2021-03-30,东方财富证券--贝达药业2020年报点评：凯美纳累计销售超90亿，创新产品接踵而至【公司研究】,金融界股吧
509,2021-03-30,去年一季报营收为0未盈利药企天广实主动撤回科创板IPO IPO融资异常,科创板日报
510,2021-03-30,复宏汉霖11亿元与润新生物达成独家许可交易；先声药业引进PI3K/mTOR抑制剂；来凯医药启动卵巢癌1类新药全球注册临床研究,GBIHealth
511,2021-03-29,中国银河给予贝达药业推荐评级，埃克替尼继续快速放量，恩沙替尼获批打破单药困局,每日经济新闻
512,2021-03-29,医药行业周报：本周医药涨幅居前 建议关注核心资产触底反弹,新浪
513,2021-03-29,华鑫证券维持贝达药业推荐评级：业绩符合预期，多个产品进入收获期,每日经济新闻
514,2021-03-29,西部证券维持贝达药业买入评级：埃克替尼持续放量，研发管线迎来收获期,每日经济新闻
515,2021-03-29,贝达药业盈利狂飙背后：研发投入占比惊人维持在40%左右,云掌财经
516,2021-03-29,卡瑞利珠单抗2项新适应证报上市；艾力斯艾弗沙患者援助项目启动；贝达药业、赛生药业、先声药业2020年业绩报告,GBIHealth
517,2021-03-29,华西证券维持贝达药业买入评级：业绩符合预期，后期管线快速推进,每日经济新闻
518,2021-03-28,【华西医药崔文亮团队】?《贝达药业点评报告：业绩符合预期，后期管线快速推进》,崔文亮研究团队
519,2021-03-26,西南证券维持贝达药业持有评级：业绩维持高速增长，公司逐渐进入收获期,每日经济新闻
520,2021-03-26,贝达药业(300558)：2020完美收官 2021值得期待 从1到多新征程开启,新浪
521,2021-03-26,国盛证券维持贝达药业买入评级：2020完美收官，2021值得期待，从1到多新征程开启,每日经济新闻
522,2021-03-26,每日“药”闻|蓝帆医疗商誉减值17.6亿；多家药企公布业绩，先声药业利润下滑34%,云掌财经
523,2021-03-26,国金证券--贝达药业:埃克替尼放量，恩沙替尼接棒，多药上市中【公司研究】,金融界股吧
524,2021-03-26,上市公司正负面新闻2021年3月26日星期五,Wind
525,2021-03-26,贝达药业：2020年盈利6.06亿人民币，同比增长162.79%,Wind
526,2021-03-25,贝达药业2020年度净利同比增163% 拟10派3.1元,上证报
527,2021-03-25,贝达药业(300558.SZ)拟使用不超15亿元闲置自有资金购买理财产品,智通财经
528,2021-03-25,贝达药业(300558.SZ)及子公司拟申请不超20亿元融资额度,格隆汇
529,2021-03-25,交卷！贝达药业：2020年度净利润约6.06亿元，同比增加162.70%,每日经济新闻
530,2021-03-25,贝达药业：2020年净利同比增162.7% 拟10派3.1元,e公司
531,2021-03-25,贝达药业(300558.SZ)：2020年净利升162.7%至6.06亿元拟10派3.1元,格隆汇
532,2021-03-25,贝达药业：2020年净利同比增长162.70%拟10派3.1元,格隆汇
533,2021-03-25,贝达药业：2020年净利润同比增长162.7%,Wind
534,2021-03-24,浙江省委统战部副部长、省工商联党组书记陈浩一行调研贝达梦工场,贝达药业
535,2021-03-24,贝达药业：巴替利单抗注射液药品临床试验申请获受理,e公司
536,2021-03-24,贝达药业花费千万美元引进的PD-1单抗申报临床丨医麦猛爆料,医麦客News
537,2021-03-23,医药行业周报：医药板块“渐入佳境” 估值和基本面均逐步具备吸引力,新浪
538,2021-03-23,医药与健康护理行业周报：估值风险有效控制 关注业绩高增长公司,新浪
539,2021-03-23,医药行业：创新药周报,新浪
540,2021-03-22,万字长文解析红杉中国15年医疗投资！平均每月1起IPO背后，红杉做对了什么？,E药经理人
541,2021-03-22,贝达药业(300558.SZ)股东贝成投资质押150万股,智通财经
542,2021-03-21,医药生物行业周报：基因细胞治疗CDMO黄金赛道有望孕育下一个药明生物,新浪
543,2021-03-19,贝达药业：多款创新产品即将上市,大众证券报
544,2021-03-19,浙江医药(600216)：新码生物获4.15亿A轮融资 ADC临床研发进程加速,新浪
545,2021-03-18,医药界的“小恒瑞”！创新药隐形冠军，毛利率比茅台、恒瑞还高,云掌财经
546,2021-03-18,创纪录！人民金融·创新药指数涨2.88%！16个品种获批临床，贝达药业进军双抗，多款创新药取得重大进展,证券时报网
547,2021-03-18,创新药板块热度不减，双鹭、海思科、丽珠、人福、贝达、康龙化成均大涨,Wind
548,2021-03-18,国金证券上调贝达药业评级至买入：多款产品即将上市，自主研发逐步验证，目标价145元,每日经济新闻
549,2021-03-17,贝达药业MCLA-129获批开展临床试验,微信
550,2021-03-17,贝达药业引进的EGFR/c-Met双特异性抗体获得临床默示许可 | 医麦猛爆料,微信
551,2021-03-17,贝达药业：MCLA-129注射液获得临床试验批准通知书,发布易
552,2021-03-17,贝达药业(300558.SZ)：MCLA-129注射液用于治疗晚期实体瘤获批临试,格隆汇
553,2021-03-17,贝达药业：药品临床试验申请获批准,中证网
554,2021-03-17,贝达药业治疗晚期实体瘤注射液获批临床试验,上证报
555,2021-03-17,午间公告2021年3月17日星期三,Wind
556,2021-03-16,抗肿瘤新药行业专题系列1：实体瘤靶点篇：百舟竞流 何以争锋,渤海证券
557,2021-03-15,医药行业：创新药周报,新浪
558,2021-03-15,贝达药业：拟发行H股并在香港联交所上市的申请已获得中国证监会受理,每日经济新闻
559,2021-03-15,国际权威肿瘤学家毛力出任丽珠生物CEO；朱凌宇博士出任首席商务官,医药魔方
560,2021-03-15,医药行业一周观察：板块战略配置价值显现 关注成长性与估值的匹配,新浪
561,2021-03-14,速读社丨贝达药业副总裁兼CMO辞职 礼来β淀粉样蛋白抗体二期临床结果发布 董监高成员变化,新浪医药
562,2021-03-14,贝达药业资深副总裁兼CMO辞职 董监高成员变化,新浪
563,2021-03-13,毛力辞去贝达药业资深副总裁兼首席医学官 董监高成员变化,汇聚南药
564,2021-03-12,贝达药业：关于董事兼高管辞职的公告 董监高成员变化,新浪
565,2021-03-12,贝达药业(300558.SZ)：董事、资深副总裁兼首席医学官LI MAO辞职,格隆汇
566,2021-03-12,LI MAO辞任贝达药业(300558.SZ)董事等职务 董监高成员变化,智通财经
567,2021-03-12,贝达药业：董事LI MAO（毛力）辞职,每日经济新闻
568,2021-03-12,贝达药业：LI MAO辞去董事等职务 董监高成员变化,Wind
569,2021-03-12,药企人的两会“朋友圈”： 创新热情正得到激发 关键点在基础研究,第一财经
570,2021-03-11,稀土重磅，巨头刚刚提价30%！抄底资金爆买145亿,Wind
571,2021-03-10,贝达药业：股东凯铭投资解除质押239万股,每日经济新闻
572,2021-03-10,贝达药业：股东凯铭投资质押延期购回511万股,Wind
573,2021-03-10,贝达药业(300558.SZ)：凯铭投资解押239万股及质押的511万股延期购回,格隆汇
574,2021-03-10,如何解决医药原始创新能力不足？强化基础研究成关键,第一财经
