,2021-12-31,2021年最后一天，碧桂园“归零”,华尔街见闻
2290,2021-08-11,消息称万科将收购恒大物业股权，双方表示目前无更多信息披露,澎湃新闻
2291,2021-08-11,房地产行业：预计二批次土地质量改善 估值修复加速,广发证券
2292,2021-08-11,地产论道系列之价值篇(十四)：逆转价值毁灭 重塑远期估值,新浪
2293,2021-08-11,万科集团回应收购恒大旗下资产：目前没有可披露信息,中华网
2294,2021-08-11,万科回应入股恒大物业：目前没有可披露信息,Wind
2295,2021-08-11,崩溃，绝望，割肉之后：房地产竟迎来了春天！？,格隆汇
2296,2021-08-11,万科回应入股恒大物业：目前没有可披露信息,金十数据
2297,2021-08-11,对8月11日房地产板块大涨的点评：“稳情绪 稳地价”利于房地产行业的有序竞争和升级迭代,光大证券
2298,2021-08-11,深港通十大成交活跃股排名（8月11日）,Wind
2299,2021-08-11,网传恒大拟将旗下物业板块售予万科牵头企业 公司：以公告为准,中证网
2300,2021-08-11,金融街下午茶2021年8月11日星期三,Wind
2301,2021-08-11,北上资金今日净买入三一重工6.31亿元、万科A 2.10亿元，净卖出贵州茅,新浪
2302,2021-08-11,北向资金今日净卖出超28亿元，白酒股持续惨遭抛售,Wind
2303,2021-08-11,房地产开发Ⅱ行业简评报告：土拍市场现积极信号 地产板块迎中期配置时点,新浪
2304,2021-08-11,高低位切换，顺周期风再起！资金抱团转向已定？,Wind
2305,2021-08-11,"万科Ａ现2笔大宗交易 共成交6,725.01万元",新浪
2306,2021-08-11,估值洼地中惊现反击：土拍政策生变后 地产股缘何放量大涨？,财联社
2307,2021-08-11,地产股再启动 ！龙头业绩亮丽，中小房企亏损频现，3方向看投资机遇,Wind
2308,2021-08-11,万科A今日大宗交易成交291万股，成交价23.11元溢价0.0%,Wind
2309,2021-08-11,发生了什么？A股“最惨板块”大爆发，背后真相曝光,Wind
2310,2021-08-11,A股收评：三大股指涨跌不一，储能概念股现涨停潮,证券之星
2311,2021-08-11,万科快回本了：A股最惨板块久违暴涨 2000亿龙头股冲击涨停！,雪球
2312,2021-08-11,万科印力产品线解析及60座已开业购物中心盘点,联商网
2313,2021-08-11,地产股狂欢日：地产板块大涨4%，万科保利冲击涨停,乐居财经
2314,2021-08-11,万科长沙总经理蔺晓瑞入职金地商置 任华南区副总兼深圳总经理,证券之星
2315,2021-08-11,A股收盘综述：储能概念股全线井喷,Wind
2316,2021-08-11,长江证券：如何看待地产股近期上涨及其持续性,证券网
2317,2021-08-11,传万科将接手恒大物业 恒大物业股价直线拉升,和讯
2318,2021-08-11,房地产行业周报2021第31周：重点房企7月销售放缓 龙头增持,新浪
2319,2021-08-11,“盐湖提锂”之王大跌，市值一日蒸发超百亿,证券时报
2320,2021-08-11,恒大继续变卖资产，造车生变？ 资产异常,钛媒体
2321,2021-08-11,分化格局！地产、煤炭助推沪指！,金融界
2322,2021-08-11,大牛股连续跌停，地产股大爆发，机构资金建仓股曝光,Wind
2323,2021-08-11,恒大系大消息，地产股嗨了！煤炭有色狂飚，多股涨停潮,Wind
2324,2021-08-11,房地产板块罕见大规模上涨 主力、机构青睐这些个股,第一财经
2325,2021-08-11,突发！恒大系大消息:暴涨300亿！地产股彻底嗨了:万科保利冲击涨停！煤炭有色狂飚，多股涨停潮！股民激动：终于涨了,中国基金报
2326,2021-08-11,万科联合体成为广州黄埔洋城村旧改唯一候选合作企业,观点地产网
2327,2021-08-11,解盘：超百亿资金流入，充电桩、光伏逆变器、储能、特高压领涨,Wind
2328,2021-08-11,A股午盘综述：储能概念股上演涨停潮,Wind
2329,2021-08-11,A股老兵的焦虑，万科的困局,品途商业评论
2330,2021-08-11,恒大欲将整个恒大物业售予万科牵头企业,金十数据
2331,2021-08-11,恒大或将出售恒大物业予万科牵头的财团 恒大物业飙升13% 资产异常,新浪
2332,2021-08-11,【行情】万科A现涨7.7%，港股万科企业现涨7.1%,金十数据
2333,2021-08-11,消息称，恒大可能会把物业管理业务的股权出售给万科牵头的财团,Wind
2334,2021-08-11,市场消息：恒大可能会把物业管理业务的股权出售给万科牵头的财团 资产异常,金十数据
2335,2021-08-11,Mysteel：20家头部房企前7月业绩累计销售额近4万亿元,我的钢铁
2336,2021-08-11,“强心”半年考 镇街开新局,南方日报
2337,2021-08-11,保利封板 万科大涨8% 地产股再度沸腾丨牛熊眼,第一财经
2338,2021-08-11,【行情】A股房地产板块持续拉升走强，保利地产、金科股份、金地集团、中交地产封涨停，万科A、新城控股大涨超9%，中南建设、阳光城、华侨城A、招商蛇口等涨逾7%,金十数据
2339,2021-08-11,地产板块强势拉升，万科A涨逾9%，保利地产5日大涨28%,证券时报网
2340,2021-08-11,地产股开盘再度走高，保利地产涨逾8%，万科A、金地集团、新城控股、华侨城A,新浪
2341,2021-08-11,【行情】地产股盘初上涨，保利地产冲击涨停，金地集团涨近8%，万科A升逾6%,金十数据
2342,2021-08-11,地产股盘初暴涨，保利地产冲击涨停,Wind
2343,2021-08-11,房企的凛冬来临：保命要紧，现在拿地太奢侈,Wind
2344,2021-08-11,【3333】传万科牵头财团购恒大资产 股价急升 | 头条金融网,头条日报
2345,2021-08-11,恒大汽车、物业也要卖，正在接触独立第三方！或在接洽万科、保利,和讯
2346,2021-08-11,深度*行业*房地产行业7月月报：楼市成交热度明显回落 地市供应断档成交量价齐跌,新浪
2347,2021-08-10,中国恒大当前确实在与多家企业接洽,Wind
2348,2021-08-10,恒大袒露求生欲，意在出让汽车及物业股权,Wind
2349,2021-08-10,阳光城直接放弃自己上市，抱紧万物云的大腿，阳光城能有戏吗？,新浪
2350,2021-08-10,方德港美股：高低切换进行中，地产行业久违的疯狂,凤凰网
2351,2021-08-10,再造一个“万科”，先要做大万科,新浪
2352,2021-08-10,"新政后,改善族、单身未来可以摇这些热盘",搜狐
2353,2021-08-10,阳光智博换股万物云，“聚合”时代的新考量,和讯
2354,2021-08-10,房地产行业2021年第32周地产周报：第二次集中供地热度有所下降 保利管理层增持公司股份,新浪
2355,2021-08-10,A股8月10日地产股跌幅榜：万科Ａ跌1.89%位居首位,乐居财经
2356,2021-08-10,万科城市之光降低装修标准，买家接受不了？,新浪
2357,2021-08-10,万科14亿购房尾款ABS获深交所反馈 年内共发9笔ABS涉118.4亿元,中华网
2358,2021-08-10,房地产周报：销售持续降温 融资环境仍紧,新浪
2359,2021-08-10,万科14亿元购房尾款ABS状态更新为“已反馈”,观点地产网
2360,2021-08-10,中国房地产：追踪新政策变化,新浪
2361,2021-08-10,又传新消息！恒大物业终将花落谁家？,新浪
2362,2021-08-10,A股8月10日地产股午盘：万科Ａ跌2.69%,乐居财经
2363,2021-08-10,万科14亿元购房尾款ABS获深交所反馈,搜狐
2364,2021-08-10,住房租赁专项债重亮绿灯，房企长租公寓市场再迎爆发？,36氪
2365,2021-08-10,万科郁亮：恒大还轮不到我们管，优先解决自身过冬问题,亿欧网
2366,2021-08-10,恒大物业将整体售予万科牵头企业？万科回应：目前没有可披露消息,亿欧网
2367,2021-08-10,风格切换？机构：硬科技仍是主线，寻找高性价标的,Wind
2368,2021-08-10,地产行业周报：北京出台新政封堵“假离婚”漏洞 深圳中止第二批次集中供地,新浪
2369,2021-08-10,41股获券商买入评级，新城控股目标涨幅达90.20%,Wind
2370,2021-08-10,万科Ａ8月9日现1笔大宗交易,证券时报网
2371,2021-08-10,万科-南方资本14亿元ABS购房尾款项目状态更新为“已反馈”,乐居财经
2372,2021-08-10,8月11日起，深圳这25条公交线路又有调整！,深圳新闻网
2373,2021-08-10,A股风格快速切换：金融地产绝地反击，热门赛道“停车休整”,Wind
2374,2021-08-10,市场风格轮动切换，机构提示热门赛道拥挤风险,Wind
2375,2021-08-10,A股“气温”波动，热门股遇冷“银地保”回暖,Wind
2376,2021-08-10,啥情况？价值股节节败退，邱国鹭竟被怼,Wind
2377,2021-08-09,讲真，广州二手房不跌到比新房便宜，不能买！,ZAKER
2378,2021-08-09,万 科Ａ：广州地区今年预计有金域曦府、都会四季等项目入市,每日经济新闻
2379,2021-08-09,地产股反弹背后，价值回归还是版块轮动一日游？| 一财地产日评,第一财经
2380,2021-08-09,投资者提问：近日网传万科接盘华夏幸福南京江宁孔雀城项目，未见公告，请问是否,新浪
2381,2021-08-09,投资者提问：尊敬的万科公司，请问万科广州地区21年有哪些大型楼盘项目入市呢,新浪
2382,2021-08-09,万科Ａ：过去几年地价占房价的比例明显上升,Wind
2383,2021-08-09,投资者提问：请问这几年深铁出了口头上外对万科有哪些支持？有哪些合作项目？,新浪
2384,2021-08-09,投资者提问：您好，万科股价截止7月27日已下跌到21元，股息率在6%，公司,新浪
2385,2021-08-09,投资者提问：您好！万科按财报披露的年度销售面积和销售金额，2017~202,新浪
2386,2021-08-09,保利地产带头上涨：地产股集体反弹 很多开发商赚翻了,新浪
2387,2021-08-09,万科A：“房住不炒”是长期方向,Wind
2388,2021-08-09,调研纪要 | 热点二线城市（二十一）：济南篇,和讯
2389,2021-08-09,房地产开发行业周报：杭州、东莞等多城调控政策加强；无锡第二批集中供地揽金262亿元,新浪
2390,2021-08-09,房地产板块罕见大规模上涨 利空出尽迎来反弹？,华夏时报
2391,2021-08-09,A股风格分化背后：外资加仓“老白马”，两融资金涌入周期股,Wind
2392,2021-08-09,"万科Ａ现1笔大宗交易 共成交2,985.52万元",新浪
2393,2021-08-09,高低位切换，价值白马崛起，地产迎估值修复,Wind
2394,2021-08-09,黄其森：泰禾开始进入上山路,奥一网
2395,2021-08-09,万科A(000002)：7月销售和投资增速均放缓 拿地权益比84%达近年高点 盈利能力下降,新浪
2396,2021-08-09,市场风格切换？百股涨停！“老白马”大爆发,Wind
2397,2021-08-09,高档写字楼的“隐秘战线”,金融界
2398,2021-08-09,房地产开发行业周报(第三十一周),新浪
2399,2021-08-09,万科收报22.28元涨5.6% 总市值2588.4亿元,乐居财经
2400,2021-08-09,A股收盘综述：大小指数分化，“茅系股”走强“宁组合”低迷,Wind
2401,2021-08-09,万科A(000002)：上半年盈利料持平 经营端延续稳健表现,新浪
2402,2021-08-09,调控趋严下地产股大涨，恒大绿城万科等多股涨幅超6%,南都报
2403,2021-08-09,A股风格大逆转！芯片锂电股大跌，万亿巨头跳水,Wind
2404,2021-08-09,"A股风格大逆转！刚刚，芯片锂电股暴跌：万亿巨头跳水！金融地产白酒狂飚，保利万科暴涨，更有千亿""牛市旗手""涨停 连续下跌",中国基金报
2405,2021-08-09,房地产行业周报：7月销售继续放缓 多地限购再度加强,新浪
2406,2021-08-09,地产股爆发，金地封板，保利大涨9%，板块见底了？,证券之星
2407,2021-08-09,房地产板块持续走高，金地集团涨停，万科A大涨逾6％,金融界
2408,2021-08-09,解盘：权重白马爆发，食品、水泥、家电、保险领涨,Wind
2409,2021-08-09,A股午盘综述：大小指数分化，白马股全面回暖,Wind
2410,2021-08-09,保利封板 万科大涨逾7% 地产股要见底了吗？丨牛熊眼,第一财经
2411,2021-08-09,保利地产触及涨停，为2月25日以来首次,Wind
2412,2021-08-09,建材采购B2B平台，新“独角兽”出没,中国房地产网
2413,2021-08-09,万科前7月超千亿拿地销售额突破四千亿 经营性净现金流连续12年为正“三道红线”全绿,长江商报
2414,2021-08-08,【华西地产·行业周报】20210807：杭州成都出台新政，7月销售同比回落,地产由我说
2415,2021-08-08,换股万物云，阳光城（000671）物业可以有多少想像空间？,智通财经
2416,2021-08-08,房地产行业2021年7月销售数据点评：销售持续回落 各梯队均有所下滑,新浪
2417,2021-08-07,【兴证地产】新房二手房周报：各地楼市调控政策频出，新房二手房销售同环比均下降,YCMProperty
2418,2021-08-07,万科A(000002)7月销售点评：累计销售同比增长 拿地相对稳健,新浪
2419,2021-08-07,7月成交下滑楼市拐点隐现,Wind
2420,2021-08-07,闽系阳光城大交易！抱上万科大腿，能阳光起来吗,网易
2421,2021-08-06,万物阳光:无法复制的扩张路线,搜狐
2422,2021-08-06,资本月报 | 三巽成为今年首个IPO房企，首创置业宣布私有化（2021年7月）,和讯
2423,2021-08-06,房企前7月销售额同比大增 繁华背后现拐点,金融界
2424,2021-08-06,房地产行业：万物云、阳光城换股意味着什么？,新浪
2425,2021-08-06,房地产行业：阳光城物业与万物云实现换股并购 物管行业整合进入新阶段,新浪
2426,2021-08-06,向死而生：泰禾自救这一年,观察者网
2427,2021-08-06,阳光智博“换股”万物云 开启物业合作新模式,新京报
2428,2021-08-06,阳光智博中断上市转投万物云 中小物企另类资本化样本,新浪
2429,2021-08-06,碧桂园服务发力房屋经纪 物企为何看上中介这门生意？,新浪
2430,2021-08-06,阳光城、万物云详解换股交易逻辑：相信龙头的力量,第一财经
2431,2021-08-06,少数派投资：从“茅指数”到“宁组合” 股市没有“永远的神”,新浪
2432,2021-08-06,年内首例、阳光智博“换股”万物云：港股IPO或终止，设4家合资公司“赌”未来 IPO融资异常,搜狐
2433,2021-08-06,【6666】市传恒大有意将恒大物业全售予万科牵头企业 | 头条金融网,头条日报
2434,2021-08-06,1～7月房企“成绩单”出炉 千亿房企逆势高增长,中国经营网
2435,2021-08-06,房地产板块开盘走低，荣安地产跌近5%，华侨城、万科、华夏幸福、深深房等跌幅,新浪
2436,2021-08-06,天风证券维持万科A买入评级，7月经营公告点评：单月销售均价提升，地售比维持稳定,每日经济新闻
2437,2021-08-06,某大房企咋啦？拖欠广告费，华润拒绝，万科金茂接盘，真相是？,搜狐
2438,2021-08-06,广州购房者出手谨慎 开发商加大供应试水金九银十,新快报
2439,2021-08-06,泰禾集团债务危机465天后 北京400亿元现房再博弈 违约失信,证券日报之声
2440,2021-08-05,融创合同销售3701亿 距离“碧万恒”一步之遥？,观点地产网
2441,2021-08-05,阳光城：拟以旗下物业公司换取万科万物云4.8%股份,澎湃新闻
2442,2021-08-05,万科旗下万物云与阳光城达成换股协议,上证报
2443,2021-08-05,华润置地“失去”广州和上海,金融界
2444,2021-08-05,万科2018年住房租赁专项公司债8月9日付息 债券余额6.74亿,观点地产网
2445,2021-08-05,万科企业(02202)：“18 万科 01”将于8月9日摘牌 退市,智通财经
2446,2021-08-05,刘平“护盘”保利地产 被怼“侮辱式增持”,搜狐
2447,2021-08-05,万科：回售673.62万张“18万科01”，回售价104.05元/张,乐居财经
2448,2021-08-05,万科“18万科01”债券回售价104.05元/张 回售数量673.62万张,观点地产网
2449,2021-08-05,万科15亿元住房租赁专项债券8月9日付息，利率4.05%,乐居财经
2450,2021-08-05,万科企业：“18万科01”回售总金额6.74亿元,Wind
2451,2021-08-05,接盘、旧改与加速转型 万科需要“万事磕”,新浪
2452,2021-08-05,漩涡中的黄其森,Wind
2453,2021-08-05,特写丨漩涡中的黄其森,21世纪经济报道
2454,2021-08-05,泰禾集团快速扩张中管理失控？黄其森身陷债务漩涡 这一次能否绝地求生,21世纪经济报道
2455,2021-08-05,保利地产获控股股东增持，地产股久旱逢甘霖,环球老虎财经
2456,2021-08-05,吓哭了！新华社一篇报道，千亿药茅跌停，紧急回应来了,Wind
2457,2021-08-05,超低估值、龙头业绩亮丽，地产股底部已现？5张图可知晓详情,Wind
2458,2021-08-05,2021年7月万科销售简报：销售额同比增长32.09%（附图表）,中商情报网
2459,2021-08-05,万科7月销售额515.4亿元 近期新增14个开发项目,中国网
2460,2021-08-05,实控人增持地产股，是板块春天到了，还是一日游行情？,Wind
2461,2021-08-05,千亿巨头罕见跌停，6倍大牛股突然大跌！,Wind
2462,2021-08-05,万科1-7月累计销售面积2498.8万㎡ 同比增长1.1%,财经网
2463,2021-08-05,地产股表现抢眼，机构：物业管理行业全面迎来黄金时代 丨牛熊眼,第一财经
2464,2021-08-05,万科发布7月销售简报 新增加开发项目14个,北京商报
2465,2021-08-05,万科A(000002)：单月销售均价提升 地售比维持稳定,新浪
2466,2021-08-05,早读拾光（8.5）丨杭州住房调控再收紧 深交所对奥园美谷下发问询函,和讯
2467,2021-08-05,万科A(000002)：7月拿地力度平稳 两集中地块占比56%,广发证券
2468,2021-08-05,万科企业股份有限公司2021年7月销售及近期新增项目情况简报,证券时报
2469,2021-08-05,销售超4000亿 “第二名”万科7月扫货忙,观点地产网
2470,2021-08-05,前七月权益销售3574亿 销冠碧桂园的最大笔增持与最低利率,观点地产网
2471,2021-08-04,这家大房企缺钱，把自己家的总部大楼卖了,ZAKER
2472,2021-08-04,武汉暂停线下卖房，房企华中粮仓速冻,华尔街见闻
2473,2021-08-04,"万科A：2021年7月销售金额515.4亿元,公司新增加开发项目14个。",每日经济新闻
2474,2021-08-04,万科前7个月销售4059.8亿元 近期新增14个土地项目,新京报
2475,2021-08-04,万科前7月销售额4059.8亿元，拿地共花1119.8亿,澎湃新闻
2476,2021-08-04,万科前七月卖房数据解读：销售面积、金额连续三个月负增长,新浪
2477,2021-08-04,万科前七月累计合同销售面积2498.8万平方米,搜狐
2478,2021-08-04,晚间重要公告2021年8月4日星期三,Wind
2479,2021-08-04,万科A：前7月累计合同销售金额超4000亿元,上证报
2480,2021-08-04,融创首登世界 500 强，中国 8 大房企上榜！恒大排第一,ZAKER
2481,2021-08-04,万科A(000002.SZ)：7月实现合同销售金额515.4亿元,智通财经
2482,2021-08-04,万科前7月合同销售金额4059.8亿元,乐居财经
2483,2021-08-04,万科A(000002.SZ)：7月合同销售额515.4亿元 同比下降12.67% 盈利能力下降,格隆汇
2484,2021-08-04,万科A：7月实现合同销售金额515.4亿元,财联社
2485,2021-08-04,万科A：7月合同销售金额515.4亿元,Wind
2486,2021-08-04,房地产7月行业动态报告：7月销售市场降温 物管板块回调带来布局机会,新浪
2487,2021-08-04,房地产行业：投资销售景气度降幅超预期 板块筑底优质龙头具备配置价值,广发证券
2488,2021-08-04,泰禾引战万科这一年,凤凰网
2489,2021-08-04,鹰觅眼｜万科的棋子（下）,搜狐
2490,2021-08-04,万科4.4亿元摘太原小店区一宗商住地 或建设万科悦都荟,观点地产网
2491,2021-08-04,针对业主维权，万科城市之光回复：一切按合同约定解决,ZAKER
2492,2021-08-04,【2202】万科7月实现合同销售减12.7% | 头条金融网,头条日报
2493,2021-08-04,郑州疫情防控升级 万科、融创等房企暂时关闭线下售楼部 经营问题,新京报
2494,2021-08-04,A股快报 | 多只个股下跌 万科现跌1.2%报20.63元/股,观点地产网
2495,2021-08-04,万科“见缝插针”,新浪
2496,2021-08-04,南国置业：公司上半年亏损主要是受到疫情持续影响,Wind
2497,2021-08-04,万科13.16亿元ABS购房尾款项目状态更新为已反馈,乐居财经
2498,2021-08-04,深圳：新安成就都会生活新高地,深圳特区报
2499,2021-08-04,从世界500强的粤企名单中 能读出什么？,深蓝财经
2500,2021-08-04,百亿债务违约引爆蓝光发展，千亿“四川一哥”扛不住了 违约失信,网易
2501,2021-08-04,深圳多家民营企业入围世界500强,新浪
2502,2021-08-03,黄埔刘村再招标 万科广州旧改尴尬与破局,观点地产网
2503,2021-08-03,放缓增速 前7月销售4006亿恒大出售股权与500强前路 盈利能力下降,观点地产网
2504,2021-08-03,上半年170家房企总市值“缩水”，另一个赛道却备受追捧,质量新闻网
2505,2021-08-03,万科Ａ现1笔大宗交易 共成交228.73万元,新浪
2506,2021-08-03,万科A今日大宗交易成交12.16万股，成交价18.81元折价9.91%,Wind
2507,2021-08-03,谁说房地产不行了？8家房企入围《财富》世界500强,华尔街见闻
2508,2021-08-03,8家深企世界500强排名全部上升,深圳特区报
2509,2021-08-03,房地产行业周报：百强房企7月销售增速再度回落 政治局会议首提“三稳”,新浪
2510,2021-08-03,房地产21年7月百强房企销售数据解读：高基数及信贷转弱是百强销售增速同比转负主因 但两年复合增速显示7月百强房企销售较6月回升,新浪
2511,2021-08-03,8家房企霸屏世界500强，地产开发商迎来难得的高光时刻,第一财经
2512,2021-08-03,碧桂园服务联手“地方军”深挖房地产经纪赛道,21世纪经济报道
2513,2021-08-02,碧桂园服务抢“中介”,乐居财经
2514,2021-08-02,世界500强里的房企老面孔和“新面孔”,和讯
2515,2021-08-02,8家房企霸屏世界500强，总市值不及一个宁德时代,第一财经
2516,2021-08-02,救星出手！全线暴涨！恒大绝地反击！,新浪
2517,2021-08-02,深圳湾TOD综合体新封面，SIC将如何演绎“超中心、超未来”？,赢商网
2518,2021-08-02,许家印数度卖“家产”！腾讯、万科来帮忙，恒大的未来在何方？,腾讯网
2519,2021-08-02,北向资金7月动向：重点进攻高景气成长制造主线，周期性行业遭抛售,Wind
2520,2021-08-02,领先指数|2021上半年中国房地产企业新增土地货值TOP100,中金在线
2521,2021-08-02,8家房企登榜2021世界500强 恒大超碧桂园至房企首位,金融界
2522,2021-08-02,郁亮明确“开发、经营、服务并重”，但转型迟缓、万科已落后？,凤凰网
2523,2021-08-02,房地产行业月报：7月销售同环比双降 需求侧走冷,新浪
2524,2021-08-02,中指院：前七月TOP100房企拿地总额同比降3个百分点 龙头房企仍聚焦重点城市,和讯
2525,2021-08-02,万科接盘华夏幸福的“地王”包袱,新浪
2526,2021-08-01,【天风地产】7月单月量减价升，多数房企同比下降—7月百强房企销售点评,天诚地产会
2527,2021-08-01,万科的生意 接盘恒大退出后深圳高新投股份,观点地产网
2528,2021-08-01,中国大城市站在了十字路口？有人早已作出抉择！,智谷趋势
2529,2021-08-01,【华西地产·行业周报】20210731：政治局会议再提三稳，促进房地产平稳健康发展,地产由我说
2530,2021-08-01,万科接盘恒大持有深圳高新投7.08%股权,新浪
2531,2021-08-01,石家庄万科福美文瑞房地产开发有限公司环境违法被罚3万元 环保处罚,每日经济新闻
2532,2021-07-31,巨头的游戏：龙头房企抢滩万亿集采,华尔街见闻
2533,2021-07-31,1-7月TOP100企业拿地金额同比下降3%：万科以1106亿继续居首,中华网
2534,2021-07-31,万科以51亿竞得佛山南海区桂城街道地块 创下7月住宅用地全国总价“地王”,中华网
2535,2021-07-31,深圳湾超级总部基地首个超高层综合体SIC亮相,南都报
2536,2021-07-31,【兴证地产】新房二手房周报：本周新房二手房销售同环比均下降,YCMProperty
2537,2021-07-31,文化赋能商业空间 万科以“超链中心”打造长三角产业集群,东方网
2538,2021-07-31,猜猜房企第二轮的谨慎、克制、奇袭指数 | 首轮集中土拍后续4,和讯
2539,2021-07-31,恒大退出深圳高新投7.0798%股份 万科子公司接盘,观点地产网
2540,2021-07-31,万科接盘华夏幸福项目背后：“焦虑”与提速,新浪
2541,2021-07-31,万科帮扶地产暴雷始祖，泰禾有救了？你可能想多了,深水财经社
2542,2021-07-31,房地产行业2021年中期投资策略：当前行业的底线思维和长线机会,新浪
2543,2021-07-31,扎堆递表 中小物企追赶最后的窗口期,经济观察网
2544,2021-07-30,2021年1-7月全国房地产企业拿地排行榜,中指院
2545,2021-07-30,前7月房企拿地榜单出炉：万科独超千亿居首,中新经纬
2546,2021-07-30,泰禾集团新增17亿元债券无法兑付，逾期未还借款436亿元 未按时兑付本息,澎湃新闻
2547,2021-07-30,“野蛮人”姚振华是如何炼成的？,搜狐
2548,2021-07-30,美团联合深圳地铁、万科打造全球首个无人机配送商圈试点,ZAKER
2549,2021-07-30,宋广菊的遗憾:刘平能拿下张炳南吗?,金融界
2550,2021-07-30,深铁联合万科开发TOD项目深圳湾SIC超级总部中心亮相,观点地产网
2551,2021-07-30,贾跃亭：准备回家,证券之星
2552,2021-07-30,万科Ａ现1笔大宗交易 共成交200.00万元,新浪
2553,2021-07-30,万科A今日大宗交易成交10万股，成交价20.0元折价3.19%,Wind
2554,2021-07-30,郁亮接棒王石后，万科真的变了,网易
2555,2021-07-30,有人狂欢 有人退地 房企间的“内卷”已经失去理智了吗？丨首轮土拍后续③,和讯
2556,2021-07-29,解直锟当了回贾跃亭“接盘侠”,新浪
2557,2021-07-29,地产杂谈系列之十一：首次集中供地与50强房企上半年拿地观察,新浪
2558,2021-07-29,贾跃亭16亿卖楼往事:40亿忽悠万科接盘,金融界
2559,2021-07-29,保利发展董事长平稳过渡，宋广菊交棒刘平,证券之星
2560,2021-07-29,监管风暴下房企积极融资应对不利局面隐性债务成“最大隐忧”丨焦点,搜狐
2561,2021-07-29,8家房企入围《财富》世界500强，3家新上榜,36氪
2562,2021-07-29,极致行情带来极致机会？一批公司股息率超过10%,Wind
2563,2021-07-29,万科23亿元5年期公司债上市 利率3.19%,观点地产网
2564,2021-07-29,万科：30亿元住房租赁专项债券于深交所上市，利率最高3.49%,乐居财经
2565,2021-07-29,一周仅4盘摇号！杭州天气“高烧”，楼市却迎来降温,质量新闻网
2566,2021-07-29,万科A：30亿元住房租赁专项公司债券于7月29日在深交所上市,中国网
2567,2021-07-29,A股融资融券日报：两融余额减少160.85亿元（7月28日）,Wind
2568,2021-07-28,关于万科企业股份有限公司2021年面向专业投资者公开发行住房租赁专项公司债券（第三期）上市有关事项的通知,深交所
2569,2021-07-28,纾困进行时 万科接下了华夏幸福的“地王”包袱,国际金融报
2570,2021-07-28,华夏幸福有了“化债术”,新浪
2571,2021-07-28,房地产行业不赚钱了?最赚钱行业早已易主,搜狐
2572,2021-07-28,对话陈方勇:地产觉醒“新逻辑”,搜狐
2573,2021-07-28,7月27日南京新增本土“47+1” 详情公布,新浪
2574,2021-07-28,惊现12%股息率+2倍市盈率股，66公司现金超市值,Wind
2575,2021-07-28,【2202】万科已发30亿人币公司债|头条金融网,头条日报
2576,2021-07-28,杭州LOFT49开园，万科以“超链中心”打造产业集群,澎湃新闻
2577,2021-07-28,中信证券推荐8只地产股 TOP3独缺恒大,金融界
2578,2021-07-28,房地产行业：规范行业秩序 政策对物管行业的支持大方向未变,新浪
2579,2021-07-28,房地产行业周报#253：楼市、地市双降温,新浪
2580,2021-07-28,房地产行业周报：上海楼市调控再度升级 Q2地产板块持续低配,新浪
2581,2021-07-28,大A连续两天怎么了？长线资金正在逆势往这里走,Wind
2582,2021-07-28,百亿私募也亏钱，但斌发文致歉,Wind
2583,2021-07-27,【华西地产·行业点评】2021年二季度房地产行业基金持仓数据点评：公募持仓仍处低位，多元化布局受青睐,地产由我说
2584,2021-07-27,中诚信将房地产行业展望调为负面，万科A濒临破净 | 一财地产日评 评级展望下调为负面,第一财经
2585,2021-07-27,五华一幼/三幼签约入驻万科城,质量新闻网
2586,2021-07-27,北向资金今日净卖出41.72亿元，贵州茅台遭净卖出逾10亿元,Wind
2587,2021-07-27,坚守初心，这些千亿白马股息率连续3年超过5%,Wind
2588,2021-07-27,房地产行业7月月报：调控成效逐步体现 销售及房价增速趋缓,新浪
2589,2021-07-27,彻底亏麻了！两市超3100只股票下跌！股民一片哀嚎！史上最惨基金也来了，成立两个月就腰斩！现在是至暗时刻吗,雪球
2590,2021-07-27,地产｜保利、中海“对撕”万科！50亿竞价背后战火纷飞，佛山市自然资源局南海分局：考虑进一步优化土地出让竞价方,《商学院》杂志
2591,2021-07-27,万科接盘华夏幸福南京江宁地王“孔雀城上元府”项目,观点地产网
2592,2021-07-27,罕见！中芯国际冲击20CM涨停，平安市值跌破万亿,Wind
2593,2021-07-27,芯片股大涨：5000亿巨头20%涨停，科创板大爆发,Wind
2594,2021-07-27,地产巨头公布大消息，股价大跌，发生了什么？,Wind
2595,2021-07-27,呼和浩特签约11个项目 万科拟投资338亿元建滑雪场等项目,观点地产网
2596,2021-07-27,万科14亿元购房尾款资产支持ABS获深交所受理,中国网
2597,2021-07-27,万科13.16亿元购房尾款资产支持ABS获深交所受理,中国网
2598,2021-07-27,今年已有203家房企申请破产 中小房企出路何在 减资破产,新浪
2599,2021-07-26,万科：完成发行30亿元住房租赁专项债券，利率最低3.19%,乐居财经
2600,2021-07-26,万科Ａ：物业子公司上市是方向，但目前没有具体的计划,每日经济新闻
2601,2021-07-26,投资者提问：万科A是有把万科物流和万科物业单独上市的计划?如果让股民对万科,新浪
2602,2021-07-26,投资者提问：董秘您好，请介绍下万科今年以来拿地储备情况，谢谢,新浪
2603,2021-07-26,投资者提问：贵公司一直在房地产市场拼搏，目前政策收紧，是否考虑并购一些其他,新浪
