,2021-12-31,"券商12月金股组合""战绩""：川财证券9.26%夺冠 东吴最差",新浪
304,2021-06-21,中国银河(601881.SH)向专业投资者公开发行次级公司债券获中国证监会批复,智通财经
305,2021-06-21,中国银河(06881.HK)：发行不超300亿元次级公司债券获中证监注册批覆,格隆汇
306,2021-06-21,中国银河：证监会同意本公司向专业投资者发行不超过300亿元次级公司债,Wind
307,2021-06-21,【银河宏观许冬石】宏观点评丨工业和投资仍然稳定，经济走平持续至3季度,中国银河证券研究
308,2021-06-18,贝莱德减持中国银河(06881)180.65万股，每股作价4.65港元 减持股份,智通财经
309,2021-06-17,BlackRock Inc.减持中国银河股份约180.65万股 减持股份,每日经济新闻
310,2021-06-17,【权益变动】中国银河(06881.HK)被贝莱德减持180.65万股 减持股份,财华社
311,2021-06-17,【银河机械】2021年中期策略丨制造强国，装备引领,中国银河证券研究
312,2021-06-16,中国银河--食品饮料行业：价值重塑升级，品牌构成核心竞争力【行业研究】,金融界股吧
313,2021-06-11,权重股走强，创业板指大涨,Wind
314,2021-06-08,中国银河(06881)完成兑付2021年度第三期短期融资券,智通财经
315,2021-06-08,中国银河(601881.SH)完成兑付2021年度第三期短期融资券本息40.26亿元,智通财经
316,2021-06-08,光大证券回封涨停板，主力净流入约17亿元,Wind
317,2021-06-07,中国银河维持传媒互联网行业推荐评级：《摩尔庄园》上线表现优异，三胎政策有望扩大少儿图书潜在需求,每日经济新闻
318,2021-06-05,钢材价格高位运行，催动工程机械行业年内二次提价,Wind
319,2021-06-04,港股盘前必读：中概网络科技股普跌，恒大有息负债望降到6000亿以下,Wind
320,2021-06-03,券商定增出现缩水困局，行情卷土重来或带来定增良机,第一财经
321,2021-06-03,大和：升中国银河(6881.HK)评级至“跑赢大市”目标价上调至5.2港元,格隆汇
322,2021-06-02,智通港股通占比异动统计|6月2日,智通财经
323,2021-06-02,【银河石化任文坡/林相宜】行业动态 2021.5丨油价延续震荡格局，把握业绩周期改善投资机会,中国银河证券研究
324,2021-06-02,【银河地产潘玮/王秋蘅】行业深度丨天高海阔，物业管理行业迎来“黄金时代”,中国银河证券研究
325,2021-06-02,智通港股通资金流向统计(T+2)|6月2日,智通财经
326,2021-06-02,A股6月开门红，券商乐观看待后市,Wind
327,2021-05-31,【银河证券】关于采集公募基金产品适当性风险等级数据及变更信息的通知,新浪
328,2021-05-31,BlackRock Inc.增持中国银河股份约401.84万股,每日经济新闻
329,2021-05-28,因替客户办理证券认购、交易 中国银河营业部一员工被出具警示函 金融监管处罚,新浪
330,2021-05-27,首批公募REITs5月31日开售，最高13.38元/份,Wind
331,2021-05-26,【银河化工任文坡/林相宜】行业周报丨全产业链价格价差研究：有机硅价格上涨，重点关注龙头企业表现,中国银河证券研究
332,2021-05-26,【银河农业谢芝优】行业动态 2021.5丨猪鸡价格震荡下行，后周期疫苗行业受关注,中国银河证券研究
333,2021-05-25,牛市旗手连续上攻，4000点还远吗？,Wind
334,2021-05-25,上市券商补血汹涌，广发证券500亿公司债获批,Wind
335,2021-05-25,行业高质量发展可期，券商股受资金青睐,Wind
336,2021-05-24,A股收盘综述：上证指数止步三连跌，创业板指涨0.85%,Wind
337,2021-05-24,午评：指数早盘下探回升 白酒概念强势领涨,ZAKER
338,2021-05-24,大白马又被杀！3000亿猪茅闪崩跌停，东北药茅大跌,Wind
339,2021-05-24,【异动股】中国银河(06881.HK)涨5.57%,金融界
340,2021-05-24,解盘：资金持续流入，白酒、证券、造纸等领涨,Wind
341,2021-05-24,券商板块二度上攻，中国银河涨停，券商ETF（512000）涨近3%成交6亿元,资本邦
342,2021-05-24,券商股走强 中国银河领涨板块,中国经济网
343,2021-05-24,证券板块逆势上行,Wind
344,2021-05-24,快讯：中资券商股上涨 中金公司涨近6%中国银河涨超5%,新浪
345,2021-05-24,快讯：券商股持续走强 中国银河拉升封板,新浪
346,2021-05-24,中国银河（601881.SH）首板,Wind
347,2021-05-24,中国银河盘中快速上涨,新浪
348,2021-05-24,券商股二度上攻，中国银河率先涨停,Wind
349,2021-05-24,【行情】证券板块异动拉升，中金公司涨超7%，中国银河、东方财富、国盛金控、中信建投等跟涨,金十数据
350,2021-05-21,飞利信：杨振华拟被动减持不超过3.26%公司股份 拟减持股份,Wind
351,2021-05-21,中国银河(601881.SH)：完成发行40亿元短期融资券,格隆汇
352,2021-05-21,中国银河(06881)完成发行40亿元短期融资券 票面利率为2.3%,智通财经
353,2021-05-21,智通港股通占比异动统计|5月21日,智通财经
354,2021-05-20,【宏观点评许冬石】宏观点评丨增长动能逐步减缓，经济增长下半年回落,中国银河证券研究
355,2021-05-18,BlackRock Inc.减持中国银河股份约51.78万股 减持股份,每日经济新闻
356,2021-05-18,【银河宏观许冬石】宏观高频数据周报丨黑色系产品价格展现脆弱性，美元可能继续下滑,中国银河证券研究
357,2021-05-17,中国银河维持零售行业推荐评级：财报季后多公司召开股东大会积极部署未来发展规划，维持推荐优质零售标的,每日经济新闻
358,2021-05-14,恒指收涨1.11%，金斯瑞生物科技大涨近22%,Wind
359,2021-05-14,【异动股】中国银河(06881.HK)涨6.03%,财华社
360,2021-05-14,中国银河大涨,新浪
361,2021-05-12,【银河证券】公募47574.89亿，外资33613.65亿——20210331公募与外资持股金额比较,新浪
362,2021-05-10,中国银河(601881.SH)执行委员会委员、业务总监尹岩武离职 董监高成员变化,智通财经
363,2021-05-10,中国银河(06881.HK)：提名陈静、范文波及陶利斌为监事会非职工代表监事候选人,格隆汇
364,2021-05-10,中国银河(06881.HK)：业务总监尹岩武离任 董监高成员变化,格隆汇
365,2021-05-10,中国银河：公司执行委员会委员、业务总监离任 董监高成员变化,Wind
366,2021-05-06,【天风非银】2020年上市券商年报综述：大资管+大财富快速发展，头部效应显着,新锐视角看金融
367,2021-05-06,BlackRock Inc.增持中国银河股份约100.68万股,每日经济新闻
368,2021-05-03,14家券商5月投资“金股”出炉，最看好这两只,Wind
369,2021-05-01,【银河证券】公募最大可买入A股资金8875亿,新浪
370,2021-04-30,仍处高增长！上市券商首季业绩排名出炉，中信国君海通营收超百亿，东财净利位居第九，各业务排名有看点,证券之星
371,2021-04-30,中国银河证券股份有限公司 2021年第一季度报告正文,证券日报
372,2021-04-29,中国银河(601881.SH)一季度归母净利同比增长13.2%至19.85亿元,智通财经
373,2021-04-29,中国银河：一季度净利润19.85亿元同比增长13%,格隆汇
374,2021-04-29,中国银河：一季度净利润同比增长13.2%,Wind
375,2021-04-29,中国银河：2021年首季净利同比增长13.2%至19.85亿元,中证网
376,2021-04-29,中国银河(06881)完成兑付2021 年度第二期短期融资券本息约30.22亿元,智通财经
377,2021-04-29,中国银河(06881)首季归母净利同比增长13.2%至19.85亿元,智通财经
378,2021-04-29,中国银河：第一季度净利润19.85亿元，同比增13.20%,Wind
379,2021-04-29,中国银河(06881.HK)完成兑付30亿元短期融资券,格隆汇
380,2021-04-28,券商2020年报释放强烈信号：经纪业务、投行全面内卷化生存,Wind
381,2021-04-27,两融市场继续上演争夺战，30家上市券商两融收入榜出炉，价格战火不断，融资利率跌破6%,财联社
382,2021-04-27,BlackRock Inc.减持中国银河股份约38.37万股 减持股份,每日经济新闻
383,2021-04-26,BlackRock Inc.增持中国银河股份约63.46万股,每日经济新闻
384,2021-04-26,中国银河跌2.2%报9.78元 创近10个月新低 连续下跌,中新经纬
385,2021-04-26,非银金融行业周报：并购题材有望带领券商板块反弹,新浪
386,2021-04-26,关于同意中国银河证券股份有限公司为建信现金添益交易型货币市场基金提供主流动性服务的公告,上交所
387,2021-04-25,券商火拼千亿融券市场：券源渠道、利率价格成竞争关键,第一财经
388,2021-04-25,【银河证券】股票5.38万亿 债券10.29万亿 银行存款4.18万亿——2021年1季度末公募基金资产分布,新浪
389,2021-04-25,【银河证券】股基债基净赎回货基净申购——2021年1季度公募基金申购赎回简要分析,新浪
390,2021-04-22,【行情】港股券商板块持续走低，广发证券、中信证券跌超3%，中金跌1.5%，中国银河、海通证券跌1.2%,金十数据
391,2021-04-21,中国银河(06881)完成发行50亿元2021年永续次级债券(第二期),智通财经
392,2021-04-21,中国银河(06881.HK)：2021年永续次级债券(第二期)公开发行完毕,格隆汇
393,2021-04-19,中国银河(06881.HK)4月29日举行董事会会议审批首季业绩,格隆汇
394,2021-04-16,中国债券市场金融债发行日程一览(4月16日),Wind
395,2021-04-13,中国银河(06881.HK)完成兑付40亿元短期融资券,格隆汇
396,2021-04-13,中国银河(06881)完成兑付2021年度第一期短期融资券本息约40.24亿元,智通财经
397,2021-04-13,中国银河(601881.SH)完成兑付2021年度第一期短期融资券本息共40.24亿元,智通财经
398,2021-04-11,证券行业头部公司2020年年报综合评价,雪球
399,2021-04-08,券商经纪业务收入占比下降，财富管理和数字化转型步伐加快,第一财经
400,2021-04-08,26家券商风控指标出炉：超半数指标下滑，3家券商各有指标接近预警标准，监管高度关注哪些风控指标,财联社
401,2021-04-08,前十券商贡献行业七成营收，人均创收最高387万,Wind
402,2021-04-06,去年四季度券商新买入40只股票，四大行业最为集中,Wind
403,2021-04-06,上市券商人均薪酬榜：中金公司人均年薪超百万，国海证券去年人均降薪14%,搜狐
404,2021-04-03,这些券商经纪业务收入排前十！四到七名竞争激烈,Wind
405,2021-04-02,中国银河证券重庆万象城营业部四员工替客户交易 被出具警示函 金融监管处罚,新浪
406,2021-04-02,社保QFII持股路径曝光，化工电子板块各有所爱,Wind
407,2021-04-01,社保QFII最新调仓！两类资金分歧巨大,Wind
408,2021-03-31,中国银河(601881)：经纪及两融业务贡献主要盈利、投行业务低基数下改善明显,新浪
409,2021-03-30,广发证券、中国银河2020年业绩双增长，财报披露当日中资券商股集体上涨,金融界
410,2021-03-30,中国银河(06881)2020年归母净利同比增长38.54%至72.44亿元 每10股派2.2元,智通财经
411,2021-03-29,中国银河去年净利增长38%，基金投顾业务爆发式增长， 国泰君安尚欠1亿保荐费,每日经济新闻
412,2021-03-29,中国银河2020年成绩单：实现净利润72.44亿元同比增38.54% 拟10派2.2元,证券日报网
413,2021-03-29,快讯 | 中国银河2020年净利润增长38%，国泰君安尚欠1亿保荐费,每日经济新闻
414,2021-03-29,晚间重要公告2021年3月29日星期一,Wind
415,2021-03-29,中国银河(06881.HK)完成发行50亿元永续次级债券,格隆汇
416,2021-03-29,中国银河(601881.SH)年度归母净利同比增38.54%至72.44亿元 每10股派2.2元,智通财经
417,2021-03-29,中国银河：2020年净利润同比增长38.54%，拟10派2.2元,Wind
418,2021-03-29,中国银河：2020年净利润72.44亿元 同比增39%,e公司
419,2021-03-29,中国银河(601881.SH)：2020年度净利升38.54%至72.44亿元拟10派2.2元,格隆汇
420,2021-03-29,BlackRock Inc.增持中国银河股份约635.99万股,每日经济新闻
421,2021-03-29,【行情】港股中资券商股大涨，恒投证券涨超13%，广发证券涨超9%，华泰证券、中信证券涨超7%，中金、中国银河涨超6%，海通证券涨超5%,金十数据
422,2021-03-29,【异动股】中国银河(06881-HK)涨5.66%,财华社
423,2021-03-24,中国债券市场金融债发行日程一览(3月24日),Wind
424,2021-03-23,华东医药今日跌停，机构、游资集体撤退,Wind
425,2021-03-18,2021券商金融产品代销正如何发力？多家券商样本：产品、品牌、渠道、投顾能力…一个都不能少,财联社
426,2021-03-17,龙虎榜：欧菲光一字板跌停，散户抄底踊跃 连续下跌,第一财经
427,2021-03-16,1月券商金股名单出炉！白酒降温，顺周期仍受捧，这些股票有看头,中证报
428,2021-03-16,关于同意中国银河证券股份有限公司为国泰中证动漫游戏交易型开放式指数证券投资基金提供主流动性服务的公告,上交所
429,2021-03-16,【中原非银】券商板块周报：2021.3.8-2021.3.14,中原证券研究所
430,2021-03-15,韦尔股份跌5.96% 中银证券中泰证券中国银河高点喊买,中国经济网
431,2021-03-11,中国银河(06881)完成兑付2020年度第十六期短期融资券本息约30.22亿元,智通财经
432,2021-03-09,中国银河(601881.SH)完成发行40亿元2021年度第三期短期融资券,智通财经
433,2021-03-09,中国银河(601881.SH)完成发行2021年度第三期短期融资券,格隆汇
434,2021-03-09,中国银河(06881.HK)完成发行2021年第三期短期融资券,格隆汇
435,2021-03-08,倒春寒！IPO现场检查大显威力，创业板重灾区,Wind
436,2021-03-08,融资客青睐4股，中原高速买入占比高达33.89%,Wind
437,2021-03-07,探索多种养殖模式，猪企积极筹备期货队伍,Wind
438,2021-03-04,中国银河重庆一营业部4员工各收警示函 违规代客交易 金融监管处罚,中国经济网
439,2021-03-03,中国银河给予平安银行推荐评级，净利增速转正，Q4单季息差环比降幅收敛,每日经济新闻
440,2021-03-01,中国银河：2月金股组合亏损6.79% 3月荐股名单出炉 亏损,新浪
441,2021-02-26,券商行业分化或进一步加剧，龙头股投资机会突出,澎湃新闻
442,2021-02-26,券商行业集中度再提升：五大龙头去年营收行业占比升至近37%,澎湃新闻
443,2021-02-25,中信证券占行业一成净利润！强者恒强趋势2020年极致化，前10券商占行业净利50%,财联社
444,2021-02-25,澜起科技跌6.6%：中信证券持股 月初中国银河研报推荐,中国经济网
445,2021-02-25,金融·人事丨第五家AMC银河资产招人了！ 开业1月后招聘9部门40余个岗位,21世纪经济报道
446,2021-02-25,中信占行业一成净利润:强者恒强极致化 前10券商占行业净利50%,财联社
447,2021-02-24,中国银河(06881.HK)完成兑付2020年第十五期短期融资券,格隆汇
448,2021-02-24,年报剧透“答卷”，险资布局哪些公司？,Wind
449,2021-02-19,【异动股】中国银河(06881-HK)涨3.34%,财华社
450,2021-02-19,券商股午后上攻，兴业证券、中信建投等涨幅靠前,Wind
451,2021-02-18,2021年第一波，涨价“红包”如期而至,Wind
452,2021-02-18,21家上市券商“抱团”计提资产减值准备，预计去年计提202.55亿元 资产异常,Wind
453,2021-02-15,28家券商成绩单出炉：这15家净利润增幅超40%，最高暴增3.25倍,Wind
454,2021-02-10,中国银河(06881.HK)：提名第四届监事会非职工代表监事,格隆汇
455,2021-02-09,中国银河完成兑付2020年度第十四期短期融资券,新浪
456,2021-02-09,中国银河(06881.HK)完成兑付30亿元短期融资券,格隆汇
457,2021-02-05,中国银河(06881)1月累计新增借款178.42亿元 占2020年末净资产比例21.76% 大额借贷担保,智通财经
458,2021-02-05,中国银河：2021年累计新增借款占上年末净资产比例为21.76% 大额借贷担保,Wind
459,2021-02-05,中国银河(601881.SH)当年累计新增借款超上年末净资产20% 大额借贷担保,格隆汇
460,2021-02-04,中国银河(06881.HK)完成发行40亿元公司债券,格隆汇
461,2021-02-04,天成自控跌停 银河证券位列第六大流通股东,中国经济网
462,2021-02-02,聚石化学2月2日龙虎榜数据,证券时报网
463,2021-02-02,中公教育连续2日出现大额大宗交易，今日折价11.2%,Wind
464,2021-02-02,券商行业周报(2021年第四期)：证监会部署改革重点 行业业绩大幅上升,新浪
465,2021-02-01,中国银河去年净利72亿计提减值准备6亿 股价跌0.28% 资产异常,中国经济网
466,2021-02-01,中公教育出现52笔共计29.9亿元大宗交易，折价12.4%,Wind
467,2021-02-01,南向资金高比例持有港股名单,证券之星
468,2021-02-01,19家上市券商“抱团”计提减值超161亿元，去年净利润至少因此预减121亿元 资产异常,Wind
469,2021-01-31,中国银河(06881-HK)去年计提资产减值6.01亿人民币 资产异常,财华社
470,2021-01-29,中国银河2020年实现净利润72.44亿元 同比增长38.55%,证券日报网
471,2021-01-29,中国银河(06881.HK)：2020年计提6.01亿元资产减值准备 资产异常,格隆汇
472,2021-01-29,中国银河(06881)年度净利预增38.55%,智通财经
473,2021-01-29,中国银河(06881)：因被执行人徐国栋目前暂无其他财产可供执行 法院裁定终结执行程序,智通财经
474,2021-01-29,中国银河(06881.HK)：收到执行裁定书 诉讼纠纷,格隆汇
475,2021-01-29,中国银河(06881.HK)业绩快报：2020年净利72.44亿元同比增长38.55%,格隆汇
476,2021-01-29,中国银河(06881.HK)：2021年第二期短期融资券发行完毕,格隆汇
477,2021-01-29,中国银河：2020年净利润同比增长38.55%（业绩快报）,Wind
478,2021-01-29,中国债券市场金融债发行日程一览(1月29日),Wind
479,2021-01-29,【行情】证券板块午后大幅转跌，中金公司跌幅逾4%，中国银河、东方财富、红塔证券、国盛金控等跟跌,金十数据
480,2021-01-29,解盘：成交量低迷，航空、白酒、CRO、影视略涨,Wind
481,2021-01-29,中国银河证券2020年净利润72.44亿元 同比增38.55%,北京商报
482,2021-01-28,1月28日深市创业板活跃股公开信息,深交所
483,2021-01-28,中国银河(06881.HK)就杨振华仲裁案提交恢复执行申请 诉讼纠纷,格隆汇
484,2021-01-27,南向资金高比例持有港股名单,证券之星
485,2021-01-26,江西证监局决定没收颜家晓内幕交易违法所得，并处以罚款 金融监管处罚,Wind
486,2021-01-26,业绩预告点燃整个板块！这波行情还能持续多久？,上证报
487,2021-01-26,1月26日深市创业板活跃股公开信息,深交所
488,2021-01-26,中国银河(601881.SH)：2020年度第十三期短期融资券兑付完成,格隆汇
489,2021-01-26,A股午盘综述：上证指数跌1.2%，创业板指跌2.39%.,Wind
490,2021-01-25,抄大佬的底？冯柳、葛卫东参与的定增亏了,上证报
491,2021-01-22,1月22日深市创业板活跃股公开信息,深交所
492,2021-01-22,【异动股】中国银河(06881-HK)跌3.15%,财华社
493,2021-01-21,中国银河(06881)完成发行50亿元2021年公司债券(第一期),智通财经
494,2021-01-21,中国银河(601881.SH)：成功发行50亿元公司债券,格隆汇
495,2021-01-21,中国银河(06881.HK)：2021年公司债券(第一期)公开发行完毕,格隆汇
496,2021-01-21,1月21日深市创业板活跃股公开信息,深交所
497,2021-01-21,胡润品牌榜：工行和建行跌出十强 分列第12名和第14名,新浪
498,2021-01-21,胡润品牌榜：工行和建行跌出十强 分列第15名和第19名,新浪
499,2021-01-21,中国银河(06881-HK)加速向财富管理中心转型提供区域性综合金融服务把握商机,财华社
500,2021-01-20,瑞银升中国银河(06881-HK)目标价至4.5港元评级沽售,财华社
501,2021-01-20,半导体基金王者归来霸屏收益榜，白酒、新能源说拜拜？,券商中国
502,2021-01-19,多家头部券商参投西部证券定增 75亿元募资意欲资本再扩容,时代在线
503,2021-01-19,券商互投为哪般，短期套利还是并购整合？,环球老虎财经
504,2021-01-19,1月19日深市创业板活跃股公开信息,深交所
505,2021-01-19,【异动股】中国银河(06881-HK)涨3.45%,财华社
506,2021-01-19,南山智尚(300918)：公告（系列）,证券时报网
507,2021-01-19,券业新年第一笔“输血”花落西部证券,Wind
508,2021-01-19,证监会：加强对信息技术服务机构监管,Wind
509,2021-01-19,12家券商近一年斥资55.4亿元参与“同行”定增，4家头部券商“买”成前十大股东,Wind
510,2021-01-18,1月18日深市创业板活跃股公开信息,深交所
511,2021-01-17,券商吵翻了，7000亿新基建仓能否继续抱团？,中国基金报
512,2021-01-15,中国债券市场金融债发行日程一览(1月15日),Wind
513,2021-01-14,中国银河(06881.HK)完成兑付2020年第十二期短期融资券,格隆汇
514,2021-01-14,中国银河(601881.SH)完成兑付本息40.29亿元短期融资券,格隆汇
515,2021-01-12,中国银河(06881)完成发行40亿元短期融资券,智通财经
516,2021-01-12,中国银河(06881.HK)完成发行2021年度第一期短期融资券,格隆汇
517,2021-01-12,中国银河(601881.SH)完成发行2021年度第一期短期融资券,格隆汇
518,2021-01-12,券商爆发引燃市场，3张图看清其估值、杠杆和投资前景,Wind
519,2021-01-12,【异动股】中国银河(06881-HK)涨4.67%,财华社
520,2021-01-11,2021：资产管理公司抓机遇促转型,中国金融新闻网
521,2021-01-11,关于同意中国银河证券股份有限公司为南方中证银行交易型开放式指数证券投资基金提供主流动性服务的公告,上交所
522,2021-01-09,第五大AMC中国银河资产今日正式开业,中国证券网
523,2021-01-08,捷佳伟创跌10% 新年伊始中国银河申银万国刚唱多,中国经济网
524,2021-01-08,生猪期货来了！挂牌价呈现经典贴水结构,Wind
525,2021-01-07,全国首批政策性生猪“保险+期货”项目落地甘肃省静宁县,Wind
526,2021-01-07,全国首批政策性生猪“保险+期货”项目落地甘肃省静宁县,中证网
527,2021-01-05,1月5日深市创业板活跃股公开信息,深交所
528,2021-01-05,券商股拉涨，国金证券瞬间封板,Wind
529,2021-01-04,中证协发布2021年首份罚单：原券商员工因考试作弊被停止执业两年 金融监管处罚,Wind
530,2021-01-04,中国银河(601881)：传统经纪业务领先 投行资管盼成长,华福证券有限责任公司
531,2021-01-01,龙头地位稳固！2020年股权承销榜出炉,Wind
532,2020-12-30,中证协公布2020年度证券公司从事上市公司并购重组财务顾问执业能力专业评价结果,Wind
533,2020-12-29,南方轴承跌停 中国银河与百亿私募嘉恳资产等持股,中国经济网
534,2020-12-27,中国银河(06881)拟向银河期货增资,智通财经
535,2020-12-25,中国银河(06881-HK)董事会审议通过向银河期货增资,财华社
536,2020-12-25,中国银河：拟将银河期货注册资本由12亿元增至23亿元,证券日报网
537,2020-12-25,中国银河(601881.SH)拟向子公司银河期货增资后者注册资本拟增至23亿元,格隆汇
538,2020-12-25,12月25日深市创业板活跃股公开信息,深交所
539,2020-12-24,中国银河：中国银河关于职工董事辞职的公告 董监高成员变化,新浪
540,2020-12-24,中国银河(06881)：非执行董事王泽兰因达法定退休年龄辞职 董监高成员变化,智通财经
541,2020-12-24,中国银河(06881.HK)：王泽兰因到龄退休辞任非执行董事职务 董监高成员变化,格隆汇
542,2020-12-24,中国银河：王泽兰辞去公司职工董事等职务 董监高成员变化,Wind
543,2020-12-24,中国银河(601881.SH)成功发行50亿元短期公司债券,格隆汇
544,2020-12-24,中国银河(06881.HK)完成发行50亿元公司债券,格隆汇
545,2020-12-23,10万亿投行江湖，谁是2020年最大赢家？,中证报
546,2020-12-22,中国银河(06881)与孙涛勇等被告就融资融券交易纠纷案已经法院调解 诉讼纠纷,智通财经
547,2020-12-22,中国银河(06881.HK)获偿还融资本金及利息等共计约6640.98万元,格隆汇
548,2020-12-21,中国债券市场金融债发行日程一览(12月21日),Wind
549,2020-12-21,2021年A股掘金去哪儿，众机构普遍看好消费科技复苏三赛道,Wind
550,2020-12-18,中国银河金控旗下中国银河资产获中国银保监会批准开业,银河基金
551,2020-12-17,四大AMC成立20余年后，第五家AMC获准成立,21世纪经济报道
552,2020-12-17,四大AMC成立20余年后 第五家AMC银河资产获准开业,21世纪经济报道
553,2020-12-17,第五家全国性资产管理公司来了！中国银河资产正式获批开业,新浪
554,2020-12-17,中国银河：2021年是公募权益基金的“超级大年”,证券日报网
555,2020-12-16,仁东控股今日“重回”跌停，游资博弈激烈丨热公司,第一财经
556,2020-12-15,12月15日深市创业板活跃股公开信息,深交所
557,2020-12-15,中国银河(601881.SH)：2020年度第十一期短期融资券兑付完成,格隆汇
558,2020-12-14,12月14日深市创业板活跃股公开信息,深交所
559,2020-12-11,中国银河(601881.SH)：完成发行30亿元短期融资券,格隆汇
560,2020-12-11,中国银河(06881)获中证监批准发行不超过300亿元短期公司债,智通财经
561,2020-12-11,中国银河(06881)完成发行30亿元2020年度第十六期短期融资券,智通财经
562,2020-12-11,中国银河(06881.HK)发行短期公司债获中国证监会注册批复,格隆汇
563,2020-12-11,中国银河(06881.HK)2020年度第十六期短期融资券发行完毕,格隆汇
564,2020-12-11,中国银河(601881.SH)：公开发行短期公司债券获中国证监会注册批复,格隆汇
565,2020-12-08,12月8日深市创业板活跃股公开信息,深交所
566,2020-12-08,ST金刚今日涨停，中国银河上海浦东南路领衔炒作,Wind
567,2020-12-08,港股盘前必读：京东健康在香港IPO发行价为每股70.58港元预期12月8日挂牌,Wind
568,2020-12-07,12月7日深市创业板活跃股公开信息,深交所
569,2020-12-04,千禾味业现22笔大宗交易总成交金额2.55亿元,证券时报网
570,2020-12-04,【异动股】中国银河(06881-HK)跌3.07%,财华社
571,2020-12-02,【行情】券商板块拉升，国联证券大涨9%，长城证券、华创阳安、天风证券、中国银河跟涨,金十数据
572,2020-12-02,“牛市旗手”再发力，沪指盘中一度突破3458点，创逾两年新高,第一财经
573,2020-12-02,A股午盘综述：上证指数半日微升，盘中创出2018年2月初以来新高,Wind
574,2020-12-02,券商股走强 国盛金控涨停 华创阳安、中国银河等多股跟张,金融界
575,2020-12-02,华林证券直线涨停，券商板块扩大升幅,Wind
576,2020-12-02,【行情】券商股继续走强，国盛金控高开封板，目前5天4板，华创阳安、中国银河、招商证券等跟涨,金十数据
577,2020-12-01,12月1日深市创业板活跃股公开信息,深交所
578,2020-12-01,关于同意中国银河证券股份有限公司为华安易富黄金交易型开放式证券投资基金提供一般流动性服务的公告,上交所
579,2020-11-27,中国银河(06881)已完成2020年公司债券(第3期)的公开发行,智通财经
580,2020-11-27,中国银河(06881.HK)完成发行60亿元公司债,格隆汇
581,2020-11-27,中国银河(601881.SH)完成发行2020年公司债券(第三期),格隆汇
582,2020-11-26,中国银河(06881)完成兑付2020年度第十期短期融资券,智通财经
583,2020-11-25,【平安金融】一、二级市场活跃，经纪、投行带动业绩大幅增长——证券行业三季报综述,逸赏金融
584,2020-11-25,中国银河(06881.HK)完成发行40亿元短期融资券,格隆汇
585,2020-11-25,中国银河(601881.SH)完成发行2020年度第十五期短期融资券,格隆汇
586,2020-11-24,中国银河(06881)完成发行50亿元2020年永续次级债券(第一期),智通财经
587,2020-11-24,中国银河(06881.HK)：2020年永续次级债券(第一期)公开发行完毕,格隆汇
588,2020-11-24,中国银河(601881.SH)：成功发行50亿元永续次级债券,格隆汇
589,2020-11-24,11月24日深市创业板活跃股公开信息,深交所
590,2020-11-24,解盘：资金继续流入，锂矿、IGBT、半导体、充电桩领涨,Wind
591,2020-11-24,【行情】证券板块异动拉升，国联证券拉升触板，中泰证券、中国银河、海通证券、华泰证券等跟涨,金十数据
592,2020-11-24,券商频频调研科技医药，板块或现配置良机,Wind
593,2020-11-23,11月23日深市创业板活跃股公开信息,深交所
594,2020-11-23,中国债券市场金融债发行日程一览(11月23日),Wind
595,2020-11-23,【异动股】中国银河(06881-HK)涨4.34%,财华社
596,2020-11-23,关于同意中国银河证券股份有限公司为易方达上证科创板50成份交易型开放式指数证券投资基金提供一般流动性服务的公告,上交所
597,2020-11-20,游资情报｜网红“辛巴”燕窝事件带崩妖股，游资疯狂出逃；“瑞鹤仙”连续扫货两只强势股！,每日经济新闻
598,2020-11-20,关于同意中国银河证券股份有限公司为易方达沪深300非银行金融交易型开放式指数证券投资基金提供一般流动性服务的公告,上交所
599,2020-11-19,中国债券市场金融债发行日程一览(11月19日),Wind
600,2020-11-18,11月18日深市创业板活跃股公开信息,深交所
601,2020-11-16,11月16日深市创业板活跃股公开信息,深交所
602,2020-11-13,中国银河(601881.SH)：2020年度第九期短期融资券兑付完成,格隆汇
603,2020-11-11,中国银河(06881)完成发行30亿元2020年度第十四期短期融资券,智通财经
604,2020-11-11,中国银河(06881.HK)完成发行2020年第十四期短期融资券,格隆汇
605,2020-11-11,中国银河(601881.SH)：完成发行30亿元短期融资券,格隆汇
606,2020-11-10,11月10日深市创业板活跃股公开信息,深交所
607,2020-11-10,基金早知道 | 持股市值3.87万亿元，公募话语权再度提升,第一财经
608,2020-11-09,南新制药龙虎榜：营业部净买入1322.42万元,证券时报网
609,2020-11-09,【异动股】中国银河(06881-HK)涨4.32%,财华社
610,2020-11-07,上市券商2020年三季度业绩总结及展望：大自营维持首位占比 延续业绩分化 盈利能力下降,新浪
611,2020-11-07,大自营维持首位占比，延续业绩分化——上市券商2020年三季度业绩总结及展望,强思非银
612,2020-11-07,非银金融行业周报：投行经纪业务持续驱动 券商业绩普遍向好,新浪
613,2020-11-06,中国银河累计新增借款319亿元 占上年末净资产超40% 大额借贷担保,中国经济网
614,2020-11-05,"今日共85只股票出现大宗交易, 明星营业部历史平均跑赢大盘8.23%",云掌财经
615,2020-11-05,中国银河(06881)前10月累计新增借款超过上年末净资产的40% 大额借贷担保,智通财经
616,2020-11-05,相关业务向头部券商集中化明显 40家上市券商谁更有后劲？,羊城晚报
617,2020-11-05,酒鬼酒今日涨停创新高，外资大幅买入,Wind
