,2021-12-31,A股资金流向：市场完美红盘收官，指数波澜不惊,Wind
5244,2021-07-05,中芯国际核心技术人员离职 碧桂园获联席主席杨惠妍增持468.1万股 员工变动,--
5245,2021-07-05,北向资金净买入37.65亿，盐湖提锂、稀缺资源、有机硅板块涨幅居前，解读,和讯
5246,2021-07-05,一线机构定增“抢筹”再现，中微公司获“国家队”25亿认购！,环球老虎财经
5247,2021-07-05,全线飘红！首批5只双创ETF今上市，总成交金额突破8亿,环球老虎财经
5248,2021-07-05,午评：指数早盘宽幅震荡创指涨0.29% 锂电池概念掀涨停潮,新浪
5249,2021-07-05,每经IPO周报第18期丨上周A股迎申报高潮，90家公司IPO获受理 喜悦智行重要供应商藏身小区？,每日经济新闻
5250,2021-07-05,中巨芯启动科创板IPO辅导，巨化股份和大基金各持35.2%股份并列第一大股东,智通财经
5251,2021-07-05,中芯国际核心技术人员离职！自愿放弃16万股A股激励 员工变动,国际电子商情
5252,2021-07-05,开盘：恒指低开0.75%，中芯国际核心技术人员离职，开盘跌超1% 员工变动,金融界
5253,2021-07-05,快讯：三大股指悉数翻红创指涨1.6% 锂电池概念全线爆发,新浪
5254,2021-07-05,中巨芯提前科创板IPO！大基金持股35.2% 瞄准电子化学材料“卡脖子”难题,极客网
5255,2021-07-05,电报|中巨芯启动科创板IPO辅导大基金持股中芯国际上海新阳等潜伏,财联社
5256,2021-07-05,核心技术人员放弃千万也要走，中芯国际怎么了？,证券之星
5257,2021-07-05,核心技术人员离职 中芯国际股价开盘下跌：公司回应称研发工作正常 员工变动,快科技
5258,2021-07-05,中芯国际技术研发副总裁离职，公司回应研发工作正常进行 董监高成员变化,资本邦
5259,2021-07-05,小K播早报！“滴滴出行”App被网信办下架 中芯国际核心技术人员离职 产品问题,科创板日报
5260,2021-07-05,科创板“高墙”难越，依图科技转战境外上市？,Ofweek
5261,2021-07-05,操盘必读｜国务院重磅，3万亿行业迎风口！又一芯片股获大基金二期投资！非农数据强劲，美股又创新高！,上游新闻
5262,2021-07-05,港股归创通桥(02190.HK)首日挂牌,财华社
5263,2021-07-05,港股盘前普挫，恒指低开211点,财华社
5264,2021-07-05,大公司早报 | 滴滴回应被下架 小米近4000员工获人均47万元股权激励,观察者网
5265,2021-07-05,开盘：恒生指数低开0.75%，归创通桥首挂高开近29%,老虎证券
5266,2021-07-05,【行情】港股开盘，恒指开跌0.75%,金十数据
5267,2021-07-05,电子行业周报：晶圆厂满载 CAPEX上修 设备材料迎国产化黄金机遇,新浪
5268,2021-07-05,【文末有福利】双创50，闪耀首发！,--
5269,2021-07-05,A股融资融券日报：两融余额减少58.92亿元（7月2日）,Wind
5270,2021-07-05,中芯国际核心技术人员离职，近千万股票激励，214万年薪全不要了！37万股民懵了 员工变动,21世纪经济报道
5271,2021-07-05,理想汽车6月新增订单创历史新高；马斯克：全自动驾驶套件9测试版很快将发布；中微公司定增获多家知名机构认购,每经头条
5272,2021-07-05,7月5日股市避雷针,财联社
5273,2021-07-05,电子｜半导体持续景气，消费电子阶段承压：2021年中报业绩展望,中信证券研究
5274,2021-07-05,适合普通上班族的基金，双创50天弘场外首发！,新浪
5275,2021-07-05,双创50指数基金，为什么堪称“科技第一基”？,新浪
5276,2021-07-05,盘前有料丨首批5只双创50ETF今上市、“滴滴出行”App被下架…重要消息还有这些,证券时报
5277,2021-07-05,中芯国际核心技术人员离职！放弃近千万股权 员工变动,中国基金报
5278,2021-07-05,智通港股早知道︱(7月5日)市场将聚焦盈利可持续增长的股票，国内LNG产业链值得关注,智通财经
5279,2021-07-05,股海导航 7月5日沪深股市公告提示,新浪
5280,2021-07-05,财信证券周策略(2021.7.5-7.9):中报预告行情演绎，关注业绩超预期的科技股,财信证券研究
5281,2021-07-05,本周股市三大猜想及应对策略,财富动力网
5282,2021-07-05,早知道：首批5只双创50ETF今日上市；国家网信办通知应用商店下架“滴滴出行”App,e公司
5283,2021-07-05,格隆汇7.5盘前要点丨首批5只双创50ETF今日上市；市场监管总局出手剑指大数据杀熟；滴滴遭网信办下架,格隆汇
5284,2021-07-05,试验田结硕果硬科技显实力,经济日报
5285,2021-07-05,中芯国际研发副总辞职 刚刚获授近千万市值股票 董监高成员变化,全景网
5286,2021-07-05,超级龙头先正达IPO 并购出来的“银河舰队”,全景网
5287,2021-07-05,今日视点：唯创新与责任不可辜负,证券日报
5288,2021-07-04,中芯国际五位大牛之一走人！近千万股权不要了,快科技
5289,2021-07-04,突发！中芯国际核心技术人员离职，放弃近千万的股票激励，公司回应来了 员工变动,中证报
5290,2021-07-04,首批9只双创基金陆续上市，值得买吗？怎么选？,21世纪经济报道
5291,2021-07-04,芯片龙头重大变动！研发副总裁离职，自愿放弃近千万元股票 董监高成员变化,搜狐
5292,2021-07-04,【华西电子孙远峰团队-持续推荐晶丰明源】拟定增收购凌鸥创芯，拓宽产品种类,远峰电子
5293,2021-07-04,A股头条之上市公司7.5,金融界
5294,2021-07-04,中芯国际核心技术人员离职，曾主导开发N+1工艺 员工变动,经济观察报
5295,2021-07-04,晚间重要公告2021年7月4日星期日,Wind
5296,2021-07-04,周日重大事件汇总,第一财经
5297,2021-07-04,中芯国际核心技术人员离职：近千万市值限制性股票不要了 公司回应 员工变动,e公司
5298,2021-07-04,盘后公告集锦|富满电子：上半年净利预计同比增长1125%-1247%,财联社
5299,2021-07-04,公告精选：富满电子等上半年业绩大幅预增；新凤鸣年产60万吨聚酯纤维项目投产,e公司
5300,2021-07-04,晚间公告｜7月4日这些公告有看头,第一财经
5301,2021-07-04,科技周报：滴滴纽交所挂牌上市；杭州保姆纵火案男主人设翻车,Bianews
5302,2021-07-04,中芯国际：核心技术人员离职，未产生重大不利影响 员工变动,搜狐
5303,2021-07-04,11年来最大IPO来了：4700亿巨头先正达要点燃科创板？新华社发出警示,新浪
5304,2021-07-04,7月4日上市公司晚间公告速递,新浪
5305,2021-07-04,中芯国际：参与FinFET核心技术开发的吴金刚博士离职,IT之家
5306,2021-07-04,刚刚，4600亿芯片巨头发布重要公告，核心技术人员离职,和讯
5307,2021-07-04,思维财报|国务院发文支持保障性租赁住房 下周459亿市值限售股将解禁环比减少28.02% 解禁,中金在线
5308,2021-07-04,中芯国际核心技术人员吴金刚离职，联席CEO曾称“钱赚不过来” 员工变动,和讯
5309,2021-07-04,中芯国际(00981.HK)核心技术人员吴金刚博士离职 员工变动,格隆汇
5310,2021-07-04,中芯国际：目前公司的技术研发工作均正常进行，吴金刚博士的离职未对公司整体研发实力产生重大不利影响,金十数据
5311,2021-07-04,中芯国际：核心技术人员离职 目前技术研发工作正常进行 员工变动,e公司
5312,2021-07-04,中芯国际：公司核心技术人员吴金刚离职 员工变动,Wind
5313,2021-07-04,"中芯国际集成电路制造有限公司关于核心技术人员离职的公告：公司核心技术人员吴金刚博士近日因个人原因申请辞去相关职务并办理完成相关离职手续
员工变动",金十数据
5314,2021-07-04,超重磅！全球排名第一，4700亿农业科技巨头来了！创11年最大IPO记录！双创基金明日上市，首募火爆的TA投资价值在哪里？,雪球
5315,2021-07-04,半导体行业月度深度跟踪：行业景气业绩兑现 关注AIOT智能化浪潮,新浪
5316,2021-07-04,【公司点评】北方华创：2021H1业绩指引符合预期，半导体设备龙头持续受益晶圆扩产,吉森电子研究
5317,2021-07-03,近十年A股最大IPO来了？拟募资650亿，又一只巨无霸闯关科创板！（附最新拟IPO排队名单）,全景网
5318,2021-07-03,先正达集团拟登陆科创板募资650亿，或创十年来A股最大IPO,Bianews
5319,2021-07-03,4700亿巨头申报稿正式披露，科创板史上最大IPO要来了！10大看点，最全解读,中国基金报
5320,2021-07-03,传闻泰科技5.6亿收购英国最大芯片厂！官方回应,快科技
5321,2021-07-03,"重磅信号！""国家队""出动，25亿加码这家半导体设备龙头，更有一众明星机构跟投，投资重点正在转移？",证券之星
5322,2021-07-03,大基金、高毅同时抢筹！半导体龙头中微公司定增结果出炉,Wind
5323,2021-07-03,比亚迪半导体拟创业板上市募资27亿：最大客户是比亚迪 红杉小米都是股东,TechWeb
5324,2021-07-03,大基金、高毅同时抢筹！半导体龙头中微公司定增结果出炉,证券时报
5325,2021-07-03,中微公司定增收官 大基金二期获配25亿元,上证报
5326,2021-07-03,为了半导体！刚刚，国家大基金再出手，25亿入股800亿巨头！私募大佬邓晓峰也行动了,中国基金报
5327,2021-07-02,10年实现人口增长超50%，这3座小城究竟是怎样做到的？,21世纪经济报道
5328,2021-07-02,北上广深有望率先“碳达峰”，城市运行过程中如何减碳？,21世纪经济报道
5329,2021-07-02,上交所总经理工作报告：推动“应科尽科” 进一步发挥科创板改革“试验田”作用,中证网
5330,2021-07-02,金评天下|A股下半场的机会在哪儿,金融投资报
5331,2021-07-02,上海证券交易所总经理2020年工作报告（节选）,上交所
5332,2021-07-02,大基金25亿入局！半导体刻蚀设备龙头豪华定增团揭晓，高毅也来了,财联社
5333,2021-07-02,上海证券交易所总经理2020年工作报告：坚守科创板定位，支持与鼓励“硬科技”企业上市，以中芯国际、寒武纪等为代表，一批极具“含科量”的企业陆续登陆科创板，红筹企业上市实现突破,金十数据
5334,2021-07-02,电子行业2021年中报业绩展望：半导体持续景气 消费电子阶段承压,新浪
5335,2021-07-02,智通港股通活跃成交|7月2日,智通财经
5336,2021-07-02,中微公司(688012)：刻蚀+MOCVD龙头 内生外延协同打造设备平台,新浪
5337,2021-07-02,鸿蒙拉动半导体最牛行情！已有7家公司净利同比增速超一倍（名单）,时代财经
5338,2021-07-02,7月2日科创板主力资金净流出30.14亿元,证券时报网
5339,2021-07-02,北水动向(7.2)|北水净流出70.45亿 大型科技股再遭抛售 腾讯(00700)净卖出额超33亿港元,智通财经
5340,2021-07-02,SK海力士再度宣布拟扩大代工业务无锡厂扩产迫在眉睫,财联社
5341,2021-07-02,【解读】超80亿定增落地，获大基金加持，半导体设备龙头稳了,财华社
5342,2021-07-02,数据|科创板主力资金净流出212股开普云流出率最高,财联社
5343,2021-07-02,一周热点：IPO、Mini/Micro LED、业绩秀,LED在线
5344,2021-07-02,7月2日复盘：谁是暴跌罪魁祸首 主力资金出击7股,新浪
5345,2021-07-02,港股收盘丨恒指跌1.8%科技股领跌,第一财经
5346,2021-07-02,港股全线收跌恒生科技指数跌逾3% 连续下跌,财联社
5347,2021-07-02,泛癌症筛查从被质疑到广泛接受，安派科生物是先行者,陆家嘴金融网
5348,2021-07-02,A股资金流向（7月2日）：小金属板块获资金入驻，权重股多被抛售,Wind
5349,2021-07-02,鸿蒙拉动半导体蓬勃发展，行业趋势一片大好明微电子半年利润暴增8倍,时代在线
5350,2021-07-02,滴滴“光速”上市！5亿用户撑腰，却3年亏掉342亿！未来怎么赚钱？ 亏损,21世纪经济报道
5351,2021-07-02,“十年难得一遇”芯片大缺货！这些中国厂商的机会来了,21世纪经济报道
5352,2021-07-02,涨停板复盘：创业板指跌逾3.5% 锂电股逆势大涨,新浪
5353,2021-07-02,揭秘港交所“网红”结构性产品——窝轮、牛熊证、界内证（上篇）,冠通期货
5354,2021-07-02,半导体业迎新轮加速发展阶段,中国电子报
5355,2021-07-02,力合微：公司主要向台积电、中芯、华虹等晶圆代工厂采购芯片生产服务,上海有色
5356,2021-07-02,重奖梁孟松2400万股票 中芯国际谈人才：福利有充足保障,快科技
5357,2021-07-02,鸿蒙拉动半导体最牛行情！明微电子半年利润暴增8倍，长电科技：旺季还在下半年,时代财经
5358,2021-07-02,2021年上半年手机概念股市值排行榜：11家企业市值超千亿元,搜狐
5359,2021-07-02,华特气体(688268)：Q2归母净利润快速增长 业绩符合预期,新浪
5360,2021-07-02,半导体业规模实力快速提升,中国电子报
5361,2021-07-02,六月涨幅接近30%，昨日突现大幅回撤，半导体行情就此熄火？ （名单）,21世纪经济报道
5362,2021-07-02,景顺长城中证港股通科技ETF正式上市,新浪
5363,2021-07-02,半导体之晶圆江湖|国产龙头之中芯国际：道阻且长，行则将至,财华社
5364,2021-07-02,明微电子(688699)：下游持续需求旺盛 上半年业绩大幅增长 MINI+LED市场上行,新浪
5365,2021-07-02,【981】中芯：核心技术人员离职对研发实力无重大影响|头条金融网 员工变动,头条日报
5366,2021-07-02,【国泰君安国际】晨报：权重股仍处弱势，恒指或维持盘整,国泰君安证券香港
5367,2021-07-02,6月份75%股票型基金上涨 市场整体保持稳定,中国经济网
5368,2021-07-02,半导体分拆上市，估值已过百亿！比亚迪发力新赛道？,21世纪经济报道
5369,2021-07-02,这家网红基金3个月内高层连换三人，总经理身兼三职！啥情况,21世纪经济报道
5370,2021-07-02,年内疯涨250%，这种材料火了！千亿A股龙头利润猛增177%！分析师：价格短期难扭转,21世纪经济报道
5371,2021-07-02,年内南向资金净流入额或突破8000亿港元！私募基金为何加码港股,21世纪经济报道
5372,2021-07-02,A股融资融券日报：两融余额减少101.12亿元（7月1日）,Wind
5373,2021-07-02,电子信息规模实力双提升,中国电子报
5374,2021-07-02,智通港股开市掘金(07.02) | 中医行业利好不断 券商板块中报业绩给力,智通财经
5375,2021-07-02,智通港股通资金流向统计(T+2)|7月2日,智通财经
5376,2021-07-02,创成长ETF上半年涨幅超27% 领涨全球主要宽基指数,财富动力网
5377,2021-07-02,诺安基金呈现公募人员动荡切面：总经理身兼三职,21世纪经济报道
5378,2021-07-02,高层换帅引发关注 诺安基金三个月内已发生多次高管变更 董监高成员变化,21世纪经济报道
5379,2021-07-01,2021年券商“中考”：近半数投行颗粒无收，这类业务迎来好时光,21世纪经济报道
5380,2021-07-01,基金年中成绩单出炉！Top1收益超50%，大批明星基金经理“不及格”,21世纪经济报道
5381,2021-07-01,基金半年业绩出炉！“蔡神”王者回归！,智通财经
5382,2021-07-01,缺芯下国产半导体迎发展契机,21世纪经济报道
5383,2021-07-01,中观行业数据观察：三星GAA新技术成功流片延续摩尔定律及全球半导体行业高景气,新浪
5384,2021-07-01,诺安基金展露公募人员动荡切面：总经理身兼三职，网红基金是否继续演绎过山车行情？,21世纪经济报道
5385,2021-07-01,这才是纯国产芯片？中科院宣布好消息，翻盘点已出现,搜狐
5386,2021-07-01,车芯第一股要来？比亚迪半导体“光速”获受理,环球老虎财经
5387,2021-07-01,21深度丨比亚迪半导体分拆奔赴科创板获受理：拟募资27亿 过半收入仰仗集团,21世纪经济报道
5388,2021-07-01,21深度丨比亚迪半导体分拆奔赴创业板获受理：拟募资27亿,21世纪经济报道
5389,2021-07-01,国内首台关键尺寸量测设备出机中芯国际,财联社
5390,2021-07-01,电子行业2021年三季度投资策略：半导体持续重点推荐 消费电子看好下半年苹果链确定性,新浪
5391,2021-07-01,华特气体(688268)：股权激励赋予公司长远发展动能 电子特气未来空间广阔,新浪
5392,2021-07-01,A股资金流向（7月1日）：银行、地产获资金回流,Wind
5393,2021-07-01,布局港股科技龙头 景顺长城中证港股通科技ETF7月2日起上市交易,中证网
5394,2021-07-01,坤坤不敌蔡经理！又是谁夺走了上半年基金桂冠？,新浪
5395,2021-07-01,科创板“半年报”：上市企业突破300家，科创50指数上涨逾14%,华夏时报
5396,2021-07-01,比亚迪半导体上市申请获受理，估值超100亿！,环球老虎财经
5397,2021-07-01,首批场外双创50指数基金发行在即，投资者配置科创龙头门槛降低,深圳特区报
5398,2021-07-01,天风证券：北方华创（002371.SZ）1H21预告超预期，设备龙头持续受益扩产和国产化，维持“买入”评级,智通财经
5399,2021-07-01,北方华创(002371)：中报业绩高增长 深度受益国产化,国金证券股份有限公司
5400,2021-07-01,【天风电子】北方华创：1H21预告超预期，设备龙头持续受益扩产和国产化,科技伊甸园
5401,2021-07-01,科创板晚报|晶丰明源涨价函今日生效 传音控股半年报预增约57.35%,科创板日报
5402,2021-07-01,A股融资融券日报：两融余额增加47.82亿元（6月30日）,Wind
5403,2021-07-01,晨会0701｜6月中采PMI数据点评,中信证券研究
5404,2021-07-01,海外中资股｜海外“全中国组合”—2021年7月,中信证券研究
5405,2021-07-01,电子｜半导体持续重点推荐，消费电子看好下半年苹果链高确定性：2021年三季度投资策略,中信证券研究
5406,2021-07-01,半导体材料行业动态点评：“芯片缺货”问题持续发酵 原材料价格上涨利好国内半导体材料企业,光大证券
5407,2021-07-01,港股每日交易必读 （2020-7-1）,--
5408,2021-07-01,重磅利好！沪深交易所“放大招”！下调这项费用,国元证券订阅号
5409,2021-07-01,睿财看市场：业绩持续成长是王道 核心资产被疯抢,恒泰睿财
5410,2021-07-01,智通港股通资金流向统计(T+2)|7月1日,智通财经
5411,2021-07-01,首批5只双创50ETF下周一上市,Wind
5412,2021-07-01,中科院发布国产RISC-V处理器“香山”,新浪
5413,2021-06-30,"【华西电子孙远峰团队—持续坚定推荐韦尔股份】Q2环比继续高增长,战略重点布局汽车半导体",远峰电子
5414,2021-06-30,A股半导体上半年图鉴：明微电子暴涨423%携领六成企业飙红生益电子紧靠华为表现不佳,华夏时报
5415,2021-06-30,A股上半年收官|创业板指创6年新高：股民人均赚3.5万 最牛个股涨逾420%,每日经济新闻
5416,2021-06-30,A股上半年收官！股民人均赚3.5万，创业板指创6年新高，最牛个股涨逾420%！刚刚，沪深交易所释放重大利好,每日经济新闻
5417,2021-06-30,无实控人次新股表现如何？大数据告诉你,新浪
5418,2021-06-30,智通港股解盘(06.30) | “五穷六绝七翻身”恐要落空,智通财经
5419,2021-06-30,LED行业景气度攀升 明微电子延伸产业链保供应,e公司
5420,2021-06-30,今日股市0630丨创成指上半年大涨超17%，能否继续上行？,第一财经
5421,2021-06-30,A股上半年收官！创指半年涨超17%创六年新高科技股表现优异,财华社
5422,2021-06-30,三年半亏损28亿元，中芯集成完成上市辅导：中芯国际是大股东 亏损,C114通信网
5423,2021-06-30,比亚迪旗下半导体公司创业板上市获受理 目标成为新型半导体供应商,中华网
5424,2021-06-30,智通港股通活跃成交|6月30日,智通财经
5425,2021-06-30,估值超百亿元：比亚迪半导体创业板上市申请获受理,快科技
5426,2021-06-30,ETF日报 | 隔夜1.5倍做多恐慌指数涨超3%，做空金银类ETF大赚,金融界
5427,2021-06-30,资金复盘 | 南下资金青睐吉利！美团、腾讯遭甩卖,金融界
5428,2021-06-30,港股上半年跑输美股：科技股下跌3% 中石油、中信累计涨超50%,证券之星
5429,2021-06-30,港股通6月30日成交活跃股名单,证券时报网
5430,2021-06-30,通信电子行业景气数据跟踪报告之六(2021年6月)：电动汽车浪潮开启 全球半导体龙头业绩靓丽,光大证券
5431,2021-06-30,张忆东：港股7月成长为主价值为辅 推荐10只个股（附股）,新浪
5432,2021-06-30,数据复盘｜50股获主力资金净流入超亿元 龙虎榜机构抢筹6股,证券时报网
5433,2021-06-30,北水动向(6.30)|北水净流入5.39亿 汽车股再受追捧 吉利(00175)获超4亿加仓,智通财经
5434,2021-06-30,半导体大涨 ！为什么耗材的商业模式更好？,星空财富
5435,2021-06-30,科创板资金动向：6股主力资金净流入超5000万元,证券时报网
5436,2021-06-30,今日南向资金买卖十大成交榜（2021/6/30）,--
5437,2021-06-30,11只科创板股尾盘现大额资金净流入,证券时报网
5438,2021-06-30,比亚迪股份：分拆子公司比亚迪半导体至创业板上市申请获受理,ZAKER
5439,2021-06-30,中报预喜催生火热行情，这些半导体概念股还有涨幅空间,第一财经
5440,2021-06-30,半年报前瞻|集成电路全产业链业绩喜人汽车IC设计、封测龙头领跑,财联社
5441,2021-06-30,恒指收跌0.57% 半导体、手游板块走强,中新经纬
5442,2021-06-30,芯片股半年报行情开启，有公司利润预增10倍，板块全年业绩预期有望上修,21世纪经济报道
5443,2021-06-30,港股收评：恒指跌0.57%奈雪的茶上市首日大跌13.54% 连续下跌,金融界
5444,2021-06-30,今日这些个股异动主力青睐半导体、抛售热门股,第一财经
5445,2021-06-30,恒生指数收跌0.57%报28827点 恒安国际(01044)跌4.4%领跌蓝筹,凤凰网
5446,2021-06-30,A股收盘：创业板指创六年新高 该追涨吗？机构警告当心点,证券之星
5447,2021-06-30,三星及台积电 3nm 芯片明年量产，中国当前首要目标是 28nm 国产化,ZAKER
5448,2021-06-30,SAI赛热科技发布行业首份清洁算力、电力、热力整合碳足迹报告,投资家
5449,2021-06-30,6月30日复盘：大慢牛市开始步入新阶段 主力资金出击13股,新浪
5450,2021-06-30,A股资金流向（6月30日）：低位芯片龙头股获青睐,Wind
5451,2021-06-30,收评：港股恒指跌0.57%半年累涨5.86% 中石油半年涨超62%领涨蓝筹,新浪
5452,2021-06-30,半导体概念股强势，主力抢筹这些个股,第一财经
5453,2021-06-30,主力尾盘抢筹化工、中药股 抛售生物科技板块,中证网
5454,2021-06-30,1101亿资金争夺20股：主力资金重点出击13股(名单),新浪
5455,2021-06-30,三大指数齐涨 创业板指创近六年新高,中证网
5456,2021-06-30,新经济扫描|恒生指数三连跌，快手跌超3%再失200港元大关 连续下跌,富途证券
5457,2021-06-30,A股收评：创业板指突破年内高点 半导体芯片全天领涨,新京报
5458,2021-06-30,收评 | 各大指数全线飘红，创业板指大涨2.08%,上游新闻
5459,2021-06-30,和讯SGI指数研发创新TOP15强势来袭！中兴通讯领跑，中芯国际惨遭“滑铁卢”,和讯
5460,2021-06-30,容维证券刘思山：科技股展翅高飞 双创完美收半年关,新浪
5461,2021-06-30,中芯国际股价盘中创年内新高，股东大会“凡尔赛”称“钱赚不过来”,21世纪经济报道
5462,2021-06-30,全仓半导体真的好吗？诺安成长日涨超5%，网友称蔡经理永远的神,AI财经社
5463,2021-06-30,港股异动︱港股半导体板块午后集体上涨 上海复旦(01385)涨超15%领涨板块,智通财经
5464,2021-06-30,【行情】港股半导体板块午后走强，上海复旦直线拉升涨15%，先思行涨4.6%，华虹半导体、中芯国际均涨超3%,金十数据
5465,2021-06-30,迎来业绩预增潮港A半导体板块再度沸腾,格隆汇
5466,2021-06-30,深成指涨幅扩大至1%,第一财经
5467,2021-06-30,多家半导体企业业绩预增，市场投资热情高涨,第一财经
5468,2021-06-30,恒生指数午盘收跌0.16%报28948点 半导体板块大涨中电华大科技(00085)涨7.78%,凤凰网
5469,2021-06-30,半导体芯片股早盘掀涨停潮创业板涨超1.5%科创50涨超2%,证券之星
5470,2021-06-30,6月30日午盘两市净流入前20股(名单),金融界
5471,2021-06-30,国产化进程刻不容缓！章建华：加快芯片模块、特高压直流套管等国产化替代,证券之星
5472,2021-06-30,午评：港股恒指跌0.16% 和黄医药上市首日暴涨49%奈雪跌超11%,新浪
5473,2021-06-30,半日主力资金丨加仓半导体股抛售汽车板块,第一财经
5474,2021-06-30,恒生科指微涨 中芯国际涨3%微盟集团跌2%,金融界
5475,2021-06-30,科技赛道起飞！宽基组合进攻性不够强，怎么办？,养基司令
5476,2021-06-30,供不应求！业绩大幅飙升 半导体芯片板块持续爆发(附概念股名单),证券之星
5477,2021-06-30,解盘：百亿资金流入，半导体、光刻胶、电解液、白酒领涨,Wind
5478,2021-06-30,板块异动丨加快芯片模块等国产化替代 半导体芯片股全线上扬,智通财经
5479,2021-06-30,6月30日早盘两市净流入前20股(名单),金融界
5480,2021-06-30,新经济扫描|半导体板块逆市上涨，华虹涨超4%，中芯涨超2%,富途证券
5481,2021-06-30,半导体板块早盘大涨 晶门半导体(02878)领涨升10.32% 多家企业业绩亮眼,和讯
5482,2021-06-30,【异动股】中芯国际(00981.HK)涨3%,财华社
5483,2021-06-30,板块异动 | 芯片股走高 晶门半导体涨近8%上海复旦涨4%,金融界
5484,2021-06-30,明微电子一字板涨停 半年度业绩预告净利润大增近10倍,上海有色
5485,2021-06-30,晶门半导体涨近9% 领涨半导体板块,新浪
5486,2021-06-30,【最全】2021年集成电路行业上市公司全方位对比(附业务布局、业绩对比、业务规划等),前瞻研究院
5487,2021-06-30,港股异动 | 晶门半导体(02878)涨超9%领涨半导体板块 半导体行业迎来业绩预增潮,智通财经
5488,2021-06-30,快讯：创业板指涨逾1%,财联社
5489,2021-06-30,鹏扬双创50指数基金获批 配置科技龙头获强力工具加持,证券之星
5490,2021-06-30,科创50涨幅扩大至2%，续创年内新高,Wind
5491,2021-06-30,74只港股获南向资金大比例持有,证券之星
5492,2021-06-30,A股融资融券日报：两融余额增加21.38亿元（6月29日）,Wind
5493,2021-06-30,芯源微(688037)中报业绩预告点评：Q2大幅增长 国产替代进程加速,新浪
5494,2021-06-30,睿财看市场：A股三大指数收跌 有机硅、华为昇腾概念股逆市走强,恒泰睿财
5495,2021-06-30,超级干货！一图透视40份研报：下半年A股咋走？有哪些掘金机会？（附股）,21世纪经济报道
5496,2021-06-30,风享 · TMT 一周谈 | 当下科技板块如何布局？20210629,天风研究
5497,2021-06-30,【山证两融】融资融券周报2021年第25周(6月21日至6月25日)——2021年第25期,山西证券研究所
5498,2021-06-30,扎实推进芯片研发 资本和人才缺一不可,第一财经
5499,2021-06-30,中国自主芯片突围：万亿资本涌入产业链，助力弯道超车,第一财经
5500,2021-06-29,科创板迈入300家时代！募资3743亿元市值5.12万亿后备军持续扩大,财联社
5501,2021-06-29,6月29日港股通净卖出9.96亿港元,证券时报网
5502,2021-06-29,碧桂园服务近一个月首次现身港股通成交活跃榜净买入2.11亿港元,证券时报网
5503,2021-06-29,解禁期“巧遇”并购概念期 彤程新材到底是为了战略转型 还是为了股价起飞？,新浪
5504,2021-06-29,智通港股通活跃成交|6月29日,智通财经
5505,2021-06-29,第三代半导体股市掀风浪 借势乘风破浪无须光盯诺安成长,新浪
5506,2021-06-29,6月29日科创板主力资金净流出16.76亿元,证券时报网
5507,2021-06-29,港股通6月29日成交活跃股名单,证券时报网
5508,2021-06-29,北方华创如何估值？,半导体风向标
5509,2021-06-29,安集科技(688019)：今朝磨铜可成镜,新浪
5510,2021-06-29,32股获买入评级 最新:国际医学,中财网
5511,2021-06-29,射频芯片龙头卓胜微两年涨近32倍，模组品类扩张能否支撑长期成长？,第一财经
5512,2021-06-29,还能为华为海思代工芯片吗？中芯国际CEO：合规合作,快科技
5513,2021-06-29,热点解读！“芯慌”致全球300万辆车停产损失610亿美金 汽车芯片短缺原因何在？ 经营问题,前瞻研究院
5514,2021-06-29,"地平线上市""风动""，融资频频，它会成为中国第二个""宁德时代""？",《商学院》杂志
5515,2021-06-29,Strategy Analytics：半导体行业实现供需完全再平衡将需要2-3年时间,智通财经
5516,2021-06-29,2021年全球集成电路行业市场现状与竞争格局分析 美国一家独大原因何在？,前瞻研究院
5517,2021-06-29,三安/华灿/京东方/华星设备供应商德龙激光IPO获受理,LED在线
5518,2021-06-29,安集科技(688019)：CMP抛光液龙头 国产替代排头兵,国金证券股份有限公司
5519,2021-06-29,半导体行业跟踪：缺货潮未见缓解迹象 Q2持续高景气度,新浪
5520,2021-06-29,EDA企业概伦电子能否成功闯关科创板IPO？,Ofweek
5521,2021-06-29,国金证券：安集科技（688019.SH）CMP抛光液龙头，国产替代排头兵，首予“买入”评级,智通财经
5522,2021-06-29,南向资金净卖出5.93亿港元，李宁获净买入12.89亿港元,资本邦
5523,2021-06-29,A股融资融券日报：两融余额增加94.84亿元（6月28日）,Wind
5524,2021-06-29,合肥长鑫二期厂房奠基下一工艺节点进入前期准备存储芯片国产化顺利推进,财联社
5525,2021-06-29,国金证券首予安集科技买入评级：CMP抛光液龙头，国产替代排头兵,每日经济新闻
5526,2021-06-29,又一Mini/Micro LED设备商IPO！主要客户包括京东方/华星光电等,Ofweek
5527,2021-06-29,半导体进入超级景气周期半导体ETF和相关基金还能投资吗？,证券之星
5528,2021-06-29,富途早报 | 投行警告：未来4个月美股或现两位数的回调！“木头姐”向SEC申请成立比特币ETF,证券之星
5529,2021-06-29,智通港股通资金流向统计(T+2)|6月29日,智通财经
5530,2021-06-28,露笑科技，真的把人整笑了,星空财富
5531,2021-06-28,电子元器件行业周报2021年第26周：进入Q2季末 业绩预期行情开幕,新浪
5532,2021-06-28,家用电器行业周报：618白电量降额升 新兴厨电和清洁电器表现良好,国海证券
5533,2021-06-28,智通港股通活跃成交|6月28日,智通财经
