,2021-12-31,贵州茅台预计2021年度实现净利润约520亿元,北京商报
7851,2021-04-28,贵州茅台(600519)季报点评：税收增加影响净利率 直营渠道持续高增,新浪
7852,2021-04-28,解盘：百亿资金流入，钛白粉、白酒、医疗服务领涨,Wind
7853,2021-04-28,#落马官员家中搜出880余瓶茅台#上热搜 网友：比不了郑爽1天208万 其他违规处罚,新浪
7854,2021-04-28,安信证券维持贵州茅台买入评级：生产恢复良好，税金率提升拖累利润表现，目标价2600元 盈利能力下降,每日经济新闻
7855,2021-04-28,贵州茅台股价跌超3%，一季度经营现金净流出15亿，经销商预付款降六成,搜狐
7856,2021-04-28,一季度业绩增速创六年新低 贵州茅台股价如何走？ 盈利能力下降,第一财经
7857,2021-04-28,贵州茅台净利增速仅有6.57%创7年新低，税金所致 ？ 盈利能力下降,环球老虎财经
7858,2021-04-28,A股翻红创业板指涨幅扩大超1%白酒板块拉升,证券之星
7859,2021-04-28,互动丨个股集体走强但龙头股大跌，白酒板块值得信任吗？ 连续下跌,第一财经
7860,2021-04-28,东方证券给予贵州茅台买入评级，税费导致业绩短期波动，看好公司盈利增速恢复，目标价格为2537元,每日经济新闻
7861,2021-04-28,贵州茅台一季度净利润个位数增长，两私募持股数不变,资本邦
7862,2021-04-28,高毅资产错失有色龙头！这些绩优股被“错卖”？,Wind
7863,2021-04-28,三大指数开盘涨跌不一 业绩不及预期贵州茅台大幅低开 盈利能力下降,上游新闻
7864,2021-04-28,多家公司财报密集披露，白酒板块异动拉升，仅贵州茅台股价飘绿,格隆汇
7865,2021-04-28,开盘：A股三大股指涨跌不一沪指跌0.3%，贵州茅台跌超4%,金融界
7866,2021-04-28,贵州茅台开盘跌4.03%,中金在线
7867,2021-04-28,中泰证券重申贵州茅台买入评级：缴税影响单季度利润，全年仍望稳健增长,每日经济新闻
7868,2021-04-28,一季度业绩增速创六年新低 贵州茅台低开4% 盈利能力下降,第一财经
7869,2021-04-28,【牛人重仓】贵州茅台:牛人重仓绩优股今年以来融资余额增仓25%以上，今日资金流入-38538.8万元，北向资金持股9447.23万股，融资余额2257357.5万元；前3个交易日，北向资金增持15.46万股，融资额增加43775.87万元，主力资金净流入4054.96万元,每日经济新闻
7870,2021-04-28,贵州茅台低开4% 一季度净利润同比增长6.57%,证券时报网
7871,2021-04-28,【食品饮料α掘金】茅台净利增6.57% 中信证券称茅台短期业绩波动不改全年趋势,新浪
7872,2021-04-28,华安证券维持贵州茅台买入评级：实际经营符合预期，税金大幅波动但可解释,每日经济新闻
7873,2021-04-28,沪指低开0.3% 贵州茅台公布一季报后跌超4%,中新经纬
7874,2021-04-28,茅台再启动品牌瘦身计划，督促子公司年底前停用集团LOGO,澎湃新闻
7875,2021-04-28,早评：沪指低开0.3% 贵州茅台开盘跌4%,网易
7876,2021-04-28,茅台一季度惊现个位数增长 能否支撑目前股价？,证券之星
7877,2021-04-28,贵州茅台(600519.SH)大跌4% 一季度业绩低于预期,格隆汇
7878,2021-04-28,贵州茅台低开4%，一季度净利润增速创最近7年新低,Wind
7879,2021-04-28,大公司早报 | 小红书年内赴美上市 盒马回应用昨日奶做冰激凌,观察者网
7880,2021-04-28,04.28股市早8点丨莫惊醒股林中的“睡狮”,中金在线
7881,2021-04-28,贵州茅台等13股获融资净买入超亿元,证券时报网
7882,2021-04-28,【招商食品】贵州茅台：税金拖累利润，全年仍以稳为主 盈利能力下降,招商食品饮料
7883,2021-04-28,A股早报2021年4月28日星期三,Wind
7884,2021-04-28,A股融资融券日报：两融余额减少23.65亿元（4月27日）,Wind
7885,2021-04-28,公司快讯|小红书回应赴美上市传闻，苹果被俄反垄断局罚款1200万美元，家电巨头创维宣布“造车”,财经网
7886,2021-04-28,操盘必读｜贵州茅台一季度净赚139.5亿；鲁西化工一季度净利增5835%；美股涨跌不一,上游新闻
7887,2021-04-28,伊力特一季净利润1.31亿增长14倍！茅台净利增速6.6%或不及预期 盈利能力下降,巨丰财经
7888,2021-04-28,中信证券：贵州茅台短期业绩波动不改全年趋势，维持“买入”评级,Wind
7889,2021-04-28,【硬核早报】张坤加码两主线，四大风口来袭，3只股遭股东减持，业绩下降股票名单曝光,新浪
7890,2021-04-28,明星基金经理山西汾酒操作猛如虎：“一哥”张坤清仓800万股，“二哥”刘彦春却大举加仓，进退间谁更聪明？,21世纪经济报道
7891,2021-04-28,贵州茅台(600519)：收入表现符合预期 基础夯实稳发展,新浪
7892,2021-04-28,中信证券晨会,新浪
7893,2021-04-28,雨顺组合个股深研丨化工茅台 行业寡头 技术垄断,和讯
7894,2021-04-28,中信证券：贵州茅台短期业绩波动不改全年趋势 维持“买入”评级,e公司
7895,2021-04-28,震惊！茅台也暴雷了？千亿半导体巨头闪崩！ 连续下跌,国元证券订阅号
7896,2021-04-28,晨会0428｜公募行业马太效应继续强化,中信证券研究
7897,2021-04-28,贵州茅台（600519）：Q1税金影响业绩，料全年增长向上+长期趋势不改,中信证券研究
7898,2021-04-28,贵州茅台一季度净利增速降至个位数 盈利能力下降,上证报
7899,2021-04-28,港股盘前必读：汇丰控股一季度列账基准除税后利润增加82%达46亿美元,Wind
7900,2021-04-28,贵州茅台4月27日现3笔大宗交易,证券时报网
7901,2021-04-28,Redmi 发布手机 K40 游戏增强版；苹果回应被俄反垄断局罚款1200万美元：将上诉｜Do早报 诉讼纠纷,DoNews
7902,2021-04-28,茅台营业税金提升体现营收销量的增加 未对增长造成影响,茅台时空
7903,2021-04-28,明星基金经理也“翻车” 鹏华匠心精选规模下降80亿元,GPLP犀牛财经
7904,2021-04-28,“酱茅”海天味业如何破局？,子弹财经
7905,2021-04-28,贵州茅台2021年一季度净利润139.5亿元，增6.6％,中国白酒网
7906,2021-04-28,贵州茅台一季度报自营渠道销售比重近20％,21世纪经济报道
7907,2021-04-28,格隆汇4.28盘前要点丨茅台Q1净利润仅增6.57%；人民币兑美元收盘续创逾七周新高；多部门开展新能源汽车换电模式应用试点,格隆汇
7908,2021-04-28,茅台一季度净利增长不及7%，缴税骤增超五成，张坤易方达蓝筹精选跻身前十大股东,时代周报
7909,2021-04-28,基金加仓白酒股 投资者需要跟随吗？,搜狐
7910,2021-04-28,茅台一季度赚140亿贵州国资减持约39亿 减持股份,证券时报
7911,2021-04-28,茅台加码科研 酱酒“科技热”升温,北京商报
7912,2021-04-28,股民炸锅！每天狂赚1.55亿，茅台一季度惊现个位数增长，坤坤们要“慌”了？,中国基金报
7913,2021-04-27,茅台第一季度营收272.71亿，直销收入47.78亿，占比17.5%,糖酒快讯
7914,2021-04-27,贵州茅台2021年首季营收约273亿元 净利润增速创最近7年新低,e公司
7915,2021-04-27,贵州茅台：一季度营收272.71亿元，净利139.54亿元,新京报
7916,2021-04-27,贵州茅台一季度业绩增速创六年新低 盈利能力下降,Wind
7917,2021-04-27,贵州茅台一季度业绩增速创六年新低 盈利能力下降,第一财经
7918,2021-04-27,贵州茅台一季报“爆雷”，净利润增长为啥竟是个位数,搜狐
7919,2021-04-27,贵州茅台2021年一季度营收净利双增,北京商报
7920,2021-04-27,白酒科研之风正盛 酱酒“科技热”持续升温,北京商报
7921,2021-04-27,贵州茅台一季度净利增长6% 贵州国资再度减持变现约41亿元 减持股份,重庆商报
7922,2021-04-27,茅台季度净赚140亿！其实一点都不高,快科技
7923,2021-04-27,茅台“本茅”今公布一季报 外资撤退、国资稳住、寿险和基金高位加仓,新浪
7924,2021-04-27,调仓风向标|景顺长城基金刘彦春：规模跻身千亿 逆势加仓白酒医药,新浪
7925,2021-04-27,贵州茅台一季度净利增6.57%，股东户数增加10.42%,南都报
7926,2021-04-27,高基数下，贵州茅台一季度业绩增速放缓，分析师认为主要受缴税增加影响 盈利能力下降,每日经济新闻
7927,2021-04-27,快讯 | 贵州茅台今年Q1净利增长6.57%至139.54亿元，茅台酒收入245.92亿元,财经网
7928,2021-04-27,【经纬晚班车】什么信号？葛卫东突然清仓“女人的茅台”,中新经纬
7929,2021-04-27,贵州茅台一季报： 自营渠道销售比重近20% 史上最高纳税拉低净利润增速,21世纪经济报道
7930,2021-04-27,贵州茅台(600519.SH)一季度归母净利同比增6.57%至139.54亿元,智通财经
7931,2021-04-27,业绩增长汇总丨贵州茅台等龙头股披露一季报,第一财经
7932,2021-04-27,公告精选：贵州茅台一季度净利同比增6.57%；证监会受理中国电信A股发行申请材料,e公司
7933,2021-04-27,晚间重要公告2021年4月27日星期二,Wind
7934,2021-04-27,"A股""V""型反转！印度疫情恶化，千亿巨头跌停！茅台一季报来了，张坤基金成第九大股东 盈利能力下降",每日经济新闻
7935,2021-04-27,抢茅台输验证码，要会成语、诗词和单词？平台客服：明天就换简单的,腾讯网
7936,2021-04-27,贵州茅台：一季度净利润139.54亿，同比增长6.57%,澎湃新闻
7937,2021-04-27,贵州茅台一季度净利同比增6.57% 易方达蓝筹跻身十大股东,中新经纬
7938,2021-04-27,A股市值前十大巨无霸公司出炉：茅台第一 宁德时代第十,快科技
7939,2021-04-27,爱美客遭明星基金“做减法”，葛卫东退出前十大股东,第一财经
7940,2021-04-27,贵州茅台一季度净利同比增6%，易方达蓝筹精选混合新晋前十股东,第一财经
7941,2021-04-27,贵州茅台一季度实现营收272.71亿元,酒业新闻网
7942,2021-04-27,易方达蓝筹精选混合新进贵州茅台前十股东,e公司
7943,2021-04-27,贵州茅台一季度净利增长6.57% “公募一哥”张坤所执掌基金新晋第九大股东,中华网
7944,2021-04-27,从一季报和高频探测模型看基金抱团最新变化,ZTQuant
7945,2021-04-27,贵州茅台第一季度营业收入272.7亿元人民币，同比增长11.7%,金十数据
7946,2021-04-27,易方达蓝筹精选混合型证券投资基金一季度新晋贵州茅台前十大股东行列,36氪
7947,2021-04-27,贵州茅台：净利润139.54亿元，同比增长6.57%；一季度营收272.7亿元，同比增长11.7%,富途证券
7948,2021-04-27,贵州茅台(600519.SH)一季度营收同比增11.74% 归母净利润增6.57%,格隆汇
7949,2021-04-27,贵州茅台：一季度净利139.54亿元同比增长6.57%,格隆汇
7950,2021-04-27,贵州茅台第一季度净利润139.5亿元人民币，同比增长6.57%,金十数据
7951,2021-04-27,贵州茅台：一季度净利润139.5亿元，同比增长6.57%,Wind
7952,2021-04-27,险资在股票与基金上配置余额已连降三月【流动性跟踪第11期】,量化先行者
7953,2021-04-27,女子成功预约茅台 却因未关注公众号被告知无法购买,中国经济网
7954,2021-04-27,近400只股票被单只基金重仓，“独家”和“抱团”策略有什么值得借鉴！,Wind
7955,2021-04-27,北向资金连续三日净买入，持续加仓新能源股,Wind
7956,2021-04-27,贵州茅台今日大宗交易成交1.91万股，成交价2094.44元溢价0.0%,Wind
7957,2021-04-27,贵州区域股市周报：总市值涨752亿三路资金买入贵州茅台,每日经济新闻
7958,2021-04-27,不得加价销售1499元飞天，茅台是否违反《反垄断法》？,腾讯网
7959,2021-04-27,什么信号？葛卫东突然清仓“女人的茅台”，还减持了电子烟龙头 减持股份,中国基金报
7960,2021-04-27,国盛策略：北上资金和公募一季度调仓有何异同？,尧望后势
7961,2021-04-27,923亿资金争夺20股：主力资金重点出击10股(名单),新浪
7962,2021-04-27,食品饮料α掘金：高端白酒仍然是最优质最核心的标的，关注茅台一季报,新浪
7963,2021-04-27,晨会聚焦210427重点关注食品饮料、美国寿险、海洋王、华测导航、山西汾酒、宝钢股份、爱美客、安恒信息、传音控股、东方财富,国信研究
7964,2021-04-27,酒仙网消费与股权纠纷不断:茅台五粮液捅刀最是致命 现金流紧张 诉讼纠纷,新浪
7965,2021-04-27,食品饮料行业周报：稳中求胜,新浪
7966,2021-04-27,A股融资融券日报：两融余额增加17.69亿元（4月26日）,Wind
7967,2021-04-27,3400亿巨头业绩爆表，公募一哥却大举抛售，什么情况？,Wind
7968,2021-04-27,雨顺组合个股深研丨化工茅台 董事长是旗帜,和讯
7969,2021-04-27,摘掉ST帽子的皇台酒业返亏 上市20年五次更换实控人 控制人变化,GPLP犀牛财经
7970,2021-04-27,葛卫东悄然挥别“女人的茅台”，有何玄机？,Wind
7971,2021-04-27,葛卫东悄然挥别“女人的茅台” 背后有何玄机？,上证报
7972,2021-04-27,酒基有C份额了，终于可以愉快的做波段了！,微信
7973,2021-04-27,基金一季度调仓路径揭晓：白酒龙头持仓有增无减，股份制商业银行获追捧,金融投资报
7974,2021-04-27,茅台总工落选院士，中国工程院：科协的评选名单没有她,中国白酒网
7975,2021-04-27,贵州茅台盈利495亿，高层总薪酬372万，人均超过30万,搜狐
7976,2021-04-26,周谈 | Weekly Talk：财报密集周迎白酒开门红，消费淡季做市场纷至沓来,食品饮料光头阳线
7977,2021-04-26,【开源食饮每日资讯0426】山西汾酒2021Q1净利润同比增长77.72%,新浪
7978,2021-04-26,千亿股“女人的茅台”遭明星基金扎堆减持：葛卫东、刘格菘、胡昕炜都在卖 但还有人留了一手 减持股份,新浪
7979,2021-04-26,基金一季度调仓路径揭晓：茅台五粮液仍是最爱,金融投资报
7980,2021-04-26,白酒股重挫，主力资金抛售逾16亿元，机构仍看好行业景气度 股票卖空,第一财经
7981,2021-04-26,贵州茅台发生大宗交易成交溢价率2.51%,证券时报网
7982,2021-04-26,一季度基金加仓白酒银行电子龙头,金融投资报
7983,2021-04-26,片仔癀，追赶云南白药的凶猛后浪,星空财富
7984,2021-04-26,北向资金今日净流入32亿元，净卖出贵州茅台5.28亿元,第一财经
7985,2021-04-26,北水净买入腾讯、美团共超16亿，卖出中芯国际；南水甩卖贵州茅台,富途证券
7986,2021-04-26,贵州茅台现1笔大宗交易 共成交852.00万元,新浪
7987,2021-04-26,北向资金今日净买入32亿，隆基股份净买入额创逾一个月新高,Wind
7988,2021-04-26,2021中国虫草产业集团冬虫夏草菌丝酒全国招商会圆满落幕,搜狐
7989,2021-04-26,搜狐酒业商学院丨江南春：流量红利已消失，新十年企业如何抓住人心红利,搜狐
7990,2021-04-26,季克良徒弟无缘“白酒院士” 女总工落选，茅台不予置评,时代周报
7991,2021-04-26,联商超市周报：超市业态迎来至暗时刻 Costco落子宁波,联商网
7992,2021-04-26,谢治宇vs周蔚文，8年业绩冠军，10年穿越牛熊,雪球
7993,2021-04-26,巨丰微策略：发生了什么？券商闪崩“茅族”回落 反弹还能延续吗？,巨丰财经
7994,2021-04-26,海淘“百亿级基金经理”3年上万条持仓数据：41只基金可“抄作业”,每日经济新闻
7995,2021-04-26,股价大跌基金一季度抱团股曝光（附名单）,Wind
7996,2021-04-26,上海机场大跌5%，股价大跌的基金一季度抱团股曝光 连续下跌,证券时报网
7997,2021-04-26,基金扎堆持有公司整体表现好于指数招商银行股价表现亮眼,第一财经
7998,2021-04-26,董事长一句话，股价下跌近5%，接盘还是抄底？股价大跌的基金一季度抱团股曝光（附名单） 连续下跌,证券时报网
7999,2021-04-26,“茅指数”的风格漂移与“核心资产”的好景难再,徐高经济研究
8000,2021-04-26,鹏华造星后遗症！王宗合星光黯淡，今年首季在管基金规模缩水113亿 规模大幅缩水,搜狐
8001,2021-04-26,贵州茅台等37股获北向资金增持额超亿元,第一财经
8002,2021-04-26,逆势上涨的爱尔眼科，原因在哪,Ofweek
8003,2021-04-26,收茅台、羽绒服……北京市卫健委副主任张华等5人遭曝光！,中新经纬
8004,2021-04-26,“抱团”惹祸业绩垫底 银华基金唐能“赚确定性的钱”被打脸,产业经济新闻网
8005,2021-04-26,A股融资融券日报：两融余额减少29.83亿元（4月23日）,Wind
8006,2021-04-26,A股早报2021年4月26日星期一,Wind
8007,2021-04-26,海淘“百亿级基金经理”3年上万条持仓数据：董承非、王宗合等重仓持股稳定性最高,每日经济新闻
8008,2021-04-26,与众香型相伴而行 “酱香热”持续的关键什么？,佳酿网
8009,2021-04-26,“个人存酒”市场正在生长,佳酿网
8010,2021-04-26,全球疫情大反弹！印度或引爆2行业，抱团股机会来了？,Wind
8011,2021-04-26,洋河董事长张联东：白酒国际化上茅台、五粮液是行业表率,新浪
8012,2021-04-26,外资重仓白酒光伏医药 大盘反弹正是调仓机会,财富动力网
8013,2021-04-26,5万变500万的大妈火了，持有哪些股票可以“躺赢”,Wind
8014,2021-04-26,北上资金上周加仓超200亿 白酒股再度受宠,证券时报
8015,2021-04-26,望正资产王鹏辉：拥抱高效优质企业,中国基金报
8016,2021-04-25,钟丽担任茅台生态农业公司常务副总经理,中国白酒网
8017,2021-04-25,04.25 | 宝德股份拟降低对名品世家收购比例至51%；贵州销毁143吨侵权假冒伪劣商品,糖酒快讯
8018,2021-04-25,粤开策略：市场短期将维持横盘震荡 提前布局红五月,新浪
8019,2021-04-25,什么信号？张坤、冯柳、邓晓峰……明星公、私募基金一季度大幅加仓医药！,智通财经
8020,2021-04-25,最新！顶流基金重仓股大洗牌，40张图表全披露,Wind
8021,2021-04-25,“聪明资金”连续超200亿抄底，A股将加速反弹？,Wind
8022,2021-04-25,重大变化！“聪明资金”连续超200亿抄底A股，重仓指标性板块，A股加速反弹的信号？,证券时报网
8023,2021-04-25,苏富比春拍首战告捷 一瓶贵州茅台40多万港元成交,中华网
8024,2021-04-25,"投资最难的是什么？怎样挖掘百倍股？""陪伴""或是擒牛必杀技！",券商中国
8025,2021-04-25,徐成城：美股迭创新高，未来怎么走？,Wind
8026,2021-04-25,外资抢筹“五茅”超23亿！A股“喝酒吃药”盛况再现,Wind
8027,2021-04-24,北向资金连续两周大买A股超200亿元，抢筹这只股，却大幅抛售其控股股东（名单）,21世纪经济报道
8028,2021-04-24,刘彦春逆市大幅加仓白酒，王宗合所管基金最多重仓6只白酒股,红周刊
8029,2021-04-24,北向资金丨本周扫货重点曝光，贵州茅台获加仓逾14亿元,第一财经
8030,2021-04-24,基金一季报收官：白酒股仍受青睐 银行获大幅加仓,金融投资报
8031,2021-04-23,一季度公募基金又加配了哪些行业？,新浪
8032,2021-04-23,茅台酒股份公司一季度质量例会：将质量意识贯穿生产经营全过程,Wind
8033,2021-04-23,财经TOP10|茅台总工王莉落选院士！网友竟然又吵翻了,新浪
8034,2021-04-23,市盈率300倍 玻尿酸与茅台：谁是A股王中王,华夏时报
8035,2021-04-23,茅台叫停子公司“啃老” 倒逼子公司独立运营IP,新浪
8036,2021-04-23,“千亿顶流”基金经理刘彦春错误加仓白酒，一季度竟跑输业绩基准！,环球老虎财经
8037,2021-04-23,北向资金再次“买买买” 增持贵州茅台等机构抱团股,21世纪经济报道
8038,2021-04-23,“茅台院士”落选！百度CTO、华为董事入选工程院院士增选有效候选人名单,时代财经
8039,2021-04-23,北向资金净流入78.59亿贵州茅台净买入6.88亿,格隆汇
8040,2021-04-23,贵州茅台今日大宗交易成交4.39万股，成交价2108.94元溢价0.0%,Wind
8041,2021-04-23,北向资金再度大买A股近80亿，机构抱团股获批量增持,Wind
8042,2021-04-23,无缘“白酒院士”：茅台总工王莉落选工程院院士候选人,经济日报
8043,2021-04-23,“茅指数”大涨3800亿，外资大买，A股风格又变了,Wind
8044,2021-04-23,中国工程院确定577位有效候选人 茅台总工王莉未在列,和讯
8045,2021-04-23,茅台总工落选中国工程院院士候选人,21世纪经济报道
8046,2021-04-23,中国工程院2021年院士增选有效候选人名单公布，茅台总工落选,澎湃新闻
8047,2021-04-23,解盘：茅股一枝独秀，疫苗、锂矿、特高压等板块涨幅居前,Wind
8048,2021-04-23,基金换打法：降仓位、填洼地、抓龙头,Wind
8049,2021-04-23,“北茅台”皇台酒业2020年营收仅1亿元 4度ST、5次变更实控人前途未卜 盈利能力下降,中国网
8050,2021-04-23,【食品饮料α掘金】消费板块抱团瓦解实际上并未发生，公募居然继续增持白酒,新浪
8051,2021-04-23,白酒股稳步走强，洋河股份大涨5%,Wind
8052,2021-04-23,“抱团”又有新方向？公募基金一季度调仓路径及重仓股名单速览,证券之星
8053,2021-04-23,【王牌研报】抱团股并未瓦解，公募继续增持白酒！这家公司营收创历史新高，行业高景气度2-3年可见,新浪
8054,2021-04-23,A股融资融券日报：两融余额增加33.53亿元（4月22日）,Wind
8055,2021-04-23,民族品牌指数微跌 北向资金净买入五粮液,上证报
8056,2021-04-23,6万亿公募首季调仓路径：增持重仓风格各异,Wind
8057,2021-04-23,调仓凶猛！基金一季度未大幅降仓,Wind
8058,2021-04-23,天鹅酿酒集团将推出首个纯收藏级酱酒品牌“藏?酿造院”,财经网
8059,2021-04-23,中泰证券一季度基金持仓结构分析：大幅加仓银行，减仓非银，继续增持白酒,Wind
8060,2021-04-23,国内财经媒体头版2021年4月23日星期五,Wind
8061,2021-04-23,少了“奢侈味”的白酒行情是否更“讨喜”,中证报
8062,2021-04-23,近一年融券余额增长逾6倍,Wind
8063,2021-04-22,国盛策略：基金一季报五大看点 规模扩容权益仓位回落,新浪
8064,2021-04-22,茅台酒首战苏富比春拍：烈酒“茅台酒”成交价超预估值,格隆汇
8065,2021-04-22,公募基金一季度规模不降反升：高仓位运行，大幅增持银行股,澎湃新闻
8066,2021-04-22,席卷春糖 酱酒热的喜与忧,北京商报
8067,2021-04-22,北向资金净流出15.97亿贵州茅台遭净卖出3.20亿,格隆汇
8068,2021-04-22,北向资金今日净卖出15.97亿元，中国平安净卖出额创5个月新高,Wind
8069,2021-04-22,又一个千亿顶流，指数跌200点，他如何赚367%？,Wind
8070,2021-04-22,基金一季报重仓股调查：仓位高位运行，大幅增持银行股,Wind
8071,2021-04-22,又有1000亿顶流基金经理：指数跌200点，他却大赚367%，最新持仓曝光（名单）,证券之星
8072,2021-04-22,又有1000亿顶流基金经理：指数跌200点 刘彦春却大赚367%,中国基金报
8073,2021-04-22,顶流基金经理的一季报作业,YY港股圈
8074,2021-04-22,张坤之后，第2位千亿顶流来了！基金股票仓位超9成,Wind
8075,2021-04-22,明星基金经理出手！一季报次新基金建仓这些股(名单),Wind
8076,2021-04-22,迈瑞医疗、迈为股份今年受险资调研热捧！2020年国寿持仓贵州茅台浮盈超30亿平安新进江西铜业,证券之星
8077,2021-04-22,【行情】白酒概念持续下挫，金徽酒跌超6%，贵州茅台跌超1%，皇台酒业、金种子酒、伊力特跟跌 连续下跌,金十数据
8078,2021-04-22,A股融资融券日报：两融余额增加11.59亿元（4月21日）,Wind
8079,2021-04-22,今日策略：欧美普涨，A股能否借势放量突破,云掌财经
8080,2021-04-22,万科释放28亿空头筹码！空头规模1520亿，影响多大,Wind
8081,2021-04-22,最土豪公司排行榜来了，持续高股息率股票曝光,Wind
8082,2021-04-22,10张图一览社保、多名明星基金经理最新重仓股,Wind
8083,2021-04-22,失误了！北上资金罕见被套,Wind
8084,2021-04-22,茅台酱香：杜绝粗放式扩张、盲目增加市场投入,第一财经
8085,2021-04-22,北向资金进场抄底，通胀预期下A股或继续震荡,Wind
8086,2021-04-22,2023家公司去年实现盈利,Wind
8087,2021-04-22,顶流基金经理亮“底牌” 大资金寻找新平衡,中证报
8088,2021-04-21,十倍股的四大特征，下一个“茅台”，将在这四家公司诞生！,云掌财经
8089,2021-04-21,鹏华基金王宗合一季度大举抛售白酒股和科技股，加仓中国平安,澎湃新闻
8090,2021-04-21,偷窥大佬持仓，能抄作业吗？,云掌财经
8091,2021-04-21,茅台集团助力道真乡村振兴签约仪式举行,中国白酒网
8092,2021-04-21,一季度高仓位运作，银华基金李晓星4000字长文谈投资逻辑,澎湃新闻
8093,2021-04-21,基金名将最新持仓：傅鹏博撂下酒坛子扑向中国移动 蔡向阳爱酒,财联社
8094,2021-04-21,医美仅仅是女人的事情?这么想就太落伍了,Wind
8095,2021-04-21,淡季不淡，飞天茅台散装新酒终端价同比涨25%至2500元上方,搜狐
8096,2021-04-21,白酒指数8连阳、张坤却减仓，机构看好后市表现,澎湃新闻
8097,2021-04-21,被通报“极高风险”，证监局点名微博大V！白酒指数8连阳，张坤却减仓白酒股，机构看好后市表现个股名单出炉 其他违规处罚,证券时报网
8098,2021-04-21,白酒业进军大健康领域！茅台狂砸19亿办医院，年薪60万引人才!,云掌财经
8099,2021-04-21,“带病”上市，“融资狂魔”酒仙网又来创业板圈钱了,云掌财经
8100,2021-04-21,白酒股持续发酵 机构称景气度望延续 贵州茅台再获推荐,第一财经
8101,2021-04-21,陈光明放大招！两大“顶流”28亿元狂买5G龙头,Wind
8102,2021-04-21,贵州茅台今日大宗交易成交3.08万股，成交价2094.0元溢价0.67%,Wind
8103,2021-04-21,北向资金今日净卖出10.57亿元，中国平安净卖出近6亿元,Wind
8104,2021-04-21,04.21 | 潭酒调整“潭”标产品价格；金徽酒发布2021年第一季度报告,糖酒快讯
8105,2021-04-21,白酒指数大涨茅台独跌，市场发生了什么？,Wind
8106,2021-04-21,鹏华匠心精选发布一季报 王宗合加仓贵州茅台,中证网
8107,2021-04-21,老艾侃股：大A出息了？暴利出牛股！,新浪
8108,2021-04-21,券商机构还能信？隆基股份高开低走，股民又追高了,云掌财经
8109,2021-04-21,顶流基金经理重仓股大曝光！他们如何看后市？,Wind
8110,2021-04-21,吃喝板块强势不改！迎驾贡酒涨停，食品ETF连涨4日，北上资金趁势抢筹,资本邦
8111,2021-04-21,3000亿巨头罕见大跌、300亿白酒强势涨停,Wind
8112,2021-04-21,傅鹏博一季度狂买中移动至第一大重仓股，茅台五粮液跌出前十,澎湃新闻
8113,2021-04-21,“不同”的消费品投资 “选股专家”的金字招牌是如何打造的,电鳗快报
8114,2021-04-21,白酒股又火了！次高端白酒股领涨，多只白酒股反弹超50%，机构长期看好茅台股,云掌财经
8115,2021-04-21,【食品饮料α掘金】二三线酒有望持续超预期，期待ST舍得摘帽后的彩虹,新浪
8116,2021-04-21,板块指数8连阳！次高端白酒股狂飙不要被张坤“骗”了,证券之星
8117,2021-04-21,最新白酒行业投资机会梳理,云掌财经
8118,2021-04-21,太疯狂！2400多员工一夜变富豪！经销商成亿万富翁,云掌财经
8119,2021-04-21,曾逃顶茅台！奥本海默又出手：大手笔逆势增持恒瑞医药,证券之星
8120,2021-04-21,A股融资融券日报：两融余额增加26.01亿元（4月20日）,Wind
8121,2021-04-21,民族品牌指数涨0.08% 北向资金净买入白酒股,上证报
8122,2021-04-21,男子随口告诉朋友自己行程，外出后家中10瓶茅台遭窃,澎湃新闻
8123,2021-04-21,逃顶茅台！国际巨头又出手：增持4000亿医药巨头,Wind
8124,2021-04-20,【预见】3年涨12倍！基金经理加仓，五粮液强势造富，白酒股依然很香？,财华社
8125,2021-04-20,【国盛策略】外资近期为何大幅流入？流入哪些方向？,尧望后势
8126,2021-04-20,"贵州茅台现1笔大宗交易 共成交5,978.98万元",新浪
8127,2021-04-20,贵州茅台今日大宗交易成交2.85万股，成交价2094.8元溢价0.0%,Wind
8128,2021-04-20,一枝红杏出墙来，对白酒板块的分析,中投网
8129,2021-04-20,两度“熔断”！汽车白酒狂飚、4000亿龙头大涨5%,Wind
8130,2021-04-20,北向资金今日净卖出4.97亿元，比亚迪、赣锋锂业遭减仓逾5亿元,Wind
8131,2021-04-20,“固收+”大咖张清华一季度“加”了什么？,Wind
8132,2021-04-20,茅台系列酒习水县产能上半年将提至5万千升,中国白酒网
8133,2021-04-20,明亚基金旗下唯一产品规模仅剩0.67亿，一季度减持宁德时代、贵州茅台等龙头股 减持股份,搜狐
8134,2021-04-20,4月20日晚间重要行业研究汇总(附股),中金在线
8135,2021-04-20,光大证券--酱酒行业研究报告：酱香风起，未来可期【行业研究】,金融界股吧
8136,2021-04-20,张坤、萧楠、冯波等明星集体加仓顺周期和新兴产业,Wind
8137,2021-04-20,“世界第三大酒庄”张坤：五粮液、茅台仍看好 减持洋河股份、泸州老窖 减持股份,新浪
8138,2021-04-20,金徽酒两连板！吃喝行情卷土重来半日吸金42亿元，张坤继续加仓白酒,资本邦
8139,2021-04-20,机构集体出动，A股全面大反攻……,Wind
8140,2021-04-20,中银证券：白酒行业一季报值得期待，建议把握细分领域龙头,Wind
8141,2021-04-20,易方达逆向加仓，白酒指数七连阳，行情进入业绩催化阶段,云掌财经
