,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
1853,2021-03-30,晚间公告热点追踪：蓝筹股批量披露年报 贵州茅台全年大赚467亿,新浪
1854,2021-03-30,贵州茅台豪爽分红242.36亿元 各路“X茅”跟不跟？,上证报
1855,2021-03-30,A股头条之上市公司公告（3.31）,金融界
1856,2021-03-30,酒茅、地茅、酱茅，各类茅纷纷发布高分红预案，核心资产股的春天来了？,重庆商报
1857,2021-03-30,贵州茅台豪掷200余亿分红 还有哪些公司确定性收益高？,财联社
1858,2021-03-30,30日公告精选：南方航空去年亏损108亿；海天味业拟10送1派10.3元,证券时报网
1859,2021-03-30,公告精选：惠云钛业拟上调钛白粉售价；高德红外签订5.15亿元产品订货合同,e公司
1860,2021-03-30,史上最豪横酱油！海天味业2020全年净利64亿，老板位列食品行业富豪榜次席,时代财经
1861,2021-03-30,晚间重要公告2021年3月30日星期二,Wind
1862,2021-03-30,“酱茅”海天味业去年净利增两成 今年利润目标75.6亿元,e公司
1863,2021-03-30,沪港通十大成交活跃股排名（3月30日）,Wind
1864,2021-03-30,海天味业2020年净利同比增近两成 拟10送1转2派10.3元,上证报
1865,2021-03-30,北上资金活跃股名单(3月30日),证券时报网
1866,2021-03-30,海天味业2020年净利增长20% 拟10送1转2并派10.30元,上证报
1867,2021-03-30,海天味业(603288.SH)年度归母净利同比增长19.61% 每10股转增2股送1股派10.3元,智通财经
1868,2021-03-30,海天味业：2020年度净利润约64.03亿元，同比增加19.61%,每日经济新闻
1869,2021-03-30,海天味业(603288.SH)2020年度净利润升19.61%至64.03亿元 拟10送1转2派10.3元,格隆汇
1870,2021-03-30,海天味业年度报告：2020年度净利同比增长19.61% 拟10送1派10.3元,新浪
1871,2021-03-30,海天味业：2020年净利同比增20% 拟10送1派10.3元,e公司
1872,2021-03-30,海天味业：2020年净利润同比增19.61%，拟10转2送1派10.3元,Wind
1873,2021-03-30,海天味业：2020年净利润同比增长19.61%,Wind
1874,2021-03-30,只赚指数不赚钱，交易机会在哪儿,云掌财经
1875,2021-03-30,号外！你想要的明星“隐形”重仓股都在这里！,格隆汇
1876,2021-03-30,抱团股泡沫逻辑不自洽 是一个正常的金融泡沫,新浪
1877,2021-03-30,太平洋--晨光文具：Q4科力普、利润端超出市场预期，长期空间巨大，上调目标价至110元【公司研究】,金融界股吧
1878,2021-03-30,机构抱团股持续复苏，海康、海天、金龙鱼、药明康德、汇川、包钢涨超3%,Wind
1879,2021-03-30,业绩引领反弹！中航沈飞、江铃汽车涨停，一季报业绩预增大户在此（附名单）,中证报
1880,2021-03-30,A股午评：深成指、创业板指涨逾1%抱团股强势,格隆汇
1881,2021-03-30,快讯：白马股集体上涨 同仁堂涨逾7%,新浪
1882,2021-03-30,盘前情报丨知名基金经理“隐形重仓股”曝光；“黑色系”上涨行情能否持续？,21世纪经济报道
1883,2021-03-30,【天风Morning Call】晨会集萃20210330,新浪
1884,2021-03-30,绩优基金启示录 且看高手如何应对震荡市,上证报
1885,2021-03-30,明星经理隐形爱股浮出水面 后市有望延续结构性行情,财富动力网
1886,2021-03-30,“隐形重仓股”曝光，知名基金经理掘金中小市值品种,Wind
1887,2021-03-30,傅鹏博刘彦春杨锐文赵诣关注这些投资机会,证券时报
1888,2021-03-30,海天味业2020年实现净利64.03亿元 拟10送1派10.3元,北京商报
1889,2021-03-29,公募基金年报陆续发布，百亿基金经理的隐形重仓股浮出水面,第一财经
1890,2021-03-29,海天味业现3笔大宗交易总成交金额4930.27万元,证券时报网
1891,2021-03-29,海天味业：公司股东黄文彪减持约44万股，减持计划时间已过半,每日经济新闻
1892,2021-03-29,食品饮料行业周报：春糖举行在即 白酒板块迎来情绪提振良机,新浪
1893,2021-03-29,"海天味业现3笔大宗交易 共成交4,930.27万元",新浪
1894,2021-03-29,海天味业：减持时间过半，黄文彪减持0.013%公司股份 减持股份,Wind
1895,2021-03-29,傅鹏博、赵诣、赵枫等基金经理隐形重仓股浮出水面,Wind
1896,2021-03-29,海天味业今日大宗交易成交36.41万股，成交价135.41元折价10.95%,Wind
1897,2021-03-29,明星基金经理隐形重仓股浮出水面 细分行业成重点挖掘方向,中国基金报
1898,2021-03-29,结构性行情仍将继续 “民间股神”重仓消费股,新浪
1899,2021-03-29,浙商证券--食品行业周报：现代牧业收购富源国际，巩固龙头地位【行业研究】,金融界股吧
1900,2021-03-29,最新：刘彦春等顶流基金经理的后市观点来了（附隐形重仓股）,每日经济新闻
1901,2021-03-29,最新！刘彦春、李晓星、赵诣、袁芳、赵蓓……顶流基金经理的隐形重仓股和后市观点来了！,每日经济新闻
1902,2021-03-29,德邦证券--食品饮料行业周报：春糖催化在即，看好酒类表现【行业研究】,金融界股吧
1903,2021-03-29,卖瓶装水卖成亚洲首富！钟睒睒悄然投资供应链公司,亿邦动力
1904,2021-03-29,3月29日利好及其影响个股,中财网
1905,2021-03-29,刘彦春等多位明星基金经理隐形重仓股曝光,Wind
1906,2021-03-29,热点解读：一家被显着低估的知名品牌，产能利用率130%+,恒泰睿财
1907,2021-03-29,财报陆续披露，消费情绪回暖，关注业绩超预期机会,中信建投证券研究
1908,2021-03-29,【华创食饮】聚焦业绩兑现，关注反弹催化——食品饮料2021年一季报前瞻暨4月月报,华创食饮
1909,2021-03-28,【开源食饮】高端酒挺价上行，关注中炬高新改善机会——行业周报,宇光看食饮
1910,2021-03-28,抱团股泡沫中的逻辑不自洽,陈嘉禾的研究
1911,2021-03-28,25年投资老将刘明达：买点已现！大盘已被压至极限位置！,Wind
1912,2021-03-27,巨丰访谈：周线险收阳线赚钱难度加大 当下这一主线值得关注,巨丰财经
1913,2021-03-26,"海天味业现1笔大宗交易 共成交1,118.21万元",新浪
1914,2021-03-26,上市即巅峰，农夫山泉“搬水”还快乐吗？,云掌财经
1915,2021-03-26,央企上市公司不愿直面投资者？国资委首次下令：必须召开业绩会并纳入考核，董事长总经理要亲自参加,财联社
1916,2021-03-26,海天味业今日大宗交易成交8.40万股，成交价133.12元折价11.52%,Wind
1917,2021-03-26,解密主力资金出逃股连续5日净流出354股,证券时报网
1918,2021-03-26,【民生证券研究院】晨会纪要20210326,MS研究
1919,2021-03-26,华为高居胡润大消费民企百强榜榜首,中华工商时报
1920,2021-03-25,闪崩20%跌停 股民踩雷“碳中和”牛股,每日经济新闻
1921,2021-03-25,金龙鱼暴跌3400亿背后,36氪
1922,2021-03-25,"海天味业现1笔大宗交易 共成交1,643.84万元",新浪
1923,2021-03-25,要说双标，傲慢的西方品牌就没服过谁,星空财富
1924,2021-03-25,第三方销售营收占比超七成，颐海国际的“去海底捞化”成了？,云掌财经
1925,2021-03-25,金字火腿：困境反转的消费品龙头公司,财经网
1926,2021-03-25,金龙鱼市值蒸发3800亿 三大产品毛利率仅12% 连续下跌,腾讯网
1927,2021-03-25,睿财看市场：大盘二次探底 聚焦低估绩优成长行业龙头,恒泰睿财
1928,2021-03-25,顺周期板块持续下跌 白酒券商能否担纲反弹先锋 连续下跌,新浪
1929,2021-03-24,郑眼看盘：盘面仍弱 不宜惯性看空,每日经济新闻
1930,2021-03-24,惨烈！82只抱团股再刷新低第二波下跌开始了？,搜狐
1931,2021-03-24,大跌！粮油龙头股价腰斩！是因为干饭人干不动了？ 连续下跌,星空财富
1932,2021-03-24,【龙虎榜分析】砸盘元凶曝光！,中金在线
1933,2021-03-24,【挖财报】被误解的“油茅”：金龙鱼35亿套保损失剖析，林园、孙煜等大佬杀入，新加坡政府基金再出手！,金融界
1934,2021-03-24,A股跳水，核弹级利空又现？,中金在线
1935,2021-03-24,金龙鱼年报落地股价再暴跌： 中金力挺110元目标价，60亿净利支撑4100亿市值泡沫蔚为壮观,21世纪经济报道
1936,2021-03-24,罕见，味茅、医药茅跌跌不休，砸盘元凶曝光,Wind
1937,2021-03-24,罕见，味茅、医药茅跌跌不休，砸盘元凶曝光！白酒股大反弹，机构称性价比足够高,证券时报
1938,2021-03-24,节后大白马大幅回落 砸盘元凶曝光,第一财经
1939,2021-03-24,一批大白马跌跌不休，白酒股大反弹，机构称性价比足够高,证券时报网
1940,2021-03-24,海天味业成立投资公司，注册资本5000万元,企查查
1941,2021-03-24,中信建投：调味品基本面稳健 建议关注超跌标的,第一财经
1942,2021-03-24,【中原消费】消费板块投资周思考（3.15——3.19）：调整延续，估值高地不断下降,中原证券研究所
1943,2021-03-24,中信建投医药&消费团队最新研究观点,中信建投证券研究
1944,2021-03-24,百度赴港二次上市，60城房贷利率继续上行 | 财经日日评,吴晓波频道
1945,2021-03-24,传化智联总裁姚巍：聚焦刚需做大蛋糕,上证报
1946,2021-03-23,海天味业大宗交易成交10.66万股成交额1454.98万元,证券时报网
1947,2021-03-23,"海天味业现1笔大宗交易 共成交1,454.98万元",新浪
1948,2021-03-23,颐海国际2020年收入53.6亿元 第三方销售收入占比约73.4%,亿邦动力
1949,2021-03-23,海天味业今日大宗交易成交10.66万股，成交价136.49元折价8.09%,Wind
1950,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
1951,2021-03-23,3月23日晚间重要行业研究汇总(附股),中金在线
1952,2021-03-23,和众汇富：中炬高新与海天味业错位竞争，未来会跃升至第一梯队么？,云掌财经
1953,2021-03-23,胡润研究院发布《2021数云·胡润中国大消费民企百强榜》，华为夺得桂冠,Wind
1954,2021-03-23,2021胡润大消费民企百强榜:华为美的海天排前三 前十一半来自广东,新浪
1955,2021-03-23,集中还是分散？这只行业 ETF 选择了后者,同壁财经
1956,2021-03-22,华宝股份3年分红近47亿 揭开香精女王的套现传奇 减持股份,新浪
1957,2021-03-22,食品饮料：财报即将披露 关注2021Q1绩优股布局机会,新浪
1958,2021-03-22,【招商食品 | 一季度前瞻】白酒迎开门红，食品平稳过渡,招商食品饮料
1959,2021-03-22,长城证券--北上资金正在加仓什么？【投资策略】,金融界股吧
1960,2021-03-22,食品行业周报：奶粉新国标 龙头再加速,新浪
1961,2021-03-21,【开源食饮】白酒板块企稳，婴配食品新国标落地——行业周报,宇光看食饮
1962,2021-03-21,食品饮料行业：关注一季报有望超预期的个股,新浪
1963,2021-03-20,超级品牌概念股有哪些？2021超级品牌上市公司一览表,云掌财经
1964,2021-03-19,海天味业现3笔大宗交易总成交金额4765.17万元,证券时报网
1965,2021-03-19,沪深300指数成份股节后合计蒸发市值6万亿 这些股市值蒸发千亿以上 连续下跌,第一财经
1966,2021-03-19,"海天味业现3笔大宗交易 共成交4,765.17万元",新浪
1967,2021-03-19,大盘放量下跌，还要把握节奏,云掌财经
1968,2021-03-19,海天味业子公司成立食品新公司，注册资本2000万,企查查
1969,2021-03-19,快讯：午后各类“茅”集体杀跌 顺丰控股跌逾8% 连续下跌,新浪
1970,2021-03-18,9天8板、年内27涨停……这些暴涨股多数没业绩支撑（附名单）,红周刊
1971,2021-03-18,巨亏公司仁东控股妖风再起 这些暴涨股多数没业绩支撑（附名单） 重大损失,新浪
1972,2021-03-18,当前白酒板块进入超跌状态！白酒龙头股票有哪些？,至诚财经
1973,2021-03-18,“茅”股连续反弹，最新估值高不高？5张图看清！,Wind
1974,2021-03-18,“抱团股”下挫，权益投资不力！泓徳基金20只产品年内收益告负,投资时报
1975,2021-03-18,巨·大盘｜大盘缩量碎步上行 两大龙头板块回归 金融股拖累指数,巨丰财经
1976,2021-03-18,茅指数持续反弹，美的、海天、迈瑞、药明康德、三一、爱尔眼科涨超2%,Wind
1977,2021-03-18,投资逻辑已经悄悄发生变化,隆鹏论市
1978,2021-03-18,八大券商主题策略：当前白酒板块进入超跌状态！“核心资产”仍具备很高配置价值,中金在线
1979,2021-03-17,光明乳业(600597)：拟定增19.3亿布局奶源 拓宽护城河,新浪
1980,2021-03-17,"海天味业现1笔大宗交易 共成交1,456.49万元",新浪
1981,2021-03-17,海天味业今日大宗交易成交10.65万股，成交价136.76元折价10.54%,Wind
1982,2021-03-17,A股史上首次蓝筹股泡沫破裂，6成私募反对抄底,Wind
1983,2021-03-17,他是薇娅第一批客户，靠什么在千亿调味品赛道脱颖而出？,I黑马
1984,2021-03-17,A股早报2021年3月17日星期三,Wind
1985,2021-03-17,私募解读增量资金三大加仓密码,Wind
1986,2021-03-16,北向资金变“保守”了？月内加码金融股卖出热门白马股,第一财经
1987,2021-03-16,大公司动态丨UC浏览器、360搜索被多个应用市场下架；永辉生活回应卖茅台只收钱不给货；富士康回应“与苹果合作造车”,第一财经
1988,2021-03-16,A股共发生92宗大宗交易成交14.56亿元（3月16日）,Wind
1989,2021-03-16,海天味业现5笔大宗交易总成交金额1.62亿元,证券时报网
1990,2021-03-16,又一家！千亿市值半导体巨头跌停，诺安基金要背大锅？,云掌财经
1991,2021-03-16,"海天味业现5笔大宗交易 共成交16,245.33万元",新浪
1992,2021-03-16,海天味业今日大宗交易成交73.08万股，成交价149.3元折价1.74%,Wind
1993,2021-03-16,海天味业：负责公司财务报告审计是毕马威华振会计师事务所，报酬220万,每日经济新闻
1994,2021-03-16,海天味业：计划逐步推出火锅饮食文化相关调味产品,Wind
1995,2021-03-16,海天味业：计划逐步推出火锅饮食文化相关调味产品,e公司
1996,2021-03-16,海天味业：与火锅饮食文化相关调味产品，公司也有计划逐步推出,每日经济新闻
1997,2021-03-16,德邦证券--食品饮料行业周报：白酒再迎提价催化，重视食品预期差修复【行业研究】,金融界股吧
1998,2021-03-16,海天味业：截至目前，公司控股股东没有减持过公司股份,每日经济新闻
1999,2021-03-16,海天味业：公司150万吨的募投项目已经全部投产,每日经济新闻
2000,2021-03-16,海天味业：高明调味品扩建产能为100万吨，在2019-2023年逐步释放,每日经济新闻
2001,2021-03-16,周谈|Weekly Talk：动销强支撑，底部显真金,食品饮料光头阳线
2002,2021-03-16,【中原消费】 消费板块投资周思考（3.8——3.12）：历数白酒数次回调，货币潮退是主因,中原证券研究所
2003,2021-03-16,【中原晨会0316】周观点第八期、市场分析、券商板块周报、消费板块投资周思考、汽车行业周报、电力设备行业点评、传媒行业数据周报,中原证券研究所
2004,2021-03-16,重视周期回调机会｜晨会0316,中信建投证券研究
2005,2021-03-15,没想到3000点入市，3400点竟然腰斩了,云掌财经
2006,2021-03-15,海天味业3月15日大宗交易成交202.02万元,证券时报网
2007,2021-03-15,A股收跌：抱团股受重挫，你的基金跌了吗？ 连续下跌,中新网
2008,2021-03-15,大消费行业：消费基本面强势 估值回落更积极可为,华安证券
2009,2021-03-15,食品饮料行业周报：白酒已近稳态 能量饮料渐入视野,新浪
2010,2021-03-15,【读者交流问答0315】,云掌财经
2011,2021-03-15,A股收盘：创业板指跌超4% 抱团股又拖后腿 茅台跌破2000元,证券之星
2012,2021-03-15,【华创食饮|最新】潜在价值空间在哪里？ ——食品饮料板块最新思考,华创食饮
2013,2021-03-15,巨·大盘｜抱团股成做空主力 沪指回踩3400点 股票卖空,巨丰财经
2014,2021-03-15,食品饮料周报：白酒进入价值区间 关注2021一季报投资机会,新浪
2015,2021-03-15,食品饮料行业周报：食饮基本面强劲 业绩预期乐观,华安证券
2016,2021-03-15,巨丰收评：抱团股跌势未止 沪指回踩3400点,巨丰财经
2017,2021-03-15,海天味业(603288.SH)一度跌近5%创7个月新低 较最高位回撤32% 连续下跌,格隆汇
2018,2021-03-15,创业板大跌超3%，茅台破2000元！半导体白酒领跌,Wind
2019,2021-03-15,今天又是亏钱的一天 基金重仓股又崩了！茅台破2000元 各种茅重挫,中国基金报
2020,2021-03-15,"突发！刚刚，创业板大跌超3%，茅台破2000元，各种茅重挫！半导体白酒领跌，3000亿白马股被砸跌停！沙尘暴刷屏，这一板块疯涨！
连续下跌",中国基金报
2021,2021-03-15,A股午盘综述：上证指数跌0.61%、创业板指跌超3%，机构抱团股再度重摔,Wind
2022,2021-03-15,浙商证券--食品行业周报：新乳业完成“一只酸奶牛”收购【行业研究】,金融界股吧
2023,2021-03-15,【方正食饮210315】白酒回归合理估值， 高成长性个股性价比显现,虎哥的研究
2024,2021-03-14,【开源食饮】白酒已近稳态，能量饮料渐入视野——行业周报,宇光看食饮
2025,2021-03-12,海天味业现4笔大宗交易合计成交86.46万股,证券时报网
2026,2021-03-12,"海天味业现4笔大宗交易 共成交13,659.92万元",新浪
2027,2021-03-12,海天味业今日大宗交易成交10.29万股，成交价141.84元折价8.73%,Wind
2028,2021-03-12,A股收盘综述：上证指数录涨因电力、碳中和板块爆发，周线仍三连跌,Wind
2029,2021-03-12,高管、机构减持不断，海天味业两月蒸发2115亿！“酱茅”不香了？ 减持股份,云掌财经
2030,2021-03-12,南方粤港澳大湾区ETF四季报：股票仓位为96.68% 重仓中国平安、腾讯控股等,新浪
2031,2021-03-12,深度解读 | 装配式装修行业专题：渠道再选择，功能建材的装配式集中,新浪
2032,2021-03-12,晨报0312 | 白酒专题、装配式装修专题、江苏银行（600919）,国泰君安证券研究
2033,2021-03-11,专访全国人大代表、荣事达集团董事长潘保春：缺乏创新导致老字号落后 应制定积极复兴计划,21世纪经济报道
2034,2021-03-11,建材渠道变革之专题：渠道再选择 功能建材的装配式集中,新浪
2035,2021-03-11,每件10元，利润2元，一年卖10亿件，这家公司值1000亿？,36氪
2036,2021-03-11,【行业专题】渠道再选择，功能建材的装配式集中（国君建材 鲍雁辛 赵晨阳）20210308,鲍大侠之建材
2037,2021-03-11,海天味业成立新公司，经营范围含再生资源回收,企查查
2038,2021-03-11,德邦证券--食品饮料行业周报：白酒配置价值逐步显现，自下而上掘金食品【行业研究】,金融界股吧
2039,2021-03-11,东方城镇消费主题混合净值上涨3.10%,新浪
2040,2021-03-10,探秘龙虎榜 | 南宁糖业(000911.SZ)预计有溢价空间，今飞凯达(002863.SZ)需进一步放量以突破半年线高点,智通财经
2041,2021-03-10,海天味业现3笔大宗交易总成交金额6454.14万元,证券时报网
2042,2021-03-10,"海天味业现3笔大宗交易 共成交6,454.14万元",新浪
2043,2021-03-10,海天味业今日大宗交易成交42万股，成交价153.67元折价0.41%,Wind
2044,2021-03-10,沪市主板业绩说明会“主题周”启幕,上证报
2045,2021-03-10,贵州茅台逼近2000，“茅资产”暴涨，A股重回核心资产牛市？,搜狐
2046,2021-03-10,华夏消费ETF净值下跌3.31%,新浪
2047,2021-03-09,【华创消费】机会在哪里？食品饮料对话医药健康,华创食饮
2048,2021-03-09,V型反转后再度走弱 静待调整后的结构性机会,大众证券报
2049,2021-03-09,A股持续大幅下杀，两融和股票质押数据暂属温和,第一财经
2050,2021-03-09,大盘上演“过山车”！北向资金“来去匆匆”，精准抄底？,环球老虎财经
2051,2021-03-09,海天味业今日大宗交易成交4万股，成交价158.55元溢价3.18%,Wind
2052,2021-03-09,海天味业现1笔大宗交易 共成交634.20万元,新浪
2053,2021-03-09,A股收盘综述：上证指数再跌1.82%至3350位置，创业板指两日累挫超8%,Wind
2054,2021-03-09,"""神奇力量""岀手 ""茅""指数率先企稳 机构火线解读",证券时报
2055,2021-03-09,罕见深V！急跌尾声接近？机构火线解读,Wind
2056,2021-03-09,抱团股大跌真凶？答案市场早已明示，两背景成导火线,搜狐
2057,2021-03-09,A股深V反转，北上资金抢筹30亿，反弹有何深意？,Wind
2058,2021-03-09,抱团股大跌真凶？答案市场早已明示，一些人不肯承认事实罢了,搜狐
2059,2021-03-09,发生了什么？A股三大股指触底反弹，港股也大逆转，恒指涨至1%！机构解读来了,和讯
2060,2021-03-09,A股短线深V震荡沪指跌幅收窄贵州茅台快速回弹翻红领涨,财华社
2061,2021-03-09,贵州茅台、中免、海天、格力、万华化学、药明康德、海尔等明星股率先翻红,Wind
2062,2021-03-09,食品饮料行业：无惧短期波动 坚守成长性和确定性个股,新浪
2063,2021-03-09,2021年2月外资持仓变动跟踪：陆股通持续流入，顺周期继续加码（国信策略）,追寻价值之路
2064,2021-03-09,华安MSCI中国A股国际ETF净值下跌3.18%,新浪
2065,2021-03-09,富国中证消费50ETF净值下跌5.51%,新浪
2066,2021-03-09,上投摩根MSCI中国A股ETF净值下跌3.57%,新浪
2067,2021-03-09,浦银安盛MSCI中国A股ETF净值下跌3.60%,新浪
2068,2021-03-09,平安粤港澳大湾区ETF净值下跌3.26%,新浪
2069,2021-03-09,华夏MSCI中国A股国际通ETF净值下跌3.58%,新浪
2070,2021-03-09,招商MSCI中国A股国际通ETF净值下跌3.45%,新浪
2071,2021-03-09,新华MSCI中国A股国际ETF净值下跌3.52%,新浪
2072,2021-03-09,富国中证消费50ETF联接A净值下跌5.25%,新浪
2073,2021-03-09,银华食品饮料量化股票发起式C净值下跌5.66%,新浪
2074,2021-03-09,中信建投睿信混合A净值下跌3.95%,新浪
2075,2021-03-09,前海开源中证大农业指数增强净值下跌3.51%,新浪
2076,2021-03-09,巨丰早评：A股仍将探底 注意逢高减仓,巨丰财经
2077,2021-03-08,今日两市共发生90宗大宗交易 机构抢筹这些个股,第一财经
2078,2021-03-08,"海天味业现1笔大宗交易 共成交2,144.52万元",新浪
2079,2021-03-08,海天味业今日大宗交易成交12.88万股，成交价166.5元溢价5.01%,Wind
2080,2021-03-08,创业板指收跌近5%，接下来市场走向如何？十大券商发表观点。,搜狐
2081,2021-03-08,巨·大盘 | 大盘为何跌势不止？未来如何应对？,巨丰财经
2082,2021-03-08,巨丰收评：大盘创节后新低 蓝筹股跌势未止,巨丰财经
2083,2021-03-08,A股收盘综述：上证指数下滑2.3%，创业板指跌入技术性熊市,Wind
2084,2021-03-08,周谈|Weekly Talk：食品饮料季报前瞻，乐观预期支撑合理估值。,食品饮料光头阳线
2085,2021-03-08,浙商证券--食品加工行业周报：有友食品发布激励计划，激发团队活力【行业研究】,金融界股吧
2086,2021-03-08,广东复工指数观察：“就地过年”政策让企业迅速重启,东证衍生品研究院
2087,2021-03-08,食品饮料α掘金：青啤净利增18%、H股折价30%，白酒有20%上行空间,新浪
2088,2021-03-08,调味品公司可以“抄底”了吗？,新浪
2089,2021-03-07,【开源食饮】冷静看待估值回落，食品饮料仍需守正出奇——行业周报,宇光看食饮
2090,2021-03-07,绩优股是什么意思？2021绩优股名单一览,云掌财经
2091,2021-03-07,天味食品设立上海分公司 内部人士回应吸引人才促线上业务发展,财联社
2092,2021-03-07,春节后12日，茅台暴跌超20%，各种茅集体重挫，最惨狂跌近40% 连续下跌,中国基金报
2093,2021-03-07,节后茅台市值蒸发6800亿！各种茅集体重挫，昔日跌停绞肉机却暴涨一倍 连续下跌,腾讯网
2094,2021-03-07,各种茅集体重挫，昔日跌停“绞肉机”却暴涨100%！,Wind
2095,2021-03-07,"历史罕见！节后12日，茅台暴跌超20%，蒸发6800亿！各种茅集体重挫，最惨狂跌近40%，昔日跌停“绞肉机”却暴涨100%！
连续下跌",中国基金报
2096,2021-03-06,抱团股崩塌 基金或转换思路,金融投资报
2097,2021-03-06,调味品大行业深度报告行业深度研究：从复合化到定制化 探究舌尖舞者们的层层蜕变,新浪
2098,2021-03-05,市场还需横向震荡巩固筹码,云掌财经
2099,2021-03-05,"刚刚！百股涨停，A股险守3500点，创业板大逆转！更有惊现""乌龙指""，一度狂飙225%，深交所紧急出手！",中国基金报
2100,2021-03-05,2021胡润全球富豪榜，世界首富、亚洲首富都换人了,云掌财经
2101,2021-03-05,闹出了个大误会,云掌财经
2102,2021-03-05,益民基金吕伟旗下3只产品近一月跌超17% 2020四季度偏爱白酒股,新浪
2103,2021-03-05,食品饮料行业2021年春季投资策略：精选赛道 坚守龙头,光大证券
2104,2021-03-05,东兴中证消费50指数C净值下跌4.07%,新浪
2105,2021-03-05,银华食品饮料量化股票发起式A净值下跌4.27%,新浪
2106,2021-03-05,啥情况？“茅”板块节后蒸发3.5万亿，这一妖股竟连吃12个涨停！这些小票也涨疯了,券商中国
2107,2021-03-04,"海天味业现1笔大宗交易 共成交5,497.66万元",新浪
2108,2021-03-04,海天味业今日大宗交易成交32.12万股，成交价171.16元溢价4.05%,Wind
2109,2021-03-03,百股涨停！A股大涨近2%，茅台大涨近4%！银行股大爆发，赚钱效应显现？,21世纪经济报道
2110,2021-03-03,"酱油第一股错失十年机遇:""酱油大王""称找到原因 股价能否重振雄风",新浪
2111,2021-03-03,海天味业现2笔大宗交易总成交金额4437.56万元,证券时报网
2112,2021-03-03,今年继续看好这个行业,云掌财经
2113,2021-03-03,"海天味业现2笔大宗交易 共成交4,437.56万元",新浪
2114,2021-03-03,全线走高！这些板块猛涨！独家解析，A股上涨背后的逻辑→,中新经纬
2115,2021-03-03,大宗商品超级周期来袭？银行股上演全面爆发 发生了什么,新浪
2116,2021-03-02,海天味业今日大宗交易成交31.29万股，成交价172.48元溢价1.68%,Wind
2117,2021-03-02,"海天味业现1笔大宗交易 共成交5,396.90万元",新浪
2118,2021-03-02,调整也不必悲观,云掌财经
2119,2021-03-02,快讯 | 钟睒睒以5500亿人民币身价成亚洲首富，农夫山泉股价近9天下跌26%,财经网
2120,2021-03-02,巨·大盘：五大因素导致反弹夭折 大盘一日游,巨丰财经
2121,2021-03-02,海底捞巨亏，股价却暴涨！消费白马的估值天花板到底在哪里？ 重大损失,和讯
2122,2021-03-02,巨丰收评：茅台大跌致反弹一日游 沪指3500点失而复得,巨丰财经
2123,2021-03-02,贵州茅台重挫5%失守2100元，招商证券：优质资产会证明它自己！,资本邦
2124,2021-03-02,胡润发布全球富豪榜,云掌财经
2125,2021-03-02,食用油行业高手如林，海天味业切入新赛道，除了机会之外还有什么,搜狐
2126,2021-03-02,盐津铺子张学武：抢抓双循环机遇推动食品消费升级的五点建议,财联社
2127,2021-03-01,港股策略点评：慢牛行情，阿里健康、龙湖、海底捞入恒指,老虎证券
2128,2021-03-01,食品饮料将现“结构性行情”，在新消费领域寻“黑马”,红周刊
2129,2021-03-01,港股策略点评：慢牛行情，新经济仍然是重点,老虎证券
2130,2021-03-01,谁会“抛弃”良品铺子？,砍柴网
2131,2021-03-01,海天味业现3笔大宗交易合计成交40.00万股,证券时报网
2132,2021-03-01,"海天味业现3笔大宗交易 共成交6,579.87万元",新浪
2133,2021-03-01,钜派观点:短期估值过高市场将调整 不改长期优秀公司的投资价值,新浪
2134,2021-03-01,聚焦两会|全国人大代表张学武：抢抓双循环机遇推动食品消费升级的五点建议,财联社
2135,2021-03-01,民生食品饮料行业周报：静待业绩催化 短期精选防御性品种,新浪
2136,2021-03-01,16年31倍板块单周暴跌14.7%，标的ETF份额飙升52%！ 连续下跌,资本邦
2137,2021-03-01,【捷报】扩产后又官宣提价37%，万华化学进入“量价齐升”新阶段？,财华社
2138,2021-03-01,食品行业周观点：糖果专家 久久王通过聆讯,新浪
2139,2021-02-28,【中泰食品】周思考9：基本面向上无虞，回调后性价比重现,食品饮料俱乐部
2140,2021-02-28,【开源食饮】基本面是重要支撑，短期波动不改长期趋势——行业周报,宇光看食饮
2141,2021-02-28,顶尖投资人“擒牛”复盘：买定离手，熬住寂寞,Wind
2142,2021-02-27,真正核心资产经得起考验 但斌：恐惧时候可贪婪,财富动力网
2143,2021-02-27,7天，A股散户人均亏了1万元，牛年开市至今你亏了多少？,上观
2144,2021-02-27,科创板T+0、注册制……证监会最新定调！3月A股能否企稳？,Wind
2145,2021-02-26,陆港通每周复盘 | 南下资金一周流出126.9亿港元，系今年以来首次！,新浪
2146,2021-02-26,创业板牛年大跌16%，多只抱团股跌超20%，但斌发声：恐惧时候贪婪,每日经济新闻
2147,2021-02-26,牛年“最惨”开局，茅台跌近20%！但斌：该贪婪了,中国基金报
2148,2021-02-26,解密主力资金出逃股连续5日净流出539股,证券时报网
2149,2021-02-26,社科院专家：七大理由支撑，当前对A股不必过分悲观，房地产已失去配置价值！,金融界
2150,2021-02-26,牛年“最惨”开局：茅台狂跌近20% 网友称“躲得初一躲不过十五”,中国基金报
2151,2021-02-26,紧盯茅台！茅台不止跌 市场跌不停 静待企稳后触底拉升,巨丰财经
2152,2021-02-26,开盘冲涨停，通信板块迎修复？北上资金节后紧急调仓,证券时报网
