,2021-12-30,大化工专题策划二|能控纠偏煤化龙头有望长期走强 煤氢联动成行业新看点,财联社
416,2021-06-24,宝丰能源：公司一直在布局高端产品生产，二期烯烃项目包含2万吨/年的茂金属聚乙烯（即mPE）产能，计划在下半年投产；三期烯烃项目包含25万吨/年的EVA产能，计划于2023上半年年投产,每日经济新闻
417,2021-06-23,中信证券：宝丰能源依托绿氢资源禀赋，构建碳中和循环产业链,证券时报网
418,2021-06-23,宝丰能源(600989)深度跟踪报告：依托绿氢资源禀赋 构建碳中和循环产业链,新浪
419,2021-06-22,宁夏区域股市周报：*ST环球涨17.80%涨幅第一 中银绒业市值增长13.64亿,每日经济新闻
420,2021-06-22,【行情】煤炭概念异动拉升，辽宁能源涨超8%，陕西黑猫、广汇能源、宝丰能源跟涨,金十数据
421,2021-06-22,国泰君安：供给端深刻变革，将助推煤炭板块价值重估,证券时报网
422,2021-06-21,36股今日获机构买入评级8股上涨空间超20%,证券时报网
423,2021-06-21,【行业深度】洞察2021：中国氢能源行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
424,2021-06-21,化工行业周报：关注二季度高增长标的 中长期继续看好优质成长股,新浪
425,2021-06-21,A股早报2021年6月21日星期一,Wind
426,2021-06-21,建议重视中报行情 | 中信建投晨会,中信建投证券研究
427,2021-06-21,磷矿石、电石领涨市场，MDI开启反弹之路,中信建投证券研究
428,2021-06-20,煤炭周观点：市场对煤炭板块三个担忧的解读【国君煤炭翟堃】,煤市乾坤
429,2021-06-20,德邦证券首予宝丰能源买入评级：煤制烯烃领导者，全产业链效应显着,每日经济新闻
430,2021-06-18,A股共发生123宗大宗交易成交23.72亿元（6月18日）,Wind
431,2021-06-18,宝丰能源现3笔大宗交易合计成交2899.85万股,证券时报网
432,2021-06-18,宁夏区域股市周报：中银绒业大涨46.62%排第一 新日恒力挤进板块市值5强,每日经济新闻
433,2021-06-18,"宝丰能源现3笔大宗交易 共成交38,278.02万元",新浪
434,2021-06-18,透视大宗交易：6月18日共成交123笔，宝丰能源成交3.83亿元,每日经济新闻
435,2021-06-18,宝丰能源今日大宗交易成交2899.85万股，成交价13.2元折价5.24%,Wind
436,2021-06-18,宝丰能源大涨,新浪
437,2021-06-18,10个新建焦化项目进展盘点,北极星节能
438,2021-06-18,宝丰能源(600989)：把握双碳契机 强势领跑赛道,新浪
439,2021-06-17,“碳中和”二十大趋势研判,新浪
440,2021-06-17,申港证券首予宝丰能源买入评级：把握双碳契机强势领跑赛道,每日经济新闻
441,2021-06-16,煤炭5月供需数据点评：供需紧张延续 基本面维持向上,新浪
442,2021-06-15,众企业加速卡位“电解水制氢”,中国能源网china5e
443,2021-06-15,基础化工行业周报：油价上涨 三聚氰胺、磷酸一铵、有机硅DMC等产品价格上涨,新浪
444,2021-06-14,板块拾金丨鸿蒙概念股强势来袭；白酒板块回调风云突变，节后形势一片大好？,第一财经
445,2021-06-13,煤炭行业：供给收窄将成为板块上行重要催化,新浪
446,2021-06-11,"宝丰能源现4笔大宗交易 共成交12,099.34万元",新浪
447,2021-06-11,宝丰能源今日大宗交易成交946万股，成交价12.79元折价8.32%,Wind
448,2021-06-11,石化行业OPEC月报点评：OPEC逐步放松减产 需求复苏提供支撑,新浪
449,2021-06-11,【银河化工】2021年中期策略丨需求引领景气，布局成长、把握周期,中国银河证券研究
450,2021-06-10,石油化工行业：7月继续增产 油价强势上涨,新浪
451,2021-06-10,宝丰能源现3笔大宗交易总成交金额1.09亿元,证券时报网
452,2021-06-10,"宝丰能源现3笔大宗交易 共成交10,948.08万元",新浪
453,2021-06-10,宝丰能源今日大宗交易成交858万股，成交价12.76元折价10.2%,Wind
454,2021-06-10,化工行业：聚焦周期景气龙头 看好低估值优质成长,新浪
455,2021-06-09,宁夏区域股市周报：宝丰能源跌6.50%跌幅第一 中银绒业挤进板块市值3强,每日经济新闻
456,2021-06-09,化工板块超20股涨逾5% 机构：顺周期业绩将迎兑现期丨牛熊眼,第一财经
457,2021-06-08,宝丰能源发生2笔大宗交易合计成交1.16亿元,证券时报网
458,2021-06-08,"宝丰能源现2笔大宗交易 共成交11,588.59万元",新浪
459,2021-06-08,宝丰能源今日大宗交易成交919万股，成交价12.61元折价9.61%,Wind
460,2021-06-08,宝丰能源：内蒙项目规划配套太阳能电解制氢,Wind
461,2021-06-08,氢能行业系列深度报告二：绿氢 风正帆悬 平价在望,国联证券
462,2021-06-08,国泰君安：煤炭供需紧张将加剧，盈利进入释放期,证券时报网
463,2021-06-07,石油化工行业周报：油价突破前高站上70美元 看多石化全产业链,新浪
464,2021-06-07,"宝丰能源现2笔大宗交易 共成交1,195.26万元",新浪
465,2021-06-07,宝丰能源(600989.SH)斥资2亿元累计回购1226.92万股,智通财经
466,2021-06-07,宝丰能源今日大宗交易成交14.28万股，成交价14.01元溢价0.0%,Wind
467,2021-06-07,宝丰能源：累计回购约1227万股，占比0.17%,每日经济新闻
468,2021-06-07,国君石化 | 碳中和对石化行业影响专题研究：石化行业成本曲线重塑，中长期竞争格局优化,国泰君安证券研究
469,2021-06-07,化工行业周报：重点看好资本开支下实现跨越式增长的周期成长股,新浪
470,2021-06-05,【银河周知】关注石化、证券等高景气行业的投资机会,中国银河证券研究
471,2021-06-04,[路演]宝丰能源：未来五年聚烯烃不会出现行业性产能过剩,全景网
472,2021-06-04,A股早报2021年6月4日星期五,Wind
473,2021-06-03,透视大宗交易：6月3日共成交103笔，宝丰能源成交1.3亿元,每日经济新闻
474,2021-06-03,"宝丰能源现2笔大宗交易 共成交12,990.30万元",新浪
475,2021-06-03,宝丰能源今日大宗交易成交1007万股，成交价12.9元折价8.64%,Wind
476,2021-06-03,供需改善焦炭6月价格将回调,Wind
477,2021-06-02,宝丰能源：公司目前有4座煤矿 3座在产煤矿合计产能720万吨,煤炭市场网
478,2021-06-02,【银河石化任文坡/林相宜】行业动态 2021.5丨油价延续震荡格局，把握业绩周期改善投资机会,中国银河证券研究
479,2021-06-01,北向资金今年净买入额已超去年全年，东方雨虹再获净买入超7亿元,Wind
480,2021-06-01,宝丰能源：DMTO三代甲醇制烯烃技术需要支付专利技术许可及工艺包设计费，付款根据合同设计节点支付,每日经济新闻
481,2021-06-01,宝丰能源：2020年外购原煤25万吨用于洗选，外购价格为290元/吨,每日经济新闻
482,2021-06-01,宝丰能源：红四煤矿已经投入联合试运转，已投产的三座煤矿合计产能为720万吨/年,每日经济新闻
483,2021-06-01,宝丰能源：公司现自有煤矿产能为720万吨/年,每日经济新闻
484,2021-06-01,宝丰能源：50万吨/年C2-C5综合利用制烯烃项目预计2022年底建成投产,每日经济新闻
485,2021-06-01,银河证券：油价延续震荡格局，把握业绩周期改善投资机会,证券时报网
486,2021-05-31,宁夏区域股市周报：英力特大涨30.62%排第一 1894万融资买入宁夏建材,每日经济新闻
487,2021-05-31,化工行业：黄磷-草甘膦继续引领化工涨幅 可降解塑料政策密集发布,新浪
488,2021-05-31,石油化工新材料行业北上资金周报,新浪
489,2021-05-31,全产业链价格价差研究：黄磷、磷酸价格上涨 重点关注细分龙头表现,新浪
490,2021-05-27,大盘站上3600点！国君高呼：蓝筹空间打开,Wind
491,2021-05-27,北向资金四日抢筹A股近500亿，格力电器净买超7亿,Wind
492,2021-05-27,什么信号？茅台1笔被砸4.35亿！外资猛灌470亿,Wind
493,2021-05-27,抢抢抢！百亿北向资金尾盘卡秒流入，一批个股应声异动,Wind
494,2021-05-27,中信证券：周期景气延续，成长未来可期,Wind
495,2021-05-27,今日MSCI再迎重要时间点,Wind
496,2021-05-26,北向资金连续三日抢筹A股超300亿，贵州茅台再获净买入超11亿元,Wind
497,2021-05-26,外资天量抢筹，买了哪些股票？,Wind
498,2021-05-26,【银河化工任文坡/林相宜】行业周报丨全产业链价格价差研究：有机硅价格上涨，重点关注龙头企业表现,中国银河证券研究
499,2021-05-25,东吴证券：业绩为王，挖掘化工投资机会,第一财经
500,2021-05-25,化工行业2021年中期策略：业绩为王，挖掘化工投资机会,东吴石化化工
501,2021-05-25,石油石化行业数据周报：假期油价走势回顾,新浪
502,2021-05-25,宁夏区域股市周报：530万融资买入宁夏建材 *ST环球跌9.20%排第一,每日经济新闻
503,2021-05-24,能源化工行业周观点：化工行业处传统淡季 农化、钛白粉等延续强势,新浪
504,2021-05-24,石油石化、基础化工、新材料行业北上资金流向周报,新浪
505,2021-05-24,宝丰能源：公司募投项目220万吨/年甲醇于2020年5月底已全面投产,每日经济新闻
506,2021-05-24,宝丰能源：公司二期设计的气化炉粉煤和焦粉均可以用,每日经济新闻
507,2021-05-24,宝丰能源：公司自制精煤的成本（含副产品成本）大约280元/吨,每日经济新闻
508,2021-05-24,宝丰能源：2021年公司外购煤约900万吨（含原煤、精煤、动力煤）,每日经济新闻
509,2021-05-24,化工行业周报：看好周期低估值弹性标的及高增长成长股,新浪
510,2021-05-24,宝丰能源：煤炭价格的上涨对公司的整体影响有限,e公司
511,2021-05-21,光伏制氢拐点将至,能源评论
512,2021-05-21,煤炭股情绪转暖，宝丰能源涨超3%,Wind
513,2021-05-21,基础化工行业化工碳中和系列报告四：碳交易市场对化工行业影响如何？,新浪
514,2021-05-21,全球最大加氢站试运行，北上资金加仓相关概念股,Wind
515,2021-05-21,全球最大加氢站试运行 北上资金加仓相关概念股,证券时报
516,2021-05-18,宁夏区域股市周报：219万融资买入宁夏建材 宝丰能源跌8.83%排第一,每日经济新闻
517,2021-05-18,化工行业周报：化工开始分化 关注纯碱、钛矿、氯碱、EVA等子行业,新浪
518,2021-05-17,化工行业周报：丁辛醇、丙烯酸及酯价格持续上涨 重点关注龙头企业表现,新浪
519,2021-05-17,2021Q1化工行业总结：供需格局改善 盈利大幅提升 看好景气持续,新浪
520,2021-05-17,化工周报：万华宁波技改扩产 草甘膦强势领涨农药板块,新浪
521,2021-05-13,近三年平均盈利900亿！煤炭上市公司2021社会责任报告发布！,国际能源网
522,2021-05-13,MSCI季度调整结果出炉 宝丰能源代表A股龙头入选,中国网
523,2021-05-13,MSCI季度调整结果出炉 宝丰能源成为新兴市场等指数成份股,上证报
524,2021-05-12,石油化工行业跟踪报告：需求仍有支撑 全年供需格局向好――OPEC月报点评,新浪
525,2021-05-12,中国策略简评-MSCI中国半年度调整：新增60只、剔除21只,新浪
526,2021-05-12,宁夏区域股市周报：总市值涨64亿 *ST环球涨9.15%排第一,每日经济新闻
527,2021-05-12,宝丰能源：公司煤炭自给率可达45%,Wind
528,2021-05-12,宝丰能源：公司在内蒙古鄂尔多斯规划建设400万吨煤制烯烃项目配套5×220万吨/年甲醇装置，目前项目各项工作进展顺利,每日经济新闻
529,2021-05-12,宝丰能源：目前公司有4座自有煤矿保有资源储量超9亿吨,第一财经
530,2021-05-12,宝丰能源将实施差异化分红 股权登记日为5月19日,上证报
531,2021-05-12,刚刚，MSCI公布最新调整！5只科创板股票进入旗舰指数系列,Wind
532,2021-05-12,MSCI公布最新调整！北向资金还在加仓,上证报
533,2021-05-12,MSCI公布最新调整 北向资金加码顺周期板块,上证报
534,2021-05-11,0512日报/亚钾国际预计今年钾肥产量50万吨或较去年翻番【东北基础化工】,东北基础化工
535,2021-05-11,宝丰能源5月20日分红 每10股派3.2元,证券时报网
536,2021-05-11,宝丰能源(600989.SH)权益分派：限售股每股派0.26472元 无限售股每股派0.32091元,智通财经
537,2021-05-11,石油天然气、化工行业2020&1Q21业绩回顾：行业高景气 盈利创新高,新浪
538,2021-05-11,化工行业2021年中期策略报告：周期修整再出发 成长赛道需要重视,新浪
539,2021-05-11,央地严控“两高”项目，助推产业绿色转型,Wind
540,2021-05-10,宝丰能源(600989.SH)截至4月底已回购1226.92万股,智通财经
541,2021-05-10,宝丰能源：累计回购约1226.92万股，占比0.17%,每日经济新闻
542,2021-05-10,宝丰能源(600989.SH)：截至4月底累计耗资2亿元回购1226.92万股,格隆汇
543,2021-05-10,能源化工行业周观点：化工产品景气高位延续 关注碳中和、农化、海外复苏等主线,新浪
544,2021-05-10,中国银河--化工行业：丁辛醇、丙烯酸及酯价格上涨，重点关注龙头企业表现【行业研究】,金融界股吧
545,2021-05-10,【机会挖掘】多地出台支持氢能发展政策 产业链股有望迎机遇,证券时报网
546,2021-05-10,全产业链价格价差研究：丁辛醇、丙烯酸及酯价格上涨 重点关注龙头企业表现,新浪
547,2021-05-10,石油化工行业周报：从油价上涨的弹性到石化产品盈利的持续性,新浪
548,2021-05-10,石化行业2020年报&2021一季报总结：油价回升 助力行业盈利能力改善,新浪
549,2021-05-08,原油周报：印度日本疫情持续恶化 国际油价先扬后抑,光大证券
550,2021-05-08,安信证券--基础化工行业周报：油价上涨，醋酸、钛白粉、软泡聚醚、制冷剂R134a等产品价格上涨【行业研究】,金融界股吧
551,2021-05-07,宁夏区域股市周报：总市值跌4.37% 晓鸣股份跌8.72%排第一,每日经济新闻
552,2021-05-07,一手“碳中和”一手高增长宝丰能源大制作背后的成本密码,搜狐
553,2021-05-07,【机会挖掘】浙江新能源汽车产业十四五规划发布 氢能汽车整车产业化有望提速,证券时报网
554,2021-05-07,中国银河维持石油化工行业推荐评级：21Q1业绩显着提升，基金持仓创历史新高,每日经济新闻
555,2021-05-07,【银河化工任文坡/林相宜】行业动态 2021.4丨21Q1业绩显着提升，基金持仓创历史新高,中国银河证券研究
556,2021-05-06,银河证券每日晨报,新浪
557,2021-05-06,券商晨会观点速递,第一财经
558,2021-04-30,石化行业：21Q1业绩显着提升 基金持仓创历史新高,新浪
559,2021-04-30,宝丰能源全球单厂规模最大的电解水制氢项目正式投产,新能源网
560,2021-04-29,中信建投大周期团队最新研究观点,中信建投证券研究
561,2021-04-28,采掘行业周报,新浪
562,2021-04-27,化工行业周报：丙烯酸及酯价格继续上涨，重点关注龙头企业表现,每日经济新闻
563,2021-04-27,中银证券化工行业点评：继续加大持仓比例，强化更多个股配置,每日经济新闻
564,2021-04-27,【银河策略曾万平】策略专题丨在业绩中寻找投资机会,中国银河证券研究
565,2021-04-26,宁夏区域股市周报：总市值涨81亿1711万融资买入宁夏建材,每日经济新闻
566,2021-04-26,化工点评报告：石油石化配置连续三季度回升 关注龙头及偏成长相关标的,新浪
567,2021-04-26,能源化工行业周观点：业绩披露期即将结束 多数子行业景气高位,新浪
568,2021-04-26,中信证券：年报季报披露窗口期即将结束，关注纯碱、化肥等业绩确定性较高行业,Wind
569,2021-04-26,首席周观点：外盘是胜负手,新浪
570,2021-04-26,A股策略专题：20210426在业绩中寻找投资机会,新浪
571,2021-04-26,中信证券：年报季报披露窗口期即将结束，关注纯碱、化肥等业绩确定性较高行业,证券时报网
572,2021-04-26,宝丰能源：一季度聚丙烯产量大幅下滑系因系统短期检修,Wind
573,2021-04-25,【光大金工|基金报告】上市公司一季报渐次披露，从前十股东窥基金经理动向——基金市场周报（20210412-20210416）,EBQuant
574,2021-04-22,社保、明星基金经理都爱的化工股，Q2还能接着涨吗？,资本邦
575,2021-04-22,宝丰能源一季度净利同比增超一倍 或成全球最大绿氢企业,证券日报
576,2021-04-22,能源化工+NEV｜氢能系列之产业链梳理：核心环节国内企业正在培育,中信证券研究
577,2021-04-22,刘格菘麾下基金一季度调仓路径：减仓“光伏茅”加码化工龙头股,证券之星
578,2021-04-21,【明日主题前瞻】合规监管趋严背景下的万亿市场时代浪潮馈赠的医美产业红利正“喷薄而出”,科创板日报
579,2021-04-21,首创证券--化工行业周报：顺周期板块持续分化，回归阿尔法主线正当时【行业研究】,金融界股吧
580,2021-04-21,太平洋--宝丰能源：主营产品涨价业绩靓丽，新模式积极拥抱碳中和【公司研究】,金融界股吧
581,2021-04-21,银河证券：需求复苏助力景气上行，化工行业一季度业绩将显著提升,Wind
582,2021-04-21,宝丰能源建成全球最大太阳能电解水制氢项目,中证报
583,2021-04-21,太阳能电解水制氢项目投产 宝丰能源全线启程“碳中和”之路,证券日报
584,2021-04-20,"宝丰能源电解水制绿氢项目投产 计划2040年实现""碳中和""",中新经纬
585,2021-04-20,龙头公司｜如何理解煤化工龙头“宝丰能源”全产业链的持续价值？,云掌财经
586,2021-04-20,中国银河--化工行业深度：需求复苏助力景气上行，21Q1业绩将显着提升【行业研究】,金融界股吧
587,2021-04-20,宝丰能源（600989）：“绿氢”制造先行者，打造碳中和煤化工龙头,中信证券研究
588,2021-04-20,应对气候变化“碳中和3060”高端论坛在京举行,中国网
589,2021-04-20,全球最大电解水制氢项目亮相 化工巨头宝丰能源 “氢”舞飞扬,中国网
590,2021-04-20,中信证券：宝丰能源“绿氢”制造先行者，国内煤基新材料龙头,Wind
591,2021-04-20,【行情】煤炭概念异动拉升，金能科技涨超6%，宝丰能源、山西焦化、远兴能源、山西焦煤跟涨,金十数据
592,2021-04-19,机构强烈推荐31只个股-更新中,中财网
593,2021-04-19,能源观察 | 宝丰能源斥资10亿元抢滩氢能赛道，“氢能热”风潮渐起,财经网
594,2021-04-19,国信证券--宝丰能源2021Q1财报点评：Q1业绩创历史新高，电解水制绿氢布局“碳中和”【公司研究】,金融界股吧
595,2021-04-19,开源证券：宝丰能源（600989.SH）2021Q1业绩符合预期，维持“买入”评级,智通财经
596,2021-04-19,中国银河--化工行业周报：碳酸二甲酯、丙烯酸及酯价格上涨，重点关注龙头企业表现【行业研究】,金融界股吧
597,2021-04-19,官宣！发改委初步圈定未来产业领域，它们的特征是……,Wind
598,2021-04-19,宝丰能源拟投资10亿元布局光伏制氢,集邦新能源网
599,2021-04-19,核心资产是未来导向，市场波动之际优质赛道成首选,云掌财经
600,2021-04-19,宝丰能源：拟投10亿元加码氢能项目 或成全球最大绿氢企业,中证网
601,2021-04-19,A股早报2021年4月19日星期一,Wind
602,2021-04-19,盘前有料丨今日7只新股申购；五一国内出游有望达2亿人次…重要消息还有这些,证券时报
603,2021-04-18,公告精选丨10天9板金发拉比停牌核查 宝丰能源拟布局绿氢,21世纪经济报道
604,2021-04-18,下周操盘攻略：五粮液巨量解禁、13只新股申购,Wind
605,2021-04-18,宝丰能源一季度净利倍增 拟10亿元成立氢能公司,上证报
606,2021-04-18,晚间重要公告2021年4月18日星期日,Wind
607,2021-04-18,4月18日晚间上市公司重要公告汇总,中金在线
608,2021-04-18,宝丰能源：拟投资10亿元设立子公司 通过太阳能发电制取绿氢,中证网
609,2021-04-18,晚间公告丨4月18日这些公告有看头,第一财经
610,2021-04-18,宝丰能源(600989.SH)：为进一步推动由化石能源向新能源转型拟成立绿氢生产子公司,格隆汇
611,2021-04-18,宝丰能源拟斥资10亿元布局光伏制氢 一季度净利同比增110%,e公司
612,2021-04-18,宝丰能源(600989.SH)一季度归母净利同比增110.25%至17.28亿元,智通财经
613,2021-04-18,宝丰能源(600989.SH)一季度净利润升110.25%至17.28亿元,格隆汇
614,2021-04-18,宝丰能源：10亿元设立全资子公司，通过太阳能发电制取绿氢用于化工生产,Wind
615,2021-04-18,宝丰能源：一季度净利润同比增长110.25%,Wind
616,2021-04-15,光伏巨头争相布局，氢能成资本市场明星概念,华夏时报
617,2021-04-14,化工板块表现活跃 机构建议关注两条主线,中财网
618,2021-04-14,【机会挖掘】氢能是大规模长周期储能的最佳途径 关键技术公司有望“氢”装上阵,同壁财经
619,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
620,2021-04-13,首创证券--化工行业周报：当前时点坚定推荐时间换空间阿尔法品种【行业研究】,金融界股吧
621,2021-04-13,中国银河--化工行业周报：醋酸系列价格大幅上扬，重点关注龙头企业表现【行业研究】,金融界股吧
622,2021-04-13,首创证券--市场策略报告：首席周观点，静观其变【投资策略】,金融界股吧
623,2021-04-12,石油化工行业周报：疫情反复油价震荡 长丝价格持续回暖,新浪
624,2021-04-12,A股早报2021年4月12日星期一,Wind
625,2021-04-12,醋酸价格再破新高，万华一季报创新高超预期,中信建投证券研究
626,2021-04-12,过半A股公司发布2020年成绩单：全年稳中有增，多行业逆势爆发,Wind
627,2021-04-11,周观点：龙头受益价格调控，一季报盈利多超预期【国君煤炭翟堃】,煤市乾坤
628,2021-04-09,一季报披露启动，二季度或聚焦业绩确定性增长，张坤增持中炬高新减持水井坊 刘格菘新进宝丰能源 减持股份,红周刊
629,2021-04-09,A股共发生89宗大宗交易成交17.36亿元（4月9日）,Wind
630,2021-04-09,"宝丰能源现4笔大宗交易 共成交19,183.96万元",新浪
631,2021-04-09,宝丰能源今日大宗交易成交1257.14万股，成交价15.26元折价10.34%,Wind
632,2021-04-09,能源化工行业氢能系列报告之一：“氢”装上阵 赛道可期,新浪
633,2021-04-09,多地拟纳入燃料电池汽车示范应用城市群，概念股连续走强,云掌财经
634,2021-04-09,氢能万亿市场等待打开 机会在哪里？多家券商给出解读,第一财经
635,2021-04-09,再迎新政利好 氢能源概念股早间大涨 主力资金杀入龙头股超16亿元,第一财经
636,2021-04-09,没扛住！3700亿顺丰一字跌停，政策利好助氢能源逆市走强,e公司
637,2021-04-09,没扛住！3700亿顺丰一字跌停，“三通一达”都绿了！ 连续下跌,上游新闻
638,2021-04-09,多地积极布局氢能，产业链股再度活跃，雪人股份四连板,证券时报网
639,2021-04-09,氢能源概念股受热捧，机构建议布局具备关键技术及先发优势龙头丨牛熊眼,第一财经
640,2021-04-09,中信证券：预计未来30年氢能的整体需求将增长8倍,21世纪经济报道
641,2021-04-09,中信证券：“碳中和”或加速氢能应用推广，2050年需求或扩张8倍,Wind
642,2021-04-09,中信证券：在“碳中和”政策推动下，氢能或逐步走上能源舞台,Wind
643,2021-04-09,中信证券：“碳中和”或加速氢能应用推广 2050年需求或扩张8倍,e公司
644,2021-04-09,中信证券：在“碳中和”政策的推动下，氢能或逐步走上能源舞台,证券时报网
645,2021-04-09,中泰证券：碳中和对于化工行业的影响，主要来自能耗和材料两个方面,Wind
646,2021-04-09,扎堆调研化工股成基金增仓新风向,Wind
647,2021-04-08,化工行业深度：碳中和背景下的中国化工,新浪
648,2021-04-08,碳中和板块火了，隆基和宝丰一起抢占万亿“氢”机会？,网易
649,2021-04-08,化工行业周报：顺周期下半场 关注时间换空间阿尔法品种,新浪
650,2021-04-07,宁夏区域股市周报：总市值涨34亿 1052万融资买入宁夏建材,每日经济新闻
651,2021-04-07,潜伏数月大举建仓 回购公告揭示刘格菘新动向,财联社
652,2021-04-07,石油化工行业：OPEC+将逐步增产 油价短期仍将上行,新浪
653,2021-04-07,长城证券--碳中和系列专题报告：碳中和系列报告（一），碳中和背景下的路径指引及行业展望【行业研究】,金融界股吧
654,2021-04-07,石油天然气、化工行业中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,新浪
655,2021-04-07,中金 | 中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,中金点睛
656,2021-04-07,晨报0407 | 焦炭行业专题报告、神火股份（000933）,国泰君安证券研究
657,2021-04-06,宝丰能源：助力碳中和，全球领先太阳能电解水制氢项目进入试生产,中金在线
658,2021-04-06,宝丰能源：氢能可以用于原有产业链｜公司问答,第一财经
659,2021-04-06,化工行业周报：化工品价格快速上涨后企稳 依然看好未来景气持续,新浪
660,2021-04-06,这一板块接力光伏大涨，龙头股20%直线涨停,Wind
661,2021-04-06,焦煤震荡上行 中长期格局持续向好,中国报告大厅
662,2021-04-06,【行情】煤炭概念板块异动拉升，美锦能源涨停，新集能源、辽宁能源、宝丰能源跟涨,金十数据
663,2021-04-06,险资提前调仓换股，究竟买了哪些股票？,Wind
664,2021-04-04,煤炭行业：板块迎利润估值双击 焦炭价格即将反弹,新浪
665,2021-04-02,OPEC+4月会议点评：OPEC+增产是对全球石油需求有着更为乐观的预期,光大证券
666,2021-04-02,“回购王”曝光，股价保卫战打响，4股最土豪（名单）,Wind
667,2021-04-01,宝丰能源(600989.SH)已累计回购0.17%股份 耗资2亿元,智通财经
668,2021-04-01,【银河化工任文坡/林相宜】行业动态 2021.3丨油价21Q1大幅上涨，看好行业单季度业绩表现,中国银河证券研究
669,2021-03-31,券商晨会精华：市场大概率维持震荡 围绕业绩超预期的板块进行配置,财联社
670,2021-03-31,银河证券：石油加工行业存在业绩周期改善的预期,Wind
671,2021-03-31,新势力崛起，揭秘孙迪、胡宜斌、杜洋的隐形重仓股！,Wind
672,2021-03-31,中国银河--石油化工行业3月动态报告：油价21Q1大幅上涨，看好行业单季度业绩表现【行业研究】,金融界股吧
673,2021-03-31,银河证券：石油加工行业存在业绩周期改善的预期,证券时报网
674,2021-03-31,【银河晨报】3.31丨石化：油价21Q1大幅上涨，看好行业单季度业绩表现,中国银河证券研究
675,2021-03-30,【日报|国君煤炭翟堃】宝丰能源现自有煤矿产能720万吨/年，自产洗精煤成本250-350元,煤市乾坤
676,2021-03-30,首席周观点：蛰伏待机,新浪
677,2021-03-29,化工行业周观点：业绩披露高峰期临近 关注业绩超预期机会,新浪
678,2021-03-29,煤炭开采Ⅱ行业周报：神华兖煤分红大超预期 高股息龙头煤企迎价值重估,新浪
679,2021-03-29,石油化工行业周报：2021年海外石化龙头公司估值对标之-沙特阿美公司,新浪
680,2021-03-29,化工行业周报：欧洲重新封城 原油价格回落,新浪
681,2021-03-29,石油化工行业周报：航运中断支撑油价 长丝价差持续回暖,新浪
682,2021-03-29,鲁西化工一季度净利润同比预增超5000%，化工股走高丨牛熊眼,第一财经
683,2021-03-29,宝丰能源：太阳能电解水制氢及应用项目氢气单位成本可控制在1.34元/标方,每日经济新闻
684,2021-03-29,宝丰能源：自有煤矿产能为720万吨/年,每日经济新闻
685,2021-03-29,宝丰能源：公司于2020年新开发了包括高熔指纤维料、熔喷料、薄壁注塑料、小中空料、供水管材料、高强度膜料等9个专用料产品,每日经济新闻
686,2021-03-29,宝丰能源：公司生产过程中排放二氧化碳主要是动力生产蒸汽和甲醇合成过程中存在排放二氧化碳,每日经济新闻
687,2021-03-29,宝丰能源：公司将与供应商建立长期稳定的合作关系，会根据煤炭供应情况考虑是否采用长协价格,每日经济新闻
688,2021-03-29,宝丰能源：目前拥有4座煤矿，其中已投产煤矿3座，4座合计生产能力810万吨/年,每日经济新闻
689,2021-03-29,化工行业：万华推进福建工业园一体化布局 行业价格回调力度较小,新浪
690,2021-03-29,平安证券--化工行业周报：石油公司逐渐加大对新能源的布局【行业研究】,金融界股吧
691,2021-03-29,内蒙古停止审批新煤化工项目 宝丰400万吨煤制烯烃有何影响？,国家煤化工网
692,2021-03-29,煤炭石化行业周报：板块调整临近尾声 宜积极布局,新浪
693,2021-03-28,收官在即！一季度基金业绩如何？,Wind
694,2021-03-26,宁夏区域股市周报：总市值涨4.13% *ST中绒涨5.74%排第一,每日经济新闻
695,2021-03-26,16只高增长个股获机构高频买入推荐,Wind
696,2021-03-26,险资四季度调仓新动向：坚定持有核心资产，布局顺周期股,Wind
697,2021-03-25,【研报掘金】碳中和背景下将推动煤炭供改政策持续深化 看好大型龙头煤企,证券时报网
698,2021-03-25,机构提醒：碳中和部分个股涨幅已经透支基本面,Wind
699,2021-03-24,华菱钢铁、春秋航空、郑州煤电、恒逸石化、宝丰能源等热门股均跌超7%,Wind
700,2021-03-23,5张图看清！千亿市值大票年后跌幅、估值和债务规模,Wind
701,2021-03-23,化工碳中和系列报告三：碳中和背景下大炼化和煤化工如何发展,--
702,2021-03-23,“碳中和”主题升温，基金机构划重点,Wind
703,2021-03-22,碳中和概念热得烫手，备受机构调研青睐,Wind
704,2021-03-22,宝丰能源：回购股份计划启动 首日回购292.98万股,中证网
705,2021-03-22,宝丰能源(600989.SH)首次回购292.98万股 耗资5085.08万元,智通财经
706,2021-03-22,首创证券--市场策略报告：首席周观点，反弹依然承压，静静等待机会【投资策略】,金融界股吧
707,2021-03-22,化工行业周报：年报和一季报季在即 关注二线龙头兑现高弹性,新浪
708,2021-03-22,宝丰能源有序推进先进产能建设 围绕“碳中和”升级产业链,证券时报网
709,2021-03-22,平安证券--化工行业周报：降解塑料将成为拉动BDO需求的重要力量【行业研究】,金融界股吧
