,2021-12-31,年内最后一次油价调整，汽、柴油价格每吨分别提高140元和135元,Wind
2274,2021-05-12,长城控股与中国石化签署氢能战略合作协议 打造车站一体化应用场景,上证报
2275,2021-05-12,加氢苯日评：中石化纯苯上调支撑加氢苯宽幅上涨,百川盈孚
2276,2021-05-12,粗苯日评：价格大涨,百川盈孚
2277,2021-05-12,中国石化董事长张玉卓：加快打造世界级自主品牌,中经导报
2278,2021-05-12,石油化工行业跟踪报告：需求仍有支撑 全年供需格局向好――OPEC月报点评,新浪
2279,2021-05-12,中国石油A股再涨近3%，创阶段新高,Wind
2280,2021-05-12,【环己酮】市场货源紧张下游刚需采购,百川盈孚
2281,2021-05-12,中国石化与长城控股签署氢能战略合作框架协议,Wind
2282,2021-05-12,中国石化与长城控股签署氢能战略合作框架协议,e公司
2283,2021-05-12,中石化助力绿色交通 将逐步打造“油气氢电服”综合加能站,上证报
2284,2021-05-12,大摩：上调中石化、中石油目标价均予“增持”评级,格隆汇
2285,2021-05-12,大摩：上调中石化(00386)评级至“增持” 目标价升至5.3港元,智通财经
2286,2021-05-12,生意社：5月12日中石化各销售公司丁二烯对外供价持稳,生意社
2287,2021-05-12,大摩上调中石化目标价至5.3港元，评级升至增持,Wind
2288,2021-05-12,中国石化西南石油局元坝气田最深井元坝2-1H井投产,中新网
2289,2021-05-11,日评：石蜡报价灵活上调终端厂家利润压缩,百川盈孚
2290,2021-05-11,生意社：5月11日中石化华中对二甲苯价格平稳,生意社
2291,2021-05-11,西北油田累产天然气突破300亿立方米,国际燃气网
2292,2021-05-11,生意社：5月11日中石化纯苯出厂价格,生意社
2293,2021-05-11,央企建造！海南自贸港的“世界之最”“全国之首”,国资委
2294,2021-05-11,2021年中国品牌日活动开场 大批国货精品集中亮相,上证报
2295,2021-05-10,0511日报/国瓷材料拟以3000万元在深圳设立爱尔创新材料【东北基础化工】,东北基础化工
2296,2021-05-10,电气设备新能源行业周报：电动车销量和排产持续向好、光伏5月排产边际改善,新浪
2297,2021-05-10,昭通中石化开展资金安全专项提升行动,搜狐
2298,2021-05-10,生意社：行情向好 节后纯苯再涨4.18%（2021.5.3-2021.5.9）,生意社
2299,2021-05-10,张玉卓：加快打造世界级自主品牌 更好引领企业高质量发展,上证报
2300,2021-05-10,北向资金连续3日净买入，白酒股重获资金加仓,Wind
2301,2021-05-10,“内部通知”另有“动机”？洛阳住建局“红头文件”为何遭集体反弹,第一财经
2302,2021-05-10,环己烷日评：原料价格调涨工厂报盘上调,百川盈孚
2303,2021-05-10,加氢苯日评：中石化挂盘价格上调加氢苯市场待涨情绪浓厚,百川盈孚
2304,2021-05-10,日评：石蜡需求未有提升价格零星上调,百川盈孚
2305,2021-05-10,【环己酮】工厂报价上涨业者心态观望,百川盈孚
2306,2021-05-10,中国石化参股成立新材料公司，注册资本13.46亿,TechWeb
2307,2021-05-10,生意社：5月10日中石化各销售公司丁二烯对外供价持稳,生意社
2308,2021-05-10,【行情】港股石油股全线拉升走高，中海油田服务涨超6%领涨，中海油涨3.2%，中石油涨2.2%，中石化1.68%,金十数据
2309,2021-05-10,化工行业报告：粘胶和VE需求持续恢复 价格呈现上涨趋势,新浪
2310,2021-05-10,中国银河--化工行业：丁辛醇、丙烯酸及酯价格上涨，重点关注龙头企业表现【行业研究】,金融界股吧
2311,2021-05-10,生意社：5月10日中石化三井酚酮装置停车,生意社
2312,2021-05-10,石油石化、基础化工、新材料行业北上资金流向周报,新浪
2313,2021-05-10,氢能源最全面的看空报告来了,中国能源网china5e
2314,2021-05-10,全产业链价格价差研究：丁辛醇、丙烯酸及酯价格上涨 重点关注龙头企业表现,新浪
2315,2021-05-10,石化行业2020年报&2021一季报总结：油价回升 助力行业盈利能力改善,新浪
2316,2021-05-10,杰瑞股份(002353)：当前时点如何看杰瑞股份？,新浪
2317,2021-05-10,A股货币资金榜：18家超千亿，最穷公司只剩74万,北京商报
2318,2021-05-09,A股最穷公司：*ST天龙只剩74万,北京商报
2319,2021-05-09,A股货币资金比拼：*ST天龙最穷 账上仅74万元,北京商报
2320,2021-05-09,中国石化品牌价值超3000亿，位居能源化工行业第一,格隆汇
2321,2021-05-09,上市公司治理专项行动第一阶段收官，七方面119个问题自查完成,Wind
2322,2021-05-09,2021中国品牌价值评价信息发布，16家企业超千亿元,Wind
2323,2021-05-09,碳中和周报|德国提高碳减排目标生态环境部将加强非CO2温室气体控制,科创板日报
2324,2021-05-08,龙头单季利润超过去年全年，北向资金疯狂抢筹,Wind
2325,2021-05-08,二甲苯日评：中石化挂牌上调，市场重心坚挺,百川盈孚
2326,2021-05-08,中国品牌“出海”：从“单打独斗”到“攥指成拳”,中新网
2327,2021-05-08,2021中国品牌价值评价信息发布 中国石化位居能源化工行业第一,中新网
2328,2021-05-08,原油周报：印度日本疫情持续恶化 国际油价先扬后抑,光大证券
2329,2021-05-08,明天氢能联手中石化安徽分公司签约 在制氢、运输、加氢站建设运营领域开展项目协同与合作,北极星电力
2330,2021-05-08,5月8日加氢苯早间提示,百川盈孚
2331,2021-05-08,涪陵页岩气田一项目获中石化2020年度优质工程奖,中国能源网china5e
2332,2021-05-08,大型催化裂化再生烟气实现超低排放 ——从构思到工业实践,北极星节能
2333,2021-05-08,纳入“新基建”一年：30家充电桩上市公司业绩汇总,上海有色
2334,2021-05-07,养老基金最新动向：增仓9大行业，与社保QFII共同持仓8只个股,第一财经
2335,2021-05-07,加氢苯日评：中石化调涨，市场跟涨,百川盈孚
2336,2021-05-07,北向资金分化加剧，中国平安、贵州茅台再遭净卖出逾5亿元,Wind
2337,2021-05-07,纯苯日评：中石化挂牌上调，行情重心上移,百川盈孚
2338,2021-05-07,中国石化首座移动式光伏发电站正式投运,格隆汇
2339,2021-05-07,机械设备行业20Q4及21Q1总结：统与新兴共舞 专用与通用齐飞,广发证券
2340,2021-05-07,生意社：5月7日中石化华北丙酮价格计划上调,生意社
2341,2021-05-07,生意社：5月7日中石化各销售公司丁二烯对外供价持稳,生意社
2342,2021-05-07,QFII一季度持股情况披露，新进和增持312只个股,资本邦
2343,2021-05-07,山西省首座全智能充换电站落户太原,山西日报
2344,2021-05-07,中国石化一季度净利润超过185亿元,电缆网
2345,2021-05-07,5月7日加氢苯早间提示,百川盈孚
2346,2021-05-07,中国银河维持石油化工行业推荐评级：21Q1业绩显着提升，基金持仓创历史新高,每日经济新闻
2347,2021-05-07,QFII重仓最新路线图曝光 机械设备股成一季度新宠,财富动力网
2348,2021-05-07,中国石化首季盈利超过185亿元－国务院国有资产监督管理委员会,中国石化
2349,2021-05-07,【银河化工任文坡/林相宜】行业动态 2021.4丨21Q1业绩显着提升，基金持仓创历史新高,中国银河证券研究
2350,2021-05-06,QFII重仓最新路线图曝光！一行业成新宠，34股获扎堆持有，石油巨头获5年来首次建仓,e公司
2351,2021-05-06,智通每日大行研报丨医思健康(02138)获汇丰研究看高至15港元 大摩指海底捞(06862)4月翻桌率逊预期,智通财经
2352,2021-05-06,加氢苯日评：节后归市市场看涨,百川盈孚
2353,2021-05-06,蔚来、中石化共建换电新格局,中国汽车报
2354,2021-05-06,银河证券每日晨报,新浪
2355,2021-05-06,大行评级|汇丰研究：上调中石化(0386.HK)目标价至5.66港元评级“买入”,格隆汇
2356,2021-05-06,生意社：5月6日国内邻二甲苯价格汇总,生意社
2357,2021-05-06,深度分析！两桶油接连入局螺蛳粉市场 螺蛳粉吸金秘密为何？,前瞻研究院
2358,2021-05-06,汇丰研究：维持中石化(00386)“买入”评级 目标价微升至5.66港元,智通财经
2359,2021-05-06,中国石化牵手广州增城计划建设油氢电一体化的综合新能源产业示范项目,北极星电力
2360,2021-05-06,生意社：5月6日中石化华中对二甲苯价格平稳,生意社
2361,2021-05-06,汇丰证券上调中石油、中石化目标价,Wind
2362,2021-05-06,低硫燃料油期货50问｜ 国内燃料油市场（二）,渤海期货
2363,2021-05-06,“三桶油”的新能源赛道,世纪新能源
2364,2021-05-06,券商晨会观点速递,第一财经
2365,2021-05-06,去年A股公司营收占GDP总额52% 46家上市公司“富可敌省”,证券时报
2366,2021-05-06,去年A股公司营收占GDP总额52%，顺周期板块逆袭,Wind
2367,2021-05-06,通胀成投资关键词，机构指点A股5月布局方向,Wind
2368,2021-05-06,去年A股公司营收占GDP总额52% 顺周期板块逆袭,证券时报
2369,2021-05-05,QFII一季度大换仓，中国石化时隔5年后再获青睐,经济观察网
2370,2021-05-05,罗森入华25年才盈利 便利店生意没那么容易,亿邦动力
2371,2021-05-04,省级燃气公司在后国家管网公司时代何去何从？,新浪
2372,2021-05-03,十大热门行业逐个看 【化工篇】| 化工原料涨疯了 上市公司有多赚？,证券时报
2373,2021-05-02,蔚来2021年Q1业绩电话会议分析师问答,老虎证券
2374,2021-05-02,蔚来4月交付量达7102台 累计交付突破10万大关,上海有色
2375,2021-05-02,“换电”重回赛道，行业耕耘者浮出水面,车云网
2376,2021-05-01,首季盈利185.43亿元！中国石化实现高质量开门红,新浪
2377,2021-05-01,A股营收榜：营收50强贡献A股五成收入,网易
2378,2021-05-01,国资委强化央企风险管控：资产负债率高于管控线的子企业不得开展金融衍生业务,21世纪经济报道
2379,2021-04-30,国资委强化央企风险管控：资产负债率高于管控线的子企业不得开展金融衍生业务,21世纪经济报道
2380,2021-04-30,石化行业：21Q1业绩显着提升 基金持仓创历史新高,新浪
2381,2021-04-30,成品油：“三桶油”一季度营收良好　中、下游板块全线翻红,卓创资讯
2382,2021-04-30,加氢苯日评：临近周末市场稳定，预计节后市场存补涨空间,百川盈孚
2383,2021-04-30,纯苯日评：中石化挂牌上调，行情走势强劲,百川盈孚
2384,2021-04-30,充换电之争背后 车企已开始站队,36氪
2385,2021-04-30,蔚来CEO李斌：和中石化的合作会逐步深入 目前合作还是相对比较简单,财经网
2386,2021-04-30,国内最大连锁便利店中石化易捷：去年扶贫销售额5.3亿元,澎湃新闻
2387,2021-04-30,生意社：4月30日中石化各销售公司丁二烯对外供价持稳,生意社
2388,2021-04-30,生意社：4月30日国内邻二甲苯价格汇总,生意社
2389,2021-04-30,中国石化(600028)：炼销一体化优势凸显 化工高端材料布局可期,光大证券
2390,2021-04-30,蔚来CEO李斌：目前和中石化的合作还未涉及到收入分成,36氪
2391,2021-04-30,中国石化将打造“油气氢电服”综合加能站,中新网
2392,2021-04-30,油气价格上升销量回暖，“三桶油”一季度业绩大幅反弹,澎湃新闻
2393,2021-04-29,中国石油一季度日赚3亿元，创近7年来最好水平,21世纪经济报道
2394,2021-04-29,碳达峰目标下，石油公司如何“大象转身”,新浪
2395,2021-04-29,特斯拉放弃，中石化跟进，换电站是个好生意吗？,36氪
2396,2021-04-29,【招商机械·公司点评】杰瑞股份：Q1业绩符合预期，非常规油气景气持续,荣行机械
2397,2021-04-29,德石股份回复创业板IPO二轮问询：转贷行为是否构成重大违法违规？,资本邦
2398,2021-04-29,生意社：4月29日中石化各销售公司丁二烯对外供价持稳,生意社
2399,2021-04-29,中国石化聚丙烯新产品出口南亚－国务院国有资产监督管理委员会,中国石化
2400,2021-04-29,A股融资融券日报：两融余额增加19.61亿元（4月28日）,Wind
2401,2021-04-29,国家终于出手了！严厉打击盗版侵权,国元证券订阅号
2402,2021-04-29,中国石化一季度盈利179.29亿元,中证报
2403,2021-04-28,4月29日上市公司重要公告集锦：中国石化一季度净利179亿元 同比扭亏,证券日报之声
2404,2021-04-28,中国石化一季度同比扭亏 多板块业绩好于2019年水平,大众证券报
2405,2021-04-28,中石化(00338.HK)首季业绩由亏转盈,财华社
2406,2021-04-28,晚间重要公告2021年4月28日星期三,Wind
2407,2021-04-28,中国石化一季度盈利185.43亿元，去年同期亏损192亿 亏损,澎湃新闻
2408,2021-04-28,去年巨亏今年暴赚：中国石化一季度日赚近2亿,21世纪经济报道
2409,2021-04-28,中国石化一季度盈利185.43亿元 实现高质量开门红,中证网
2410,2021-04-28,中国石化(600028.SH)一季度业绩扭亏为盈至179.29亿元,格隆汇
2411,2021-04-28,中国石化实现高质量开门红 一季度盈利逾185亿元,上证报
2412,2021-04-28,扭亏为盈 中国石化(600028.SH)一季度归母净利179.29亿元,智通财经
2413,2021-04-28,中国石化：第一季度国际会计准则净利润185.4亿元人民币,金十数据
2414,2021-04-28,中国石化：一季度净利润179.3亿元，上年同期亏损198.7亿元,Wind
2415,2021-04-28,中石化易捷发布2020社会责任报告 六个小故事透视易捷品牌担当,经济观察网
2416,2021-04-28,生意社：4月28日中石化各销售公司丁二烯对外供价持稳,生意社
2417,2021-04-28,福建省委书记、省长与拼多多等多家公司座谈,Wind
2418,2021-04-28,投资238亿元 中石化贵州新建50万吨煤基PGA项目重要方案推进,国家煤化工网
2419,2021-04-28,两部门开展新能源汽车换电模式试点 相关公司望受关注,证券时报网
2420,2021-04-28,中国石化东胜气田打出日产百万方高产气井,中国石化
2421,2021-04-28,我天天送钱给便利店，可它还不盈利,36氪
2422,2021-04-28,新技术施展“膜”力 发电源头高效捕碳,中国科技网
2423,2021-04-27,0428日报/金发科技一季度净利润7.65亿元同比增加438.79%【东北基础化工】,东北基础化工
2424,2021-04-27,柳州螺蛳粉产业爆红背后：市场前景广阔 企业竞相布局,证券日报网
2425,2021-04-27,生意社：4月27日中石化三菱双酚A装置停车,生意社
2426,2021-04-27,化工行业周报：丙烯酸及酯价格继续上涨，重点关注龙头企业表现,每日经济新闻
2427,2021-04-27,电力电气设备、汽车及零部件行业：中金氢能：举足“氢”重 跬步千里,新浪
2428,2021-04-27,中银证券化工行业点评：继续加大持仓比例，强化更多个股配置,每日经济新闻
2429,2021-04-27,蔡进出席2021中国石化能源物流供应链合作发展大会,中国物流与采购网
2430,2021-04-27,国资委：中国船、中国车、中国电等将集体亮相2021年中国品牌日活动,Wind
2431,2021-04-27,焦点分析丨罗森入华25年才盈利，便利店生意比你想象得难,36氪
2432,2021-04-27,生意社：4月27日中石化华中对二甲苯价格平稳,生意社
2433,2021-04-27,A股融资融券日报：两融余额增加17.69亿元（4月26日）,Wind
2434,2021-04-27,【上期能源】低硫燃料油期货50问｜ 国内燃料油市场,华联期货
2435,2021-04-27,勘探开发投资力度不减，继续看好上游和油服,光大证券
2436,2021-04-27,期市投资参考：中办、国办发文探索碳汇权益交易试点,Wind
2437,2021-04-27,【银河策略曾万平】策略专题丨在业绩中寻找投资机会,中国银河证券研究
2438,2021-04-26,化工点评报告：石油石化配置连续三季度回升 关注龙头及偏成长相关标的,新浪
2439,2021-04-26,这项技术将原油直接转化为烯烃芳烃等化学品，已投入工业试验,澎湃新闻
2440,2021-04-26,瑞丰新材(300910)：一季度归母同比+120.2% 年内将持续推动API认证与募投项目建设,西南证券
2441,2021-04-26,北向资金今日净买入32亿，隆基股份净买入额创逾一个月新高,Wind
2442,2021-04-26,A股迎炒业绩高潮！“钢铁侠”净利飙涨259倍，机构埋伏708只预喜股,时代财经
2443,2021-04-26,苏博特(603916)：一季度发货高速增长 毛利承压有限,华安证券
2444,2021-04-26,燃料油沥青周报：高低硫价差多头高位减仓 沥青或近强远弱,南华期货
2445,2021-04-26,石油和化工企业数字化建设的9大问题和8条建议！,国家煤化工网
2446,2021-04-26,生意社：4月26日中石化各销售公司丁二烯对外供价持稳,生意社
2447,2021-04-26,观察丨石油企业推进地热能开发促企业转型,电力新闻网
2448,2021-04-26,原油催化裂解技术实现全球首次工业化应用,Wind
2449,2021-04-25,瞄准碳达峰碳中和目标 石化行业谋求绿色转型,证券日报网
2450,2021-04-25,陈如桂辞去深圳市长职务覃伟中任深圳市副市长、代理市长,证券之星
2451,2021-04-25,山东管网南干线创国内单日全自动焊接纪录,石化新闻网
2452,2021-04-24,覃伟中任深圳市代市长，深圳“一府一委两院”同“换帅”,澎湃新闻
2453,2021-04-23,粗苯日评：窄幅调整,百川盈孚
2454,2021-04-23,加氢苯日评：临近周末市场稳定预计下周高位维持,百川盈孚
2455,2021-04-23,中检集团新加坡公司与中石化润滑油新加坡公司成立联合实验室,陆家嘴金融网
2456,2021-04-23,海南首座商用加氢站正式投运－国务院国有资产监督管理委员会,国资委
2457,2021-04-23,A股融资融券日报：两融余额增加33.53亿元（4月22日）,Wind
2458,2021-04-22,粗苯日评：重心上移,百川盈孚
2459,2021-04-22,能源局部署充换电设施发展 车企、电池厂卡位战打响,科创板日报
2460,2021-04-22,加氢苯日评：下游苯乙烯市场偏弱对加氢苯的上涨略有制约,百川盈孚
2461,2021-04-22,北向资金今日净卖出15.97亿元，中国平安净卖出额创5个月新高,Wind
2462,2021-04-22,加油枪为啥不敢用透明管子？中石化揭秘,和讯
2463,2021-04-22,中国石化天津LNG接收站首季接卸量全国居首,微信
2464,2021-04-22,奥动全面开启20秒极速换电共享时代,第一电动网
2465,2021-04-22,与蔚来合作的中石化以及那些正在“消失”的石油公司,中国能源网china5e
2466,2021-04-22,【财经早报】2021/4/22星期四,云掌财经
2467,2021-04-22,2023家公司去年实现盈利,Wind
2468,2021-04-22,中国石化发起倡议 打造塑料循环经济新模式,中国科技网
2469,2021-04-21,加氢苯日评：中石化纯苯上调支撑，市场宽幅调涨,百川盈孚
2470,2021-04-21,粗苯日评：招标大涨,百川盈孚
2471,2021-04-21,【异动股】中国石化(00386-HK)获伊拉克天然气田项目，惟股价挫5.4%,财华社
2472,2021-04-21,中国石化凌逸群：打造“中国第一氢能公司”,格隆汇
2473,2021-04-21,港股异动丨国际油价下跌石油股普跌中石化跌超4%,格隆汇
2474,2021-04-21,“70后”中海油副总赴任江苏省政府,微信
2475,2021-04-21,银河证券：需求复苏助力景气上行，化工行业一季度业绩将显著提升,Wind
2476,2021-04-21,川财证券--高端制造行业事件点评：中石化入局将推动新能源车换电行业发展【行业研究】,金融界股吧
2477,2021-04-20,我们在电动车领域投资蔚来的三个理由,云掌财经
2478,2021-04-20,中国银河--化工行业深度：需求复苏助力景气上行，21Q1业绩将显着提升【行业研究】,金融界股吧
2479,2021-04-20,传统加油站向综合能源服务方向转型 万亿元市场蓝海加速形成,证券日报网
2480,2021-04-20,北向资金今日净卖出4.97亿元，比亚迪、赣锋锂业遭减仓逾5亿元,Wind
2481,2021-04-20,“双奥”品牌赋能绿色冬奥 中国石化长城润滑油举行洁净冬奥战略发布会,每经网
2482,2021-04-20,中石化首套年产300万吨PTA项目开建,国家煤化工网
2483,2021-04-20,财信证券：涉及重大诉讼进展 诉讼纠纷,Wind
2484,2021-04-20,花旗：二、三季度A股及港股指数上行空间有限，首选能源及金融股,Wind
2485,2021-04-20,业绩说明会速递丨集泰股份紧抓机遇持续创新 夯实百强地产建筑胶供应商龙头地位,发布易
2486,2021-04-20,这一波新能源风潮 内蒙古赶上了！,乐居财经
2487,2021-04-20,光大证券--基础化工行业周报：油价和需求共同好转，2021Q1化工企业业绩表现强劲【行业研究】,金融界股吧
2488,2021-04-19,中国石化在渝创国内页岩气水平段钻井最长纪录,证券时报网
2489,2021-04-19,加氢苯日评：周初暂维观望本周看涨,百川盈孚
2490,2021-04-19,纯苯日评：中石化挂牌上调，市场重心坚挺,百川盈孚
2491,2021-04-19,粗苯日评：维稳观望,百川盈孚
2492,2021-04-19,化工行业周报【20210418】,新浪
2493,2021-04-19,震惊！中石化已经在111个站都装了光伏！,光伏能源圈
2494,2021-04-19,中国石化资本公司投资朗泽科技,Wind
2495,2021-04-19,中国银河--化工行业周报：碳酸二甲酯、丙烯酸及酯价格上涨，重点关注龙头企业表现【行业研究】,金融界股吧
2496,2021-04-19,全球首座全智能换电站来了，能源巨头与造车新势力联袂助力“碳中和”,维库电子市场
2497,2021-04-19,张春军：打通国内与国际市场渠道，促进中国天然气市场高质量开放,上海石油天然气交易中心
2498,2021-04-19,融资客青睐2股，三星医疗买入占比高达44.98%,Wind
2499,2021-04-19,中国石化首套年产300万吨PTA项目在仪征化纤启动建设,纺织网
2500,2021-04-19,布局换电 奥动新能源与中国石化合作,汽车之家
2501,2021-04-19,《热门族群》亚湾招商热 高雄资产股同乐,Yahoo
2502,2021-04-18,储运技术重大突破！氢能产业发展有望步入快车道,Wind
2503,2021-04-18,E周看点丨26.5万电动野马硬刚Model Y；贾跃亭被终身禁入证券市场,盖世汽车
2504,2021-04-18,三国争霸全球LNG市场 亚洲需求是关键,液化天然气网
2505,2021-04-18,蔚来的历史性时刻：把换电站“搬进”加油站大院里,车云网
2506,2021-04-17,东风汽车集团就智慧港口、氢燃料电池领域等与中远海运、中国移动和中国石化达成战略合作,鲸平台
2507,2021-04-17,E周新势力 | 蔚来牵手中石化；威马W6/极氪001上市；小鹏P5正式亮相,第一电动网
2508,2021-04-16,一克商评 | 瑞幸“续命”，但打破质疑仍道阻且长,东方网
2509,2021-04-16,国家管网公司组建再次逾期， 天然气产业格局重构不可逆转,财经网
2510,2021-04-16,蔚来第二代换电站选址加油站 李斌：与中石化不是敌对关系,每日经济新闻
2511,2021-04-16,加氢苯日评：临近周末市场稳定下周看涨,百川盈孚
2512,2021-04-16,粗苯日评：窄幅震荡,百川盈孚
2513,2021-04-16,市场震荡“三桶油”业绩齐跌，“双碳”目标下布局新能源赛道「年报时间」 盈利能力下降,华夏时报
2514,2021-04-16,中国石化：“十四五”要建1000座加氢站,经济日报
2515,2021-04-16,生意社：4月16日中石化三菱双酚A装置停车,生意社
2516,2021-04-16,海南首座加氢站投入运营，由中国石化建设,Wind
2517,2021-04-16,卖汽油的也要抢电动汽车生意！中石化将建5000座换电站,中投网
2518,2021-04-16,中国石化：整合石油工程高端业务 成立石化经纬公司,中证网
2519,2021-04-16,一周纺织股大事|4月12-16日 中石化为短纤维生产开发护航 森马服饰一季度净利润预增1730.4%-2073.6%！,全球纺织网
2520,2021-04-16,海南首座加氢站投入运营，由中国石化建设,证券时报网
2521,2021-04-16,中石化携手新能源车企布局充换电站，2025年将达5000座（附股）,云掌财经
2522,2021-04-16,奥动新能源联手中国石化布局换电,盖世汽车
2523,2021-04-16,今后加油站也能充电？,经济日报
2524,2021-04-16,中石化宣布：在5000座加油站建换电站,央视财经
2525,2021-04-16,【盘中宝】解决新能源行业痛点新突破口，该产业随着大规模建设站上风口，这家公司正配合龙头企业准备量产第二代产品,财联社
2526,2021-04-16,A股早报2021年4月16日星期五,Wind
2527,2021-04-16,传统能源巨头牵手民企新势力 拟布局5000座充换电设施,上证报
2528,2021-04-16,热门中概股涨跌不一 区块链概念股、新能源汽车股普跌,中金在线
2529,2021-04-16,每日理财观察：反垄断再出手！未来5年迎来新周期,Wind
2530,2021-04-16,财闻点金：反复拉锯式调整 关注结构性轮动机会,巨丰财经
2531,2021-04-16,中石化联手蔚来加码换电站 A股核心供应商是它,巨丰财经
2532,2021-04-16,卖汽油的也要抢电动汽车生意，中石化将建5000座换电站，电池放加油站安全？,36氪
2533,2021-04-16,能源行业冲刺绿色低碳转型,光明日报
2534,2021-04-16,美国三大股指集体上涨，道指首次站上34000点关口,Wind
2535,2021-04-15,蔚来汽车与中石化达成战略合作，首座第二代换电站投入运营,钛媒体
2536,2021-04-15,中石化5年规划5000座充换电站 将拉动配套产业,证券时报网
2537,2021-04-15,美国三大股指高开，戴尔科技大涨近6%,Wind
2538,2021-04-15,美股盘前：标普和道指期货创历史新高,Wind
2539,2021-04-15,美股盘前：零售数据远超预期三大期指集体走高,证券之星
2540,2021-04-15,蔚来联手中石化，要干这些大事！,e公司
2541,2021-04-15,蔚来牵手中石化：第二代换电站走进加油站,21世纪经济报道
2542,2021-04-15,加氢苯日评：中石化纯苯上调支撑，市场反弹上涨,百川盈孚
2543,2021-04-15,粗苯日评：价格下滑,百川盈孚
2544,2021-04-15,【环己酮】纯苯走势坚挺工厂报价守稳,百川盈孚
2545,2021-04-15,纯苯日评：中石化挂牌上调，行情强势上涨,百川盈孚
2546,2021-04-15,蔚来计划年内再设299座二代换电站，盘前涨超2%,富途证券
2547,2021-04-15,中国石化牵手蔚来入局换电站 未来五年要建充换电站5000座,证券日报网
2548,2021-04-15,中国石化一天牵手两家新能源企业，“十四五”将布局5000座充换电站,Wind
2549,2021-04-15,蔚来美股盘前涨逾1%,Wind
2550,2021-04-15,首座蔚来第二代换电站投入运营，蔚来与中国石化签署战略合作协议,36氪
2551,2021-04-15,全球首座全智能换电站落户中国石化,中证网
2552,2021-04-15,持续加码新能源业务 中石化与蔚来合建智能换电站,21世纪经济报道
2553,2021-04-15,中国石化牵手蔚来汽车布局智能换电业务,中新网
2554,2021-04-15,中国石化“十四五”将布局5000座充换电站,澎湃新闻
2555,2021-04-15,中囯石化：与蔚来汽车签署战略合作协议 到2025年建成5000座充换电站,中国证券网
2556,2021-04-15,蔚来(NIO.US)和中国石化签订战略协议，计划到2025年建成5000座充换电站,智通财经
2557,2021-04-15,中囯石化董事长张玉卓：到2025年建成5000座充换电站,上证报
2558,2021-04-15,蔚来和中国石化签战略协议，2025年中石化充换电站达到5000座,Wind
2559,2021-04-15,蔚来和中国石化今日签订战略协议，2025年中石化充换电站达到5000座,金十数据
2560,2021-04-15,沙特基础工业公司：预计未来全世界60%石化投资在中国,Wind
2561,2021-04-15,国际油价大涨，三桶油升逾1%,Wind
2562,2021-04-15,中石化将建百万吨级CCUS示范项目,中国环境报
2563,2021-04-15,白马股又崩了，A股还有哪些个股风险要警惕？,Wind
2564,2021-04-15,800家上市公司一季度业绩预喜,Wind
2565,2021-04-15,800家上市公司一季度业绩预喜,中证报
2566,2021-04-14,晚间重要公告2021年4月14日星期三,Wind
2567,2021-04-14,宝莫股份(002476.SZ)子公司与中石化签订化工产品框架采购协议,智通财经
2568,2021-04-14,宝莫股份与中国石化签订聚丙烯酰胺框架采购协议,上证报
2569,2021-04-14,中石化发起塑料循环绿色行动联盟倡议,上证报
2570,2021-04-14,全程不下车自动泊入 换电比加油速度还快！蔚来车机OTA大升级,快科技
2571,2021-04-14,业绩不佳股价、债券都要警惕！3张图一览810家上市公司状况,Wind
2572,2021-04-14,中国石化累计向山东供应天然气约630亿立方米,国际燃气网
2573,2021-04-14,光伏+绿氢！隆基与中国石化签署战略合作协议,世纪新能源
2574,2021-04-14,“十四五”将建千座加氢站“中国第一氢能公司”雏形初现,中国科技网
2575,2021-04-13,中国石化与隆基股份签署战略合作协议,证券时报网
2576,2021-04-13,电报|中国石化与隆基股份达成战略合作共拓清洁能源应用市场,科创板日报
2577,2021-04-13,隆基股份与中国石化签署战略合作协议 全面开拓清洁能源应用市场,中证网
2578,2021-04-13,中国石化重庆首座加氢站开建 “两桶油”布局氢能优势明显,证券日报网
2579,2021-04-13,短期利好难寻 聚乙烯市场仍存窄幅回落可能,电缆网
2580,2021-04-13,红色联盟助力中国石化第11个质量日活动,中国网
2581,2021-04-13,中国石化：重庆首座加氢站开建 5年内将在重庆建成30座加氢站,中证网
2582,2021-04-13,光大证券--基础化工行业周报：考核指标调整，国有企业估值有望逐步修复【行业研究】,金融界股吧
2583,2021-04-13,中国银河--化工行业周报：醋酸系列价格大幅上扬，重点关注龙头企业表现【行业研究】,金融界股吧
2584,2021-04-13,中国石化将建百万吨级碳捕集、利用与封存示范项目,中国科技网
2585,2021-04-12,江苏神通2020年扣非净利增长36% 今年目标营收增长28%,e公司
2586,2021-04-12,智通每日大行研报︱阿里(09988)获富瑞看至336港元 美银指中远海控(01919)目前盈利水平及运费不可持续,智通财经
2587,2021-04-12,杰瑞股份(002353)2020年年报点评：助力增储上产 看好公司2021全年业绩表现,新浪
2588,2021-04-12,国内成品油市场简报（21年4月12日）,生意社
2589,2021-04-12,石油化工行业周报：疫情反复油价震荡 长丝价格持续回暖,新浪
2590,2021-04-12,暖化效应是二氧化碳的120倍 甲烷减排刻不容缓,中投网
2591,2021-04-12,华安研究行业周观点集萃,华安证券
2592,2021-04-12,生意社：4月12日中石化三菱双酚A装置停车,生意社
2593,2021-04-12,瑞信：维持中石化(00386)“跑赢大市”评级 目标价升12%至6.5港元,智通财经
